Sample	pH	Round	Ligand	Measure
BLGCA	9	1	CA1	1
BLGCA	9	1	CA2	0
BLGCA	9	1	CA3	0
BLGCA	9	1	CA4	0
BLGCA	9	1	CA5	0
BLGCA	9	1	CA6	0
BLGCA	9	1	CA7	0
BLGCA	9	1	CA8	0
BLGCA	9	1	CA9	0
BLGCA	9	1	CA10	0
BLGCA	9	2	CA1	1
BLGCA	9	2	CA2	0
BLGCA	9	2	CA3	0
BLGCA	9	2	CA4	0
BLGCA	9	2	CA5	0
BLGCA	9	2	CA6	0
BLGCA	9	2	CA7	0
BLGCA	9	2	CA8	0
BLGCA	9	2	CA9	0
BLGCA	9	2	CA10	0
BLGCA	9	3	CA1	0
BLGCA	9	3	CA2	0
BLGCA	9	3	CA3	2
BLGCA	9	3	CA4	0
BLGCA	9	3	CA5	0
BLGCA	9	3	CA6	0
BLGCA	9	3	CA7	0
BLGCA	9	3	CA8	0
BLGCA	9	3	CA9	0
BLGCA	9	3	CA10	1
BLGCAB	9	1	CAB1	0
BLGCAB	9	1	CAB2	0
BLGCAB	9	1	CAB3	0
BLGCAB	9	1	CAB4	0
BLGCAB	9	1	CAB5	0
BLGCAB	9	1	CAB6	0
BLGCAB	9	1	CAB7	0
BLGCAB	9	1	CAB8	7
BLGCAB	9	1	CAB9	0
BLGCAB	9	1	CAB10	0
BLGCAB	9	2	CAB1	0
BLGCAB	9	2	CAB2	0
BLGCAB	9	2	CAB3	0
BLGCAB	9	2	CAB4	0
BLGCAB	9	2	CAB5	0
BLGCAB	9	2	CAB6	0
BLGCAB	9	2	CAB7	0
BLGCAB	9	2	CAB8	0
BLGCAB	9	2	CAB9	2
BLGCAB	9	2	CAB10	0
BLGCAB	9	3	CAB1	0
BLGCAB	9	3	CAB2	0
BLGCAB	9	3	CAB3	0
BLGCAB	9	3	CAB4	3
BLGCAB	9	3	CAB5	0
BLGCAB	9	3	CAB6	0
BLGCAB	9	3	CAB7	0
BLGCAB	9	3	CAB8	0
BLGCAB	9	3	CAB9	0
BLGCAB	9	3	CAB10	0
BLGCAD	9	1	CAD1	0
BLGCAD	9	1	CAD2	0
BLGCAD	9	1	CAD3	0
BLGCAD	9	1	CAD4	0
BLGCAD	9	1	CAD5	0
BLGCAD	9	1	CAD6	0
BLGCAD	9	1	CAD7	0
BLGCAD	9	1	CAD8	0
BLGCAD	9	1	CAD9	0
BLGCAD	9	1	CAD10	0
BLGCAD	9	2	CAD1	0
BLGCAD	9	2	CAD2	0
BLGCAD	9	2	CAD3	0
BLGCAD	9	2	CAD4	0
BLGCAD	9	2	CAD5	0
BLGCAD	9	2	CAD6	0
BLGCAD	9	2	CAD7	0
BLGCAD	9	2	CAD8	0
BLGCAD	9	2	CAD9	0
BLGCAD	9	2	CAD10	0
BLGCAD	9	3	CAD1	0
BLGCAD	9	3	CAD2	0
BLGCAD	9	3	CAD3	0
BLGCAD	9	3	CAD4	2
