# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_center_rottrans_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_1
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"1.50326";"1.23216";"1.23892";"1.21097"
"10.0";"1.50645";"1.23377";"1.24903";"1.20686"
"20.0";"1.49392";"1.2254";"1.22796";"1.20586"
"30.0";"1.5032";"1.2391";"1.23715";"1.20554"
"40.0";"1.49938";"1.23388";"1.23848";"1.19998"
"50.0";"1.49898";"1.23378";"1.23694";"1.20068"
"60.0";"1.49863";"1.22914";"1.23508";"1.20646"
"70.0";"1.49819";"1.23379";"1.2332";"1.20254"
"80.0";"1.49431";"1.2254";"1.22955";"1.20522"
"90.0";"1.49389";"1.23793";"1.22512";"1.19585"
"100.0";"1.50263";"1.23436";"1.23785";"1.20825"
"110.0";"1.5001";"1.23551";"1.23211";"1.20664"
"120.0";"1.50249";"1.23518";"1.23809";"1.20681"
"130.0";"1.50379";"1.23853";"1.23849";"1.20622"
"140.0";"1.49989";"1.23253";"1.23432";"1.20693"
"150.0";"1.50185";"1.23352";"1.2357";"1.20936"
"160.0";"1.5043";"1.23668";"1.23475";"1.21321"
"170.0";"1.50033";"1.23304";"1.23887";"1.20282"
"180.0";"1.49758";"1.22809";"1.2339";"1.20615"
"190.0";"1.50257";"1.2269";"1.24008";"1.21341"
"200.0";"1.50579";"1.23547";"1.23834";"1.21447"
"210.0";"1.50864";"1.23291";"1.24408";"1.21827"
"220.0";"1.50755";"1.2333";"1.24184";"1.21746"
"230.0";"1.50579";"1.23492";"1.23933";"1.21401"
"240.0";"1.50014";"1.23655";"1.23426";"1.2035"
"250.0";"1.50545";"1.25025";"1.23536";"1.20145"
"260.0";"1.50158";"1.23835";"1.23321";"1.2063"
"270.0";"1.50093";"1.23555";"1.23485";"1.20586"
"280.0";"1.4994";"1.22964";"1.23679";"1.20612"
"290.0";"1.50583";"1.24242";"1.2408";"1.20494"
"300.0";"1.49617";"1.23728";"1.23174";"1.19541"
"310.0";"1.49364";"1.23288";"1.22786";"1.19761"
"320.0";"1.50424";"1.23598";"1.23591";"1.21257"
"330.0";"1.50395";"1.23929";"1.23824";"1.2061"
"340.0";"1.49577";"1.23004";"1.22939";"1.20425"
"350.0";"1.50359";"1.23991";"1.23898";"1.2038"
"360.0";"1.50182";"1.24138";"1.23251";"1.20451"
"370.0";"1.49794";"1.23713";"1.22432";"1.20758"
"380.0";"1.50063";"1.24041";"1.22772";"1.20741"
"390.0";"1.49743";"1.23224";"1.22836";"1.2072"
"400.0";"1.49638";"1.23472";"1.22747";"1.20294"
"410.0";"1.50522";"1.24268";"1.23389";"1.21022"
"420.0";"1.49881";"1.23926";"1.22787";"1.20391"
"430.0";"1.49536";"1.23428";"1.22737";"1.20098"
"440.0";"1.5007";"1.23969";"1.2327";"1.20325"
"450.0";"1.5021";"1.23205";"1.23261";"1.21463"
"460.0";"1.50395";"1.2283";"1.24387";"1.21154"
"470.0";"1.50263";"1.22896";"1.24042";"1.21111"
"480.0";"1.5007";"1.23428";"1.22851";"1.21308"
"490.0";"1.50501";"1.24372";"1.23637";"1.20609"
"500.0";"1.50104";"1.23743";"1.23061";"1.20855"
"510.0";"1.49903";"1.23831";"1.22918";"1.20411"
"520.0";"1.50062";"1.23346";"1.23502";"1.20708"
"530.0";"1.50265";"1.23318";"1.23494";"1.21247"
"540.0";"1.50283";"1.2413";"1.23529";"1.20424"
"550.0";"1.50308";"1.23356";"1.23948";"1.20852"
"560.0";"1.495";"1.22664";"1.22992";"1.20528"
"570.0";"1.49763";"1.23552";"1.22903";"1.20363"
"580.0";"1.50471";"1.24254";"1.23599";"1.20696"
"590.0";"1.50051";"1.22486";"1.2429";"1.20746"
"600.0";"1.49472";"1.22771";"1.22976";"1.20367"
"610.0";"1.50543";"1.23939";"1.23681";"1.21113"
"620.0";"1.4958";"1.22632";"1.2295";"1.20802"
"630.0";"1.50378";"1.23371";"1.23703";"1.2126"
"640.0";"1.50659";"1.23133";"1.24567";"1.21316"
"650.0";"1.50231";"1.23066";"1.24138";"1.20761"
"660.0";"1.5004";"1.23014";"1.23377";"1.21118"
"670.0";"1.49647";"1.21924";"1.23443";"1.21181"
"680.0";"1.49283";"1.22895";"1.2282";"1.19929"
"690.0";"1.50298";"1.23783";"1.23078";"1.21279"
"700.0";"1.4885";"1.23062";"1.21902";"1.19617"
"710.0";"1.50267";"1.23841";"1.2284";"1.21384"
"720.0";"1.49349";"1.22584";"1.22866";"1.20364"
"730.0";"1.5015";"1.23449";"1.23411";"1.20914"
"740.0";"1.4975";"1.22876";"1.23327";"1.20589"
"750.0";"1.50021";"1.23239";"1.23686";"1.20525"
"760.0";"1.49426";"1.233";"1.23002";"1.19683"
"770.0";"1.49644";"1.2336";"1.22967";"1.202"
"780.0";"1.50066";"1.23728";"1.24072";"1.19739"
"790.0";"1.50325";"1.24205";"1.23416";"1.20569"
"800.0";"1.49792";"1.24196";"1.22358";"1.20328"
"810.0";"1.49973";"1.23981";"1.22875";"1.20474"
"820.0";"1.49273";"1.22988";"1.22355";"1.20283"
"830.0";"1.49788";"1.23238";"1.22857";"1.20794"
"840.0";"1.50101";"1.24107";"1.22765";"1.20774"
"850.0";"1.50427";"1.24191";"1.23585";"1.20664"
"860.0";"1.49411";"1.23601";"1.22606";"1.19742"
"870.0";"1.5003";"1.23791";"1.22757";"1.20933"
"880.0";"1.49918";"1.2436";"1.22272";"1.20562"
"890.0";"1.49972";"1.24406";"1.22259";"1.20661"
"900.0";"1.50227";"1.24779";"1.22852";"1.20308"
