# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_mol5_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL5-dimer_area"
"0.0";"4.849701"
"10.0";"4.906536"
"20.0";"4.625922"
"30.0";"5.001611"
"40.0";"4.903127"
"50.0";"4.886036"
"60.0";"5.07511"
"70.0";"5.118954"
"80.0";"5.681842"
"90.0";"5.678976"
"100.0";"5.906229"
"110.0";"5.581521"
"120.0";"5.360842"
"130.0";"5.424443"
"140.0";"5.597095"
"150.0";"5.573153"
"160.0";"5.446454"
"170.0";"5.742428"
"180.0";"5.916689"
"190.0";"6.013354"
"200.0";"6.098391"
"210.0";"6.127017"
"220.0";"6.156337"
"230.0";"6.05925"
"240.0";"6.046811"
"250.0";"5.83512"
"260.0";"5.87076"
"270.0";"5.909204"
"280.0";"5.730822"
"290.0";"5.582597"
"300.0";"5.88279"
"310.0";"5.83839"
"320.0";"5.919489"
"330.0";"5.553461"
"340.0";"5.581944"
"350.0";"5.449447"
"360.0";"5.707859"
"370.0";"5.93394"
"380.0";"5.941604"
"390.0";"5.923306"
"400.0";"6.049765"
"410.0";"6.020337"
"420.0";"6.223318"
"430.0";"6.36458"
"440.0";"6.411131"
"450.0";"6.589597"
"460.0";"6.459852"
"470.0";"6.385749"
"480.0";"6.095392"
"490.0";"6.058147"
"500.0";"5.994037"
"510.0";"6.045834"
"520.0";"6.652103"
"530.0";"6.646104"
"540.0";"6.497296"
"550.0";"6.749708"
"560.0";"6.671154"
"570.0";"6.923318"
"580.0";"6.636249"
"590.0";"6.851511"
"600.0";"6.668513"
"610.0";"6.680782"
"620.0";"6.306153"
"630.0";"5.858467"
"640.0";"5.802324"
"650.0";"5.748272"
"660.0";"5.930559"
"670.0";"5.905271"
"680.0";"6.130414"
"690.0";"6.2709"
"700.0";"6.365261"
"710.0";"6.412583"
"720.0";"6.23669"
"730.0";"6.346117"
"740.0";"6.470717"
"750.0";"6.477736"
"760.0";"6.35842"
"770.0";"6.497093"
"780.0";"6.852241"
"790.0";"6.725006"
"800.0";"7.066556"
"810.0";"6.680306"
"820.0";"6.812172"
"830.0";"6.589289"
"840.0";"6.556839"
"850.0";"6.638587"
"860.0";"6.646482"
"870.0";"6.951502"
"880.0";"6.823821"
"890.0";"6.941281"
"900.0";"6.874228"
"910.0";"6.790525"
"920.0";"6.904067"
"930.0";"6.904564"
"940.0";"7.015819"
"950.0";"6.697113"
"960.0";"6.830934"
"970.0";"7.139228"
"980.0";"6.913497"
"990.0";"6.834525"
"1000.0";"6.934105"
"1010.0";"6.863676"
"1020.0";"6.848736"
"1030.0";"6.655761"
"1040.0";"6.157409"
"1050.0";"6.205808"
"1060.0";"6.468658"
"1070.0";"6.596229"
"1080.0";"6.66864"
"1090.0";"6.122381"
"1100.0";"6.766375"
"1110.0";"6.941179"
"1120.0";"6.984761"
"1130.0";"7.058022"
"1140.0";"6.973497"
"1150.0";"6.726748"
"1160.0";"6.56695"
"1170.0";"6.614263"
"1180.0";"6.38596"
"1190.0";"6.173588"
"1200.0";"6.10112"
"1210.0";"6.103501"
"1220.0";"5.946764"
"1230.0";"5.815919"
"1240.0";"5.844662"
"1250.0";"5.736575"
"1260.0";"5.907096"
"1270.0";"5.773107"
"1280.0";"6.32092"
"1290.0";"6.223526"
"1300.0";"6.558651"
"1310.0";"6.46291"
"1320.0";"6.543367"
"1330.0";"6.777819"
"1340.0";"6.918283"
"1350.0";"6.72787"
"1360.0";"6.68168"
"1370.0";"6.398882"
"1380.0";"6.729607"
"1390.0";"6.754887"
"1400.0";"6.746734"
"1410.0";"6.606118"
"1420.0";"6.275957"
"1430.0";"6.430955"
"1440.0";"6.682357"
"1450.0";"6.90884"
"1460.0";"7.171391"
"1470.0";"7.048183"
"1480.0";"7.106606"
"1490.0";"7.136041"
"1500.0";"6.955892"
"1510.0";"6.916567"
"1520.0";"6.569825"
"1530.0";"6.355605"
"1540.0";"6.26116"
"1550.0";"6.322769"
"1560.0";"6.323936"
"1570.0";"6.402452"
"1580.0";"6.507617"
"1590.0";"6.309728"
"1600.0";"6.79801"
"1610.0";"6.657307"
"1620.0";"6.732877"
"1630.0";"6.879022"
"1640.0";"6.734669"
"1650.0";"6.699587"
"1660.0";"6.802291"
"1670.0";"6.773838"
"1680.0";"6.7362"
"1690.0";"6.561959"
"1700.0";"6.513645"
"1710.0";"6.576807"
"1720.0";"6.786335"
"1730.0";"6.709237"
"1740.0";"6.95905"
"1750.0";"6.682331"
"1760.0";"6.88137"
"1770.0";"7.023991"
"1780.0";"6.751057"
"1790.0";"7.00132"
"1800.0";"7.156853"
"1810.0";"6.920417"
"1820.0";"7.049389"
"1830.0";"6.995321"
"1840.0";"7.174705"
"1850.0";"7.46623"
"1860.0";"7.383474"
"1870.0";"7.506623"
"1880.0";"7.598822"
"1890.0";"7.538327"
"1900.0";"7.53188"
"1910.0";"7.577451"
"1920.0";"7.753816"
"1930.0";"7.727713"
"1940.0";"7.558439"
"1950.0";"7.543822"
"1960.0";"7.693706"
"1970.0";"7.514353"
"1980.0";"7.402282"
"1990.0";"7.340167"
"2000.0";"7.392087"
"2010.0";"7.282501"
"2020.0";"7.34159"
"2030.0";"7.227634"
"2040.0";"7.246238"
"2050.0";"7.350456"
"2060.0";"7.273557"
"2070.0";"7.175875"
"2080.0";"7.029479"
"2090.0";"7.123311"
"2100.0";"7.391083"
"2110.0";"7.212435"
"2120.0";"6.83413"
"2130.0";"7.200888"
"2140.0";"7.149632"
"2150.0";"7.176806"
"2160.0";"6.975118"
"2170.0";"6.945635"
"2180.0";"7.263841"
"2190.0";"7.118113"
"2200.0";"7.014484"
"2210.0";"6.788919"
"2220.0";"7.171721"
"2230.0";"6.982891"
"2240.0";"7.014854"
"2250.0";"7.159766"
"2260.0";"7.009809"
"2270.0";"6.862063"
"2280.0";"6.901738"
"2290.0";"6.951937"
"2300.0";"6.666375"
"2310.0";"6.216092"
"2320.0";"6.431972"
"2330.0";"6.715349"
"2340.0";"6.658525"
"2350.0";"6.794326"
"2360.0";"6.861413"
"2370.0";"6.791837"
"2380.0";"6.631235"
"2390.0";"6.739528"
"2400.0";"7.00231"
"2410.0";"6.695257"
"2420.0";"6.763289"
"2430.0";"6.445516"
"2440.0";"6.658314"
"2450.0";"6.292029"
"2460.0";"6.336707"
"2470.0";"6.675838"
"2480.0";"6.997024"
"2490.0";"6.576405"
"2500.0";"6.709319"
"2510.0";"6.997461"
"2520.0";"6.979414"
"2530.0";"7.476503"
"2540.0";"7.227207"
"2550.0";"7.159694"
"2560.0";"7.00758"
"2570.0";"7.046206"
"2580.0";"6.813828"
"2590.0";"6.531029"
"2600.0";"6.463853"
