# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_neg1_mol10_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL10"
"0.0";"2.491918"
"10.0";"2.411982"
"20.0";"2.413881"
"30.0";"2.380127"
"40.0";"2.43209"
"50.0";"2.37538"
"60.0";"2.276787"
"70.0";"1.927445"
"80.0";"2.25204"
"90.0";"2.021703"
"100.0";"2.417856"
"110.0";"2.482236"
"120.0";"2.687632"
"130.0";"2.868764"
"140.0";"2.700403"
"150.0";"2.600521"
"160.0";"3.087864"
"170.0";"2.862512"
"180.0";"2.917207"
"190.0";"2.845983"
"200.0";"2.657614"
"210.0";"2.932249"
"220.0";"2.765709"
"230.0";"2.937404"
"240.0";"3.210583"
"250.0";"3.31638"
"260.0";"3.534718"
"270.0";"3.387489"
"280.0";"3.426173"
"290.0";"3.164232"
"300.0";"3.158059"
"310.0";"2.921638"
"320.0";"3.020882"
"330.0";"2.64289"
"340.0";"2.737573"
"350.0";"2.72717"
"360.0";"2.54607"
"370.0";"2.656211"
"380.0";"2.770965"
"390.0";"2.741498"
"400.0";"2.825851"
"410.0";"3.177767"
"420.0";"3.267338"
"430.0";"2.974807"
"440.0";"3.01786"
"450.0";"2.726871"
"460.0";"2.72023"
"470.0";"3.037008"
"480.0";"2.892918"
"490.0";"2.934391"
"500.0";"2.429093"
"510.0";"2.503238"
"520.0";"2.46125"
"530.0";"2.863139"
"540.0";"3.190689"
"550.0";"2.868782"
"560.0";"2.582365"
"570.0";"2.858155"
"580.0";"3.215662"
"590.0";"2.981591"
"600.0";"2.981214"
"610.0";"3.479479"
"620.0";"3.837733"
"630.0";"4.12746"
"640.0";"4.302094"
"650.0";"4.230203"
"660.0";"4.536288"
"670.0";"4.731625"
"680.0";"4.828225"
"690.0";"5.031298"
"700.0";"5.120317"
"710.0";"4.884364"
"720.0";"4.61629"
"730.0";"4.905509"
"740.0";"4.9972"
"750.0";"4.836009"
"760.0";"5.175146"
"770.0";"5.175787"
"780.0";"5.24427"
"790.0";"4.909841"
"800.0";"5.054945"
"810.0";"5.063043"
"820.0";"5.23033"
"830.0";"5.152276"
"840.0";"5.263514"
"850.0";"5.255641"
"860.0";"5.267731"
"870.0";"5.209518"
"880.0";"5.059659"
"890.0";"5.07563"
"900.0";"5.243796"
"910.0";"5.263772"
"920.0";"5.402126"
"930.0";"5.450102"
"940.0";"5.326544"
"950.0";"5.491069"
"960.0";"5.261579"
"970.0";"5.356809"
"980.0";"5.368373"
"990.0";"5.082942"
"1000.0";"5.015111"
"1010.0";"4.816981"
"1020.0";"4.752352"
"1030.0";"4.486699"
"1040.0";"4.716717"
"1050.0";"4.852033"
"1060.0";"5.028545"
"1070.0";"4.697546"
"1080.0";"4.255378"
"1090.0";"4.262032"
"1100.0";"4.816576"
"1110.0";"5.051129"
"1120.0";"4.888682"
"1130.0";"4.817567"
"1140.0";"4.771894"
"1150.0";"4.898244"
"1160.0";"4.991144"
"1170.0";"4.83435"
"1180.0";"4.143307"
"1190.0";"4.340273"
"1200.0";"4.324653"
"1210.0";"4.213398"
"1220.0";"4.111553"
"1230.0";"3.619596"
"1240.0";"3.668769"
"1250.0";"4.007754"
"1260.0";"3.926765"
"1270.0";"4.004147"
"1280.0";"3.964504"
"1290.0";"4.01977"
"1300.0";"3.966178"
"1310.0";"3.829712"
"1320.0";"4.251061"
"1330.0";"4.686813"
"1340.0";"4.984911"
"1350.0";"5.115365"
"1360.0";"5.155045"
"1370.0";"4.794432"
"1380.0";"4.968709"
"1390.0";"5.022688"
"1400.0";"4.930444"
"1410.0";"4.922778"
"1420.0";"4.693086"
"1430.0";"4.994157"
"1440.0";"4.864009"
"1450.0";"4.777771"
"1460.0";"4.994251"
"1470.0";"4.755752"
"1480.0";"4.737256"
"1490.0";"4.905889"
"1500.0";"4.554398"
"1510.0";"4.388824"
"1520.0";"4.557639"
"1530.0";"4.399437"
"1540.0";"4.462843"
"1550.0";"4.536071"
"1560.0";"4.17185"
"1570.0";"4.547291"
"1580.0";"4.300819"
"1590.0";"4.488135"
"1600.0";"4.158663"
"1610.0";"4.059282"
"1620.0";"3.987854"
"1630.0";"4.579491"
"1640.0";"4.858603"
"1650.0";"5.179585"
"1660.0";"5.315804"
"1670.0";"5.551747"
"1680.0";"5.346841"
"1690.0";"5.229611"
"1700.0";"4.870943"
"1710.0";"4.64004"
"1720.0";"4.579883"
"1730.0";"4.522128"
"1740.0";"4.618948"
"1750.0";"4.843884"
"1760.0";"5.053992"
"1770.0";"5.083502"
"1780.0";"4.876832"
"1790.0";"4.7279"
"1800.0";"4.833599"
"1810.0";"4.902395"
"1820.0";"5.076947"
"1830.0";"5.055202"
"1840.0";"5.097032"
"1850.0";"5.351303"
"1860.0";"5.21223"
"1870.0";"5.114817"
"1880.0";"4.84804"
"1890.0";"4.798154"
"1900.0";"4.642384"
"1910.0";"4.464105"
"1920.0";"4.509662"
"1930.0";"5.033186"
"1940.0";"4.909042"
"1950.0";"4.328398"
"1960.0";"4.352761"
"1970.0";"4.628858"
"1980.0";"4.571003"
"1990.0";"4.591769"
"2000.0";"4.180072"
"2010.0";"4.242915"
"2020.0";"4.691662"
"2030.0";"4.651775"
"2040.0";"4.623434"
"2050.0";"4.576118"
"2060.0";"4.273665"
"2070.0";"3.950822"
"2080.0";"3.870506"
"2090.0";"3.906976"
"2100.0";"4.024177"
"2110.0";"4.097275"
