# This .csv file was created 12.10.2024 14:30
# extracted out of file mindist_major_allergenic_epitope_r_149-162_MOL3.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_149-162-MOL3"
"0.0";"6.612845"
"10.0";"6.512603"
"20.0";"6.626908"
"30.0";"7.014066"
"40.0";"6.637158"
"50.0";"6.544972"
"60.0";"6.076914"
"70.0";"6.358987"
"80.0";"6.171696"
"90.0";"6.134543"
"100.0";"5.707067"
"110.0";"5.979687"
"120.0";"5.873998"
"130.0";"5.970478"
"140.0";"6.236525"
"150.0";"5.9189"
"160.0";"6.494001"
"170.0";"6.140266"
"180.0";"6.403018"
"190.0";"6.177681"
"200.0";"6.118125"
"210.0";"5.926902"
"220.0";"5.728185"
"230.0";"5.845617"
"240.0";"5.765167"
"250.0";"5.251712"
"260.0";"4.930894"
"270.0";"4.888933"
"280.0";"4.788071"
"290.0";"5.135034"
"300.0";"5.281997"
"310.0";"5.133573"
"320.0";"5.277947"
"330.0";"5.489101"
"340.0";"5.400618"
"350.0";"5.198388"
"360.0";"5.239372"
"370.0";"5.256737"
"380.0";"5.492279"
"390.0";"5.504573"
"400.0";"5.351315"
"410.0";"5.124144"
"420.0";"4.956888"
"430.0";"4.692202"
"440.0";"4.77679"
"450.0";"4.71676"
"460.0";"5.088128"
"470.0";"5.271921"
"480.0";"5.490639"
"490.0";"5.641511"
"500.0";"5.660722"
"510.0";"5.875423"
"520.0";"5.952101"
"530.0";"5.713439"
"540.0";"5.647865"
"550.0";"5.99601"
"560.0";"6.038911"
"570.0";"6.128155"
"580.0";"5.997465"
"590.0";"6.209222"
"600.0";"6.009104"
"610.0";"5.971364"
"620.0";"5.880792"
"630.0";"5.872607"
"640.0";"5.859492"
"650.0";"5.972401"
"660.0";"6.07302"
"670.0";"6.175241"
"680.0";"6.061016"
"690.0";"5.729907"
"700.0";"5.784036"
"710.0";"5.635505"
"720.0";"5.699091"
"730.0";"5.962424"
"740.0";"6.178503"
"750.0";"6.123012"
"760.0";"5.8176"
"770.0";"5.551052"
"780.0";"5.597107"
"790.0";"5.575311"
"800.0";"5.617392"
"810.0";"5.502216"
"820.0";"5.405532"
"830.0";"5.196004"
"840.0";"5.07377"
"850.0";"4.9245"
"860.0";"4.909065"
"870.0";"4.481654"
"880.0";"4.899146"
"890.0";"4.621329"
"900.0";"4.343114"
"910.0";"4.152599"
"920.0";"4.281079"
"930.0";"4.43201"
"940.0";"4.314009"
"950.0";"4.118261"
"960.0";"3.778679"
"970.0";"3.734241"
"980.0";"3.928642"
"990.0";"3.904403"
"1000.0";"4.124951"
"1010.0";"4.170679"
"1020.0";"4.029613"
"1030.0";"3.728429"
"1040.0";"4.103045"
"1050.0";"4.311036"
"1060.0";"4.420191"
"1070.0";"4.747677"
"1080.0";"4.561672"
"1090.0";"5.05924"
"1100.0";"5.063653"
"1110.0";"4.649482"
"1120.0";"5.192457"
"1130.0";"4.931086"
"1140.0";"4.689786"
"1150.0";"4.68092"
"1160.0";"4.560496"
"1170.0";"4.668151"
"1180.0";"4.395232"
"1190.0";"4.475401"
"1200.0";"4.729921"
"1210.0";"4.670453"
"1220.0";"4.827219"
"1230.0";"4.656986"
"1240.0";"4.754416"
"1250.0";"5.243112"
"1260.0";"5.135398"
"1270.0";"4.920985"
"1280.0";"4.605647"
"1290.0";"5.03337"
"1300.0";"4.462315"
"1310.0";"4.745112"
"1320.0";"4.736555"
"1330.0";"5.154217"
"1340.0";"5.494834"
"1350.0";"5.478793"
"1360.0";"5.467733"
"1370.0";"5.156972"
"1380.0";"5.241211"
"1390.0";"5.465272"
"1400.0";"5.38165"
"1410.0";"5.050711"
"1420.0";"5.031395"
"1430.0";"4.984231"
"1440.0";"4.962875"
"1450.0";"4.899951"
"1460.0";"4.886344"
"1470.0";"4.915765"
"1480.0";"4.873534"
"1490.0";"5.428451"
"1500.0";"5.3544"
"1510.0";"5.092976"
"1520.0";"5.103859"
"1530.0";"4.621259"
"1540.0";"4.527009"
"1550.0";"4.854818"
"1560.0";"5.029067"
"1570.0";"5.346479"
"1580.0";"5.007628"
"1590.0";"4.722919"
"1600.0";"4.623251"
"1610.0";"4.994964"
"1620.0";"5.306841"
"1630.0";"5.476023"
"1640.0";"5.645843"
"1650.0";"5.722947"
"1660.0";"5.556671"
"1670.0";"5.418605"
"1680.0";"5.459353"
"1690.0";"4.99704"
"1700.0";"5.077806"
"1710.0";"5.420324"
"1720.0";"5.809158"
