# This .csv file was created 12.10.2024 14:30
# extracted out of file mindist_major_allergenic_epitope_r_41-60_MOL.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_41-60-MOL"
"0.0";"2.580178"
"10.0";"2.443205"
"20.0";"2.622702"
"30.0";"2.250946"
"40.0";"2.341731"
"50.0";"2.771739"
"60.0";"2.616429"
"70.0";"2.53"
"80.0";"2.359003"
"90.0";"2.435288"
"100.0";"2.39726"
"110.0";"2.237178"
"120.0";"2.282304"
"130.0";"2.56774"
"140.0";"2.769915"
"150.0";"2.603328"
"160.0";"2.610209"
"170.0";"2.784776"
"180.0";"2.429704"
"190.0";"2.459383"
"200.0";"2.487926"
"210.0";"2.306879"
"220.0";"2.368309"
"230.0";"2.40315"
"240.0";"2.522944"
"250.0";"2.533371"
"260.0";"2.219684"
"270.0";"2.290932"
"280.0";"2.253045"
"290.0";"2.145308"
"300.0";"2.03537"
"310.0";"1.407622"
"320.0";"1.699732"
"330.0";"1.898652"
"340.0";"1.84178"
"350.0";"1.608761"
"360.0";"2.077372"
"370.0";"2.022282"
"380.0";"2.058887"
"390.0";"2.113199"
"400.0";"2.026121"
"410.0";"1.959182"
"420.0";"2.02212"
"430.0";"2.128201"
"440.0";"2.22442"
"450.0";"2.001248"
"460.0";"1.469667"
"470.0";"1.556764"
"480.0";"1.595751"
"490.0";"1.388143"
"500.0";"1.451556"
"510.0";"1.765449"
"520.0";"1.666794"
"530.0";"1.518932"
"540.0";"1.407073"
"550.0";"1.753756"
"560.0";"1.592916"
"570.0";"1.60452"
"580.0";"1.529887"
"590.0";"1.775997"
"600.0";"1.824174"
"610.0";"1.906244"
"620.0";"1.807316"
"630.0";"1.995955"
"640.0";"2.089003"
"650.0";"1.981173"
"660.0";"1.718414"
"670.0";"1.841251"
"680.0";"1.9937"
"690.0";"2.165234"
"700.0";"2.459453"
"710.0";"2.540899"
"720.0";"2.142187"
"730.0";"2.279935"
"740.0";"2.321603"
"750.0";"2.524449"
"760.0";"2.867471"
"770.0";"2.601755"
"780.0";"2.696127"
"790.0";"2.811692"
"800.0";"2.459621"
"810.0";"2.280122"
"820.0";"2.582915"
"830.0";"2.549583"
"840.0";"2.843711"
"850.0";"2.625268"
"860.0";"2.416638"
"870.0";"2.632673"
"880.0";"2.789251"
"890.0";"2.695375"
"900.0";"2.823512"
"910.0";"2.662832"
"920.0";"2.777047"
"930.0";"2.645322"
"940.0";"2.56048"
"950.0";"2.485752"
"960.0";"2.700548"
"970.0";"2.672336"
"980.0";"2.797439"
"990.0";"2.578173"
"1000.0";"2.708237"
"1010.0";"2.688567"
"1020.0";"2.814332"
"1030.0";"2.636932"
"1040.0";"2.92515"
"1050.0";"3.069088"
"1060.0";"3.080982"
"1070.0";"3.34045"
"1080.0";"3.264531"
"1090.0";"3.561188"
"1100.0";"3.8077"
"1110.0";"3.50158"
"1120.0";"3.676082"
"1130.0";"3.407171"
"1140.0";"3.457076"
"1150.0";"3.342486"
"1160.0";"3.372386"
"1170.0";"3.641066"
"1180.0";"3.253085"
"1190.0";"3.284822"
"1200.0";"3.51305"
"1210.0";"3.534913"
