# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mol8_rms.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"9.38e-05"
"10.0";"0.0808443"
"20.0";"0.0902508"
"30.0";"0.1007729"
"40.0";"0.102406"
"50.0";"0.1056897"
"60.0";"0.1115683"
"70.0";"0.1127306"
"80.0";"0.1185546"
"90.0";"0.1107423"
"100.0";"0.1137408"
"110.0";"0.1064363"
"120.0";"0.122873"
"130.0";"0.1099091"
"140.0";"0.1152024"
"150.0";"0.1124862"
"160.0";"0.1307372"
"170.0";"0.1237159"
"180.0";"0.1235709"
"190.0";"0.1267497"
"200.0";"0.1285014"
"210.0";"0.1341906"
"220.0";"0.1296262"
"230.0";"0.1383053"
"240.0";"0.1344196"
"250.0";"0.1291286"
"260.0";"0.1323987"
"270.0";"0.1364414"
"280.0";"0.1295835"
"290.0";"0.1312916"
"300.0";"0.128128"
"310.0";"0.143656"
"320.0";"0.1355474"
"330.0";"0.1309774"
"340.0";"0.1300757"
"350.0";"0.13795"
"360.0";"0.1350152"
"370.0";"0.1344512"
"380.0";"0.1307626"
"390.0";"0.1368521"
"400.0";"0.1458957"
"410.0";"0.1465054"
"420.0";"0.1377415"
"430.0";"0.1453214"
"440.0";"0.1541694"
"450.0";"0.1553751"
"460.0";"0.1676361"
"470.0";"0.1739388"
"480.0";"0.1806146"
"490.0";"0.1884485"
"500.0";"0.1800254"
"510.0";"0.1930435"
"520.0";"0.1931326"
"530.0";"0.1993566"
"540.0";"0.1971856"
"550.0";"0.2036352"
"560.0";"0.2061114"
"570.0";"0.2095518"
"580.0";"0.2149034"
"590.0";"0.2170468"
"600.0";"0.2267547"
"610.0";"0.2287356"
"620.0";"0.2214434"
"630.0";"0.2203703"
"640.0";"0.2051029"
"650.0";"0.2152438"
"660.0";"0.2233246"
"670.0";"0.2390643"
"680.0";"0.2448262"
"690.0";"0.2350689"
"700.0";"0.2324165"
"710.0";"0.2335141"
"720.0";"0.2375404"
"730.0";"0.2387712"
"740.0";"0.2452782"
"750.0";"0.237143"
"760.0";"0.232362"
"770.0";"0.2323814"
"780.0";"0.2393818"
"790.0";"0.2326665"
"800.0";"0.2361167"
"810.0";"0.23283"
"820.0";"0.2372593"
"830.0";"0.2477936"
"840.0";"0.2365104"
"850.0";"0.2515695"
"860.0";"0.244329"
"870.0";"0.2542861"
"880.0";"0.2327695"
"890.0";"0.2389744"
"900.0";"0.2316325"
"910.0";"0.2181166"
"920.0";"0.2214496"
"930.0";"0.2218686"
"940.0";"0.2252602"
"950.0";"0.224327"
"960.0";"0.2313328"
"970.0";"0.2202151"
"980.0";"0.2359363"
"990.0";"0.2384978"
"1000.0";"0.2438659"
"1010.0";"0.2462278"
"1020.0";"0.2377422"
"1030.0";"0.2407569"
"1040.0";"0.2420392"
"1050.0";"0.2243747"
"1060.0";"0.2294297"
"1070.0";"0.2257108"
"1080.0";"0.2120136"
"1090.0";"0.2182296"
"1100.0";"0.2208529"
"1110.0";"0.2456084"
"1120.0";"0.2513128"
"1130.0";"0.2435731"
"1140.0";"0.2336362"
"1150.0";"0.2519983"
"1160.0";"0.2420975"
"1170.0";"0.2480039"
"1180.0";"0.2579764"
"1190.0";"0.2590877"
"1200.0";"0.257041"
"1210.0";"0.2674743"
"1220.0";"0.2584115"
"1230.0";"0.2690241"
"1240.0";"0.2675111"
"1250.0";"0.2826094"
"1260.0";"0.2713833"
"1270.0";"0.2655202"
"1280.0";"0.2602845"
"1290.0";"0.2533191"
"1300.0";"0.2531539"
"1310.0";"0.2433652"
"1320.0";"0.2532883"
"1330.0";"0.2370699"
"1340.0";"0.2311651"
"1350.0";"0.2262943"
"1360.0";"0.2296817"
"1370.0";"0.221923"
"1380.0";"0.2297397"
"1390.0";"0.2290071"
"1400.0";"0.2253141"
"1410.0";"0.2350336"
"1420.0";"0.2445578"
"1430.0";"0.2452565"
"1440.0";"0.2529694"
"1450.0";"0.2607915"
"1460.0";"0.2653103"
"1470.0";"0.2660371"
"1480.0";"0.2696286"
"1490.0";"0.265493"
"1500.0";"0.2722253"
"1510.0";"0.2691862"
"1520.0";"0.2704012"
"1530.0";"0.2822982"
"1540.0";"0.2893391"
"1550.0";"0.3018847"
"1560.0";"0.3016757"
"1570.0";"0.2865414"
"1580.0";"0.2925175"
"1590.0";"0.2881419"
"1600.0";"0.2778737"
"1610.0";"0.2821186"
"1620.0";"0.2827558"
"1630.0";"0.2816072"
"1640.0";"0.2752542"
"1650.0";"0.2876756"
"1660.0";"0.304301"
"1670.0";"0.3219993"
"1680.0";"0.3377764"
"1690.0";"0.3541341"
"1700.0";"0.3676053"
"1710.0";"0.3482358"
"1720.0";"0.3619449"
"1730.0";"0.3547137"
"1740.0";"0.3566745"
"1750.0";"0.3474311"
"1760.0";"0.347577"
"1770.0";"0.3465622"
"1780.0";"0.3477401"
"1790.0";"0.3360228"
"1800.0";"0.3353784"
"1810.0";"0.3402808"
"1820.0";"0.3530306"
"1830.0";"0.3542697"
"1840.0";"0.346563"
"1850.0";"0.3515632"
"1860.0";"0.3598706"
"1870.0";"0.3572533"
"1880.0";"0.3481635"
"1890.0";"0.3478339"
"1900.0";"0.3521647"
"1910.0";"0.3402863"
"1920.0";"0.3467859"
"1930.0";"0.3420745"
"1940.0";"0.3525516"
"1950.0";"0.3527958"
"1960.0";"0.3556992"
"1970.0";"0.3601476"
"1980.0";"0.3656442"
"1990.0";"0.3748731"
"2000.0";"0.4043717"
"2010.0";"0.4065462"
"2020.0";"0.4086084"
"2030.0";"0.4052947"
"2040.0";"0.3926089"
"2050.0";"0.3814334"
"2060.0";"0.3818164"
"2070.0";"0.364013"
"2080.0";"0.3645374"
"2090.0";"0.3614968"
"2100.0";"0.3675139"
"2110.0";"0.3578268"
"2120.0";"0.3593448"
