# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_mol7_outer_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL7-outer_dimer_area"
"0.0";"4.644175"
"10.0";"4.571956"
"20.0";"4.369428"
"30.0";"4.45238"
"40.0";"4.351451"
"50.0";"4.616422"
"60.0";"4.553436"
"70.0";"4.625625"
"80.0";"5.15799"
"90.0";"4.978087"
"100.0";"5.276642"
"110.0";"4.848017"
"120.0";"4.732761"
"130.0";"4.957069"
"140.0";"4.844784"
"150.0";"5.033773"
"160.0";"4.869652"
"170.0";"4.80705"
"180.0";"4.664598"
"190.0";"4.60892"
"200.0";"4.573075"
"210.0";"4.774168"
"220.0";"4.696168"
"230.0";"4.770879"
"240.0";"4.586242"
"250.0";"4.582843"
"260.0";"4.758408"
"270.0";"4.926876"
"280.0";"4.873916"
"290.0";"4.859057"
"300.0";"4.916788"
"310.0";"4.712638"
"320.0";"4.877156"
"330.0";"4.792992"
"340.0";"4.881982"
"350.0";"4.924644"
"360.0";"5.108831"
"370.0";"5.072249"
"380.0";"5.006653"
"390.0";"5.225836"
"400.0";"5.226195"
"410.0";"5.25794"
"420.0";"5.172695"
"430.0";"5.428805"
"440.0";"5.16496"
"450.0";"5.048182"
"460.0";"4.819204"
"470.0";"4.327274"
"480.0";"4.402592"
"490.0";"4.210737"
"500.0";"4.474155"
"510.0";"4.591937"
"520.0";"4.433052"
"530.0";"4.601619"
"540.0";"4.584597"
"550.0";"4.444555"
"560.0";"4.404233"
"570.0";"4.235147"
"580.0";"4.29855"
"590.0";"4.375531"
"600.0";"4.605579"
"610.0";"4.427353"
"620.0";"4.286499"
"630.0";"4.255345"
"640.0";"4.382339"
"650.0";"4.388211"
"660.0";"4.366783"
"670.0";"4.225667"
"680.0";"4.305853"
"690.0";"4.392266"
"700.0";"4.485869"
"710.0";"4.24721"
"720.0";"4.689575"
"730.0";"4.645775"
"740.0";"4.766867"
"750.0";"4.44479"
"760.0";"4.47734"
"770.0";"4.497262"
"780.0";"4.221017"
"790.0";"4.355562"
"800.0";"4.207624"
"810.0";"4.454515"
"820.0";"4.358613"
"830.0";"4.613988"
"840.0";"4.43106"
"850.0";"4.192791"
"860.0";"4.332217"
"870.0";"3.985952"
"880.0";"3.799547"
"890.0";"3.736148"
"900.0";"3.666213"
"910.0";"3.70551"
"920.0";"3.746049"
"930.0";"3.968081"
"940.0";"4.077041"
"950.0";"4.054345"
"960.0";"4.237236"
"970.0";"4.032595"
"980.0";"3.876218"
"990.0";"3.760617"
"1000.0";"3.831389"
"1010.0";"3.387085"
"1020.0";"3.323589"
"1030.0";"3.363798"
"1040.0";"3.604569"
"1050.0";"3.865422"
"1060.0";"3.873906"
"1070.0";"3.439047"
"1080.0";"3.504087"
"1090.0";"3.467129"
"1100.0";"3.289557"
"1110.0";"3.252096"
"1120.0";"3.203516"
"1130.0";"3.429738"
"1140.0";"3.277417"
"1150.0";"3.35023"
