# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_pos1_mol9_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_pos1-MOL9"
"0.0";"3.835356"
"10.0";"3.941808"
"20.0";"4.038232"
"30.0";"4.004875"
"40.0";"3.8071"
"50.0";"4.007086"
"60.0";"4.207404"
"70.0";"4.198565"
"80.0";"4.500928"
"90.0";"4.442798"
"100.0";"4.409388"
"110.0";"4.475273"
"120.0";"4.416248"
"130.0";"4.132421"
"140.0";"4.256052"
"150.0";"4.134865"
"160.0";"4.22051"
"170.0";"4.178591"
"180.0";"3.867414"
"190.0";"4.023942"
"200.0";"4.413963"
"210.0";"4.267868"
"220.0";"4.367453"
"230.0";"4.702713"
"240.0";"4.783604"
"250.0";"4.830516"
"260.0";"4.736124"
"270.0";"4.576108"
"280.0";"4.600729"
"290.0";"4.345057"
"300.0";"4.190509"
"310.0";"4.399623"
"320.0";"4.179556"
"330.0";"3.971016"
"340.0";"3.832839"
"350.0";"3.691056"
"360.0";"3.658134"
"370.0";"3.553614"
"380.0";"3.494341"
"390.0";"3.617516"
"400.0";"3.648775"
"410.0";"3.612381"
"420.0";"3.811155"
"430.0";"3.830009"
"440.0";"3.837234"
"450.0";"4.25473"
"460.0";"4.081054"
"470.0";"3.6871"
"480.0";"3.797748"
"490.0";"3.687015"
"500.0";"3.714911"
"510.0";"3.956481"
"520.0";"3.789644"
"530.0";"3.808871"
"540.0";"3.896215"
"550.0";"3.864996"
"560.0";"3.89961"
"570.0";"3.532396"
"580.0";"3.650497"
"590.0";"3.538263"
"600.0";"3.571272"
"610.0";"3.418226"
"620.0";"3.728954"
"630.0";"3.443279"
"640.0";"3.285096"
"650.0";"3.258814"
"660.0";"3.344587"
"670.0";"3.75967"
"680.0";"3.938267"
"690.0";"3.690576"
"700.0";"4.021935"
"710.0";"3.831038"
"720.0";"3.940056"
"730.0";"4.414689"
"740.0";"4.131751"
"750.0";"4.084123"
"760.0";"4.029927"
"770.0";"3.85037"
"780.0";"3.802744"
"790.0";"3.810287"
"800.0";"3.686663"
"810.0";"3.849491"
"820.0";"4.27312"
"830.0";"4.407539"
"840.0";"3.978789"
"850.0";"3.842291"
"860.0";"3.879113"
"870.0";"3.850045"
"880.0";"3.849761"
"890.0";"3.644416"
"900.0";"3.567469"
"910.0";"3.388663"
"920.0";"3.23097"
"930.0";"3.386157"
"940.0";"3.186171"
"950.0";"2.959528"
"960.0";"2.885912"
"970.0";"2.924987"
"980.0";"3.15298"
"990.0";"3.058249"
"1000.0";"3.089281"
"1010.0";"2.937108"
"1020.0";"2.894646"
"1030.0";"3.08902"
"1040.0";"3.162917"
"1050.0";"3.199096"
"1060.0";"2.850837"
"1070.0";"2.756533"
"1080.0";"2.871512"
"1090.0";"2.680726"
"1100.0";"2.453328"
"1110.0";"2.484232"
"1120.0";"2.455399"
"1130.0";"2.276982"
"1140.0";"1.967225"
"1150.0";"2.152581"
"1160.0";"2.182537"
"1170.0";"2.075536"
"1180.0";"1.892793"
"1190.0";"2.040359"
"1200.0";"2.39627"
"1210.0";"1.958504"
"1220.0";"1.94851"
"1230.0";"1.885584"
"1240.0";"1.839089"
"1250.0";"1.839256"
"1260.0";"1.874411"
"1270.0";"1.999443"
"1280.0";"1.895303"
"1290.0";"2.306629"
"1300.0";"2.327787"
"1310.0";"1.998444"
"1320.0";"2.301769"
"1330.0";"2.093101"
"1340.0";"2.189201"
"1350.0";"2.231899"
"1360.0";"2.137775"
"1370.0";"2.536748"
"1380.0";"2.486886"
"1390.0";"2.528707"
"1400.0";"2.812285"
"1410.0";"3.049056"
"1420.0";"2.948614"
"1430.0";"3.106352"
"1440.0";"3.097151"
"1450.0";"3.203572"
"1460.0";"3.405483"
"1470.0";"3.227298"
"1480.0";"3.079533"
"1490.0";"3.143336"
"1500.0";"3.59426"
"1510.0";"3.73526"
"1520.0";"3.601387"
"1530.0";"3.690576"
"1540.0";"3.616535"
"1550.0";"3.70308"
"1560.0";"3.756097"
"1570.0";"3.922167"
"1580.0";"4.520554"
"1590.0";"4.269556"
"1600.0";"4.193296"
"1610.0";"4.499432"
"1620.0";"4.44121"
"1630.0";"4.533622"
"1640.0";"4.814107"
"1650.0";"4.773657"
"1660.0";"4.43879"
"1670.0";"4.313519"
"1680.0";"4.471818"
"1690.0";"4.476217"
"1700.0";"4.718596"
"1710.0";"4.59372"
"1720.0";"4.749719"
"1730.0";"4.558507"
"1740.0";"4.493033"
"1750.0";"4.602396"
"1760.0";"4.331486"
"1770.0";"4.281233"
"1780.0";"4.227361"
"1790.0";"4.383598"
"1800.0";"4.534078"
"1810.0";"4.401439"
"1820.0";"4.305873"
"1830.0";"3.984017"
"1840.0";"3.838747"
