# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_sasa.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CA/2blg_ca_3
# Original file was created by command :
"Solvent Accessible Surface"
"Time (ps)";"Total"
"0.0";"84.661"
"10.0";"86.993"
"20.0";"85.444"
"30.0";"87.855"
"40.0";"87.577"
"50.0";"91.431"
"60.0";"90.079"
"70.0";"88.685"
"80.0";"87.987"
"90.0";"88.167"
"100.0";"86.744"
"110.0";"86.538"
"120.0";"86.237"
"130.0";"89.67"
"140.0";"87.165"
"150.0";"89.287"
"160.0";"85.794"
"170.0";"86.535"
"180.0";"87.2"
"190.0";"88.058"
"200.0";"87.035"
"210.0";"87.548"
"220.0";"87.715"
"230.0";"86.461"
"240.0";"87.093"
"250.0";"87.243"
"260.0";"87.422"
"270.0";"85.23"
"280.0";"88.547"
"290.0";"86.992"
"300.0";"87.553"
"310.0";"87.597"
"320.0";"89.254"
"330.0";"86.418"
"340.0";"86.71"
"350.0";"86.567"
"360.0";"87.535"
"370.0";"87.574"
"380.0";"87.585"
"390.0";"86.228"
"400.0";"84.847"
"410.0";"87.058"
"420.0";"86.63"
"430.0";"87.426"
"440.0";"88.503"
"450.0";"88.713"
"460.0";"88.127"
"470.0";"88.129"
"480.0";"86.339"
"490.0";"87.117"
"500.0";"89.98"
"510.0";"87.672"
"520.0";"87.617"
"530.0";"88.984"
"540.0";"86.192"
"550.0";"86.748"
"560.0";"86.95"
"570.0";"87.292"
"580.0";"88.237"
"590.0";"88.014"
"600.0";"88.2"
"610.0";"88.618"
"620.0";"88.781"
"630.0";"85.377"
"640.0";"87.336"
"650.0";"85.352"
"660.0";"84.63"
"670.0";"85.246"
"680.0";"88.33"
"690.0";"88.493"
"700.0";"85.973"
"710.0";"86.084"
"720.0";"88.883"
"730.0";"85.87"
"740.0";"86.224"
"750.0";"86.779"
"760.0";"85.248"
"770.0";"86.838"
"780.0";"85.786"
"790.0";"86.971"
"800.0";"86.268"
"810.0";"86.442"
"820.0";"86.267"
"830.0";"86.524"
"840.0";"86.658"
"850.0";"84.09"
"860.0";"84.441"
"870.0";"84.426"
"880.0";"86.472"
