# This .csv file was created 12.10.2024 14:30
# extracted out of file mindist_major_allergenic_epitope_r_149-162_MOL.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAB/2blg_cab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_149-162-MOL"
"0.0";"1.576914"
"10.0";"1.842121"
"20.0";"1.638177"
"30.0";"1.684293"
"40.0";"1.760145"
"50.0";"1.578489"
"60.0";"1.492555"
"70.0";"1.447922"
"80.0";"1.455704"
"90.0";"1.576738"
"100.0";"1.808439"
"110.0";"1.804582"
"120.0";"1.790768"
"130.0";"1.918492"
"140.0";"2.175147"
"150.0";"1.857978"
"160.0";"1.876413"
"170.0";"1.913235"
"180.0";"1.79913"
"190.0";"1.779945"
"200.0";"1.730815"
"210.0";"1.505942"
"220.0";"1.523303"
"230.0";"1.550354"
"240.0";"1.762355"
"250.0";"1.770422"
"260.0";"1.768669"
"270.0";"1.92027"
"280.0";"1.922875"
"290.0";"1.987247"
"300.0";"1.898698"
"310.0";"1.79299"
"320.0";"1.810296"
"330.0";"1.939456"
"340.0";"1.843768"
"350.0";"1.883457"
"360.0";"1.895649"
"370.0";"1.860188"
"380.0";"1.702994"
"390.0";"1.611775"
"400.0";"1.383152"
"410.0";"1.689587"
"420.0";"1.677126"
"430.0";"1.571421"
"440.0";"1.756299"
"450.0";"1.781308"
"460.0";"1.665436"
"470.0";"1.784998"
"480.0";"1.69009"
"490.0";"1.965668"
"500.0";"2.040854"
"510.0";"2.017892"
"520.0";"1.933277"
"530.0";"1.885087"
"540.0";"2.076618"
"550.0";"2.126123"
"560.0";"2.015162"
"570.0";"1.760701"
"580.0";"1.832618"
"590.0";"1.830832"
"600.0";"1.935313"
"610.0";"2.135139"
"620.0";"2.026508"
"630.0";"1.981883"
"640.0";"1.896038"
"650.0";"1.689247"
"660.0";"1.603589"
"670.0";"1.842516"
"680.0";"1.892121"
"690.0";"1.816109"
"700.0";"1.431263"
"710.0";"1.32389"
"720.0";"1.526591"
"730.0";"1.620581"
"740.0";"1.566383"
"750.0";"1.71754"
"760.0";"1.92792"
"770.0";"1.756516"
"780.0";"1.888786"
"790.0";"1.944576"
"800.0";"2.075778"
"810.0";"1.914598"
"820.0";"1.941359"
"830.0";"1.629288"
"840.0";"1.578311"
"850.0";"1.833243"
"860.0";"1.997251"
"870.0";"1.923819"
"880.0";"2.092626"
"890.0";"2.079379"
"900.0";"1.944229"
"910.0";"1.935166"
"920.0";"1.907294"
"930.0";"1.926284"
"940.0";"2.046673"
"950.0";"1.693146"
"960.0";"1.724825"
"970.0";"1.88371"
"980.0";"1.893682"
"990.0";"1.946186"
"1000.0";"1.902974"
"1010.0";"1.689988"
"1020.0";"1.483571"
"1030.0";"1.549631"
"1040.0";"2.105732"
"1050.0";"2.265527"
"1060.0";"2.339628"
"1070.0";"2.319411"
"1080.0";"2.19646"
"1090.0";"2.308928"
"1100.0";"2.146919"
"1110.0";"2.316264"
"1120.0";"1.988368"
"1130.0";"1.945158"
"1140.0";"1.910403"
"1150.0";"2.007058"
"1160.0";"1.984745"
"1170.0";"2.225086"
"1180.0";"2.258418"
"1190.0";"2.212234"
"1200.0";"2.266059"
"1210.0";"2.269967"
"1220.0";"2.387364"
"1230.0";"2.218894"
"1240.0";"2.065483"
"1250.0";"2.059605"
"1260.0";"1.995374"
"1270.0";"1.981168"
"1280.0";"2.067684"
"1290.0";"1.988382"
"1300.0";"2.02015"
"1310.0";"1.993785"
"1320.0";"2.090364"
"1330.0";"2.210146"
"1340.0";"2.170885"
"1350.0";"2.247339"
"1360.0";"2.311596"
"1370.0";"2.19521"
"1380.0";"2.28946"
"1390.0";"2.174864"
"1400.0";"2.013544"
"1410.0";"1.975188"
"1420.0";"2.05386"
"1430.0";"1.902402"
"1440.0";"1.82668"
"1450.0";"1.948882"
"1460.0";"1.933742"
"1470.0";"2.01302"
"1480.0";"1.601173"
"1490.0";"1.660691"
"1500.0";"1.426501"
"1510.0";"1.71685"
"1520.0";"1.676635"
"1530.0";"1.533291"
"1540.0";"1.789129"
"1550.0";"1.749299"
"1560.0";"1.648471"
"1570.0";"1.544543"
"1580.0";"1.614839"
"1590.0";"1.846299"
"1600.0";"2.068907"
"1610.0";"1.842999"
"1620.0";"2.143058"
"1630.0";"2.220615"
"1640.0";"2.215076"
"1650.0";"2.478798"
"1660.0";"2.465296"
"1670.0";"2.391751"
"1680.0";"2.375583"
"1690.0";"2.543953"
"1700.0";"2.308093"
"1710.0";"2.341572"
"1720.0";"2.140656"
"1730.0";"2.118667"
"1740.0";"1.88671"
"1750.0";"2.007558"
"1760.0";"1.834775"
"1770.0";"1.63225"
"1780.0";"1.53469"
"1790.0";"1.763335"
"1800.0";"2.076428"
"1810.0";"2.059487"
"1820.0";"2.026071"
"1830.0";"2.094837"
"1840.0";"2.20079"
"1850.0";"1.980008"
"1860.0";"2.086944"
"1870.0";"2.025594"
"1880.0";"2.044035"
"1890.0";"1.948543"
"1900.0";"1.934744"
"1910.0";"1.789005"
"1920.0";"2.022554"
"1930.0";"1.97221"
"1940.0";"2.202815"
"1950.0";"2.184665"
"1960.0";"2.486299"
"1970.0";"2.196059"
"1980.0";"2.16475"
"1990.0";"2.261017"
"2000.0";"2.336279"
"2010.0";"2.274346"
"2020.0";"2.170973"
"2030.0";"2.11263"
"2040.0";"2.03355"
"2050.0";"2.131336"
"2060.0";"2.342396"
"2070.0";"2.36337"
"2080.0";"2.097937"
"2090.0";"2.108679"
"2100.0";"2.172348"
"2110.0";"2.142793"
"2120.0";"2.415855"
"2130.0";"2.273733"
"2140.0";"2.196767"
"2150.0";"1.929403"
"2160.0";"1.91313"
"2170.0";"2.271296"
"2180.0";"2.193049"
"2190.0";"1.96245"
"2200.0";"2.079168"
"2210.0";"1.889655"
"2220.0";"1.656042"
"2230.0";"1.738635"
"2240.0";"1.753325"
"2250.0";"1.668995"
"2260.0";"1.695241"
"2270.0";"1.547017"
"2280.0";"1.594513"
"2290.0";"1.603809"
"2300.0";"1.797381"
"2310.0";"1.54896"
"2320.0";"1.46386"
"2330.0";"1.491338"
"2340.0";"1.407653"
"2350.0";"1.47638"
"2360.0";"1.327618"
"2370.0";"1.353792"
"2380.0";"1.145979"
"2390.0";"1.457858"
