# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_mol5_outer_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAB/2blg_cab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL5-outer_dimer_area"
"0.0";"5.848369"
"10.0";"6.11373"
"20.0";"6.19816"
"30.0";"6.282008"
"40.0";"6.197747"
"50.0";"6.023881"
"60.0";"5.987681"
"70.0";"6.065607"
"80.0";"5.842718"
"90.0";"5.883371"
"100.0";"6.078715"
"110.0";"6.055496"
"120.0";"5.937602"
"130.0";"5.998482"
"140.0";"6.089737"
"150.0";"6.060819"
"160.0";"6.066675"
"170.0";"6.194499"
"180.0";"6.359826"
"190.0";"6.507535"
"200.0";"6.604497"
"210.0";"6.728469"
"220.0";"6.627014"
"230.0";"6.48623"
"240.0";"6.68969"
"250.0";"6.401665"
"260.0";"6.354829"
"270.0";"6.30534"
"280.0";"6.438851"
"290.0";"6.429316"
"300.0";"6.176267"
"310.0";"6.41853"
"320.0";"6.257659"
"330.0";"6.676364"
"340.0";"6.467522"
"350.0";"6.80256"
"360.0";"6.774771"
"370.0";"6.688316"
"380.0";"6.551445"
"390.0";"6.757549"
"400.0";"6.933314"
"410.0";"6.835417"
"420.0";"6.778669"
"430.0";"6.583739"
"440.0";"6.699881"
"450.0";"6.841043"
"460.0";"6.821116"
"470.0";"6.663137"
"480.0";"6.83728"
"490.0";"6.718492"
"500.0";"6.730271"
"510.0";"6.980232"
"520.0";"6.979594"
"530.0";"6.962812"
"540.0";"7.177698"
"550.0";"7.115"
"560.0";"6.905018"
"570.0";"6.820005"
"580.0";"6.709225"
"590.0";"6.959927"
"600.0";"7.095799"
"610.0";"7.124331"
"620.0";"6.851128"
"630.0";"6.812456"
"640.0";"6.839818"
"650.0";"6.921554"
"660.0";"6.812042"
"670.0";"6.735152"
"680.0";"6.993968"
"690.0";"6.725262"
"700.0";"6.85573"
"710.0";"6.914826"
"720.0";"6.446717"
"730.0";"6.591632"
"740.0";"6.365098"
"750.0";"6.242631"
"760.0";"6.205378"
"770.0";"6.358914"
"780.0";"6.399874"
"790.0";"6.235823"
"800.0";"6.222765"
"810.0";"6.365945"
"820.0";"6.301192"
"830.0";"6.388946"
"840.0";"6.295787"
"850.0";"6.069206"
"860.0";"6.33828"
"870.0";"6.351849"
"880.0";"6.466714"
"890.0";"5.982393"
"900.0";"6.016864"
"910.0";"5.900342"
"920.0";"5.846473"
"930.0";"5.568669"
"940.0";"5.874372"
"950.0";"5.979858"
"960.0";"6.110625"
"970.0";"6.079677"
"980.0";"6.019482"
"990.0";"6.338024"
"1000.0";"6.327498"
"1010.0";"6.380102"
"1020.0";"6.591262"
"1030.0";"6.705255"
"1040.0";"6.575552"
"1050.0";"6.674884"
"1060.0";"6.601864"
"1070.0";"6.565917"
"1080.0";"6.508195"
"1090.0";"6.310689"
"1100.0";"6.633737"
"1110.0";"6.52157"
"1120.0";"6.50992"
"1130.0";"6.347957"
"1140.0";"6.166199"
"1150.0";"6.125076"
"1160.0";"6.236654"
"1170.0";"6.337911"
"1180.0";"6.493996"
"1190.0";"6.714908"
"1200.0";"6.781517"
"1210.0";"6.929991"
"1220.0";"6.751819"
"1230.0";"6.576699"
"1240.0";"6.61134"
"1250.0";"6.420492"
"1260.0";"6.381162"
"1270.0";"6.529852"
"1280.0";"6.198185"
"1290.0";"6.235982"
"1300.0";"6.1578"
"1310.0";"5.907154"
"1320.0";"5.669405"
"1330.0";"5.462437"
"1340.0";"5.212211"
"1350.0";"5.091497"
"1360.0";"5.176769"
"1370.0";"5.212179"
"1380.0";"5.484763"
"1390.0";"5.677742"
"1400.0";"5.360114"
"1410.0";"5.377815"
"1420.0";"5.334316"
"1430.0";"5.283956"
"1440.0";"5.561048"
"1450.0";"5.778246"
"1460.0";"5.746412"
"1470.0";"5.679729"
"1480.0";"5.716787"
"1490.0";"5.612712"
"1500.0";"5.495755"
"1510.0";"5.535614"
