# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_neg1_mol3_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAB/2blg_cab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL3"
"0.0";"3.244401"
"10.0";"3.260513"
"20.0";"3.259738"
"30.0";"3.283113"
"40.0";"3.42849"
"50.0";"3.224111"
"60.0";"3.172854"
"70.0";"3.372525"
"80.0";"3.449928"
"90.0";"3.635483"
"100.0";"3.513147"
"110.0";"3.733683"
"120.0";"3.89827"
"130.0";"4.050605"
"140.0";"4.180164"
"150.0";"4.096282"
"160.0";"4.137901"
"170.0";"3.927099"
"180.0";"4.234702"
"190.0";"4.187273"
"200.0";"3.952626"
"210.0";"4.074821"
"220.0";"4.333695"
"230.0";"3.978188"
"240.0";"3.9389"
"250.0";"4.023419"
"260.0";"4.347343"
"270.0";"4.336462"
"280.0";"4.247539"
"290.0";"4.172667"
"300.0";"4.320633"
"310.0";"4.277467"
"320.0";"4.176319"
"330.0";"4.227632"
"340.0";"4.190449"
"350.0";"4.193167"
"360.0";"4.149625"
"370.0";"4.070764"
"380.0";"4.084993"
"390.0";"4.269439"
"400.0";"4.320601"
"410.0";"4.142457"
"420.0";"4.037802"
"430.0";"3.84813"
"440.0";"3.864866"
"450.0";"3.900446"
"460.0";"3.919838"
"470.0";"3.72356"
"480.0";"3.760741"
"490.0";"3.628913"
"500.0";"3.823578"
"510.0";"3.577913"
"520.0";"3.599184"
"530.0";"3.956891"
"540.0";"4.142693"
"550.0";"3.959676"
"560.0";"3.983634"
"570.0";"4.045784"
"580.0";"4.041358"
"590.0";"3.893498"
"600.0";"3.675806"
"610.0";"3.78091"
"620.0";"3.560407"
"630.0";"3.435339"
"640.0";"3.450831"
"650.0";"3.304116"
"660.0";"3.185993"
"670.0";"3.134039"
"680.0";"2.904514"
"690.0";"2.84718"
"700.0";"2.904615"
"710.0";"2.633596"
"720.0";"2.640204"
"730.0";"2.766498"
"740.0";"2.850958"
"750.0";"3.034272"
"760.0";"3.028813"
"770.0";"3.104406"
"780.0";"2.874519"
"790.0";"3.054913"
"800.0";"3.055443"
"810.0";"3.13365"
"820.0";"3.128056"
"830.0";"2.932163"
"840.0";"3.089624"
"850.0";"3.1301"
"860.0";"3.179772"
"870.0";"3.265049"
"880.0";"3.530279"
"890.0";"3.59871"
"900.0";"3.489371"
"910.0";"3.562888"
"920.0";"3.745409"
"930.0";"3.749516"
"940.0";"4.153227"
"950.0";"4.04472"
"960.0";"4.233222"
"970.0";"3.850131"
"980.0";"3.857693"
"990.0";"3.735946"
"1000.0";"3.64132"
"1010.0";"3.482524"
"1020.0";"3.095757"
"1030.0";"3.156761"
"1040.0";"3.447087"
"1050.0";"3.450164"
"1060.0";"3.527167"
"1070.0";"3.402045"
"1080.0";"3.394326"
"1090.0";"3.487246"
"1100.0";"3.346819"
"1110.0";"3.180412"
"1120.0";"3.071133"
"1130.0";"2.924567"
"1140.0";"3.054276"
"1150.0";"3.09671"
"1160.0";"2.822453"
"1170.0";"2.988964"
"1180.0";"2.930012"
"1190.0";"3.095893"
"1200.0";"3.009246"
"1210.0";"3.081053"
"1220.0";"2.964129"
"1230.0";"3.067436"
"1240.0";"2.837132"
"1250.0";"3.044192"
"1260.0";"3.036482"
"1270.0";"3.162495"
"1280.0";"3.287736"
"1290.0";"3.190906"
"1300.0";"2.999372"
"1310.0";"3.161894"
"1320.0";"2.950846"
"1330.0";"2.958695"
"1340.0";"2.810589"
"1350.0";"2.59731"
"1360.0";"2.556962"
"1370.0";"2.210474"
"1380.0";"2.298335"
"1390.0";"2.646018"
"1400.0";"2.502556"
"1410.0";"2.499595"
"1420.0";"2.480604"
"1430.0";"2.525778"
"1440.0";"2.425006"
"1450.0";"2.092741"
"1460.0";"2.396679"
"1470.0";"2.270219"
"1480.0";"2.043049"
"1490.0";"2.315491"
"1500.0";"2.16013"
"1510.0";"2.169338"
"1520.0";"2.394866"
"1530.0";"2.189616"
"1540.0";"2.074389"
"1550.0";"2.07818"
"1560.0";"2.440697"
"1570.0";"2.474243"
"1580.0";"2.531319"
"1590.0";"2.744927"
"1600.0";"2.81745"
"1610.0";"2.968204"
"1620.0";"3.317772"
"1630.0";"3.154058"
"1640.0";"3.068434"
"1650.0";"3.011229"
"1660.0";"3.176434"
"1670.0";"2.959076"
"1680.0";"2.447773"
"1690.0";"2.478284"
"1700.0";"2.295131"
"1710.0";"2.296606"
"1720.0";"2.133275"
"1730.0";"2.39386"
"1740.0";"2.526094"
"1750.0";"2.774467"
"1760.0";"2.583575"
"1770.0";"2.635007"
"1780.0";"2.290198"
"1790.0";"1.989429"
"1800.0";"2.100532"
"1810.0";"2.23774"
"1820.0";"2.332272"
"1830.0";"1.93649"
"1840.0";"1.93292"
"1850.0";"1.85108"
"1860.0";"1.68604"
"1870.0";"1.711915"
"1880.0";"1.964738"
"1890.0";"1.764435"
"1900.0";"1.673367"
"1910.0";"1.695585"
"1920.0";"1.612572"
"1930.0";"1.568134"
"1940.0";"1.752326"
"1950.0";"1.921205"
"1960.0";"1.970899"
"1970.0";"2.175304"
"1980.0";"2.201551"
"1990.0";"2.334902"
"2000.0";"2.194253"
"2010.0";"2.585059"
"2020.0";"2.736421"
"2030.0";"2.675853"
"2040.0";"2.84113"
"2050.0";"2.841547"
"2060.0";"3.112592"
"2070.0";"3.079914"
"2080.0";"3.216271"
"2090.0";"3.240515"
"2100.0";"3.009874"
"2110.0";"3.143807"
"2120.0";"3.182482"
"2130.0";"3.331822"
"2140.0";"3.466109"
"2150.0";"3.479375"
"2160.0";"3.289089"
"2170.0";"3.165704"
"2180.0";"2.922762"
"2190.0";"3.199807"
"2200.0";"3.164096"
"2210.0";"3.467482"
"2220.0";"3.482651"
"2230.0";"3.54802"
"2240.0";"3.23935"
"2250.0";"3.010985"
"2260.0";"2.990368"
"2270.0";"2.909602"
"2280.0";"2.565201"
"2290.0";"2.670729"
"2300.0";"2.744143"
"2310.0";"2.800623"
"2320.0";"2.741467"
"2330.0";"3.146752"
"2340.0";"2.979818"
"2350.0";"2.949964"
"2360.0";"2.947437"
"2370.0";"3.176426"
"2380.0";"3.115519"
"2390.0";"3.07018"
"2400.0";"3.026253"
"2410.0";"2.776159"
"2420.0";"2.943581"
"2430.0";"2.847988"
"2440.0";"2.879513"
"2450.0";"2.72336"
"2460.0";"2.812552"
"2470.0";"2.895294"
"2480.0";"3.134894"
"2490.0";"3.01513"
"2500.0";"3.068988"
"2510.0";"3.248341"
"2520.0";"3.259347"
"2530.0";"3.226581"
"2540.0";"3.076309"
"2550.0";"3.177945"
"2560.0";"3.472397"
"2570.0";"3.466062"
"2580.0";"3.586171"
"2590.0";"3.524772"
"2600.0";"3.474001"
"2610.0";"3.54434"
"2620.0";"3.261671"
"2630.0";"3.395082"
"2640.0";"3.298819"
"2650.0";"2.92211"
"2660.0";"2.814522"
"2670.0";"2.805714"
"2680.0";"2.856267"
"2690.0";"3.022653"
"2700.0";"3.163073"
"2710.0";"3.13967"
"2720.0";"3.260547"
"2730.0";"3.117627"
"2740.0";"3.023655"
"2750.0";"3.005104"
"2760.0";"2.907867"
"2770.0";"3.332156"
"2780.0";"3.495642"
"2790.0";"3.265971"
"2800.0";"3.221296"
"2810.0";"3.355489"
"2820.0";"3.826525"
"2830.0";"3.873601"
"2840.0";"4.03518"
"2850.0";"4.160853"
"2860.0";"4.505605"
"2870.0";"4.646989"
"2880.0";"4.484869"
"2890.0";"4.576925"
"2900.0";"4.578324"
"2910.0";"4.625981"
"2920.0";"4.878602"
"2930.0";"4.933072"
"2940.0";"4.757948"
"2950.0";"4.634377"
"2960.0";"4.918597"
"2970.0";"4.940497"
"2980.0";"4.969399"
"2990.0";"5.025293"
"3000.0";"4.948844"
"3010.0";"4.933601"
"3020.0";"4.747327"
"3030.0";"4.769215"
"3040.0";"5.069684"
"3050.0";"4.834058"
"3060.0";"4.664642"
"3070.0";"4.543417"
"3080.0";"4.839284"
"3090.0";"4.943855"
"3100.0";"4.67853"
"3110.0";"4.637888"
"3120.0";"4.712096"
"3130.0";"4.994995"
"3140.0";"4.874859"
"3150.0";"5.033683"
"3160.0";"4.925042"
"3170.0";"4.959185"
"3180.0";"5.04714"
"3190.0";"4.74567"
"3200.0";"4.493321"
"3210.0";"4.312927"
"3220.0";"4.64579"
"3230.0";"4.56872"
"3240.0";"4.663145"
"3250.0";"4.847933"
"3260.0";"4.933522"
"3270.0";"4.756192"
"3280.0";"4.825305"
"3290.0";"5.003879"
"3300.0";"5.049525"
"3310.0";"5.096441"
"3320.0";"5.136092"
"3330.0";"5.111952"
"3340.0";"4.680797"
"3350.0";"4.967496"
"3360.0";"4.858375"
"3370.0";"5.141019"
"3380.0";"5.28136"
"3390.0";"5.006442"
"3400.0";"4.675222"
"3410.0";"4.45569"
"3420.0";"4.460019"
"3430.0";"4.794981"
"3440.0";"4.777993"
