# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_pos1_mol9_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAB/2blg_cab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_pos1-MOL9"
"0.0";"4.568391"
"10.0";"4.402553"
"20.0";"4.354264"
"30.0";"4.381446"
"40.0";"4.423001"
"50.0";"4.710703"
"60.0";"4.569914"
"70.0";"4.462514"
"80.0";"4.436211"
"90.0";"4.48192"
"100.0";"4.171503"
"110.0";"3.908922"
"120.0";"4.09066"
"130.0";"4.100661"
"140.0";"4.003749"
"150.0";"3.842746"
"160.0";"3.287892"
"170.0";"3.042701"
"180.0";"3.128591"
"190.0";"2.985476"
"200.0";"3.224617"
"210.0";"3.125073"
"220.0";"3.078799"
"230.0";"3.453525"
"240.0";"3.851792"
"250.0";"3.447304"
"260.0";"3.513387"
"270.0";"3.270757"
"280.0";"3.094874"
"290.0";"3.175655"
"300.0";"3.108228"
"310.0";"2.942405"
"320.0";"3.129875"
"330.0";"3.124621"
"340.0";"2.964331"
"350.0";"2.852077"
"360.0";"2.712291"
"370.0";"2.720517"
"380.0";"2.750778"
"390.0";"2.454132"
"400.0";"2.477856"
"410.0";"2.327744"
"420.0";"2.278153"
"430.0";"2.356966"
"440.0";"2.564955"
"450.0";"2.67151"
"460.0";"2.983357"
"470.0";"3.156942"
"480.0";"3.154512"
"490.0";"3.151169"
"500.0";"3.224901"
"510.0";"3.274152"
"520.0";"3.159161"
"530.0";"3.406801"
"540.0";"3.602088"
"550.0";"3.330674"
"560.0";"3.55392"
"570.0";"3.553115"
"580.0";"3.67524"
"590.0";"3.537182"
"600.0";"3.56165"
"610.0";"3.299144"
"620.0";"3.32505"
"630.0";"3.538348"
"640.0";"3.505949"
"650.0";"3.499512"
"660.0";"3.690947"
"670.0";"3.977711"
"680.0";"4.078879"
"690.0";"3.976311"
"700.0";"4.151301"
"710.0";"4.719918"
"720.0";"4.834909"
"730.0";"4.74825"
"740.0";"4.637253"
"750.0";"4.496063"
"760.0";"4.692642"
"770.0";"4.648962"
"780.0";"4.474789"
"790.0";"4.381361"
"800.0";"4.231194"
"810.0";"4.256743"
"820.0";"4.306951"
"830.0";"4.104784"
"840.0";"3.988562"
"850.0";"3.703438"
"860.0";"3.465592"
"870.0";"3.566782"
"880.0";"3.586522"
"890.0";"3.687284"
"900.0";"3.854081"
"910.0";"4.011232"
"920.0";"4.148746"
"930.0";"4.114445"
"940.0";"4.182411"
"950.0";"3.82943"
"960.0";"3.997821"
"970.0";"3.957656"
"980.0";"3.913041"
"990.0";"3.98955"
"1000.0";"4.010567"
"1010.0";"4.262669"
"1020.0";"4.17409"
"1030.0";"4.263527"
"1040.0";"4.432281"
"1050.0";"4.762435"
"1060.0";"4.704185"
"1070.0";"4.813859"
"1080.0";"5.039182"
"1090.0";"5.078057"
"1100.0";"5.022494"
"1110.0";"5.117761"
"1120.0";"4.86463"
"1130.0";"4.831281"
"1140.0";"5.073788"
"1150.0";"5.083204"
"1160.0";"5.091868"
"1170.0";"5.336377"
"1180.0";"5.381493"
"1190.0";"5.557327"
