# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_sasa.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAB/2blg_cab_1
# Original file was created by command :
"Solvent Accessible Surface"
"Time (ps)";"Total"
"0.0";"87.557"
"10.0";"86.654"
"20.0";"88.87"
"30.0";"86.259"
"40.0";"85.169"
"50.0";"87.707"
"60.0";"87.089"
"70.0";"87.689"
"80.0";"85.51"
"90.0";"86.318"
"100.0";"87.737"
"110.0";"85.839"
"120.0";"85.297"
"130.0";"86.206"
"140.0";"86.228"
"150.0";"85.528"
"160.0";"87.491"
"170.0";"86.793"
"180.0";"86.281"
"190.0";"85.209"
"200.0";"85.828"
"210.0";"84.669"
"220.0";"86.811"
"230.0";"83.571"
"240.0";"84.631"
"250.0";"84.91"
"260.0";"85.728"
"270.0";"86.614"
"280.0";"86.387"
"290.0";"85.72"
"300.0";"84.304"
"310.0";"86.818"
"320.0";"85.163"
"330.0";"83.294"
"340.0";"85.354"
"350.0";"86.047"
"360.0";"86.093"
"370.0";"84.607"
"380.0";"85.452"
"390.0";"85.731"
"400.0";"87.173"
"410.0";"85.818"
"420.0";"86.263"
"430.0";"86.434"
"440.0";"86.372"
"450.0";"87.986"
"460.0";"88.098"
"470.0";"85.987"
"480.0";"84.678"
"490.0";"85.661"
"500.0";"86.098"
"510.0";"85.606"
"520.0";"85.245"
"530.0";"85.805"
"540.0";"84.164"
"550.0";"84.99"
"560.0";"82.803"
"570.0";"83.352"
"580.0";"85.534"
"590.0";"84.166"
"600.0";"83.204"
"610.0";"84.952"
"620.0";"86.286"
"630.0";"84.618"
"640.0";"86.694"
"650.0";"85.971"
"660.0";"88.218"
"670.0";"83.84"
"680.0";"84.95"
"690.0";"85.117"
"700.0";"86.983"
"710.0";"85.786"
"720.0";"85.783"
"730.0";"85.66"
"740.0";"85.401"
"750.0";"87.256"
"760.0";"86.269"
"770.0";"86.57"
"780.0";"87.045"
"790.0";"86.575"
"800.0";"86.553"
"810.0";"85.718"
"820.0";"86.978"
"830.0";"86.135"
"840.0";"85.862"
"850.0";"85.493"
"860.0";"87.982"
"870.0";"87.168"
"880.0";"87.483"
"890.0";"86.178"
"900.0";"85.35"
"910.0";"86.934"
"920.0";"86.23"
"930.0";"87.021"
"940.0";"87.702"
"950.0";"88.255"
"960.0";"87.653"
"970.0";"88.098"
"980.0";"87.869"
"990.0";"87.318"
"1000.0";"85.039"
"1010.0";"86.727"
"1020.0";"88.608"
"1030.0";"84.943"
"1040.0";"87.603"
"1050.0";"87.102"
"1060.0";"86.727"
"1070.0";"86.999"
"1080.0";"87.096"
"1090.0";"85.576"
"1100.0";"85.972"
"1110.0";"85.525"
"1120.0";"85.486"
"1130.0";"85.266"
"1140.0";"84.694"
"1150.0";"86.364"
"1160.0";"86.543"
"1170.0";"87.534"
"1180.0";"87.596"
"1190.0";"86.761"
"1200.0";"87.77"
"1210.0";"87.544"
"1220.0";"87.719"
"1230.0";"87.337"
"1240.0";"86.337"
"1250.0";"86.837"
"1260.0";"85.566"
"1270.0";"88.161"
"1280.0";"87.011"
"1290.0";"87.489"
"1300.0";"85.867"
"1310.0";"87.677"
"1320.0";"84.476"
"1330.0";"87.457"
"1340.0";"86.108"
"1350.0";"87.102"
"1360.0";"85.387"
"1370.0";"86.786"
"1380.0";"86.23"
