# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_mol5_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAB/2blg_cab_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL5"
"0.0";"3.065387"
"10.0";"2.980856"
"20.0";"3.038706"
"30.0";"3.005165"
"40.0";"2.861623"
"50.0";"2.889594"
"60.0";"2.784692"
"70.0";"2.785569"
"80.0";"2.800843"
"90.0";"2.867458"
"100.0";"2.747036"
"110.0";"2.755721"
"120.0";"2.649758"
"130.0";"2.709995"
"140.0";"2.739005"
"150.0";"2.629441"
"160.0";"2.402356"
"170.0";"2.590584"
"180.0";"2.879523"
"190.0";"2.927206"
"200.0";"3.013938"
"210.0";"3.097142"
"220.0";"3.241137"
"230.0";"3.209773"
"240.0";"3.129045"
"250.0";"3.063076"
"260.0";"2.721924"
"270.0";"2.671551"
"280.0";"2.454268"
"290.0";"2.60902"
"300.0";"2.608902"
"310.0";"2.734195"
"320.0";"2.709543"
"330.0";"2.806968"
"340.0";"2.787"
"350.0";"2.804132"
"360.0";"2.473546"
"370.0";"2.118285"
"380.0";"2.193908"
"390.0";"2.563913"
"400.0";"2.823996"
"410.0";"2.743139"
"420.0";"2.823628"
"430.0";"2.639694"
"440.0";"2.697194"
"450.0";"2.826064"
"460.0";"3.143698"
"470.0";"3.136374"
"480.0";"3.137786"
"490.0";"3.034285"
"500.0";"3.274271"
"510.0";"3.48412"
"520.0";"3.611689"
"530.0";"3.744209"
"540.0";"3.642008"
"550.0";"3.607692"
"560.0";"3.794854"
"570.0";"3.820954"
"580.0";"3.846073"
"590.0";"3.735485"
"600.0";"3.823474"
"610.0";"3.636575"
"620.0";"3.777967"
"630.0";"3.73886"
"640.0";"3.852869"
"650.0";"3.856431"
"660.0";"3.615092"
"670.0";"3.664184"
"680.0";"3.812564"
"690.0";"3.943724"
"700.0";"3.894456"
"710.0";"3.798468"
"720.0";"3.873467"
"730.0";"3.830674"
"740.0";"3.933952"
"750.0";"3.746105"
"760.0";"3.637634"
"770.0";"3.492065"
"780.0";"3.656666"
"790.0";"3.451407"
"800.0";"3.388341"
"810.0";"3.148841"
"820.0";"2.984426"
"830.0";"2.812648"
"840.0";"3.003689"
"850.0";"3.029697"
"860.0";"2.834017"
"870.0";"2.983339"
"880.0";"2.932597"
"890.0";"2.882324"
"900.0";"3.035769"
"910.0";"2.973906"
"920.0";"3.281858"
"930.0";"2.886717"
"940.0";"2.807723"
"950.0";"2.634785"
"960.0";"2.831256"
"970.0";"2.794736"
"980.0";"2.731081"
"990.0";"2.755374"
"1000.0";"2.733665"
"1010.0";"2.713962"
"1020.0";"2.888923"
"1030.0";"2.836413"
"1040.0";"2.662894"
"1050.0";"2.498701"
"1060.0";"2.657422"
"1070.0";"2.847913"
"1080.0";"2.722339"
"1090.0";"2.813941"
"1100.0";"2.918527"
"1110.0";"2.97625"
"1120.0";"3.048706"
"1130.0";"3.263506"
"1140.0";"3.238275"
"1150.0";"2.984893"
"1160.0";"2.632617"
"1170.0";"2.660326"
"1180.0";"2.999682"
"1190.0";"3.2669"
"1200.0";"3.283003"
"1210.0";"3.227445"
"1220.0";"3.753417"
"1230.0";"3.688724"
"1240.0";"3.755759"
"1250.0";"3.882968"
"1260.0";"3.87512"
"1270.0";"3.895705"
"1280.0";"4.080729"
"1290.0";"3.881839"
"1300.0";"3.819482"
"1310.0";"3.857344"
"1320.0";"3.676321"
"1330.0";"3.740083"
"1340.0";"3.586939"
"1350.0";"3.628777"
"1360.0";"3.643333"
"1370.0";"3.531688"
"1380.0";"3.73371"
"1390.0";"3.591933"
"1400.0";"3.40531"
"1410.0";"3.504126"
"1420.0";"3.431328"
"1430.0";"3.448571"
"1440.0";"3.351311"
"1450.0";"3.55942"
"1460.0";"3.259772"
"1470.0";"3.23982"
"1480.0";"3.260006"
"1490.0";"3.350945"
"1500.0";"2.940533"
"1510.0";"3.398266"
"1520.0";"3.245828"
"1530.0";"3.399131"
"1540.0";"3.346543"
"1550.0";"3.273787"
"1560.0";"3.272113"
"1570.0";"3.084384"
"1580.0";"2.826803"
"1590.0";"2.68994"
"1600.0";"2.683563"
"1610.0";"2.775436"
"1620.0";"2.694918"
"1630.0";"2.75825"
"1640.0";"2.784071"
"1650.0";"2.927615"
"1660.0";"3.027764"
"1670.0";"3.086336"
"1680.0";"2.832806"
"1690.0";"2.665834"
"1700.0";"2.83793"
"1710.0";"3.069152"
"1720.0";"3.009222"
"1730.0";"2.984392"
"1740.0";"3.24938"
"1750.0";"3.232356"
"1760.0";"3.707696"
"1770.0";"3.548988"
"1780.0";"3.454202"
"1790.0";"3.777898"
"1800.0";"3.793611"
"1810.0";"3.857404"
"1820.0";"3.744083"
