Time (ps);Coul-SR:Protein-MOL;LJ-SR:Protein-MOL
0.0;1.459812293517153e-06;-6.173051202030247e-08
10.0;0.0;0.0
20.0;0.0;0.0
30.0;0.0;0.0
40.0;0.0;0.0
50.0;0.0;0.0
60.0;0.0;0.0
70.0;0.0;0.0
80.0;0.0;0.0
90.0;0.0;0.0
100.0;-1.386461610159618e-07;-4.660375160200396e-09
110.0;0.0;0.0
120.0;-2.4965987185599495e-06;-4.2675907299091825e-06
130.0;2.352727231396974e-07;-1.2138708614164099e-06
140.0;5.801579683831947e-05;-4.031431776392632e-05
150.0;0.0025946465163934423;-0.0007248602831594635
160.0;0.021338208504358254;-0.004241746990730065
170.0;0.010423062418800371;-0.005416948158708624
180.0;0.002197196636435471;-0.00048494179806819125
190.0;0.001947944553512999;-0.0003622892498066512
200.0;0.0001769726118597764;-7.072017263940863e-05
210.0;0.00026883042998395666;-0.00010363193646386838
220.0;-5.6343015907357e-05;-0.0004407920656790517
230.0;8.469432984418154e-05;-0.00042585154625115085
240.0;-0.010234184117408205;-0.0049279807413423055
250.0;-0.007723876537104063;-0.004042172290537958
260.0;-0.004657234166848032;-0.0032630806061786236
270.0;-0.006702103259355557;-0.0028686391494103444
280.0;0.0013851595154320258;-0.007505999244338442
290.0;-0.00859422725140713;-0.006354477016885553
300.0;-0.010201458667277308;-0.0028077307075795735
310.0;-0.004338846900568576;-0.0028581079831738548
320.0;-0.0038722524861494237;-0.0015312617353207074
330.0;-0.007835448164146868;-0.002846593576861677
340.0;-0.009758451482126791;-0.0029080204525525834
350.0;-0.004318202533737913;-0.008691985548484597
360.0;-0.02955759248022165;-0.012845844543924529
370.0;-0.011108088787679595;-0.012287247628885344
380.0;-0.001628165680473373;-0.007841422461772805
390.0;-0.009425091065172503;-0.002673541217141134
400.0;-0.013121019383279933;-0.0031656179698684303
410.0;-0.011996755518439942;-0.004406298244030154
420.0;-0.008036065065662597;-0.005634697860225917
430.0;-0.021726473534619328;-0.006044154785201752
440.0;-0.001967445961253255;-0.00476333539640092
450.0;0.0004188499738630424;-0.008354921298716384
460.0;0.0040336897914157385;-0.009118371849567184
470.0;-0.0049706386002516196;-0.008456464051069382
480.0;0.002538206909522634;-0.009024795758836735
490.0;0.003838706033077102;-0.01189118099231307
500.0;0.00018544699990726145;-0.008514368682184921
510.0;0.006499632529908307;-0.009889539429658239
520.0;0.006658722566448549;-0.008676849846545834
530.0;0.008044977235753327;-0.008427653000316008
540.0;-0.006639266027069504;-0.010169733292674345
550.0;0.0063452342822908625;-0.004403713261979101
560.0;-0.00012394710782314907;-0.0008243968078289743
570.0;0.005178532677409716;-0.0014218270844348405
580.0;0.0048494926285341045;-0.0013708617150321918
590.0;0.012240231641027463;-0.001964717376629836
600.0;0.0018989105832323556;-0.0005934257756235854
610.0;0.0008677561425134938;-0.0003253623275129553
620.0;0.00017616743257670706;-0.0003939272617555587
630.0;0.0021867373697523843;-0.0005061671810818964
640.0;-0.00025928396863453675;-0.0009504314488573845
650.0;-0.0008472557258684974;-0.002115941291353495
660.0;-0.00010220175531104629;-0.001399842982857009
670.0;-0.00013504619404969764;-0.0012098597412208178
680.0;-0.0007203774192435516;-0.0006406386917972836
690.0;-0.0008750771399845143;-0.0012743086292773687
700.0;-0.00033719769673704416;-0.0022142209038562206
710.0;-0.002395607867357119;-0.0029021390564872443
720.0;-0.0026485166425470334;-0.004682768078054246
730.0;-0.0032522510869174666;-0.004905298647790833
740.0;7.108901879791369e-05;-0.0029353613143370556
750.0;-0.0009504645143398582;-0.001087377227242264
760.0;-0.0007070167603018265;-0.0026431289814531867
770.0;-0.006719426160139169;-0.009140655413982793
780.0;-0.005829768243766273;-0.006969189087753044
790.0;-0.08125910442924435;0.000984663726953925
800.0;-0.06859128680967166;-0.008806304685294948
810.0;-0.096768657509655;0.002970673548204226
820.0;-0.09682283413324658;0.004918211293302809
830.0;-0.10438628607217981;0.01216114603767342
840.0;-0.13486927053350095;0.020712274868710127
850.0;-0.09194938664820265;-0.002629195083953609
860.0;-0.09596111394992335;0.00816679170344219
870.0;-0.009363442494534146;-0.00835018648209421
880.0;-8.009392303918132e-05;-0.002433010910960024
890.0;0.004645225223125859;-0.002043721016941253
900.0;0.0004502775418058254;-0.0007572457612325881
910.0;0.0003486515003942303;-0.0001915368025601781
920.0;0.0008820470191542171;-0.0003710696389266145
930.0;0.0029416149353933873;-0.001543409435784246
940.0;0.001003489379639821;-0.0008729409147326761
950.0;0.006413435292744148;-0.002086439787519701
960.0;0.004012964252685901;-0.0020777661068423397
970.0;0.004589767989005101;-0.001312509026532181
980.0;1.3599094948740976e-06;-0.0002745151094575524
990.0;-5.775724603695713e-06;-2.052809304943251e-05
1000.0;-0.0002471665018599614;-0.0001946790978010077
1010.0;-3.632556403257041e-05;-7.237931919460583e-05
1020.0;-0.0009422977448536555;-0.0005666900724408711
1030.0;-4.0505278417526914e-05;-0.0006048481943486444
1040.0;0.00011790521592821086;-0.00019568260422508883
1050.0;-8.248170134286208e-05;-0.0002289539507809348
1060.0;-1.4034222942046334e-05;-1.7825035795601248e-05
1070.0;-6.286349345279911e-05;-6.203199318215844e-05
