# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_mol9_inner_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAB/2blg_cab_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL9-inner_dimer_area"
"0.0";"4.953015"
"10.0";"4.759263"
"20.0";"4.666772"
"30.0";"4.664445"
"40.0";"4.845041"
"50.0";"4.760899"
"60.0";"5.049897"
"70.0";"4.713973"
"80.0";"4.675825"
"90.0";"4.5224"
"100.0";"4.578085"
"110.0";"4.526428"
"120.0";"4.399863"
"130.0";"4.514924"
"140.0";"4.266508"
"150.0";"4.100519"
"160.0";"4.476658"
"170.0";"4.706614"
"180.0";"4.605971"
"190.0";"4.701276"
"200.0";"4.818522"
"210.0";"4.697217"
"220.0";"4.811977"
"230.0";"4.78573"
"240.0";"4.923246"
"250.0";"4.783861"
"260.0";"4.798885"
"270.0";"4.909784"
"280.0";"4.67338"
"290.0";"4.883838"
"300.0";"4.284275"
"310.0";"4.472146"
"320.0";"4.665184"
"330.0";"4.529818"
"340.0";"4.196569"
"350.0";"4.659169"
"360.0";"4.670488"
"370.0";"4.86714"
"380.0";"4.514371"
"390.0";"4.570167"
"400.0";"4.636266"
"410.0";"4.714047"
"420.0";"4.83897"
"430.0";"4.626009"
"440.0";"4.624737"
"450.0";"4.796972"
"460.0";"4.743471"
"470.0";"4.632715"
"480.0";"4.334995"
"490.0";"4.448295"
"500.0";"4.592618"
"510.0";"4.81223"
"520.0";"4.87433"
"530.0";"5.329374"
"540.0";"5.204776"
"550.0";"5.37628"
"560.0";"5.351766"
"570.0";"5.242049"
"580.0";"5.480629"
"590.0";"5.520116"
"600.0";"5.447264"
"610.0";"5.116592"
"620.0";"5.387857"
"630.0";"5.329857"
"640.0";"5.112528"
"650.0";"5.025946"
"660.0";"5.345506"
"670.0";"5.381667"
"680.0";"5.431084"
"690.0";"5.55434"
"700.0";"5.581781"
"710.0";"5.773674"
"720.0";"5.736729"
"730.0";"5.310101"
"740.0";"5.164433"
"750.0";"5.196831"
"760.0";"5.368169"
"770.0";"5.332629"
"780.0";"5.369293"
"790.0";"5.48953"
"800.0";"5.556489"
"810.0";"5.31366"
"820.0";"5.504851"
"830.0";"5.317687"
"840.0";"5.273851"
"850.0";"5.297809"
"860.0";"5.382448"
"870.0";"5.201804"
"880.0";"4.686772"
"890.0";"4.335135"
"900.0";"4.290185"
"910.0";"4.437431"
"920.0";"4.448928"
"930.0";"4.555077"
"940.0";"4.572604"
"950.0";"4.680793"
"960.0";"4.559189"
"970.0";"4.593551"
"980.0";"4.401838"
"990.0";"4.530468"
"1000.0";"4.362401"
"1010.0";"4.697657"
"1020.0";"4.550039"
"1030.0";"4.568295"
"1040.0";"4.653277"
"1050.0";"4.710002"
"1060.0";"5.087084"
"1070.0";"5.127236"
"1080.0";"5.219408"
"1090.0";"5.100646"
"1100.0";"5.087945"
"1110.0";"5.150975"
"1120.0";"5.260608"
"1130.0";"5.138435"
"1140.0";"4.86351"
"1150.0";"4.864727"
"1160.0";"4.988334"
"1170.0";"5.09263"
"1180.0";"5.004809"
"1190.0";"4.970506"
"1200.0";"4.973196"
"1210.0";"4.937854"
"1220.0";"4.87308"
"1230.0";"4.842411"
"1240.0";"4.506803"
"1250.0";"4.765325"
"1260.0";"5.022141"
"1270.0";"5.079248"
"1280.0";"4.770148"
"1290.0";"4.715321"
"1300.0";"4.732077"
"1310.0";"4.713303"
"1320.0";"4.436872"
"1330.0";"4.123007"
"1340.0";"4.145552"
"1350.0";"3.919857"
"1360.0";"3.809293"
"1370.0";"3.936519"
"1380.0";"3.92395"
"1390.0";"3.577569"
"1400.0";"3.45709"
"1410.0";"3.51186"
"1420.0";"3.407363"
