# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mol7_rms.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAB/2blg_cab_3
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"9.17e-05"
"10.0";"0.085533"
"20.0";"0.093234"
"30.0";"0.1038819"
"40.0";"0.109351"
"50.0";"0.1079604"
"60.0";"0.1033483"
"70.0";"0.1025328"
"80.0";"0.1001674"
"90.0";"0.1344501"
"100.0";"0.1376756"
"110.0";"0.1382952"
"120.0";"0.1497051"
"130.0";"0.1463638"
"140.0";"0.1472542"
"150.0";"0.153512"
"160.0";"0.1304486"
"170.0";"0.1239314"
"180.0";"0.1210246"
"190.0";"0.131132"
"200.0";"0.1460103"
"210.0";"0.1480257"
"220.0";"0.1391155"
"230.0";"0.1310613"
"240.0";"0.1343609"
"250.0";"0.1507249"
"260.0";"0.1615645"
"270.0";"0.1685895"
"280.0";"0.1705383"
"290.0";"0.1671025"
"300.0";"0.1663845"
"310.0";"0.1538178"
"320.0";"0.1435693"
"330.0";"0.1733061"
"340.0";"0.1696753"
"350.0";"0.1675987"
"360.0";"0.1743028"
"370.0";"0.1510246"
"380.0";"0.1437971"
"390.0";"0.1199422"
"400.0";"0.1188344"
"410.0";"0.1294424"
"420.0";"0.1475416"
"430.0";"0.1659388"
"440.0";"0.1712487"
"450.0";"0.1688756"
"460.0";"0.1912011"
"470.0";"0.2009101"
"480.0";"0.1941606"
"490.0";"0.1898459"
"500.0";"0.2100193"
"510.0";"0.2152686"
"520.0";"0.211325"
"530.0";"0.195635"
"540.0";"0.2295385"
"550.0";"0.225706"
"560.0";"0.2029466"
"570.0";"0.1845256"
"580.0";"0.1793775"
"590.0";"0.1744976"
"600.0";"0.1623297"
"610.0";"0.1500426"
"620.0";"0.1578453"
"630.0";"0.1912001"
"640.0";"0.2047909"
"650.0";"0.2186158"
"660.0";"0.212593"
"670.0";"0.232591"
"680.0";"0.2340462"
"690.0";"0.2354918"
"700.0";"0.2485952"
"710.0";"0.2477633"
"720.0";"0.2378611"
"730.0";"0.2464758"
"740.0";"0.2576127"
"750.0";"0.2255157"
"760.0";"0.2174975"
"770.0";"0.205457"
"780.0";"0.2158639"
"790.0";"0.2451026"
"800.0";"0.2415283"
"810.0";"0.2265261"
"820.0";"0.2104192"
"830.0";"0.1890216"
"840.0";"0.1943999"
"850.0";"0.2129468"
"860.0";"0.2026206"
"870.0";"0.2020128"
"880.0";"0.177684"
"890.0";"0.1847755"
"900.0";"0.1830832"
"910.0";"0.1804106"
"920.0";"0.1764417"
"930.0";"0.2043092"
"940.0";"0.1934553"
"950.0";"0.2119922"
"960.0";"0.2057549"
"970.0";"0.1928443"
"980.0";"0.1884165"
"990.0";"0.2136825"
"1000.0";"0.218902"
"1010.0";"0.2054954"
"1020.0";"0.2185834"
"1030.0";"0.2253764"
"1040.0";"0.23728"
"1050.0";"0.2525332"
"1060.0";"0.2400526"
"1070.0";"0.2450671"
"1080.0";"0.2087053"
"1090.0";"0.2598163"
"1100.0";"0.2362721"
"1110.0";"0.2785631"
"1120.0";"0.256681"
"1130.0";"0.2560532"
"1140.0";"0.2650158"
"1150.0";"0.239269"
"1160.0";"0.2128293"
"1170.0";"0.2272907"
"1180.0";"0.2582443"
"1190.0";"0.2482792"
"1200.0";"0.2609065"
"1210.0";"0.2678822"
"1220.0";"0.2515392"
"1230.0";"0.2554704"
"1240.0";"0.2924457"
"1250.0";"0.2977494"
"1260.0";"0.2922508"
"1270.0";"0.2786414"
"1280.0";"0.2778962"
"1290.0";"0.2894539"
"1300.0";"0.2953592"
"1310.0";"0.3099164"
"1320.0";"0.3097657"
"1330.0";"0.3013216"
"1340.0";"0.3009995"
"1350.0";"0.2845018"
"1360.0";"0.2887537"
"1370.0";"0.2985835"
"1380.0";"0.2852387"
"1390.0";"0.2554318"
"1400.0";"0.2652248"
"1410.0";"0.2932205"
"1420.0";"0.3062829"
"1430.0";"0.3004209"
"1440.0";"0.3048798"
"1450.0";"0.2621284"
"1460.0";"0.2471362"
"1470.0";"0.2118087"
"1480.0";"0.1951593"
"1490.0";"0.1991076"
"1500.0";"0.1904183"
"1510.0";"0.1742788"
"1520.0";"0.1886187"
"1530.0";"0.2019122"
"1540.0";"0.2063232"
"1550.0";"0.2283467"
"1560.0";"0.2228141"
"1570.0";"0.2038491"
"1580.0";"0.1954997"
"1590.0";"0.2000831"
"1600.0";"0.2074342"
"1610.0";"0.2002134"
"1620.0";"0.1857398"
"1630.0";"0.2100288"
"1640.0";"0.2057782"
"1650.0";"0.2208375"
"1660.0";"0.2198113"
"1670.0";"0.2278778"
"1680.0";"0.2248959"
"1690.0";"0.2415811"
"1700.0";"0.2622799"
"1710.0";"0.2849462"
"1720.0";"0.2840355"
"1730.0";"0.3063129"
"1740.0";"0.3300808"
"1750.0";"0.3388454"
"1760.0";"0.3370716"
"1770.0";"0.3174545"
"1780.0";"0.2976082"
"1790.0";"0.2913072"
"1800.0";"0.3052308"
"1810.0";"0.2882115"
"1820.0";"0.2796535"
"1830.0";"0.2869474"
"1840.0";"0.2749576"
"1850.0";"0.2734906"
"1860.0";"0.2597724"
"1870.0";"0.2383474"
"1880.0";"0.2327142"
"1890.0";"0.2368463"
"1900.0";"0.2367186"
"1910.0";"0.2301672"
"1920.0";"0.2119687"
"1930.0";"0.206274"
"1940.0";"0.1972704"
"1950.0";"0.192431"
"1960.0";"0.1865986"
"1970.0";"0.1692162"
"1980.0";"0.1580753"
"1990.0";"0.1630759"
"2000.0";"0.1594031"
"2010.0";"0.1653749"
"2020.0";"0.1505485"
"2030.0";"0.1679067"
"2040.0";"0.1621583"
"2050.0";"0.1673469"
"2060.0";"0.1607959"
"2070.0";"0.1605304"
"2080.0";"0.1678407"
"2090.0";"0.1719407"
"2100.0";"0.185406"
"2110.0";"0.1649845"
"2120.0";"0.1555583"
"2130.0";"0.1549724"
"2140.0";"0.1548072"
"2150.0";"0.1558235"
"2160.0";"0.1625411"
"2170.0";"0.1673964"
"2180.0";"0.1789901"
"2190.0";"0.1634273"
"2200.0";"0.1713113"
"2210.0";"0.1762608"
"2220.0";"0.1549298"
"2230.0";"0.1565776"
"2240.0";"0.1641658"
"2250.0";"0.171753"
"2260.0";"0.1640599"
"2270.0";"0.1621039"
"2280.0";"0.1570578"
"2290.0";"0.1524472"
"2300.0";"0.1570995"
"2310.0";"0.1667616"
"2320.0";"0.1582332"
"2330.0";"0.1656755"
"2340.0";"0.1657159"
"2350.0";"0.1726336"
"2360.0";"0.1736695"
"2370.0";"0.1861263"
"2380.0";"0.1857842"
"2390.0";"0.20215"
"2400.0";"0.1970595"
"2410.0";"0.2066128"
"2420.0";"0.2198794"
"2430.0";"0.2187832"
"2440.0";"0.225606"
"2450.0";"0.2416433"
"2460.0";"0.2545652"
"2470.0";"0.2592537"
"2480.0";"0.262722"
"2490.0";"0.2531917"
"2500.0";"0.2941581"
"2510.0";"0.2777292"
"2520.0";"0.3042586"
"2530.0";"0.2994865"
"2540.0";"0.277272"
"2550.0";"0.2479691"
"2560.0";"0.2381482"
"2570.0";"0.2464058"
"2580.0";"0.240757"
"2590.0";"0.2360265"
"2600.0";"0.2511663"
"2610.0";"0.2683201"
"2620.0";"0.2872671"
"2630.0";"0.2635647"
"2640.0";"0.2720454"
"2650.0";"0.2535295"
"2660.0";"0.2627577"
"2670.0";"0.2609147"
"2680.0";"0.2518288"
"2690.0";"0.2553717"
"2700.0";"0.2204606"
"2710.0";"0.2081952"
"2720.0";"0.1950818"
"2730.0";"0.1781846"
"2740.0";"0.1804128"
"2750.0";"0.1835777"
"2760.0";"0.1717245"
"2770.0";"0.1727128"
"2780.0";"0.1713162"
"2790.0";"0.1805634"
"2800.0";"0.1854151"
"2810.0";"0.1995309"
"2820.0";"0.2060917"
"2830.0";"0.2207855"
"2840.0";"0.2247752"
"2850.0";"0.232639"
"2860.0";"0.2537102"
"2870.0";"0.2379308"
"2880.0";"0.2233083"
"2890.0";"0.2420782"
"2900.0";"0.256421"
"2910.0";"0.2932302"
"2920.0";"0.3216953"
"2930.0";"0.325059"
"2940.0";"0.3394778"
"2950.0";"0.3365753"
"2960.0";"0.3169462"
"2970.0";"0.2967864"
"2980.0";"0.3198004"
"2990.0";"0.3160761"
"3000.0";"0.3112393"
"3010.0";"0.3183182"
"3020.0";"0.3296671"
"3030.0";"0.3476392"
"3040.0";"0.3504239"
"3050.0";"0.3643185"
"3060.0";"0.3551874"
"3070.0";"0.3509244"
"3080.0";"0.3565659"
"3090.0";"0.3566788"
"3100.0";"0.357086"
"3110.0";"0.3618156"
"3120.0";"0.3496271"
"3130.0";"0.3220449"
"3140.0";"0.2968419"
"3150.0";"0.3179983"
"3160.0";"0.3342432"
"3170.0";"0.3395307"
"3180.0";"0.3419819"
"3190.0";"0.3669529"
"3200.0";"0.3525701"
"3210.0";"0.3607256"
"3220.0";"0.3365263"
"3230.0";"0.3182508"
"3240.0";"0.3107643"
"3250.0";"0.3007152"
"3260.0";"0.2820966"
"3270.0";"0.2931352"
"3280.0";"0.3113028"
"3290.0";"0.3191969"
"3300.0";"0.3175203"
"3310.0";"0.3211859"
"3320.0";"0.3100198"
"3330.0";"0.3072211"
"3340.0";"0.2805932"
"3350.0";"0.3160927"
"3360.0";"0.3105879"
"3370.0";"0.315484"
"3380.0";"0.3268872"
"3390.0";"0.3368632"
"3400.0";"0.3316431"
"3410.0";"0.341257"
"3420.0";"0.3364253"
"3430.0";"0.334594"
"3440.0";"0.3340749"
"3450.0";"0.3398666"
"3460.0";"0.3275464"
"3470.0";"0.3136258"
"3480.0";"0.2929973"
"3490.0";"0.3030689"
"3500.0";"0.2944532"
"3510.0";"0.276168"
"3520.0";"0.2913983"
"3530.0";"0.3049864"
"3540.0";"0.2969644"
"3550.0";"0.3050869"
"3560.0";"0.3071553"
"3570.0";"0.3421464"
"3580.0";"0.3201436"
"3590.0";"0.3086561"
"3600.0";"0.2686239"
"3610.0";"0.253184"
"3620.0";"0.2614826"
"3630.0";"0.2566915"
"3640.0";"0.2395973"
"3650.0";"0.2373866"
"3660.0";"0.2510668"
"3670.0";"0.2420663"
"3680.0";"0.2321715"
"3690.0";"0.2202447"
"3700.0";"0.209418"
"3710.0";"0.2086118"
"3720.0";"0.1920502"
"3730.0";"0.188337"
"3740.0";"0.1947493"
"3750.0";"0.2257968"
"3760.0";"0.2099455"
"3770.0";"0.2026472"
"3780.0";"0.222566"
"3790.0";"0.1990369"
"3800.0";"0.1910325"
"3810.0";"0.1996513"
"3820.0";"0.2089737"
"3830.0";"0.2326396"
"3840.0";"0.2534553"
"3850.0";"0.271981"
"3860.0";"0.2791788"
"3870.0";"0.2615706"
"3880.0";"0.271059"
"3890.0";"0.2997874"
"3900.0";"0.3049689"
"3910.0";"0.3239134"
"3920.0";"0.3390586"
"3930.0";"0.3401795"
"3940.0";"0.3703201"
"3950.0";"0.398985"
"3960.0";"0.3822525"
"3970.0";"0.3814089"
"3980.0";"0.3801325"
"3990.0";"0.3806364"
"4000.0";"0.3752351"
"4010.0";"0.3830663"
"4020.0";"0.379013"
"4030.0";"0.3620083"
"4040.0";"0.3781524"
"4050.0";"0.3959265"
"4060.0";"0.4174123"
"4070.0";"0.4213946"
"4080.0";"0.4255835"
"4090.0";"0.3898892"
"4100.0";"0.3667312"
"4110.0";"0.3695653"
"4120.0";"0.3707266"
"4130.0";"0.3441638"
"4140.0";"0.3453973"
"4150.0";"0.3640575"
"4160.0";"0.3755807"
"4170.0";"0.3826572"
"4180.0";"0.3800561"
"4190.0";"0.3359196"
"4200.0";"0.3168025"
"4210.0";"0.3532305"
"4220.0";"0.3519172"
"4230.0";"0.3719022"
"4240.0";"0.3658198"
"4250.0";"0.395659"
"4260.0";"0.390572"
"4270.0";"0.386336"
"4280.0";"0.4151832"
"4290.0";"0.4452804"
"4300.0";"0.4325585"
"4310.0";"0.4308712"
"4320.0";"0.4137325"
"4330.0";"0.4057721"
"4340.0";"0.4234807"
"4350.0";"0.4258154"
"4360.0";"0.4308"
"4370.0";"0.448579"
"4380.0";"0.4123847"
"4390.0";"0.4089485"
"4400.0";"0.3996224"
"4410.0";"0.3852731"
"4420.0";"0.365586"
"4430.0";"0.3700228"
"4440.0";"0.4133343"
"4450.0";"0.4325187"
"4460.0";"0.4452529"
"4470.0";"0.4522245"
"4480.0";"0.4612201"
"4490.0";"0.4863098"
"4500.0";"0.4867836"
"4510.0";"0.4832303"
"4520.0";"0.488961"
"4530.0";"0.4819476"
"4540.0";"0.462193"
"4550.0";"0.454738"
"4560.0";"0.4587477"
"4570.0";"0.4406181"
"4580.0";"0.444255"
"4590.0";"0.4919405"
"4600.0";"0.4751202"
"4610.0";"0.4475223"
"4620.0";"0.4187134"
"4630.0";"0.4163842"
"4640.0";"0.4574466"
"4650.0";"0.4667147"
"4660.0";"0.4682351"
"4670.0";"0.4749398"
"4680.0";"0.4716399"
"4690.0";"0.4291039"
"4700.0";"0.4235353"
"4710.0";"0.4112745"
"4720.0";"0.422289"
"4730.0";"0.3910251"
"4740.0";"0.4089797"
"4750.0";"0.4390683"
"4760.0";"0.4481598"
"4770.0";"0.436929"
"4780.0";"0.438733"
"4790.0";"0.4296896"
"4800.0";"0.4189702"
"4810.0";"0.4226901"
"4820.0";"0.4330668"
"4830.0";"0.4308288"
"4840.0";"0.4261701"
"4850.0";"0.4506058"
"4860.0";"0.4661778"
"4870.0";"0.453616"
"4880.0";"0.4303693"
"4890.0";"0.4171467"
"4900.0";"0.44732"
"4910.0";"0.4622605"
"4920.0";"0.4187634"
"4930.0";"0.3905985"
"4940.0";"0.4036576"
"4950.0";"0.3984151"
"4960.0";"0.4178106"
"4970.0";"0.4407963"
"4980.0";"0.4196"
"4990.0";"0.4289392"
"5000.0";"0.4042624"
"5010.0";"0.4285764"
"5020.0";"0.4426132"
"5030.0";"0.4537209"
"5040.0";"0.4489125"
"5050.0";"0.4685788"
"5060.0";"0.4829121"
"5070.0";"0.4725576"
"5080.0";"0.4784242"
"5090.0";"0.4492903"
"5100.0";"0.4165546"
"5110.0";"0.3746763"
"5120.0";"0.4199351"
"5130.0";"0.4499477"
"5140.0";"0.4602372"
"5150.0";"0.4793404"
"5160.0";"0.4883546"
"5170.0";"0.4727211"
"5180.0";"0.4931344"
"5190.0";"0.4851906"
"5200.0";"0.4803856"
"5210.0";"0.4824214"
"5220.0";"0.4570077"
"5230.0";"0.4667111"
"5240.0";"0.4696035"
"5250.0";"0.4412138"
"5260.0";"0.4818253"
"5270.0";"0.4705741"
"5280.0";"0.4707381"
"5290.0";"0.4826434"
"5300.0";"0.4728809"
"5310.0";"0.4305646"
"5320.0";"0.4090301"
"5330.0";"0.4051141"
"5340.0";"0.4031752"
"5350.0";"0.3905781"
"5360.0";"0.4146226"
"5370.0";"0.4189811"
"5380.0";"0.4482867"
"5390.0";"0.4376701"
"5400.0";"0.4460827"
"5410.0";"0.4524829"
"5420.0";"0.4384919"
"5430.0";"0.4537134"
"5440.0";"0.4861628"
"5450.0";"0.5136414"
"5460.0";"0.5207687"
"5470.0";"0.5276228"
"5480.0";"0.5450123"
"5490.0";"0.534449"
"5500.0";"0.5633773"
"5510.0";"0.5929233"
"5520.0";"0.6012056"
"5530.0";"0.6308404"
"5540.0";"0.6499069"
"5550.0";"0.6541284"
"5560.0";"0.66804"
"5570.0";"0.6731238"
"5580.0";"0.6455197"
"5590.0";"0.6477464"
"5600.0";"0.6343967"
"5610.0";"0.6259821"
"5620.0";"0.6186857"
"5630.0";"0.6247386"
"5640.0";"0.5964354"
"5650.0";"0.604688"
"5660.0";"0.6080943"
"5670.0";"0.5859804"
"5680.0";"0.5886064"
"5690.0";"0.5737726"
"5700.0";"0.5968618"
"5710.0";"0.5918843"
"5720.0";"0.614819"
"5730.0";"0.6095768"
"5740.0";"0.6017643"
"5750.0";"0.6122242"
"5760.0";"0.6151152"
"5770.0";"0.5925171"
"5780.0";"0.5447121"
"5790.0";"0.545279"
"5800.0";"0.5741161"
"5810.0";"0.5675483"
"5820.0";"0.5959161"
"5830.0";"0.6507847"
"5840.0";"0.727159"
"5850.0";"0.7470381"
"5860.0";"0.7603399"
"5870.0";"0.765136"
"5880.0";"0.7892468"
"5890.0";"0.7769156"
"5900.0";"0.8042738"
"5910.0";"0.7891946"
"5920.0";"0.7887611"
"5930.0";"0.7837275"
"5940.0";"0.7623389"
"5950.0";"0.729244"
"5960.0";"0.7320489"
"5970.0";"0.7189926"
"5980.0";"0.7237462"
"5990.0";"0.7441525"
"6000.0";"0.7549717"
"6010.0";"0.7703047"
"6020.0";"0.7459845"
"6030.0";"0.7069474"
"6040.0";"0.6962513"
"6050.0";"0.7082397"
"6060.0";"0.7560475"
"6070.0";"0.7528229"
"6080.0";"0.763817"
"6090.0";"0.7531837"
"6100.0";"0.7451029"
"6110.0";"0.7219907"
"6120.0";"0.7490765"
"6130.0";"0.7756066"
"6140.0";"0.7829841"
"6150.0";"0.7916772"
"6160.0";"0.7427907"
"6170.0";"0.7232409"
"6180.0";"0.7186206"
"6190.0";"0.7261313"
"6200.0";"0.7080114"
"6210.0";"0.7014221"
"6220.0";"0.7093369"
"6230.0";"0.6859599"
"6240.0";"0.6849182"
"6250.0";"0.671761"
"6260.0";"0.6935873"
"6270.0";"0.6659984"
"6280.0";"0.7000069"
"6290.0";"0.6871086"
"6300.0";"0.6894536"
"6310.0";"0.6847893"
"6320.0";"0.6776397"
"6330.0";"0.6591221"
"6340.0";"0.6574476"
"6350.0";"0.6550586"
"6360.0";"0.6376717"
"6370.0";"0.6120587"
"6380.0";"0.6041365"
"6390.0";"0.6147345"
"6400.0";"0.5933878"
"6410.0";"0.595144"
"6420.0";"0.5979618"
"6430.0";"0.5906254"
"6440.0";"0.562035"
"6450.0";"0.5359728"
"6460.0";"0.528479"
"6470.0";"0.4865427"
"6480.0";"0.4557234"
"6490.0";"0.4478576"
"6500.0";"0.4628004"
"6510.0";"0.4588175"
"6520.0";"0.4558024"
"6530.0";"0.4697858"
"6540.0";"0.4271783"
"6550.0";"0.4195606"
"6560.0";"0.4411056"
"6570.0";"0.4324985"
"6580.0";"0.4487975"
"6590.0";"0.4084501"
"6600.0";"0.4076104"
"6610.0";"0.3978137"
"6620.0";"0.3981717"
"6630.0";"0.385557"
"6640.0";"0.3615185"
"6650.0";"0.3481906"
"6660.0";"0.3780065"
"6670.0";"0.3964357"
"6680.0";"0.375765"
"6690.0";"0.3754874"
"6700.0";"0.3516881"
"6710.0";"0.3720461"
"6720.0";"0.3745439"
"6730.0";"0.3497744"
"6740.0";"0.3415077"
"6750.0";"0.3136086"
"6760.0";"0.3491008"
"6770.0";"0.3868145"
"6780.0";"0.3965761"
"6790.0";"0.4217246"
"6800.0";"0.3847633"
"6810.0";"0.3701686"
"6820.0";"0.3726291"
"6830.0";"0.3760012"
"6840.0";"0.3931502"
"6850.0";"0.3947465"
"6860.0";"0.3631707"
"6870.0";"0.3556543"
"6880.0";"0.3529746"
"6890.0";"0.3174131"
"6900.0";"0.3164983"
"6910.0";"0.3068159"
"6920.0";"0.3239757"
"6930.0";"0.3165917"
"6940.0";"0.3329802"
"6950.0";"0.3449469"
"6960.0";"0.3742212"
"6970.0";"0.3795103"
"6980.0";"0.3525345"
"6990.0";"0.3464474"
"7000.0";"0.3262798"
"7010.0";"0.3238885"
"7020.0";"0.2959531"
"7030.0";"0.318209"
"7040.0";"0.3257643"
"7050.0";"0.2946022"
"7060.0";"0.2839184"
"7070.0";"0.3168114"
"7080.0";"0.3485546"
"7090.0";"0.3502451"
"7100.0";"0.3701565"
"7110.0";"0.3462557"
"7120.0";"0.3240511"
"7130.0";"0.3547103"
"7140.0";"0.3479802"
"7150.0";"0.3467169"
"7160.0";"0.3612239"
"7170.0";"0.3634939"
"7180.0";"0.3595209"
"7190.0";"0.3484448"
"7200.0";"0.3687888"
"7210.0";"0.374597"
"7220.0";"0.3458797"
"7230.0";"0.3232034"
"7240.0";"0.3099642"
"7250.0";"0.3094702"
"7260.0";"0.3197588"
"7270.0";"0.3552289"
"7280.0";"0.3801942"
"7290.0";"0.38105"
"7300.0";"0.3933693"
"7310.0";"0.3781551"
"7320.0";"0.375676"
"7330.0";"0.3936996"
"7340.0";"0.4012535"
"7350.0";"0.4076285"
"7360.0";"0.4200971"
"7370.0";"0.4431314"
"7380.0";"0.4672149"
"7390.0";"0.4480658"
"7400.0";"0.460581"
"7410.0";"0.4574809"
"7420.0";"0.4924732"
"7430.0";"0.4602636"
"7440.0";"0.4549523"
"7450.0";"0.4824366"
"7460.0";"0.5257154"
"7470.0";"0.544822"
"7480.0";"0.5391764"
"7490.0";"0.5405219"
"7500.0";"0.5687077"
"7510.0";"0.5590613"
"7520.0";"0.5548499"
"7530.0";"0.5611438"
"7540.0";"0.532405"
"7550.0";"0.5106719"
"7560.0";"0.4994287"
"7570.0";"0.4963216"
"7580.0";"0.4905012"
"7590.0";"0.4949681"
"7600.0";"0.4993466"
"7610.0";"0.4934025"
"7620.0";"0.4993619"
"7630.0";"0.5066105"
"7640.0";"0.4748365"
"7650.0";"0.4851403"
"7660.0";"0.4929613"
"7670.0";"0.484827"
"7680.0";"0.4750119"
"7690.0";"0.5074092"
"7700.0";"0.5396089"
"7710.0";"0.5307406"
"7720.0";"0.5178443"
"7730.0";"0.5192295"
"7740.0";"0.5236158"
"7750.0";"0.5152037"
"7760.0";"0.5269956"
"7770.0";"0.5266273"
"7780.0";"0.5205491"
"7790.0";"0.5276595"
"7800.0";"0.5062777"
"7810.0";"0.4968195"
"7820.0";"0.5314296"
"7830.0";"0.4784023"
"7840.0";"0.4787349"
"7850.0";"0.4962679"
"7860.0";"0.5189781"
"7870.0";"0.553699"
"7880.0";"0.5383102"
"7890.0";"0.5175683"
"7900.0";"0.521316"
"7910.0";"0.5541771"
"7920.0";"0.5498832"
"7930.0";"0.6155667"
"7940.0";"0.6025393"
"7950.0";"0.6100752"
"7960.0";"0.6301662"
"7970.0";"0.66401"
"7980.0";"0.6452481"
"7990.0";"0.6457428"
"8000.0";"0.6450617"
"8010.0";"0.6565239"
"8020.0";"0.6639844"
"8030.0";"0.6495323"
