# This .csv file was created 12.10.2024 14:29
# extracted out of file ie_prod_mol.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_1
# Original file was created by command :
"GROMACS Energies"
"Time (ps)";"Coul-SR:Protein-MOL";"LJ-SR:Protein-MOL"
"0.0";"0.0";"0.0"
"10.0";"0.0";"0.0"
"20.0";"-0.000328";"-1e-05"
"30.0";"-5.1e-05";"-2e-06"
"40.0";"0.017291";"-0.009764"
"50.0";"0.042643";"-0.014933"
"60.0";"0.002287";"-0.008338"
"70.0";"0.013736";"-0.003125"
"80.0";"0.017208";"-0.006177"
"90.0";"0.564397";"-0.072369"
"100.0";"-0.001257";"-0.011806"
"110.0";"-0.021633";"-0.02761"
"120.0";"-0.00284";"-0.002699"
"130.0";"0.0";"0.0"
"140.0";"-0.000693";"-0.000428"
"150.0";"-0.005912";"-0.005876"
"160.0";"-0.330834";"-0.218442"
"170.0";"-1.598055";"-1.114892"
"180.0";"0.581878";"-0.673436"
"190.0";"0.895328";"-0.647108"
"200.0";"1.617799";"-1.286041"
"210.0";"1.837832";"-2.434713"
"220.0";"0.16422";"-0.45047"
"230.0";"-0.256544";"-0.305231"
"240.0";"-0.191475";"-0.380542"
"250.0";"0.002736";"-0.026956"
"260.0";"0.212557";"-0.197578"
"270.0";"1.167931";"-0.288193"
"280.0";"2.036925";"-0.555227"
"290.0";"2.237769";"-0.286698"
"300.0";"0.13648";"-0.072838"
"310.0";"1.861158";"-0.172996"
"320.0";"5.596963";"-0.337693"
"330.0";"8.567589";"-0.541445"
"340.0";"3.47735";"-0.249743"
"350.0";"2.526002";"-0.141805"
"360.0";"1.5198";"-0.099253"
"370.0";"4.422709";"-0.233605"
"380.0";"2.663272";"-0.238354"
"390.0";"-0.421586";"-0.100208"
"400.0";"-0.313714";"-0.241808"
"410.0";"-5.226553";"-1.158983"
"420.0";"-10.808802";"-1.821119"
"430.0";"0.947934";"-0.668718"
"440.0";"4.075308";"-0.356021"
"450.0";"9.761267";"-0.626001"
"460.0";"6.774203";"-0.494671"
"470.0";"4.949089";"-0.34042"
"480.0";"10.004194";"-0.751811"
"490.0";"5.34704";"-0.33927"
"500.0";"-0.00364";"-0.064039"
"510.0";"0.279936";"-0.063021"
"520.0";"0.119227";"-0.204402"
"530.0";"0.205017";"-0.035703"
