# This .csv file was created 12.10.2024 14:29
# extracted out of file mindist_major_allergenic_epitope_r_41-60_MOL.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_41-60-MOL"
"0.0";"1.614165"
"10.0";"1.48816"
"20.0";"1.228715"
"30.0";"1.283525"
"40.0";"1.277896"
"50.0";"1.014468"
"60.0";"1.076549"
"70.0";"1.07346"
"80.0";"1.056877"
"90.0";"0.7894935"
"100.0";"0.9093762"
"110.0";"0.8152508"
"120.0";"0.9720753"
"130.0";"1.215308"
"140.0";"1.03621"
"150.0";"0.9130227"
"160.0";"0.6179329"
"170.0";"0.4500377"
"180.0";"0.5373882"
"190.0";"0.5792892"
"200.0";"0.5021764"
"210.0";"0.4408467"
"220.0";"0.6176293"
"230.0";"0.6748474"
"240.0";"0.6032936"
"250.0";"0.8490362"
"260.0";"0.7352096"
"270.0";"0.6145535"
"280.0";"0.6067867"
"290.0";"0.6468207"
"300.0";"0.860986"
"310.0";"0.6661509"
"320.0";"0.579618"
"330.0";"0.527182"
"340.0";"0.612831"
"350.0";"0.6524922"
"360.0";"0.6918873"
"370.0";"0.5942602"
"380.0";"0.6442717"
"390.0";"0.6422009"
"400.0";"0.6042264"
"410.0";"0.4269237"
"420.0";"0.3767759"
"430.0";"0.5415514"
"440.0";"0.6115562"
"450.0";"0.5342605"
"460.0";"0.5622546"
"470.0";"0.6162094"
"480.0";"0.5554745"
"490.0";"0.600947"
"500.0";"0.7993806"
"510.0";"0.8197079"
"520.0";"0.6332123"
"530.0";"0.8582464"
"540.0";"0.9110219"
"550.0";"0.8348246"
"560.0";"0.8511229"
"570.0";"0.9107683"
"580.0";"0.8308117"
"590.0";"0.5966012"
"600.0";"0.3091877"
"610.0";"0.3119714"
"620.0";"0.3398659"
"630.0";"0.3298365"
"640.0";"0.2240109"
"650.0";"0.2607222"
"660.0";"0.2235843"
"670.0";"0.4684081"
"680.0";"0.5023711"
"690.0";"0.5238801"
"700.0";"0.7237417"
"710.0";"0.6425766"
"720.0";"0.6806623"
"730.0";"0.7127565"
"740.0";"0.8706286"
"750.0";"0.8434151"
"760.0";"0.629429"
"770.0";"0.4364333"
"780.0";"0.4680492"
"790.0";"0.5537682"
"800.0";"0.5663996"
"810.0";"0.4961623"
"820.0";"0.6326777"
"830.0";"0.5872385"
"840.0";"0.7007642"
"850.0";"0.829697"
"860.0";"0.9926463"
"870.0";"1.177076"
"880.0";"0.9248254"
"890.0";"1.176723"
"900.0";"1.242463"
"910.0";"1.47367"
"920.0";"1.59292"
"930.0";"1.43676"
"940.0";"1.400363"
"950.0";"1.038474"
"960.0";"0.983488"
"970.0";"1.10904"
"980.0";"1.152261"
"990.0";"1.194143"
"1000.0";"1.118655"
"1010.0";"1.074638"
"1020.0";"1.031443"
"1030.0";"0.9563977"
"1040.0";"1.082565"
"1050.0";"0.8996192"
"1060.0";"0.8334241"
"1070.0";"0.7237166"
"1080.0";"0.7550954"
"1090.0";"1.021993"
"1100.0";"0.964457"
"1110.0";"0.8802482"
"1120.0";"0.9254146"
"1130.0";"0.8818488"
"1140.0";"0.7541757"
"1150.0";"0.8246338"
"1160.0";"0.7286879"
"1170.0";"0.6977323"
"1180.0";"0.6207497"
"1190.0";"0.8404085"
"1200.0";"0.6481365"
"1210.0";"0.5642243"
"1220.0";"0.497339"
"1230.0";"0.5857729"
"1240.0";"0.6943946"
"1250.0";"0.7369396"
"1260.0";"0.6305949"
"1270.0";"0.6112329"
"1280.0";"0.6628258"
"1290.0";"0.5531402"
"1300.0";"0.6087534"
"1310.0";"0.7202076"
"1320.0";"0.7235833"
"1330.0";"0.6248472"
"1340.0";"0.6708678"
"1350.0";"0.7338023"
"1360.0";"0.8574163"
"1370.0";"0.9346048"
"1380.0";"1.089026"
"1390.0";"1.11271"
"1400.0";"1.14752"
"1410.0";"0.9406919"
"1420.0";"0.7541106"
"1430.0";"0.8612089"
"1440.0";"0.6724658"
"1450.0";"0.7351794"
"1460.0";"0.8718981"
"1470.0";"1.053294"
"1480.0";"0.7710531"
"1490.0";"0.8139955"
"1500.0";"0.9446598"
"1510.0";"0.9286105"
"1520.0";"1.009046"
"1530.0";"1.386513"
"1540.0";"1.331532"
"1550.0";"1.264417"
"1560.0";"1.243777"
"1570.0";"1.142829"
"1580.0";"1.06498"
"1590.0";"0.8289772"
"1600.0";"0.8491412"
"1610.0";"0.8149802"
"1620.0";"0.7767385"
