# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_mol8_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL8"
"0.0";"1.614165"
"10.0";"1.48816"
"20.0";"1.228715"
"30.0";"1.283525"
"40.0";"1.306947"
"50.0";"1.014468"
"60.0";"1.076549"
"70.0";"1.07346"
"80.0";"1.056877"
"90.0";"0.7894935"
"100.0";"0.9093762"
"110.0";"0.8152508"
"120.0";"0.9720753"
"130.0";"1.215308"
"140.0";"1.03621"
"150.0";"0.9130227"
"160.0";"0.6179329"
"170.0";"0.4500377"
"180.0";"0.5373882"
"190.0";"0.5792892"
"200.0";"0.5021764"
"210.0";"0.4408467"
"220.0";"0.6176293"
"230.0";"0.6748474"
"240.0";"0.6032936"
"250.0";"0.8490362"
"260.0";"0.7352096"
"270.0";"0.6145535"
"280.0";"0.6067867"
"290.0";"0.6468207"
"300.0";"0.860986"
"310.0";"0.6661509"
"320.0";"0.579618"
"330.0";"0.527182"
"340.0";"0.612831"
"350.0";"0.6524922"
"360.0";"0.6918873"
"370.0";"0.5942602"
"380.0";"0.6442717"
"390.0";"0.8346671"
"400.0";"0.6849219"
"410.0";"0.5557824"
"420.0";"0.5732828"
"430.0";"0.61072"
"440.0";"0.6115562"
"450.0";"0.5342605"
"460.0";"0.5622546"
"470.0";"0.6162094"
"480.0";"0.5554745"
"490.0";"0.600947"
"500.0";"0.7993806"
"510.0";"0.8197079"
"520.0";"0.6332123"
"530.0";"0.8582464"
"540.0";"0.9110219"
"550.0";"0.8348246"
"560.0";"0.8511229"
"570.0";"0.9107683"
"580.0";"0.8984638"
"590.0";"1.080348"
"600.0";"1.404982"
"610.0";"1.454155"
"620.0";"1.370631"
"630.0";"1.523979"
"640.0";"1.652497"
"650.0";"1.358494"
"660.0";"1.449311"
"670.0";"1.487595"
"680.0";"1.524031"
"690.0";"1.380919"
"700.0";"1.548998"
"710.0";"1.49623"
"720.0";"1.540988"
"730.0";"1.569212"
"740.0";"1.71181"
"750.0";"1.891092"
"760.0";"1.803587"
"770.0";"1.801208"
"780.0";"1.854752"
"790.0";"1.810319"
"800.0";"2.014514"
"810.0";"2.006587"
"820.0";"2.009645"
"830.0";"2.03913"
"840.0";"2.030548"
"850.0";"1.992057"
"860.0";"1.970824"
"870.0";"1.966919"
"880.0";"1.894248"
"890.0";"1.900098"
"900.0";"2.020715"
"910.0";"2.215387"
"920.0";"2.153346"
"930.0";"2.049134"
"940.0";"2.007582"
"950.0";"2.028686"
"960.0";"2.243618"
"970.0";"2.25603"
"980.0";"2.103811"
"990.0";"2.268443"
"1000.0";"2.170827"
"1010.0";"2.197668"
"1020.0";"2.080108"
"1030.0";"2.308877"
"1040.0";"2.038821"
"1050.0";"1.975932"
"1060.0";"2.238893"
"1070.0";"2.263365"
"1080.0";"2.512134"
"1090.0";"2.597548"
"1100.0";"2.61936"
"1110.0";"2.449156"
"1120.0";"2.307195"
"1130.0";"2.306346"
"1140.0";"2.433483"
"1150.0";"2.397286"
"1160.0";"2.334415"
"1170.0";"2.214726"
"1180.0";"2.436288"
"1190.0";"2.47538"
"1200.0";"2.538437"
"1210.0";"2.275958"
"1220.0";"2.204164"
"1230.0";"2.18022"
"1240.0";"2.113817"
"1250.0";"2.358036"
"1260.0";"2.543222"
"1270.0";"2.645694"
"1280.0";"2.700005"
"1290.0";"2.8558"
"1300.0";"2.808381"
"1310.0";"2.960629"
"1320.0";"3.050561"
"1330.0";"3.270618"
"1340.0";"3.298109"
"1350.0";"3.052263"
"1360.0";"3.006738"
"1370.0";"2.869384"
"1380.0";"2.585615"
"1390.0";"2.547335"
"1400.0";"2.530555"
"1410.0";"2.680414"
"1420.0";"2.455756"
"1430.0";"2.332348"
"1440.0";"2.544161"
"1450.0";"2.810251"
"1460.0";"2.98077"
"1470.0";"3.052575"
"1480.0";"2.940474"
"1490.0";"2.790607"
"1500.0";"2.587795"
"1510.0";"2.675472"
"1520.0";"2.841679"
"1530.0";"2.862699"
"1540.0";"2.925195"
"1550.0";"2.826302"
"1560.0";"2.753865"
"1570.0";"2.914639"
"1580.0";"2.971177"
"1590.0";"3.186067"
"1600.0";"3.245481"
"1610.0";"3.274489"
"1620.0";"3.235875"
"1630.0";"3.220787"
"1640.0";"3.044523"
"1650.0";"2.84685"
"1660.0";"2.845595"
"1670.0";"2.833736"
"1680.0";"2.845026"
"1690.0";"2.93869"
