# This .csv file was created 12.10.2024 14:29
# extracted out of file mindist_major_allergenic_epitope_r_102-124_MOL5.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_102-124-MOL5"
"0.0";"4.636085"
"10.0";"4.539519"
"20.0";"4.393978"
"30.0";"4.134215"
"40.0";"4.091199"
"50.0";"4.208854"
"60.0";"4.074264"
"70.0";"4.303478"
"80.0";"4.555205"
"90.0";"4.510372"
"100.0";"4.632837"
"110.0";"4.637657"
"120.0";"4.565747"
"130.0";"4.265352"
"140.0";"4.189703"
"150.0";"3.967997"
"160.0";"3.72839"
"170.0";"3.614789"
"180.0";"3.571829"
"190.0";"3.553046"
"200.0";"3.203974"
"210.0";"3.211373"
"220.0";"2.991489"
"230.0";"3.173309"
"240.0";"3.090544"
"250.0";"3.06216"
"260.0";"3.06956"
"270.0";"2.895636"
"280.0";"2.948034"
"290.0";"3.086691"
"300.0";"3.04186"
"310.0";"3.013481"
"320.0";"2.912199"
"330.0";"2.911211"
"340.0";"2.901062"
"350.0";"2.959233"
"360.0";"3.158427"
"370.0";"3.255667"
"380.0";"3.594809"
"390.0";"3.630442"
"400.0";"3.779599"
"410.0";"3.801418"
"420.0";"3.718262"
"430.0";"3.685144"
"440.0";"3.673501"
"450.0";"3.767348"
"460.0";"3.867116"
"470.0";"3.830081"
"480.0";"3.672125"
"490.0";"3.708143"
"500.0";"3.834099"
"510.0";"3.828235"
"520.0";"3.765254"
"530.0";"3.745655"
"540.0";"3.597043"
"550.0";"3.558168"
"560.0";"3.647239"
"570.0";"3.834129"
"580.0";"3.875378"
"590.0";"3.753346"
"600.0";"3.431179"
"610.0";"3.390963"
"620.0";"3.386553"
"630.0";"3.473175"
"640.0";"3.475949"
"650.0";"3.323482"
"660.0";"3.196641"
"670.0";"3.527901"
"680.0";"3.503717"
"690.0";"3.493735"
"700.0";"3.361647"
"710.0";"3.500371"
"720.0";"3.385521"
"730.0";"3.113173"
"740.0";"2.965772"
"750.0";"3.195138"
"760.0";"3.005829"
"770.0";"2.883216"
"780.0";"3.047539"
"790.0";"2.780449"
"800.0";"3.08524"
"810.0";"3.103559"
"820.0";"3.402827"
"830.0";"3.524717"
"840.0";"3.51265"
"850.0";"3.674713"
"860.0";"3.677135"
"870.0";"3.444628"
"880.0";"3.608931"
"890.0";"3.747815"
"900.0";"3.620516"
"910.0";"3.736326"
"920.0";"3.73573"
"930.0";"3.715348"
"940.0";"3.870036"
"950.0";"4.380483"
"960.0";"4.526693"
"970.0";"4.284697"
"980.0";"4.257154"
"990.0";"4.841677"
"1000.0";"5.110147"
"1010.0";"5.026682"
"1020.0";"5.084901"
"1030.0";"4.963912"
"1040.0";"4.932163"
"1050.0";"5.201632"
"1060.0";"5.313077"
"1070.0";"5.428042"
"1080.0";"5.51954"
"1090.0";"5.388278"
"1100.0";"5.435923"
"1110.0";"5.46486"
"1120.0";"5.309313"
"1130.0";"5.244409"
"1140.0";"5.22565"
"1150.0";"5.189939"
"1160.0";"5.381188"
"1170.0";"5.301928"
"1180.0";"5.280499"
"1190.0";"5.35287"
"1200.0";"5.310297"
"1210.0";"5.209278"
"1220.0";"5.271246"
"1230.0";"5.068158"
"1240.0";"5.072436"
"1250.0";"4.983975"
"1260.0";"5.120569"
"1270.0";"5.114856"
"1280.0";"5.103373"
"1290.0";"4.922262"
"1300.0";"4.924189"
"1310.0";"5.067127"
"1320.0";"4.791893"
"1330.0";"4.751153"
"1340.0";"5.021626"
"1350.0";"5.091551"
"1360.0";"5.125547"
"1370.0";"5.328833"
"1380.0";"5.462948"
"1390.0";"5.520307"
"1400.0";"5.291305"
"1410.0";"5.382485"
"1420.0";"5.423375"
"1430.0";"5.598351"
"1440.0";"5.600456"
"1450.0";"5.654037"
"1460.0";"5.983305"
"1470.0";"6.034122"
"1480.0";"5.950619"
"1490.0";"5.823184"
"1500.0";"5.889522"
"1510.0";"5.926163"
"1520.0";"5.775629"
"1530.0";"6.037549"
"1540.0";"5.920606"
"1550.0";"5.806046"
"1560.0";"5.655189"
"1570.0";"5.838317"
"1580.0";"5.748151"
"1590.0";"5.761584"
"1600.0";"5.8658"
"1610.0";"6.080263"
"1620.0";"5.93572"
"1630.0";"5.979009"
"1640.0";"5.752346"
"1650.0";"5.58538"
"1660.0";"5.615295"
"1670.0";"5.711739"
"1680.0";"5.759144"
"1690.0";"6.017258"
"1700.0";"6.174145"
"1710.0";"6.212263"
"1720.0";"6.193586"
"1730.0";"6.255781"
"1740.0";"6.368927"
"1750.0";"6.436837"
"1760.0";"6.433706"
"1770.0";"6.390618"
"1780.0";"6.062124"
"1790.0";"6.211805"
"1800.0";"6.164081"
"1810.0";"5.901288"
"1820.0";"5.826787"
"1830.0";"5.906716"
"1840.0";"5.717409"
"1850.0";"5.908786"
"1860.0";"6.097764"
"1870.0";"6.091301"
"1880.0";"5.876666"
"1890.0";"5.70185"
"1900.0";"5.856981"
"1910.0";"5.989466"
"1920.0";"5.946895"
"1930.0";"5.919412"
"1940.0";"5.644838"
"1950.0";"5.50666"
"1960.0";"5.56022"
"1970.0";"5.310432"
"1980.0";"5.239373"
"1990.0";"5.218821"
"2000.0";"5.063912"
"2010.0";"5.441287"
"2020.0";"5.456649"
"2030.0";"5.502611"
"2040.0";"5.41502"
"2050.0";"5.379903"
"2060.0";"5.368468"
"2070.0";"5.45904"
"2080.0";"5.497914"
"2090.0";"5.275286"
"2100.0";"5.332274"
"2110.0";"5.336067"
"2120.0";"5.134444"
"2130.0";"4.919492"
"2140.0";"5.011695"
"2150.0";"4.834302"
"2160.0";"4.924956"
"2170.0";"5.139858"
"2180.0";"4.939482"
"2190.0";"4.874724"
"2200.0";"4.528429"
"2210.0";"4.832892"
"2220.0";"5.150109"
"2230.0";"4.994566"
"2240.0";"4.94734"
"2250.0";"5.069658"
"2260.0";"5.133853"
"2270.0";"5.108231"
"2280.0";"5.010707"
"2290.0";"5.33708"
"2300.0";"5.031025"
"2310.0";"5.265405"
"2320.0";"5.314893"
"2330.0";"5.421075"
"2340.0";"5.239096"
"2350.0";"5.241021"
"2360.0";"4.868795"
"2370.0";"5.170887"
"2380.0";"5.120875"
"2390.0";"4.987458"
"2400.0";"5.005382"
"2410.0";"5.150291"
"2420.0";"4.798158"
"2430.0";"4.923441"
"2440.0";"4.850776"
"2450.0";"4.680039"
"2460.0";"4.550408"
"2470.0";"4.657311"
"2480.0";"4.963999"
"2490.0";"4.8017"
"2500.0";"4.749494"
"2510.0";"4.669395"
"2520.0";"4.461258"
"2530.0";"4.297737"
"2540.0";"4.130815"
"2550.0";"4.134169"
"2560.0";"4.178577"
"2570.0";"3.985742"
"2580.0";"4.100295"
"2590.0";"4.042363"
"2600.0";"4.22173"
"2610.0";"4.389441"
"2620.0";"4.473458"
"2630.0";"4.441243"
"2640.0";"4.23284"
"2650.0";"4.525791"
"2660.0";"4.77122"
"2670.0";"5.1809"
"2680.0";"5.134555"
"2690.0";"5.276511"
"2700.0";"5.201419"
"2710.0";"5.265273"
"2720.0";"5.365306"
"2730.0";"5.339877"
"2740.0";"5.205121"
"2750.0";"5.07585"
"2760.0";"5.041986"
"2770.0";"5.185328"
"2780.0";"5.143361"
"2790.0";"5.036577"
"2800.0";"4.87634"
"2810.0";"4.883999"
"2820.0";"5.07684"
"2830.0";"4.877869"
"2840.0";"4.863724"
"2850.0";"5.180053"
"2860.0";"4.92703"
"2870.0";"4.926215"
"2880.0";"5.076686"
"2890.0";"5.068009"
"2900.0";"5.06591"
"2910.0";"5.323121"
"2920.0";"5.277699"
"2930.0";"5.241335"
"2940.0";"4.920077"
"2950.0";"4.98617"
"2960.0";"5.124851"
"2970.0";"5.343503"
"2980.0";"5.560046"
"2990.0";"5.559232"
"3000.0";"5.160798"
"3010.0";"5.237186"
"3020.0";"5.450452"
"3030.0";"5.589862"
"3040.0";"5.455287"
"3050.0";"5.436004"
"3060.0";"5.337598"
"3070.0";"5.557131"
"3080.0";"5.551728"
"3090.0";"5.707036"
"3100.0";"5.831998"
"3110.0";"5.93024"
"3120.0";"5.8926"
"3130.0";"6.010297"
"3140.0";"5.932058"
"3150.0";"6.019011"
"3160.0";"6.079304"
"3170.0";"6.049507"
"3180.0";"5.86631"
"3190.0";"5.789141"
"3200.0";"5.740358"
"3210.0";"5.844297"
"3220.0";"5.87054"
"3230.0";"5.836136"
"3240.0";"5.741668"
"3250.0";"5.851076"
"3260.0";"6.044698"
"3270.0";"6.059532"
"3280.0";"6.313086"
"3290.0";"6.137742"
"3300.0";"6.252573"
"3310.0";"6.58264"
"3320.0";"6.402187"
"3330.0";"6.536595"
"3340.0";"6.42901"
"3350.0";"6.489637"
"3360.0";"6.388898"
"3370.0";"6.317229"
"3380.0";"6.308639"
"3390.0";"6.196589"
"3400.0";"6.28154"
"3410.0";"6.329529"
"3420.0";"6.385357"
"3430.0";"6.316434"
"3440.0";"6.348917"
"3450.0";"6.375603"
"3460.0";"6.470295"
"3470.0";"6.173968"
"3480.0";"6.099282"
"3490.0";"6.004279"
"3500.0";"5.996356"
"3510.0";"5.713209"
"3520.0";"5.698144"
"3530.0";"5.472306"
"3540.0";"5.406981"
"3550.0";"5.514822"
"3560.0";"5.55768"
"3570.0";"5.662657"
"3580.0";"5.697016"
"3590.0";"5.922554"
