# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_center_rottrans_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"6e-07"
"10.0";"0.0554256"
"20.0";"0.0563825"
"30.0";"0.0598733"
"40.0";"0.0652351"
"50.0";"0.0682843"
"60.0";"0.0609612"
"70.0";"0.0600706"
"80.0";"0.0596084"
"90.0";"0.0522904"
"100.0";"0.0652532"
"110.0";"0.0687869"
"120.0";"0.0636519"
"130.0";"0.0639515"
"140.0";"0.0637537"
"150.0";"0.0641207"
"160.0";"0.0610768"
"170.0";"0.0568928"
"180.0";"0.0638927"
"190.0";"0.0522567"
"200.0";"0.05704"
"210.0";"0.0605304"
"220.0";"0.0643101"
"230.0";"0.0717863"
"240.0";"0.0666243"
"250.0";"0.0680262"
"260.0";"0.0733798"
"270.0";"0.0639157"
"280.0";"0.0624712"
"290.0";"0.0600949"
"300.0";"0.0652475"
"310.0";"0.0623651"
"320.0";"0.0648884"
"330.0";"0.0704211"
"340.0";"0.0654356"
"350.0";"0.064469"
"360.0";"0.0798423"
"370.0";"0.0709461"
"380.0";"0.0675649"
"390.0";"0.0621155"
"400.0";"0.0712237"
"410.0";"0.0781495"
"420.0";"0.0765377"
"430.0";"0.0832835"
"440.0";"0.0847822"
"450.0";"0.0747117"
"460.0";"0.0798059"
"470.0";"0.0694002"
"480.0";"0.0807392"
"490.0";"0.082239"
"500.0";"0.069557"
"510.0";"0.0773352"
"520.0";"0.0761153"
"530.0";"0.0794607"
"540.0";"0.0719511"
"550.0";"0.0780568"
"560.0";"0.0732718"
"570.0";"0.0810388"
"580.0";"0.0800818"
"590.0";"0.0810122"
"600.0";"0.0874255"
"610.0";"0.0726446"
"620.0";"0.0814103"
"630.0";"0.0759823"
"640.0";"0.0803386"
"650.0";"0.0792699"
"660.0";"0.0780266"
"670.0";"0.0823481"
"680.0";"0.0849576"
"690.0";"0.082902"
"700.0";"0.0788241"
"710.0";"0.0793262"
"720.0";"0.0859999"
"730.0";"0.0845151"
"740.0";"0.0927149"
"750.0";"0.0784677"
"760.0";"0.0897233"
"770.0";"0.0890028"
"780.0";"0.0827051"
"790.0";"0.0767901"
"800.0";"0.0818784"
"810.0";"0.0779007"
"820.0";"0.07794"
"830.0";"0.0792809"
"840.0";"0.0776726"
"850.0";"0.077292"
