# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_neg1_mol7_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL7"
"0.0";"3.182858"
"10.0";"3.289521"
"20.0";"3.42674"
"30.0";"3.412434"
"40.0";"3.605099"
"50.0";"3.490262"
"60.0";"3.276193"
"70.0";"3.032779"
"80.0";"3.015455"
"90.0";"2.706191"
"100.0";"2.701706"
"110.0";"2.577467"
"120.0";"2.337959"
"130.0";"2.250841"
"140.0";"2.392736"
"150.0";"2.363771"
"160.0";"2.650754"
"170.0";"2.570511"
"180.0";"2.901878"
"190.0";"2.734277"
"200.0";"2.679354"
"210.0";"2.568596"
"220.0";"2.772777"
"230.0";"3.184023"
"240.0";"3.074329"
"250.0";"3.127079"
"260.0";"3.068508"
"270.0";"3.142024"
"280.0";"3.125774"
"290.0";"3.458669"
"300.0";"3.276962"
"310.0";"3.300557"
"320.0";"3.021755"
"330.0";"3.516109"
"340.0";"3.293826"
"350.0";"3.41652"
"360.0";"3.321343"
"370.0";"3.251561"
"380.0";"3.222141"
"390.0";"3.2804"
"400.0";"3.461741"
"410.0";"3.094274"
"420.0";"2.987869"
"430.0";"3.037702"
"440.0";"2.952212"
"450.0";"2.956024"
"460.0";"2.861646"
"470.0";"2.875237"
"480.0";"2.910387"
"490.0";"2.891302"
"500.0";"3.006316"
"510.0";"3.205106"
"520.0";"3.611146"
"530.0";"3.526382"
"540.0";"3.510128"
"550.0";"3.647597"
"560.0";"3.526961"
"570.0";"3.499546"
"580.0";"3.253302"
"590.0";"3.43037"
"600.0";"3.150842"
"610.0";"3.02412"
"620.0";"2.752005"
"630.0";"3.014082"
"640.0";"3.058759"
"650.0";"3.208778"
"660.0";"3.185865"
"670.0";"3.035504"
"680.0";"2.94716"
"690.0";"3.243275"
"700.0";"3.171895"
"710.0";"3.330078"
"720.0";"3.584708"
"730.0";"3.482262"
"740.0";"3.455136"
"750.0";"3.541121"
"760.0";"3.445261"
"770.0";"3.561687"
"780.0";"3.904456"
"790.0";"3.777795"
"800.0";"4.000989"
"810.0";"3.956613"
"820.0";"3.742215"
"830.0";"3.976969"
"840.0";"4.002587"
"850.0";"4.128581"
"860.0";"4.094612"
"870.0";"4.293454"
"880.0";"4.238229"
"890.0";"4.384897"
"900.0";"4.418078"
"910.0";"4.143579"
"920.0";"4.347465"
"930.0";"4.373071"
"940.0";"4.254746"
"950.0";"4.35044"
"960.0";"4.399625"
"970.0";"4.358447"
"980.0";"4.234416"
"990.0";"3.992468"
"1000.0";"4.067066"
"1010.0";"3.922578"
"1020.0";"3.912245"
"1030.0";"3.966432"
"1040.0";"3.836967"
"1050.0";"3.989245"
"1060.0";"4.089752"
"1070.0";"4.109449"
"1080.0";"4.074709"
"1090.0";"4.126582"
"1100.0";"3.974858"
"1110.0";"4.014447"
"1120.0";"3.926504"
"1130.0";"3.930418"
"1140.0";"3.719428"
"1150.0";"3.793214"
"1160.0";"3.760377"
"1170.0";"3.554676"
"1180.0";"3.514502"
"1190.0";"3.594386"
"1200.0";"3.586995"
"1210.0";"3.411605"
"1220.0";"3.359475"
"1230.0";"3.401232"
"1240.0";"3.207397"
"1250.0";"3.360335"
"1260.0";"3.181792"
"1270.0";"3.40273"
"1280.0";"3.488667"
"1290.0";"3.473611"
"1300.0";"3.440365"
"1310.0";"3.361799"
"1320.0";"3.433545"
"1330.0";"3.279782"
"1340.0";"3.215551"
"1350.0";"3.314241"
"1360.0";"3.409394"
"1370.0";"3.525697"
"1380.0";"3.493249"
"1390.0";"3.633631"
"1400.0";"3.630287"
"1410.0";"3.603685"
"1420.0";"3.739329"
"1430.0";"4.050289"
"1440.0";"3.926044"
"1450.0";"3.988161"
"1460.0";"3.928026"
"1470.0";"4.040964"
"1480.0";"4.137038"
"1490.0";"4.124202"
"1500.0";"4.122195"
"1510.0";"4.111866"
"1520.0";"4.23761"
"1530.0";"4.034133"
"1540.0";"4.09782"
"1550.0";"3.937752"
"1560.0";"3.97832"
"1570.0";"3.773016"
"1580.0";"3.82339"
"1590.0";"3.850891"
"1600.0";"3.846323"
"1610.0";"3.910615"
"1620.0";"3.640077"
"1630.0";"3.67451"
"1640.0";"3.402661"
"1650.0";"3.437758"
"1660.0";"3.14218"
"1670.0";"3.122102"
"1680.0";"3.059731"
"1690.0";"3.170432"
"1700.0";"3.028651"
"1710.0";"3.079292"
"1720.0";"3.15748"
"1730.0";"3.29504"
"1740.0";"3.222028"
"1750.0";"3.195983"
"1760.0";"3.295874"
"1770.0";"3.340142"
"1780.0";"3.320561"
"1790.0";"3.218222"
"1800.0";"3.06575"
"1810.0";"2.917694"
"1820.0";"2.855377"
"1830.0";"3.173078"
"1840.0";"3.293946"
"1850.0";"3.113905"
"1860.0";"2.919479"
"1870.0";"3.211437"
"1880.0";"3.015721"
"1890.0";"3.083362"
"1900.0";"3.217563"
"1910.0";"3.16765"
"1920.0";"3.13056"
"1930.0";"3.100655"
"1940.0";"2.981416"
"1950.0";"2.939752"
"1960.0";"2.916214"
"1970.0";"2.683564"
"1980.0";"2.677885"
"1990.0";"2.650408"
"2000.0";"2.73548"
"2010.0";"2.652958"
"2020.0";"2.745279"
"2030.0";"2.745923"
"2040.0";"2.607131"
"2050.0";"2.862143"
"2060.0";"2.809949"
"2070.0";"2.576521"
"2080.0";"2.839373"
"2090.0";"2.89307"
"2100.0";"3.000156"
"2110.0";"2.974114"
"2120.0";"2.926183"
"2130.0";"3.018822"
"2140.0";"3.007138"
"2150.0";"2.914305"
"2160.0";"3.091085"
"2170.0";"3.074919"
"2180.0";"3.280112"
"2190.0";"3.234085"
"2200.0";"3.145151"
"2210.0";"3.066723"
"2220.0";"2.906393"
"2230.0";"2.611304"
"2240.0";"2.310067"
"2250.0";"2.322469"
"2260.0";"2.160972"
"2270.0";"2.165293"
"2280.0";"2.506885"
"2290.0";"2.547746"
"2300.0";"2.574659"
"2310.0";"2.462047"
"2320.0";"2.67922"
"2330.0";"2.922465"
"2340.0";"3.170775"
"2350.0";"2.816952"
"2360.0";"2.859723"
"2370.0";"2.800075"
"2380.0";"2.852688"
"2390.0";"3.017585"
"2400.0";"2.931921"
"2410.0";"2.919501"
"2420.0";"2.817976"
"2430.0";"2.971191"
"2440.0";"2.938223"
"2450.0";"2.720386"
"2460.0";"2.5643"
"2470.0";"2.59662"
"2480.0";"2.25944"
"2490.0";"2.198085"
"2500.0";"2.167487"
"2510.0";"2.273906"
"2520.0";"2.386949"
"2530.0";"2.60566"
"2540.0";"2.779474"
"2550.0";"2.887862"
"2560.0";"2.937057"
"2570.0";"3.080963"
"2580.0";"3.277424"
"2590.0";"3.349423"
"2600.0";"3.162112"
"2610.0";"3.433389"
"2620.0";"3.394085"
"2630.0";"3.245131"
