# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_pos1_mol8_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_pos1-MOL8"
"0.0";"2.212914"
"10.0";"2.363605"
"20.0";"2.169762"
"30.0";"2.189593"
"40.0";"2.085397"
"50.0";"2.390489"
"60.0";"2.513201"
"70.0";"2.257187"
"80.0";"2.036885"
"90.0";"2.183215"
"100.0";"2.107475"
"110.0";"1.957727"
"120.0";"1.964015"
"130.0";"1.891565"
"140.0";"1.799739"
"150.0";"1.690075"
"160.0";"1.673716"
"170.0";"1.602024"
"180.0";"1.580312"
"190.0";"1.571365"
"200.0";"1.686482"
"210.0";"1.557143"
"220.0";"1.590144"
"230.0";"1.525606"
"240.0";"1.715828"
"250.0";"1.512113"
"260.0";"1.659433"
"270.0";"1.452764"
"280.0";"1.233947"
"290.0";"1.300149"
"300.0";"1.291371"
"310.0";"1.642528"
"320.0";"1.970306"
"330.0";"2.11147"
"340.0";"2.144573"
"350.0";"2.298318"
"360.0";"2.408922"
"370.0";"2.516889"
"380.0";"2.393575"
"390.0";"2.275837"
"400.0";"2.342285"
"410.0";"2.407487"
"420.0";"2.538861"
"430.0";"2.279196"
"440.0";"2.258821"
"450.0";"2.289437"
"460.0";"2.249061"
"470.0";"2.239526"
"480.0";"2.123566"
"490.0";"1.994162"
"500.0";"2.086941"
"510.0";"2.069791"
"520.0";"2.137778"
"530.0";"2.037819"
"540.0";"1.955655"
"550.0";"1.801209"
"560.0";"1.722192"
"570.0";"1.829829"
"580.0";"1.705147"
"590.0";"1.771602"
"600.0";"1.760501"
"610.0";"1.749244"
"620.0";"1.72429"
"630.0";"1.76995"
"640.0";"1.608451"
"650.0";"1.85831"
"660.0";"2.015747"
"670.0";"2.079443"
"680.0";"2.072715"
"690.0";"1.952881"
"700.0";"1.852951"
"710.0";"1.834457"
"720.0";"1.790398"
"730.0";"1.691105"
"740.0";"1.846899"
"750.0";"1.818653"
"760.0";"1.732612"
"770.0";"1.826401"
"780.0";"1.960096"
"790.0";"1.961977"
"800.0";"2.072258"
"810.0";"1.829407"
"820.0";"1.788745"
"830.0";"2.125303"
"840.0";"2.165356"
"850.0";"2.269078"
"860.0";"2.263012"
"870.0";"2.472281"
"880.0";"2.523472"
"890.0";"2.563992"
"900.0";"2.704359"
"910.0";"2.798754"
"920.0";"2.482549"
"930.0";"2.479796"
"940.0";"2.235925"
"950.0";"2.365754"
"960.0";"2.422736"
"970.0";"2.368883"
"980.0";"2.446313"
"990.0";"2.303195"
"1000.0";"2.64839"
"1010.0";"2.444284"
"1020.0";"2.534173"
"1030.0";"2.500274"
"1040.0";"2.670475"
"1050.0";"2.759879"
"1060.0";"3.117232"
"1070.0";"3.091802"
"1080.0";"3.184676"
"1090.0";"3.241231"
"1100.0";"3.128085"
"1110.0";"2.920612"
"1120.0";"2.540248"
"1130.0";"2.567245"
"1140.0";"2.462696"
"1150.0";"2.426407"
"1160.0";"2.667011"
"1170.0";"2.651479"
"1180.0";"2.612433"
"1190.0";"2.433715"
"1200.0";"2.383461"
"1210.0";"2.575527"
"1220.0";"2.317432"
"1230.0";"2.256827"
"1240.0";"2.363234"
"1250.0";"2.060201"
"1260.0";"2.158388"
"1270.0";"2.303993"
"1280.0";"2.076714"
"1290.0";"2.404695"
"1300.0";"2.317747"
"1310.0";"2.227671"
"1320.0";"2.50323"
"1330.0";"2.54373"
"1340.0";"2.544664"
"1350.0";"2.47313"
"1360.0";"2.406625"
"1370.0";"2.187872"
"1380.0";"2.529516"
"1390.0";"2.577169"
"1400.0";"2.468635"
"1410.0";"2.538558"
"1420.0";"2.629028"
"1430.0";"2.235574"
"1440.0";"2.256725"
"1450.0";"2.364596"
"1460.0";"1.899485"
"1470.0";"2.109965"
"1480.0";"2.137433"
"1490.0";"2.095774"
"1500.0";"2.301503"
"1510.0";"2.443707"
"1520.0";"2.522897"
"1530.0";"2.450937"
"1540.0";"2.596306"
"1550.0";"2.304099"
"1560.0";"2.509178"
"1570.0";"2.409543"
"1580.0";"2.486106"
"1590.0";"2.43363"
"1600.0";"2.280358"
"1610.0";"2.339981"
"1620.0";"2.188913"
"1630.0";"2.099719"
"1640.0";"2.183351"
"1650.0";"2.212609"
"1660.0";"2.158061"
"1670.0";"1.99294"
"1680.0";"1.95533"
"1690.0";"1.907143"
"1700.0";"2.179132"
"1710.0";"2.096438"
"1720.0";"1.990742"
"1730.0";"1.935687"
"1740.0";"2.269331"
"1750.0";"2.063958"
"1760.0";"2.229735"
"1770.0";"2.066912"
"1780.0";"2.168954"
"1790.0";"2.250189"
"1800.0";"2.074581"
"1810.0";"1.977722"
"1820.0";"1.831866"
"1830.0";"2.021545"
"1840.0";"2.243645"
"1850.0";"1.982257"
"1860.0";"1.805799"
"1870.0";"1.728858"
"1880.0";"2.235561"
"1890.0";"2.144591"
"1900.0";"2.175432"
"1910.0";"2.26299"
"1920.0";"2.398865"
"1930.0";"2.140148"
"1940.0";"2.167353"
"1950.0";"2.111279"
"1960.0";"1.989616"
"1970.0";"1.628155"
"1980.0";"1.599759"
"1990.0";"1.54957"
"2000.0";"1.639432"
"2010.0";"1.588625"
"2020.0";"1.60284"
"2030.0";"1.389796"
"2040.0";"1.543945"
"2050.0";"1.55366"
"2060.0";"1.621205"
"2070.0";"1.425333"
"2080.0";"1.294704"
"2090.0";"1.296286"
"2100.0";"1.619772"
"2110.0";"1.655505"
"2120.0";"1.949551"
"2130.0";"1.679926"
"2140.0";"1.759574"
"2150.0";"1.990204"
"2160.0";"1.8757"
"2170.0";"1.909959"
"2180.0";"1.890582"
"2190.0";"2.081538"
"2200.0";"2.351424"
"2210.0";"2.089944"
"2220.0";"1.859319"
"2230.0";"2.022726"
"2240.0";"1.917813"
"2250.0";"2.175658"
"2260.0";"2.026226"
"2270.0";"2.153322"
"2280.0";"1.850124"
"2290.0";"2.05109"
"2300.0";"1.842907"
"2310.0";"2.070421"
"2320.0";"2.340261"
"2330.0";"2.379922"
"2340.0";"2.216189"
"2350.0";"2.105197"
"2360.0";"1.994169"
"2370.0";"2.22061"
"2380.0";"2.162864"
"2390.0";"2.007372"
"2400.0";"2.075712"
