# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_sasa.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_2
# Original file was created by command :
"Solvent Accessible Surface"
"Time (ps)";"Total"
"0.0";"83.125"
"10.0";"83.097"
"20.0";"85.583"
"30.0";"84.643"
"40.0";"85.354"
"50.0";"82.825"
"60.0";"82.727"
"70.0";"85.359"
"80.0";"85.707"
"90.0";"83.904"
"100.0";"85.672"
"110.0";"84.614"
"120.0";"83.842"
"130.0";"82.368"
"140.0";"84.72"
"150.0";"84.227"
"160.0";"86.759"
"170.0";"84.602"
"180.0";"86.131"
"190.0";"86.464"
"200.0";"85.994"
"210.0";"86.314"
"220.0";"85.57"
"230.0";"86.239"
"240.0";"87.711"
"250.0";"88.098"
"260.0";"86.167"
"270.0";"86.111"
"280.0";"87.094"
"290.0";"87.533"
"300.0";"86.467"
"310.0";"86.75"
"320.0";"87.721"
"330.0";"86.836"
"340.0";"86.987"
"350.0";"86.408"
"360.0";"86.173"
"370.0";"86.888"
"380.0";"87.031"
"390.0";"86.08"
"400.0";"86.458"
"410.0";"85.709"
"420.0";"86.016"
"430.0";"85.731"
"440.0";"86.296"
"450.0";"84.999"
"460.0";"86.406"
"470.0";"85.096"
"480.0";"87.545"
"490.0";"86.117"
"500.0";"86.424"
"510.0";"88.22"
"520.0";"88.138"
"530.0";"86.763"
"540.0";"88.296"
"550.0";"86.198"
"560.0";"88.217"
"570.0";"86.933"
"580.0";"89.123"
"590.0";"90.06"
"600.0";"87.025"
"610.0";"86.211"
"620.0";"85.308"
"630.0";"85.028"
"640.0";"87.117"
"650.0";"85.983"
"660.0";"86.338"
"670.0";"86.939"
"680.0";"87.123"
"690.0";"88.976"
"700.0";"87.754"
"710.0";"87.472"
"720.0";"87.883"
"730.0";"86.535"
"740.0";"88.434"
"750.0";"88.406"
"760.0";"86.996"
"770.0";"87.382"
"780.0";"87.655"
"790.0";"86.728"
"800.0";"84.554"
"810.0";"89.119"
"820.0";"89.483"
"830.0";"87.557"
"840.0";"90.173"
"850.0";"90.159"
"860.0";"87.169"
"870.0";"87.642"
"880.0";"88.186"
"890.0";"90.574"
"900.0";"88.557"
"910.0";"88.864"
"920.0";"88.331"
"930.0";"87.552"
"940.0";"89.735"
"950.0";"87.171"
"960.0";"87.754"
"970.0";"87.982"
"980.0";"88.997"
"990.0";"89.074"
"1000.0";"87.898"
"1010.0";"87.916"
"1020.0";"88.504"
"1030.0";"86.815"
"1040.0";"86.375"
"1050.0";"85.898"
"1060.0";"87.697"
"1070.0";"88.262"
"1080.0";"88.168"
"1090.0";"89.745"
"1100.0";"88.585"
"1110.0";"87.498"
"1120.0";"88.872"
"1130.0";"88.903"
"1140.0";"88.758"
"1150.0";"88.216"
"1160.0";"86.572"
"1170.0";"90.124"
"1180.0";"87.835"
"1190.0";"86.157"
"1200.0";"87.742"
"1210.0";"89.636"
"1220.0";"87.641"
"1230.0";"88.615"
"1240.0";"90.039"
"1250.0";"88.601"
"1260.0";"86.122"
"1270.0";"86.446"
"1280.0";"85.52"
"1290.0";"86.474"
"1300.0";"87.745"
"1310.0";"86.872"
"1320.0";"88.097"
"1330.0";"88.792"
"1340.0";"87.261"
"1350.0";"86.49"
"1360.0";"85.661"
"1370.0";"86.113"
"1380.0";"86.159"
"1390.0";"85.972"
"1400.0";"85.264"
"1410.0";"86.404"
"1420.0";"86.441"
"1430.0";"87.566"
"1440.0";"86.927"
"1450.0";"87.244"
"1460.0";"86.279"
"1470.0";"84.36"
"1480.0";"85.619"
"1490.0";"85.432"
"1500.0";"87.848"
"1510.0";"86.267"
"1520.0";"88.693"
"1530.0";"86.469"
"1540.0";"85.253"
"1550.0";"88.263"
"1560.0";"90.665"
"1570.0";"87.537"
"1580.0";"88.844"
"1590.0";"87.312"
"1600.0";"87.216"
"1610.0";"87.035"
"1620.0";"88.661"
"1630.0";"86.313"
"1640.0";"86.739"
"1650.0";"86.895"
"1660.0";"86.107"
"1670.0";"87.309"
"1680.0";"88.228"
"1690.0";"86.818"
"1700.0";"86.191"
"1710.0";"85.809"
