# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_center_rottrans_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_3
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"1.49703";"1.22424";"1.23482";"1.20776"
"10.0";"1.49715";"1.23212";"1.22811";"1.20687"
"20.0";"1.50572";"1.23758";"1.24357";"1.20677"
"30.0";"1.50896";"1.23254";"1.24897";"1.21443"
"40.0";"1.50729";"1.2406";"1.24677";"1.20428"
"50.0";"1.50429";"1.23308";"1.23982";"1.21166"
"60.0";"1.5107";"1.24289";"1.25173";"1.20534"
"70.0";"1.50687";"1.23848";"1.2446";"1.20768"
"80.0";"1.50754";"1.23999";"1.24855";"1.20371"
"90.0";"1.5021";"1.23032";"1.24577";"1.2029"
"100.0";"1.49872";"1.23569";"1.23594";"1.19911"
"110.0";"1.51087";"1.23537";"1.25025";"1.21499"
"120.0";"1.50216";"1.22808";"1.24468";"1.20647"
"130.0";"1.50062";"1.23626";"1.2371";"1.20208"
"140.0";"1.50377";"1.23619";"1.24293";"1.204"
"150.0";"1.49708";"1.23179";"1.2313";"1.20379"
"160.0";"1.50747";"1.24072";"1.24632";"1.20509"
"170.0";"1.50798";"1.2305";"1.25697";"1.20578"
"180.0";"1.50448";"1.23768";"1.24191";"1.20529"
"190.0";"1.50664";"1.2395";"1.24845";"1.20205"
"200.0";"1.50664";"1.23944";"1.2512";"1.19925"
"210.0";"1.5035";"1.24656";"1.24227";"1.19326"
"220.0";"1.51143";"1.24619";"1.25458";"1.20079"
"230.0";"1.50618";"1.24191";"1.24727";"1.19963"
"240.0";"1.50453";"1.24213";"1.24117";"1.20159"
"250.0";"1.50535";"1.23977";"1.24594";"1.20117"
"260.0";"1.50854";"1.2399";"1.25135";"1.2034"
"270.0";"1.51272";"1.24403";"1.25345";"1.20743"
"280.0";"1.51252";"1.2423";"1.25472";"1.20739"
"290.0";"1.50443";"1.2322";"1.24942";"1.20301"
"300.0";"1.50789";"1.23212";"1.25572";"1.2052"
"310.0";"1.50984";"1.24167";"1.24825";"1.20805"
"320.0";"1.50471";"1.23313";"1.2467";"1.20559"
"330.0";"1.50644";"1.23867";"1.24495";"1.20603"
"340.0";"1.50327";"1.23004";"1.24807";"1.20373"
"350.0";"1.50304";"1.23881";"1.24081";"1.20165"
"360.0";"1.5085";"1.23672";"1.24795";"1.21009"
"370.0";"1.49898";"1.23616";"1.24078";"1.19426"
"380.0";"1.50509";"1.24043";"1.24293";"1.20294"
"390.0";"1.50333";"1.23936";"1.24292";"1.19965"
"400.0";"1.50063";"1.22973";"1.23933";"1.2065"
"410.0";"1.5034";"1.23064";"1.24426";"1.20737"
"420.0";"1.50375";"1.23808";"1.2402";"1.20482"
"430.0";"1.5064";"1.23466";"1.24743";"1.20749"
"440.0";"1.50382";"1.23628";"1.2437";"1.20324"
"450.0";"1.50605";"1.23835";"1.24945";"1.20072"
"460.0";"1.5005";"1.22711";"1.24512";"1.20287"
"470.0";"1.49497";"1.22528";"1.23858";"1.1977"
"480.0";"1.49944";"1.22652";"1.2419";"1.20415"
"490.0";"1.50521";"1.22356";"1.25028";"1.21284"
"500.0";"1.50673";"1.23075";"1.2523";"1.20725"
"510.0";"1.49368";"1.22763";"1.23788";"1.19279"
"520.0";"1.50097";"1.22552";"1.24875";"1.2019"
"530.0";"1.50265";"1.22781";"1.24846";"1.20406"
"540.0";"1.50123";"1.2276";"1.24914";"1.20001"
"550.0";"1.50313";"1.2227";"1.24512";"1.21386"
"560.0";"1.50158";"1.22847";"1.23822";"1.21127"
"570.0";"1.5055";"1.23504";"1.24406";"1.20834"
"580.0";"1.5055";"1.22924";"1.24782";"1.21037"
"590.0";"1.50012";"1.22958";"1.24091";"1.20375"
"600.0";"1.50106";"1.22754";"1.24066";"1.20843"
"610.0";"1.50375";"1.22998";"1.24616";"1.20696"
"620.0";"1.50968";"1.23277";"1.2516";"1.21327"
"630.0";"1.50516";"1.22595";"1.25282";"1.20768"
"640.0";"1.51109";"1.22936";"1.25329";"1.21849"
"650.0";"1.50563";"1.2263";"1.2552";"1.20603"
"660.0";"1.50644";"1.225";"1.25498";"1.20961"
"670.0";"1.50788";"1.24308";"1.24722";"1.20274"
"680.0";"1.50705";"1.23466";"1.24553";"1.21106"
"690.0";"1.51048";"1.24118";"1.25258";"1.20565"
"700.0";"1.51167";"1.23683";"1.25866";"1.20678"
"710.0";"1.50619";"1.23705";"1.25063";"1.20118"
"720.0";"1.5036";"1.23502";"1.24456";"1.20309"
"730.0";"1.50633";"1.24092";"1.24587";"1.20248"
"740.0";"1.50348";"1.23071";"1.24906";"1.20253"
"750.0";"1.50532";"1.24265";"1.24819";"1.19574"
"760.0";"1.50453";"1.23876";"1.24136";"1.20487"
"770.0";"1.51061";"1.24692";"1.25219";"1.20047"
"780.0";"1.51101";"1.24437";"1.24931";"1.2071"
"790.0";"1.513";"1.25018";"1.24947";"1.20592"
"800.0";"1.50819";"1.25166";"1.24323";"1.19876"
"810.0";"1.50885";"1.24938";"1.24677";"1.19911"
"820.0";"1.50903";"1.25408";"1.24671";"1.19471"
"830.0";"1.50384";"1.24319";"1.24286";"1.19702"
"840.0";"1.50582";"1.23948";"1.254";"1.19423"
"850.0";"1.50685";"1.23839";"1.24932";"1.20283"
"860.0";"1.50753";"1.24347";"1.25386";"1.19453"
"870.0";"1.50957";"1.24259";"1.25013";"1.20449"
"880.0";"1.50857";"1.24141";"1.25309";"1.2001"
"890.0";"1.50952";"1.24236";"1.25016";"1.20455"
"900.0";"1.50957";"1.24217";"1.25576";"1.19904"
"910.0";"1.51241";"1.24126";"1.25705";"1.20576"
"920.0";"1.50322";"1.24125";"1.24181";"1.19854"
"930.0";"1.50381";"1.24208";"1.24438";"1.19652"
"940.0";"1.51274";"1.25128";"1.25345";"1.19998"
"950.0";"1.51337";"1.24266";"1.26092";"1.2027"
"960.0";"1.50862";"1.24302";"1.25332";"1.19832"
"970.0";"1.5111";"1.24194";"1.25969";"1.19901"
"980.0";"1.51099";"1.24512";"1.25438";"1.201"
"990.0";"1.50708";"1.2401";"1.25134";"1.19954"
"1000.0";"1.51346";"1.24418";"1.25813";"1.20428"
"1010.0";"1.51263";"1.24237";"1.25584";"1.20644"
"1020.0";"1.50776";"1.24409";"1.25121";"1.19723"
"1030.0";"1.50457";"1.23449";"1.25354";"1.19672"
"1040.0";"1.50928";"1.24257";"1.24555";"1.20849"
"1050.0";"1.5029";"1.24448";"1.24";"1.19627"
"1060.0";"1.51593";"1.25132";"1.26";"1.20112"
"1070.0";"1.50488";"1.24561";"1.24733";"1.19247"
"1080.0";"1.51026";"1.2383";"1.25553";"1.20502"
"1090.0";"1.51076";"1.24307";"1.25627";"1.20057"
"1100.0";"1.512";"1.24443";"1.25351";"1.20516"
"1110.0";"1.51175";"1.24526";"1.25008";"1.20723"
"1120.0";"1.50396";"1.23597";"1.25109";"1.19623"
"1130.0";"1.50693";"1.24151";"1.25348";"1.19545"
"1140.0";"1.50446";"1.23804";"1.24764";"1.19895"
"1150.0";"1.50632";"1.23247";"1.24911";"1.20778"
"1160.0";"1.51158";"1.24033";"1.25229";"1.20958"
"1170.0";"1.50912";"1.23624";"1.25351";"1.20636"
"1180.0";"1.51181";"1.23939";"1.25798";"1.20522"
"1190.0";"1.51443";"1.24548";"1.2508";"1.21296"
"1200.0";"1.5114";"1.24052";"1.25001";"1.21131"
"1210.0";"1.50364";"1.2351";"1.24651";"1.20108"
"1220.0";"1.51061";"1.23932";"1.25116";"1.20937"
"1230.0";"1.50939";"1.23799";"1.25184";"1.20697"
"1240.0";"1.50451";"1.23576";"1.24595";"1.20317"
"1250.0";"1.50333";"1.24072";"1.24612";"1.19491"
"1260.0";"1.50087";"1.23866";"1.24085";"1.19634"
"1270.0";"1.50839";"1.23697";"1.25139";"1.20598"
"1280.0";"1.50466";"1.22711";"1.24834";"1.20989"
"1290.0";"1.50416";"1.23767";"1.24579";"1.2005"
"1300.0";"1.51085";"1.24043";"1.25057";"1.20945"
"1310.0";"1.49898";"1.22606";"1.24692";"1.19828"
"1320.0";"1.50608";"1.23796";"1.24569";"1.20511"
"1330.0";"1.50951";"1.2335";"1.25277";"1.2109"
"1340.0";"1.50453";"1.23567";"1.24366";"1.20569"
"1350.0";"1.50519";"1.22963";"1.24615";"1.21091"
"1360.0";"1.50678";"1.23156";"1.24853";"1.21045"
"1370.0";"1.50952";"1.2378";"1.25273";"1.20659"
