# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_mol2_inner_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL2-inner_dimer_area"
"0.0";"6.024688"
"10.0";"5.956746"
"20.0";"5.96108"
"30.0";"5.83889"
"40.0";"5.934537"
"50.0";"5.995919"
"60.0";"5.896841"
"70.0";"5.844326"
"80.0";"5.848517"
"90.0";"5.834802"
"100.0";"6.123684"
"110.0";"5.918191"
"120.0";"5.870056"
"130.0";"5.864772"
"140.0";"5.969475"
"150.0";"6.114966"
"160.0";"6.133161"
"170.0";"6.410139"
"180.0";"6.525504"
"190.0";"6.330302"
"200.0";"6.55519"
"210.0";"6.394244"
"220.0";"6.586356"
"230.0";"6.655381"
"240.0";"6.515898"
"250.0";"6.572719"
"260.0";"6.523364"
"270.0";"6.400947"
"280.0";"6.456976"
"290.0";"6.343035"
"300.0";"6.163525"
"310.0";"6.028791"
"320.0";"5.965785"
"330.0";"6.123668"
"340.0";"5.97438"
"350.0";"5.727875"
"360.0";"5.921841"
"370.0";"6.141695"
"380.0";"6.307891"
"390.0";"6.034311"
"400.0";"5.757124"
"410.0";"5.901023"
"420.0";"5.587823"
"430.0";"5.651543"
"440.0";"5.419935"
"450.0";"5.432306"
"460.0";"5.354224"
"470.0";"5.345397"
"480.0";"5.083366"
"490.0";"4.907535"
"500.0";"4.903274"
"510.0";"4.948365"
"520.0";"4.710767"
"530.0";"4.632674"
"540.0";"4.664793"
"550.0";"4.281114"
"560.0";"4.355887"
"570.0";"4.443083"
"580.0";"4.370736"
"590.0";"4.321227"
"600.0";"4.231188"
"610.0";"4.335104"
"620.0";"4.341625"
"630.0";"4.311149"
"640.0";"4.153244"
"650.0";"4.388958"
"660.0";"4.412256"
"670.0";"4.609389"
"680.0";"4.62974"
"690.0";"4.572149"
"700.0";"4.752111"
"710.0";"4.651933"
"720.0";"4.290853"
"730.0";"4.211053"
"740.0";"4.078228"
"750.0";"3.84966"
"760.0";"3.967111"
"770.0";"4.1067"
"780.0";"4.453055"
"790.0";"4.699585"
"800.0";"4.963152"
"810.0";"4.784327"
"820.0";"4.65671"
"830.0";"4.588465"
"840.0";"4.403892"
"850.0";"4.368371"
"860.0";"4.578402"
"870.0";"4.538858"
"880.0";"4.436424"
"890.0";"4.615354"
"900.0";"4.509868"
"910.0";"4.51782"
"920.0";"4.599558"
"930.0";"4.634303"
"940.0";"4.69208"
"950.0";"4.756917"
"960.0";"4.602989"
"970.0";"4.602088"
"980.0";"4.415681"
"990.0";"4.357828"
"1000.0";"4.344559"
"1010.0";"4.229945"
"1020.0";"4.285675"
"1030.0";"4.080752"
"1040.0";"4.054406"
"1050.0";"4.317861"
"1060.0";"4.217928"
"1070.0";"4.030988"
"1080.0";"3.97681"
"1090.0";"4.122217"
"1100.0";"4.21898"
"1110.0";"4.294747"
"1120.0";"4.305031"
"1130.0";"4.30737"
"1140.0";"4.192037"
"1150.0";"4.339027"
"1160.0";"4.580828"
"1170.0";"4.610284"
"1180.0";"4.780296"
"1190.0";"4.611972"
"1200.0";"4.410012"
"1210.0";"4.036693"
"1220.0";"3.997639"
"1230.0";"4.006361"
"1240.0";"4.104213"
"1250.0";"3.92277"
"1260.0";"4.131073"
"1270.0";"3.988069"
"1280.0";"4.1393"
"1290.0";"4.076197"
"1300.0";"3.991699"
"1310.0";"3.958624"
"1320.0";"4.288523"
"1330.0";"4.246548"
"1340.0";"4.373342"
"1350.0";"4.427858"
"1360.0";"4.399471"
"1370.0";"4.565493"
"1380.0";"4.907495"
"1390.0";"5.039974"
"1400.0";"4.986687"
"1410.0";"4.625691"
"1420.0";"4.808582"
"1430.0";"4.98902"
"1440.0";"4.995848"
"1450.0";"4.799839"
"1460.0";"4.670578"
"1470.0";"4.647182"
"1480.0";"4.263247"
"1490.0";"4.209076"
"1500.0";"4.316211"
"1510.0";"4.225211"
"1520.0";"4.093654"
"1530.0";"3.908098"
"1540.0";"3.932783"
"1550.0";"3.962384"
"1560.0";"4.064973"
"1570.0";"3.923926"
"1580.0";"3.9142"
"1590.0";"3.989562"
"1600.0";"3.962985"
"1610.0";"3.974646"
"1620.0";"3.67563"
"1630.0";"3.844818"
"1640.0";"3.910551"
"1650.0";"3.962985"
"1660.0";"3.713339"
"1670.0";"3.4444"
"1680.0";"3.400717"
"1690.0";"3.282256"
"1700.0";"3.309455"
"1710.0";"3.330288"
"1720.0";"3.275087"
"1730.0";"3.32775"
"1740.0";"3.519171"
"1750.0";"3.779873"
"1760.0";"3.930331"
"1770.0";"4.057143"
"1780.0";"3.884611"
"1790.0";"4.132483"
"1800.0";"4.180353"
"1810.0";"4.005746"
"1820.0";"4.442917"
"1830.0";"4.518267"
"1840.0";"4.660132"
"1850.0";"4.697039"
"1860.0";"4.709458"
"1870.0";"4.932846"
"1880.0";"4.880812"
"1890.0";"5.033486"
"1900.0";"5.069181"
"1910.0";"5.017041"
"1920.0";"4.862147"
"1930.0";"4.797422"
"1940.0";"5.054752"
"1950.0";"5.393842"
"1960.0";"5.507364"
"1970.0";"5.53973"
"1980.0";"5.760482"
"1990.0";"5.66532"
"2000.0";"5.635118"
"2010.0";"5.534551"
"2020.0";"5.756205"
"2030.0";"5.702607"
"2040.0";"5.563468"
"2050.0";"5.709146"
"2060.0";"5.834589"
"2070.0";"5.757133"
"2080.0";"5.739637"
"2090.0";"5.569443"
"2100.0";"5.510403"
"2110.0";"5.51188"
"2120.0";"5.629128"
"2130.0";"5.831196"
"2140.0";"5.872353"
"2150.0";"5.943457"
"2160.0";"5.898476"
"2170.0";"5.874411"
"2180.0";"5.867678"
"2190.0";"5.830627"
"2200.0";"5.958493"
"2210.0";"6.015293"
"2220.0";"6.004711"
"2230.0";"5.722362"
"2240.0";"5.589111"
"2250.0";"5.529051"
"2260.0";"5.500841"
"2270.0";"5.453233"
"2280.0";"5.697426"
"2290.0";"5.766332"
"2300.0";"5.804543"
"2310.0";"5.666553"
"2320.0";"5.756435"
"2330.0";"6.018573"
"2340.0";"5.897917"
"2350.0";"5.749597"
"2360.0";"5.625748"
"2370.0";"5.639462"
"2380.0";"5.409724"
"2390.0";"5.352908"
"2400.0";"5.192258"
