# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_mol5_outer_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL5-outer_dimer_area"
"0.0";"4.585758"
"10.0";"4.511196"
"20.0";"4.453013"
"30.0";"4.479164"
"40.0";"4.478429"
"50.0";"4.406804"
"60.0";"4.438277"
"70.0";"4.421632"
"80.0";"4.25162"
"90.0";"4.193722"
"100.0";"4.253651"
"110.0";"4.327392"
"120.0";"4.175169"
"130.0";"4.030602"
"140.0";"4.146675"
"150.0";"4.154916"
"160.0";"4.408448"
"170.0";"4.259655"
"180.0";"4.097654"
"190.0";"4.156862"
"200.0";"4.16485"
"210.0";"4.14738"
"220.0";"4.173068"
"230.0";"3.985844"
"240.0";"3.876489"
"250.0";"3.953571"
"260.0";"4.102677"
"270.0";"3.942255"
"280.0";"4.040186"
"290.0";"4.018916"
"300.0";"4.195003"
"310.0";"4.408931"
"320.0";"4.401114"
"330.0";"4.227299"
"340.0";"4.143729"
"350.0";"4.403328"
"360.0";"4.380281"
"370.0";"4.327836"
"380.0";"4.26177"
"390.0";"4.255655"
"400.0";"4.092757"
"410.0";"4.243925"
"420.0";"4.131989"
"430.0";"4.438207"
"440.0";"4.740062"
"450.0";"4.690924"
"460.0";"4.934089"
"470.0";"4.77614"
"480.0";"4.860191"
"490.0";"5.004931"
"500.0";"5.084549"
"510.0";"4.927113"
"520.0";"4.873538"
"530.0";"4.970399"
"540.0";"4.933069"
"550.0";"4.837042"
"560.0";"4.68393"
"570.0";"4.509186"
"580.0";"4.414822"
"590.0";"4.550849"
"600.0";"4.379949"
"610.0";"4.41875"
"620.0";"4.463191"
"630.0";"4.466668"
"640.0";"4.609338"
"650.0";"4.725072"
"660.0";"4.715821"
"670.0";"4.794278"
"680.0";"4.754261"
"690.0";"4.820834"
"700.0";"4.817633"
"710.0";"4.725711"
"720.0";"4.515487"
"730.0";"4.562933"
"740.0";"4.383"
"750.0";"4.346342"
"760.0";"4.666882"
"770.0";"4.974389"
"780.0";"4.969715"
"790.0";"5.121834"
"800.0";"5.056476"
"810.0";"4.95879"
"820.0";"5.088659"
"830.0";"4.903006"
"840.0";"5.023993"
"850.0";"5.064716"
"860.0";"4.987696"
"870.0";"4.931159"
"880.0";"4.478606"
"890.0";"4.275781"
"900.0";"4.12777"
"910.0";"4.249116"
"920.0";"4.068111"
"930.0";"3.926626"
"940.0";"4.10325"
"950.0";"3.907359"
"960.0";"3.975979"
"970.0";"4.131357"
"980.0";"4.250828"
"990.0";"4.456704"
"1000.0";"4.52064"
"1010.0";"4.785673"
"1020.0";"4.736701"
"1030.0";"4.868268"
"1040.0";"4.658385"
"1050.0";"4.601145"
"1060.0";"4.812747"
"1070.0";"4.844218"
"1080.0";"4.944822"
"1090.0";"5.053126"
"1100.0";"5.208189"
"1110.0";"5.147558"
"1120.0";"5.13591"
"1130.0";"4.993421"
"1140.0";"5.057508"
"1150.0";"4.863952"
"1160.0";"4.700251"
"1170.0";"4.8357"
"1180.0";"4.692018"
"1190.0";"4.642774"
"1200.0";"4.498072"
