# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mol10_rms.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CAD/2blg_cad_3
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"9.86e-05"
"10.0";"0.0830591"
"20.0";"0.1050741"
"30.0";"0.1048545"
"40.0";"0.1310754"
"50.0";"0.1141037"
"60.0";"0.1183953"
"70.0";"0.1320014"
"80.0";"0.1409849"
"90.0";"0.1328552"
"100.0";"0.1514564"
"110.0";"0.177568"
"120.0";"0.2001818"
"130.0";"0.2086783"
"140.0";"0.1953858"
"150.0";"0.2123657"
"160.0";"0.1944943"
"170.0";"0.1900986"
"180.0";"0.2158542"
"190.0";"0.2197921"
"200.0";"0.2284613"
"210.0";"0.2246632"
"220.0";"0.2243015"
"230.0";"0.2321275"
"240.0";"0.2274181"
"250.0";"0.2221764"
"260.0";"0.2284373"
"270.0";"0.2087965"
"280.0";"0.199653"
"290.0";"0.2002743"
"300.0";"0.2099775"
"310.0";"0.1991935"
"320.0";"0.1839086"
"330.0";"0.1986432"
"340.0";"0.2224633"
"350.0";"0.2210676"
"360.0";"0.2099453"
"370.0";"0.2366987"
"380.0";"0.2178401"
"390.0";"0.2156673"
"400.0";"0.2231432"
"410.0";"0.2213045"
"420.0";"0.2079957"
"430.0";"0.205591"
"440.0";"0.1982602"
"450.0";"0.1874704"
"460.0";"0.215039"
"470.0";"0.1941117"
"480.0";"0.2139783"
"490.0";"0.2363872"
"500.0";"0.2511781"
"510.0";"0.2507929"
"520.0";"0.2408"
"530.0";"0.239708"
"540.0";"0.2605211"
"550.0";"0.2491736"
"560.0";"0.2669919"
"570.0";"0.2796322"
"580.0";"0.2775219"
"590.0";"0.2559023"
"600.0";"0.2393645"
"610.0";"0.24301"
"620.0";"0.2384557"
"630.0";"0.2600147"
"640.0";"0.2605643"
"650.0";"0.2513572"
"660.0";"0.2642703"
"670.0";"0.2719566"
"680.0";"0.2814329"
"690.0";"0.2771998"
"700.0";"0.2713843"
"710.0";"0.2897058"
"720.0";"0.2969573"
"730.0";"0.3153561"
"740.0";"0.3235176"
"750.0";"0.3260097"
"760.0";"0.3428266"
"770.0";"0.3712368"
"780.0";"0.3795511"
"790.0";"0.3856974"
"800.0";"0.3911564"
"810.0";"0.3765179"
"820.0";"0.3845231"
"830.0";"0.3660858"
"840.0";"0.3587186"
"850.0";"0.3685681"
"860.0";"0.3752895"
"870.0";"0.3621677"
"880.0";"0.3594664"
"890.0";"0.3483059"
"900.0";"0.3618959"
"910.0";"0.3796877"
"920.0";"0.3786553"
"930.0";"0.3853166"
"940.0";"0.4103694"
"950.0";"0.3483076"
"960.0";"0.3638198"
"970.0";"0.3428979"
"980.0";"0.3693219"
"990.0";"0.3932637"
"1000.0";"0.4116144"
"1010.0";"0.4320521"
"1020.0";"0.4372957"
"1030.0";"0.4261526"
"1040.0";"0.4370052"
"1050.0";"0.4543922"
"1060.0";"0.4520302"
"1070.0";"0.4575905"
"1080.0";"0.4314136"
