Time (ps);Coul-SR:Protein-MOL;LJ-SR:Protein-MOL
0.0;-0.11941380976863751;-0.11140186003998857
10.0;-0.11162835058774043;-0.12661279825196886
20.0;-0.0958292457973143;-0.08159867605665143
30.0;-0.07919262849338796;-0.053558242563538846
40.0;-0.05110635678646649;-0.06844690101028303
50.0;-0.03407514664597265;-0.059222658799899575
60.0;-0.023926926387315972;-0.06100298414496036
70.0;-0.025847917519210662;-0.07519272495794117
80.0;-0.025585386292025704;-0.079557842727591
90.0;-0.03320263335584065;-0.08770829619626377
100.0;-0.03251317608275549;-0.07258790837785609
110.0;-0.029088421112957764;-0.07346639578199324
120.0;-0.02548150920076902;-0.07147188730202325
130.0;-0.047227942994505494;-0.07172184065934066
140.0;-0.044652076360904305;-0.07882135669239351
150.0;-0.027849714097077306;-0.07640310779424421
160.0;-0.040265590903870455;-0.09254204088664295
170.0;-0.03772780494636959;-0.07619555783797663
180.0;-0.03104494568304871;-0.0644396368821954
190.0;-0.08360901592553328;-0.07387926069177628
200.0;-0.043711094006805715;-0.09128476353619298
210.0;-0.048883439243380136;-0.08488595142208481
220.0;-0.03248363570687827;-0.07897981263327158
230.0;-0.051154956515590745;-0.07351319144924462
240.0;-0.0512813539589409;-0.07543666847256003
250.0;-0.05533891013494115;-0.0828745265575653
260.0;-0.024580335024452667;-0.07035855043649161
270.0;-0.0601316669541717;-0.08165927318728078
280.0;-0.035030572322825845;-0.05973769058797228
290.0;-0.027344222787521754;-0.06852700495380908
300.0;-0.008206133987147621;-0.05516348939790868
310.0;-0.0246451770548683;-0.06273244248409739
320.0;-0.02981810445975964;-0.06987161815799967
330.0;-0.01968787242830511;-0.05807594132684386
340.0;-0.030923382866629007;-0.06978490022249634
350.0;-0.029078144074011398;-0.08124715969989281
360.0;-0.039651038007026504;-0.06748372952502624
370.0;-0.03529141907872508;-0.06486644554566956
380.0;-0.04388056315145136;-0.07307386643173419
390.0;-0.10597298506305845;-0.07614474106717749
400.0;-0.10539168753129695;-0.07594547047844494
