# This .csv file was created 12.10.2024 14:28
# extracted out of file mindist_major_allergenic_epitope_r_149-162_MOL6.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_149-162-MOL6"
"0.0";"2.311846"
"10.0";"2.28918"
"20.0";"2.381597"
"30.0";"2.527054"
"40.0";"2.38165"
"50.0";"2.443664"
"60.0";"2.533"
"70.0";"2.546388"
"80.0";"2.387623"
"90.0";"2.314796"
"100.0";"2.237494"
"110.0";"2.317162"
"120.0";"2.314837"
"130.0";"2.274849"
"140.0";"2.527121"
"150.0";"2.566049"
"160.0";"2.474651"
"170.0";"2.564474"
"180.0";"2.497438"
"190.0";"2.539596"
"200.0";"2.323194"
"210.0";"2.38222"
"220.0";"2.640967"
"230.0";"2.721392"
"240.0";"2.570268"
"250.0";"2.53549"
"260.0";"2.688809"
"270.0";"2.633301"
"280.0";"2.778084"
"290.0";"2.701715"
"300.0";"2.56854"
"310.0";"2.438617"
"320.0";"2.502036"
"330.0";"2.621073"
"340.0";"2.733467"
"350.0";"3.081484"
"360.0";"2.988222"
"370.0";"2.905123"
"380.0";"2.938071"
"390.0";"2.962132"
"400.0";"2.976009"
"410.0";"2.963949"
"420.0";"2.899133"
"430.0";"2.829807"
"440.0";"2.93427"
"450.0";"2.935709"
"460.0";"2.814187"
"470.0";"2.789364"
"480.0";"2.849642"
"490.0";"2.848685"
"500.0";"2.827076"
"510.0";"2.908557"
"520.0";"2.776567"
"530.0";"2.724064"
"540.0";"2.937468"
"550.0";"2.835311"
"560.0";"2.995152"
"570.0";"2.817142"
"580.0";"2.735587"
"590.0";"2.854971"
"600.0";"2.822197"
"610.0";"2.766918"
"620.0";"2.803238"
"630.0";"2.687808"
"640.0";"2.672163"
"650.0";"2.783581"
"660.0";"2.836965"
"670.0";"2.781133"
"680.0";"2.888166"
"690.0";"3.021951"
"700.0";"3.07349"
"710.0";"3.258832"
"720.0";"3.237381"
"730.0";"3.200068"
"740.0";"3.151764"
"750.0";"2.966711"
"760.0";"3.161469"
"770.0";"3.062261"
"780.0";"3.190686"
"790.0";"3.247256"
"800.0";"3.286017"
"810.0";"3.301962"
"820.0";"3.202573"
"830.0";"3.194941"
"840.0";"3.18465"
"850.0";"3.327586"
"860.0";"3.340591"
"870.0";"3.446423"
"880.0";"3.165921"
"890.0";"3.216048"
"900.0";"3.379843"
"910.0";"3.53059"
"920.0";"3.592924"
"930.0";"3.49645"
"940.0";"3.469551"
"950.0";"3.3206"
"960.0";"3.282289"
"970.0";"3.277249"
"980.0";"3.507723"
"990.0";"3.538484"
"1000.0";"3.59146"
"1010.0";"3.761346"
"1020.0";"4.090077"
"1030.0";"4.244365"
"1040.0";"4.217662"
"1050.0";"3.977551"
"1060.0";"3.925375"
"1070.0";"3.890432"
"1080.0";"3.656156"
"1090.0";"3.555553"
"1100.0";"3.547049"
"1110.0";"3.847068"
"1120.0";"3.900908"
"1130.0";"3.974721"
"1140.0";"3.599518"
"1150.0";"3.47235"
"1160.0";"3.270282"
"1170.0";"3.376936"
"1180.0";"3.502429"
"1190.0";"3.451727"
"1200.0";"3.475686"
"1210.0";"3.228525"
"1220.0";"3.284619"
"1230.0";"3.201557"
"1240.0";"3.278028"
"1250.0";"2.904806"
"1260.0";"2.856417"
"1270.0";"3.161716"
"1280.0";"3.02396"
"1290.0";"2.945968"
"1300.0";"2.937207"
"1310.0";"3.004729"
"1320.0";"3.410263"
"1330.0";"3.615379"
"1340.0";"3.330424"
"1350.0";"3.3099"
"1360.0";"3.426162"
"1370.0";"3.494915"
"1380.0";"3.280812"
"1390.0";"3.485588"
"1400.0";"3.505998"
"1410.0";"3.487188"
"1420.0";"3.617335"
"1430.0";"3.709441"
"1440.0";"3.752776"
"1450.0";"3.447359"
"1460.0";"3.784008"
"1470.0";"3.899042"
"1480.0";"4.127445"
"1490.0";"4.386413"
"1500.0";"4.312427"
"1510.0";"4.032843"
"1520.0";"4.30813"
"1530.0";"4.555959"
"1540.0";"4.420672"
"1550.0";"4.610111"
"1560.0";"4.682634"
"1570.0";"4.53939"
"1580.0";"4.558117"
"1590.0";"4.396091"
"1600.0";"4.175439"
"1610.0";"4.172524"
"1620.0";"4.265247"
"1630.0";"4.047687"
"1640.0";"3.852987"
"1650.0";"3.814819"
"1660.0";"3.687275"
"1670.0";"3.466272"
"1680.0";"3.48803"
"1690.0";"3.590374"
"1700.0";"3.595538"
"1710.0";"3.655924"
"1720.0";"3.610034"
"1730.0";"3.717629"
"1740.0";"3.80013"
"1750.0";"3.894406"
"1760.0";"3.76252"
"1770.0";"4.092532"
"1780.0";"4.142607"
"1790.0";"4.421755"
"1800.0";"4.212335"
"1810.0";"4.147414"
"1820.0";"4.108376"
"1830.0";"3.820382"
"1840.0";"3.765863"
"1850.0";"3.441187"
"1860.0";"3.675449"
"1870.0";"3.603877"
"1880.0";"3.562252"
"1890.0";"3.756959"
"1900.0";"3.841621"
"1910.0";"3.973043"
"1920.0";"4.233654"
"1930.0";"4.375401"
"1940.0";"4.317426"
"1950.0";"4.566784"
"1960.0";"4.336602"
"1970.0";"4.280864"
"1980.0";"4.045481"
"1990.0";"3.796615"
"2000.0";"3.885092"
"2010.0";"3.382544"
"2020.0";"3.445617"
"2030.0";"3.563916"
"2040.0";"3.569819"
"2050.0";"3.802402"
"2060.0";"3.54859"
"2070.0";"3.361972"
"2080.0";"3.449951"
"2090.0";"3.396592"
"2100.0";"3.475379"
"2110.0";"3.525621"
"2120.0";"3.32925"
"2130.0";"3.31481"
"2140.0";"3.217476"
"2150.0";"3.050393"
"2160.0";"3.5125"
"2170.0";"3.62687"
"2180.0";"3.766005"
"2190.0";"3.887592"
"2200.0";"3.815451"
"2210.0";"3.800432"
"2220.0";"3.447724"
"2230.0";"3.460899"
"2240.0";"3.401265"
"2250.0";"3.398665"
"2260.0";"3.678593"
"2270.0";"3.733897"
"2280.0";"3.608208"
"2290.0";"3.720505"
"2300.0";"3.979469"
"2310.0";"4.023369"
"2320.0";"4.097595"
"2330.0";"3.930494"
"2340.0";"3.931057"
"2350.0";"3.716939"
"2360.0";"3.817724"
"2370.0";"3.419813"
"2380.0";"3.86991"
"2390.0";"4.032751"
"2400.0";"4.075085"
"2410.0";"4.071938"
"2420.0";"4.122872"
"2430.0";"3.907283"
"2440.0";"4.044391"
"2450.0";"4.042225"
"2460.0";"3.767232"
"2470.0";"3.809866"
"2480.0";"3.99577"
"2490.0";"3.762771"
"2500.0";"3.801175"
"2510.0";"3.683994"
"2520.0";"3.721565"
"2530.0";"3.476536"
"2540.0";"3.578563"
"2550.0";"3.877707"
"2560.0";"3.900143"
"2570.0";"4.117945"
"2580.0";"3.745158"
"2590.0";"3.616124"
"2600.0";"3.172662"
"2610.0";"3.108304"
"2620.0";"3.445335"
"2630.0";"3.403172"
"2640.0";"3.260467"
"2650.0";"3.385717"
"2660.0";"3.502539"
"2670.0";"3.467253"
"2680.0";"3.41606"
"2690.0";"3.679729"
"2700.0";"3.513924"
"2710.0";"3.560034"
"2720.0";"3.288523"
"2730.0";"3.292758"
"2740.0";"3.694227"
"2750.0";"3.937471"
"2760.0";"3.950202"
"2770.0";"3.923063"
"2780.0";"3.893708"
"2790.0";"3.774257"
"2800.0";"3.719275"
"2810.0";"3.885196"
"2820.0";"3.59925"
"2830.0";"3.673957"
"2840.0";"3.951755"
"2850.0";"4.222939"
"2860.0";"4.112978"
"2870.0";"3.979174"
"2880.0";"3.889375"
"2890.0";"3.844786"
"2900.0";"3.829125"
"2910.0";"3.898466"
"2920.0";"4.028196"
"2930.0";"4.049343"
"2940.0";"3.774932"
"2950.0";"3.836467"
"2960.0";"3.914184"
"2970.0";"3.70954"
"2980.0";"3.838742"
"2990.0";"3.944521"
"3000.0";"3.706232"
"3010.0";"3.716709"
"3020.0";"3.548488"
"3030.0";"2.985516"
"3040.0";"3.056551"
"3050.0";"3.366716"
"3060.0";"3.347355"
"3070.0";"3.49945"
"3080.0";"3.638677"
"3090.0";"3.869292"
"3100.0";"3.82187"
"3110.0";"3.735414"
"3120.0";"4.1415"
"3130.0";"3.782758"
"3140.0";"3.744228"
"3150.0";"3.687277"
"3160.0";"3.595767"
"3170.0";"3.659162"
"3180.0";"3.656309"
"3190.0";"3.511714"
"3200.0";"3.56363"
"3210.0";"3.968949"
"3220.0";"3.954429"
"3230.0";"3.761974"
"3240.0";"3.712361"
"3250.0";"3.829502"
"3260.0";"3.854789"
"3270.0";"3.799198"
"3280.0";"3.736014"
"3290.0";"3.44999"
"3300.0";"3.611664"
"3310.0";"3.536269"
"3320.0";"3.371809"
"3330.0";"3.20678"
"3340.0";"2.993968"
"3350.0";"3.106875"
"3360.0";"3.210294"
"3370.0";"3.198607"
"3380.0";"3.060168"
"3390.0";"2.851118"
"3400.0";"3.134799"
"3410.0";"3.305321"
"3420.0";"3.394554"
"3430.0";"3.615264"
"3440.0";"3.513752"
"3450.0";"3.519028"
"3460.0";"3.290747"
"3470.0";"3.394619"
"3480.0";"3.48184"
"3490.0";"3.357802"
"3500.0";"3.573802"
"3510.0";"3.508944"
"3520.0";"3.465888"
"3530.0";"3.503201"
"3540.0";"3.690341"
"3550.0";"4.043029"
"3560.0";"3.8678"
"3570.0";"3.708781"
"3580.0";"3.532437"
"3590.0";"3.362626"
"3600.0";"3.406523"
"3610.0";"3.437725"
"3620.0";"3.293127"
"3630.0";"3.131865"
"3640.0";"3.303109"
"3650.0";"3.118797"
"3660.0";"3.156711"
"3670.0";"3.281549"
"3680.0";"3.043389"
"3690.0";"3.059116"
"3700.0";"2.959325"
"3710.0";"2.99419"
"3720.0";"2.937166"
"3730.0";"2.994769"
"3740.0";"2.999018"
"3750.0";"3.074155"
"3760.0";"2.659691"
"3770.0";"2.858693"
"3780.0";"3.309007"
"3790.0";"3.395714"
"3800.0";"3.542834"
"3810.0";"3.528242"
"3820.0";"3.467242"
"3830.0";"3.237923"
"3840.0";"3.005908"
"3850.0";"2.873985"
"3860.0";"2.893989"
"3870.0";"2.861818"
"3880.0";"2.665082"
