# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_neg1_mol3_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL3"
"0.0";"3.804236"
"10.0";"3.861445"
"20.0";"3.780662"
"30.0";"3.697534"
"40.0";"3.662787"
"50.0";"4.089537"
"60.0";"3.996637"
"70.0";"4.06208"
"80.0";"4.129595"
"90.0";"3.897655"
"100.0";"3.884532"
"110.0";"3.64169"
"120.0";"3.383574"
"130.0";"3.509562"
"140.0";"3.540993"
"150.0";"3.577162"
"160.0";"3.460135"
"170.0";"3.639535"
"180.0";"3.575138"
"190.0";"3.797909"
"200.0";"4.118888"
"210.0";"3.807784"
"220.0";"3.546822"
"230.0";"3.458446"
"240.0";"3.302038"
"250.0";"3.033888"
"260.0";"3.070709"
"270.0";"3.130263"
"280.0";"3.234762"
"290.0";"3.214944"
"300.0";"3.051197"
"310.0";"3.046813"
"320.0";"3.193221"
"330.0";"3.247417"
"340.0";"3.191583"
"350.0";"3.403218"
"360.0";"3.462826"
"370.0";"3.356229"
"380.0";"3.558243"
"390.0";"3.512411"
"400.0";"3.783126"
"410.0";"3.574366"
"420.0";"3.806718"
"430.0";"3.636603"
"440.0";"3.870529"
"450.0";"3.792964"
"460.0";"3.819393"
"470.0";"4.165411"
"480.0";"4.22157"
"490.0";"4.113435"
"500.0";"4.079106"
"510.0";"4.006001"
"520.0";"3.932274"
"530.0";"3.68439"
"540.0";"3.586367"
"550.0";"3.591084"
"560.0";"3.648383"
"570.0";"4.05303"
"580.0";"4.13655"
"590.0";"4.266261"
"600.0";"4.345121"
"610.0";"4.518814"
"620.0";"4.537522"
"630.0";"4.307831"
"640.0";"4.380565"
"650.0";"4.531014"
"660.0";"4.766888"
"670.0";"4.373505"
"680.0";"4.420322"
"690.0";"4.306589"
"700.0";"4.176907"
"710.0";"4.196583"
"720.0";"4.113476"
"730.0";"4.31778"
"740.0";"4.268231"
"750.0";"4.258272"
"760.0";"4.302335"
"770.0";"4.337704"
"780.0";"3.953263"
"790.0";"4.12651"
"800.0";"4.288762"
"810.0";"4.563243"
"820.0";"4.542466"
"830.0";"4.372863"
"840.0";"4.437042"
"850.0";"4.374947"
"860.0";"4.315821"
"870.0";"4.165298"
"880.0";"4.305257"
"890.0";"4.190254"
"900.0";"4.037261"
"910.0";"4.120149"
"920.0";"4.100138"
"930.0";"3.999303"
"940.0";"4.046539"
"950.0";"3.64501"
"960.0";"3.354934"
"970.0";"3.194314"
"980.0";"3.216596"
"990.0";"3.408318"
"1000.0";"3.549219"
"1010.0";"3.392057"
"1020.0";"3.304953"
"1030.0";"3.252301"
"1040.0";"3.387852"
"1050.0";"3.335813"
"1060.0";"3.349613"
"1070.0";"3.232285"
"1080.0";"3.24856"
"1090.0";"3.190818"
"1100.0";"3.304107"
"1110.0";"3.341691"
"1120.0";"3.324549"
"1130.0";"3.691077"
"1140.0";"3.718695"
"1150.0";"3.920069"
"1160.0";"4.081906"
"1170.0";"3.796296"
"1180.0";"3.74707"
"1190.0";"4.110323"
"1200.0";"3.860542"
"1210.0";"3.744379"
"1220.0";"3.796067"
"1230.0";"3.993019"
"1240.0";"3.831287"
"1250.0";"3.792456"
"1260.0";"3.418023"
"1270.0";"3.116819"
"1280.0";"3.006714"
"1290.0";"3.078832"
"1300.0";"2.919238"
"1310.0";"2.964643"
"1320.0";"2.678096"
"1330.0";"2.836872"
"1340.0";"3.037689"
"1350.0";"3.132124"
"1360.0";"3.402642"
"1370.0";"3.500969"
"1380.0";"3.535485"
"1390.0";"3.100993"
"1400.0";"2.868629"
"1410.0";"2.483669"
"1420.0";"2.590984"
"1430.0";"2.778967"
"1440.0";"2.824011"
"1450.0";"2.916036"
"1460.0";"2.847241"
"1470.0";"2.932202"
"1480.0";"3.188678"
"1490.0";"3.102553"
"1500.0";"2.889356"
"1510.0";"2.689367"
"1520.0";"2.713092"
"1530.0";"2.658171"
"1540.0";"2.742625"
"1550.0";"2.478448"
"1560.0";"2.555336"
"1570.0";"2.392731"
"1580.0";"2.231572"
"1590.0";"2.339561"
"1600.0";"2.399002"
"1610.0";"2.619357"
"1620.0";"2.775213"
"1630.0";"2.531479"
"1640.0";"2.591047"
"1650.0";"2.561007"
"1660.0";"2.442047"
"1670.0";"2.49525"
"1680.0";"2.577117"
"1690.0";"2.734387"
"1700.0";"2.371178"
"1710.0";"2.403438"
"1720.0";"2.076174"
"1730.0";"2.24964"
"1740.0";"2.298002"
"1750.0";"2.380582"
"1760.0";"2.873006"
"1770.0";"2.952109"
"1780.0";"2.985286"
"1790.0";"2.959169"
"1800.0";"3.285895"
"1810.0";"3.025991"
"1820.0";"3.063748"
"1830.0";"3.095279"
"1840.0";"3.052942"
"1850.0";"3.074348"
"1860.0";"3.260025"
"1870.0";"3.57727"
"1880.0";"3.587624"
"1890.0";"3.336482"
"1900.0";"3.461825"
"1910.0";"3.777229"
"1920.0";"3.979974"
"1930.0";"4.176241"
"1940.0";"4.174452"
"1950.0";"3.945323"
"1960.0";"4.126935"
"1970.0";"4.057363"
"1980.0";"4.093982"
"1990.0";"4.165591"
"2000.0";"4.029131"
"2010.0";"4.01548"
"2020.0";"3.675718"
"2030.0";"3.726493"
"2040.0";"3.586775"
"2050.0";"3.739722"
