# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mol8_rms.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_1
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"6e-07"
"10.0";"0.0864944"
"20.0";"0.1084134"
"30.0";"0.1037101"
"40.0";"0.1205352"
"50.0";"0.1298026"
"60.0";"0.1341449"
"70.0";"0.1238958"
"80.0";"0.1232781"
"90.0";"0.1339895"
"100.0";"0.1394327"
"110.0";"0.1509958"
"120.0";"0.1582262"
"130.0";"0.1429042"
"140.0";"0.1463739"
"150.0";"0.1486412"
"160.0";"0.1497366"
"170.0";"0.1482097"
"180.0";"0.1562153"
"190.0";"0.1528899"
"200.0";"0.1586078"
"210.0";"0.1665505"
"220.0";"0.1736909"
"230.0";"0.179178"
"240.0";"0.1658964"
"250.0";"0.1708938"
"260.0";"0.1806461"
"270.0";"0.1859403"
"280.0";"0.1955226"
"290.0";"0.1984787"
"300.0";"0.1940866"
"310.0";"0.1773171"
"320.0";"0.1659397"
"330.0";"0.1593338"
"340.0";"0.1733389"
"350.0";"0.1703412"
"360.0";"0.182796"
"370.0";"0.1868733"
"380.0";"0.1727307"
"390.0";"0.1704563"
"400.0";"0.1650535"
"410.0";"0.1510937"
"420.0";"0.1425854"
"430.0";"0.1487345"
"440.0";"0.1407047"
"450.0";"0.1369778"
"460.0";"0.1572625"
"470.0";"0.1549634"
"480.0";"0.1563406"
"490.0";"0.1531331"
"500.0";"0.1520822"
"510.0";"0.1555617"
"520.0";"0.1516987"
"530.0";"0.1401823"
"540.0";"0.151692"
"550.0";"0.1516415"
"560.0";"0.1495588"
"570.0";"0.149794"
"580.0";"0.1437238"
"590.0";"0.1484039"
"600.0";"0.1563649"
"610.0";"0.166478"
"620.0";"0.1686689"
"630.0";"0.1513115"
"640.0";"0.1594704"
"650.0";"0.1630234"
"660.0";"0.1620652"
"670.0";"0.1521602"
"680.0";"0.1527233"
"690.0";"0.1602153"
"700.0";"0.1639605"
"710.0";"0.153475"
"720.0";"0.1615143"
"730.0";"0.1496593"
"740.0";"0.1551299"
"750.0";"0.1533758"
"760.0";"0.1547798"
"770.0";"0.1581254"
"780.0";"0.1589034"
"790.0";"0.1607906"
"800.0";"0.1648624"
"810.0";"0.1681302"
"820.0";"0.1797796"
"830.0";"0.1960597"
"840.0";"0.1975393"
"850.0";"0.2168082"
"860.0";"0.2096033"
"870.0";"0.2185675"
"880.0";"0.2167081"
"890.0";"0.2300742"
"900.0";"0.2207287"
"910.0";"0.2229927"
"920.0";"0.232747"
"930.0";"0.2476264"
"940.0";"0.2897891"
"950.0";"0.2865531"
"960.0";"0.2941153"
"970.0";"0.3017097"
"980.0";"0.3000609"
"990.0";"0.3016982"
"1000.0";"0.3212166"
"1010.0";"0.3071444"
"1020.0";"0.2935812"
"1030.0";"0.2688707"
"1040.0";"0.2717887"
"1050.0";"0.2820349"
"1060.0";"0.2867925"
"1070.0";"0.2842834"
"1080.0";"0.274123"
"1090.0";"0.2740411"
"1100.0";"0.2873397"
"1110.0";"0.2916634"
"1120.0";"0.2882431"
"1130.0";"0.2882808"
"1140.0";"0.2967494"
"1150.0";"0.2992649"
"1160.0";"0.3146721"
"1170.0";"0.3263443"
"1180.0";"0.3146702"
"1190.0";"0.3208866"
"1200.0";"0.3113842"
"1210.0";"0.3093138"
"1220.0";"0.3191441"
"1230.0";"0.3085674"
"1240.0";"0.3073042"
"1250.0";"0.317714"
"1260.0";"0.318831"
"1270.0";"0.3331355"
"1280.0";"0.3292943"
"1290.0";"0.3270569"
"1300.0";"0.3328858"
"1310.0";"0.350107"
"1320.0";"0.3520733"
"1330.0";"0.3644639"
"1340.0";"0.3527377"
"1350.0";"0.3528547"
"1360.0";"0.3487826"
"1370.0";"0.3647736"
"1380.0";"0.3521779"
"1390.0";"0.3418204"
"1400.0";"0.3286897"
"1410.0";"0.3422176"
"1420.0";"0.3437264"
"1430.0";"0.3422428"
"1440.0";"0.3306375"
"1450.0";"0.3560719"
"1460.0";"0.3606913"
"1470.0";"0.3590351"
"1480.0";"0.348929"
"1490.0";"0.3397233"
"1500.0";"0.3200784"
"1510.0";"0.344727"
"1520.0";"0.3435856"
"1530.0";"0.3616375"
"1540.0";"0.3623273"
"1550.0";"0.3530256"
"1560.0";"0.3528157"
"1570.0";"0.3349782"
"1580.0";"0.3496284"
"1590.0";"0.3493258"
"1600.0";"0.3413654"
"1610.0";"0.3397438"
"1620.0";"0.320172"
"1630.0";"0.3238672"
"1640.0";"0.336682"
"1650.0";"0.331294"
"1660.0";"0.3645925"
"1670.0";"0.3918717"
"1680.0";"0.3991085"
"1690.0";"0.3995101"
"1700.0";"0.3942069"
"1710.0";"0.387337"
"1720.0";"0.4007505"
"1730.0";"0.4119065"
"1740.0";"0.434072"
"1750.0";"0.4437958"
"1760.0";"0.4402156"
"1770.0";"0.4389101"
"1780.0";"0.4411344"
"1790.0";"0.441632"
"1800.0";"0.4412598"
"1810.0";"0.4448214"
"1820.0";"0.4728485"
"1830.0";"0.484168"
"1840.0";"0.4905866"
"1850.0";"0.5026505"
"1860.0";"0.5179918"
"1870.0";"0.5161303"
"1880.0";"0.5317291"
"1890.0";"0.5408108"
"1900.0";"0.5748048"
"1910.0";"0.5725153"
"1920.0";"0.5600524"
"1930.0";"0.5661077"
"1940.0";"0.5506696"
"1950.0";"0.5464505"
"1960.0";"0.5309511"
"1970.0";"0.5150958"
"1980.0";"0.5029543"
"1990.0";"0.4802101"
"2000.0";"0.4787908"
"2010.0";"0.491481"
"2020.0";"0.4969084"
"2030.0";"0.4943335"
"2040.0";"0.4971243"
"2050.0";"0.4974215"
"2060.0";"0.4785157"
"2070.0";"0.4600706"
"2080.0";"0.4746851"
"2090.0";"0.4701241"
"2100.0";"0.4640476"
"2110.0";"0.4201042"
"2120.0";"0.4190167"
"2130.0";"0.4181743"
"2140.0";"0.4250768"
"2150.0";"0.430809"
"2160.0";"0.4231885"
"2170.0";"0.4281171"
"2180.0";"0.4130457"
"2190.0";"0.4277441"
"2200.0";"0.4245219"
"2210.0";"0.4430104"
"2220.0";"0.4436653"
"2230.0";"0.4271987"
"2240.0";"0.4405783"
"2250.0";"0.4431453"
"2260.0";"0.4466002"
"2270.0";"0.4551165"
"2280.0";"0.4670529"
"2290.0";"0.4541048"
"2300.0";"0.4658181"
"2310.0";"0.4662094"
"2320.0";"0.4471973"
"2330.0";"0.4326008"
"2340.0";"0.4554072"
"2350.0";"0.4564184"
"2360.0";"0.4507035"
"2370.0";"0.4592374"
"2380.0";"0.467553"
"2390.0";"0.4901719"
"2400.0";"0.512941"
"2410.0";"0.5079899"
"2420.0";"0.5123807"
"2430.0";"0.5238643"
"2440.0";"0.5265962"
"2450.0";"0.5251428"
"2460.0";"0.5381385"
"2470.0";"0.5403173"
"2480.0";"0.5403792"
"2490.0";"0.5307876"
"2500.0";"0.5129036"
"2510.0";"0.5215808"
"2520.0";"0.5388126"
"2530.0";"0.5341908"
"2540.0";"0.516355"
"2550.0";"0.5250198"
"2560.0";"0.5264352"
"2570.0";"0.5099491"
"2580.0";"0.5096906"
"2590.0";"0.5259194"
"2600.0";"0.5305132"
"2610.0";"0.5559161"
"2620.0";"0.5562789"
"2630.0";"0.5701739"
"2640.0";"0.5485923"
"2650.0";"0.5418044"
"2660.0";"0.5419362"
"2670.0";"0.5526147"
"2680.0";"0.5382778"
