# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_center_rottrans_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"7e-07"
"10.0";"0.0747894"
"20.0";"0.0715362"
"30.0";"0.0707549"
"40.0";"0.0593297"
"50.0";"0.0749479"
"60.0";"0.0726458"
"70.0";"0.0768715"
"80.0";"0.0903524"
"90.0";"0.0751526"
"100.0";"0.0772932"
"110.0";"0.0732538"
"120.0";"0.0702338"
"130.0";"0.0799543"
"140.0";"0.0742831"
"150.0";"0.0746838"
"160.0";"0.0718458"
"170.0";"0.0740638"
"180.0";"0.0702118"
"190.0";"0.0708586"
"200.0";"0.0731815"
"210.0";"0.083007"
"220.0";"0.0786205"
"230.0";"0.0835577"
"240.0";"0.0740071"
"250.0";"0.0812874"
"260.0";"0.0817039"
"270.0";"0.0818819"
"280.0";"0.0859553"
"290.0";"0.0978559"
"300.0";"0.0916664"
"310.0";"0.0985256"
"320.0";"0.0969287"
"330.0";"0.0945062"
"340.0";"0.0936379"
"350.0";"0.0823297"
"360.0";"0.0911768"
"370.0";"0.0861464"
"380.0";"0.0944994"
"390.0";"0.0909035"
"400.0";"0.0973501"
"410.0";"0.087857"
"420.0";"0.0935101"
"430.0";"0.090459"
"440.0";"0.0864223"
"450.0";"0.0944496"
"460.0";"0.090795"
"470.0";"0.0904216"
"480.0";"0.0907679"
"490.0";"0.0938544"
"500.0";"0.09773"
"510.0";"0.0914251"
"520.0";"0.0950864"
"530.0";"0.0931314"
"540.0";"0.0887439"
"550.0";"0.0843715"
"560.0";"0.0842801"
"570.0";"0.0855892"
"580.0";"0.0793303"
"590.0";"0.0859299"
"600.0";"0.0900956"
"610.0";"0.0795397"
"620.0";"0.0817077"
"630.0";"0.0859137"
"640.0";"0.0821866"
"650.0";"0.091435"
"660.0";"0.0961584"
"670.0";"0.0944868"
"680.0";"0.0948782"
"690.0";"0.0896802"
"700.0";"0.0908242"
"710.0";"0.0950718"
"720.0";"0.0934121"
"730.0";"0.0982591"
"740.0";"0.0964254"
"750.0";"0.0910107"
"760.0";"0.0805945"
"770.0";"0.0870144"
"780.0";"0.0897884"
"790.0";"0.0849266"
"800.0";"0.0863967"
"810.0";"0.0799744"
"820.0";"0.0842122"
"830.0";"0.0885626"
"840.0";"0.0938249"
"850.0";"0.0866579"
"860.0";"0.0973026"
"870.0";"0.0857803"
"880.0";"0.0978698"
"890.0";"0.0888685"
"900.0";"0.0895207"
"910.0";"0.0895809"
"920.0";"0.0949473"
"930.0";"0.1029762"
"940.0";"0.098465"
"950.0";"0.10136"
"960.0";"0.0934976"
"970.0";"0.0896613"
"980.0";"0.1041619"
"990.0";"0.102595"
"1000.0";"0.0929445"
"1010.0";"0.0895105"
"1020.0";"0.0936204"
"1030.0";"0.1000866"
"1040.0";"0.100378"
"1050.0";"0.1029719"
"1060.0";"0.0924903"
"1070.0";"0.10387"
"1080.0";"0.1009504"
"1090.0";"0.0911629"
"1100.0";"0.0988449"
"1110.0";"0.1071661"
"1120.0";"0.1123873"
"1130.0";"0.1067535"
"1140.0";"0.096542"
"1150.0";"0.100009"
"1160.0";"0.1021584"
"1170.0";"0.1015158"
"1180.0";"0.1082817"
"1190.0";"0.118206"
"1200.0";"0.1097969"
"1210.0";"0.1253265"
"1220.0";"0.1095588"
"1230.0";"0.1023633"
"1240.0";"0.1125728"
"1250.0";"0.1114826"
"1260.0";"0.0985313"
"1270.0";"0.09524"
"1280.0";"0.1023505"
"1290.0";"0.0958519"
"1300.0";"0.0952768"
"1310.0";"0.1078772"
"1320.0";"0.0981027"
"1330.0";"0.1147066"
"1340.0";"0.10081"
"1350.0";"0.107335"
"1360.0";"0.1058693"
"1370.0";"0.1015577"
"1380.0";"0.1135212"
"1390.0";"0.1242144"
"1400.0";"0.1082028"
"1410.0";"0.1048654"
"1420.0";"0.1134069"
"1430.0";"0.0962066"
"1440.0";"0.1047143"
"1450.0";"0.1028166"
"1460.0";"0.1057391"
"1470.0";"0.1198122"
"1480.0";"0.1107923"
"1490.0";"0.0983006"
"1500.0";"0.0925867"
"1510.0";"0.1009551"
"1520.0";"0.0961493"
"1530.0";"0.1025534"
"1540.0";"0.0906221"
"1550.0";"0.1019117"
"1560.0";"0.104643"
"1570.0";"0.0999187"
"1580.0";"0.1088053"
"1590.0";"0.1033636"
"1600.0";"0.09864"
"1610.0";"0.0881698"
"1620.0";"0.1156783"
"1630.0";"0.0995973"
"1640.0";"0.1016043"
"1650.0";"0.0952622"
"1660.0";"0.092707"
"1670.0";"0.1072343"
"1680.0";"0.0941627"
"1690.0";"0.0934185"
"1700.0";"0.1007018"
"1710.0";"0.0900794"
"1720.0";"0.0964674"
"1730.0";"0.0910779"
"1740.0";"0.0935146"
"1750.0";"0.0815396"
"1760.0";"0.0881117"
"1770.0";"0.0922616"
"1780.0";"0.0947293"
"1790.0";"0.0854707"
"1800.0";"0.0868766"
"1810.0";"0.092092"
"1820.0";"0.0892013"
"1830.0";"0.0980126"
"1840.0";"0.0911412"
"1850.0";"0.0818727"
"1860.0";"0.0912227"
"1870.0";"0.0885265"
"1880.0";"0.08804"
"1890.0";"0.0805857"
"1900.0";"0.0979577"
"1910.0";"0.0948188"
"1920.0";"0.0967547"
"1930.0";"0.0895248"
"1940.0";"0.0940203"
"1950.0";"0.0820519"
"1960.0";"0.0877062"
"1970.0";"0.0941481"
"1980.0";"0.0928027"
"1990.0";"0.0830447"
"2000.0";"0.0837095"
"2010.0";"0.0957876"
"2020.0";"0.1009373"
"2030.0";"0.0970202"
"2040.0";"0.1000317"
"2050.0";"0.097968"
"2060.0";"0.0978621"
"2070.0";"0.1091074"
"2080.0";"0.1001659"
"2090.0";"0.0982541"
"2100.0";"0.0963154"
"2110.0";"0.1017556"
"2120.0";"0.1026106"
"2130.0";"0.1044283"
"2140.0";"0.1010702"
