# This .csv file was created 12.10.2024 14:28
# extracted out of file ie_prod_mol.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_3
# Original file was created by command :
"GROMACS Energies"
"Time (ps)";"Coul-SR:Protein-MOL";"LJ-SR:Protein-MOL"
"0.0";"-104.518768";"-97.474785"
"10.0";"-90.224915";"-96.325478"
"20.0";"-126.606438";"-72.771492"
"30.0";"-56.863903";"-86.85199"
"40.0";"-88.153969";"-102.078583"
"50.0";"-11.640222";"-87.857208"
"60.0";"-21.882404";"-87.43499"
"70.0";"-53.465839";"-60.84129"
"80.0";"-18.945908";"-73.112289"
"90.0";"-15.650304";"-72.004562"
"100.0";"-14.42072";"-61.97575"
"110.0";"-12.235036";"-65.228546"
"120.0";"-18.80834";"-63.203934"
"130.0";"-29.674744";"-77.988441"
"140.0";"-3.370597";"-41.070324"
"150.0";"-12.431075";"-62.311893"
"160.0";"-2.19414";"-56.580498"
"170.0";"-19.016167";"-67.000595"
"180.0";"-27.058397";"-56.721794"
"190.0";"-30.275206";"-53.482395"
"200.0";"-17.206894";"-47.002628"
"210.0";"-14.915314";"-48.166096"
"220.0";"-13.13942";"-64.120743"
"230.0";"-9.164133";"-54.343803"
"240.0";"-21.151649";"-46.664818"
"250.0";"-20.585493";"-37.128754"
"260.0";"-15.582954";"-41.089272"
"270.0";"-27.639072";"-36.625374"
"280.0";"-18.756535";"-40.89558"
"290.0";"-22.759443";"-32.986404"
"300.0";"-16.867146";"-37.553551"
"310.0";"-22.477781";"-33.594486"
"320.0";"-16.677692";"-42.293724"
"330.0";"-14.495905";"-33.273605"
"340.0";"-33.027172";"-56.788712"
"350.0";"-20.5042";"-42.003914"
"360.0";"-35.726692";"-34.897827"
"370.0";"-34.669819";"-59.174362"
"380.0";"-35.725803";"-64.375328"
"390.0";"-27.4853";"-52.207764"
"400.0";"-26.537643";"-52.532486"
"410.0";"-7.44736";"-50.049961"
"420.0";"-12.685619";"-55.858646"
"430.0";"-11.713533";"-69.335724"
"440.0";"5.994317";"-69.205719"
"450.0";"15.173712";"-76.51828"
"460.0";"-2.436797";"-66.743851"
"470.0";"-0.385882";"-56.879871"
"480.0";"-20.475506";"-45.744999"
"490.0";"-30.980324";"-78.20919"
"500.0";"-29.967873";"-81.277542"
"510.0";"-34.488403";"-80.137474"
"520.0";"-19.030968";"-88.464287"
"530.0";"-56.744125";"-88.445259"
"540.0";"-15.88881";"-105.954384"
"550.0";"-4.498116";"-113.454498"
"560.0";"0.871459";"-117.873535"
"570.0";"-40.282112";"-134.057693"
"580.0";"3.429984";"-127.254639"
"590.0";"-39.111969";"-106.042"
"600.0";"-49.831741";"-107.958794"
"610.0";"-33.318211";"-99.226761"
"620.0";"-21.466438";"-86.946793"
"630.0";"-0.692985";"-84.366646"
"640.0";"4.341589";"-80.215508"
"650.0";"8.176577";"-65.524384"
"660.0";"0.810015";"-89.66584"
"670.0";"-8.029267";"-90.178299"
"680.0";"3.709517";"-83.388977"
"690.0";"-3.537869";"-67.561241"
"700.0";"-4.234913";"-76.849625"
"710.0";"-8.723501";"-55.456329"
"720.0";"-9.516873";"-63.020126"
"730.0";"-3.850938";"-68.486168"
"740.0";"-9.962831";"-70.227318"
"750.0";"-15.956";"-70.627472"
"760.0";"2.356733";"-66.494995"
"770.0";"-11.217584";"-69.955238"
"780.0";"-6.014023";"-61.26561"
"790.0";"-2.369225";"-84.037308"
"800.0";"-12.797276";"-74.718117"
"810.0";"-30.525967";"-74.078964"
"820.0";"-6.40966";"-86.610924"
"830.0";"-44.417";"-76.694862"
"840.0";"-34.969242";"-81.926338"
"850.0";"-42.972679";"-69.889328"
"860.0";"-54.296448";"-60.244171"
"870.0";"-53.647926";"-69.192993"
"880.0";"-48.683544";"-58.980015"
"890.0";"-47.181183";"-68.405373"
"900.0";"-10.253838";"-86.873817"
"910.0";"-35.083824";"-99.956535"
"920.0";"-38.965302";"-109.954407"
"930.0";"-82.049187";"-102.637886"
"940.0";"-102.674271";"-92.947319"
"950.0";"-67.38131";"-98.187202"
"960.0";"-81.264488";"-107.237"
"970.0";"-98.870316";"-88.113426"
"980.0";"-107.036636";"-81.944443"
"990.0";"-97.729065";"-77.548386"
"1000.0";"-100.0448";"-71.223152"
"1010.0";"-93.277664";"-88.794327"
"1020.0";"-91.174744";"-94.046608"
"1030.0";"-110.57016";"-83.591133"
"1040.0";"-89.207939";"-85.57756"
"1050.0";"-53.146641";"-90.170219"
"1060.0";"-49.503902";"-100.17305"
"1070.0";"-20.124321";"-99.493057"
"1080.0";"-55.238625";"-77.451691"
"1090.0";"-96.670807";"-79.403557"
"1100.0";"-65.98925";"-92.676453"
"1110.0";"-84.839813";"-107.844971"
"1120.0";"-66.660233";"-95.531479"
"1130.0";"-89.20787";"-79.608986"
"1140.0";"-88.125778";"-93.612419"
"1150.0";"-54.376598";"-98.886597"
"1160.0";"-59.008595";"-90.35939"
"1170.0";"-55.290672";"-76.175369"
"1180.0";"-52.877136";"-83.274956"
"1190.0";"-68.469788";"-74.937721"
"1200.0";"-64.22184";"-81.686081"
"1210.0";"-45.467201";"-82.253098"
"1220.0";"-70.127327";"-91.426239"
"1230.0";"-64.376366";"-87.926483"
"1240.0";"-56.397205";"-112.12262"
"1250.0";"-93.017303";"-102.560486"
"1260.0";"-77.897934";"-106.201279"
"1270.0";"-55.682182";"-105.80751"
"1280.0";"-94.670586";"-94.214684"
"1290.0";"-66.021255";"-104.127441"
"1300.0";"-54.800529";"-103.661102"
"1310.0";"-19.133289";"-83.677185"
"1320.0";"-32.498947";"-97.459229"
"1330.0";"-64.038109";"-108.297806"
"1340.0";"-39.710251";"-112.793999"
"1350.0";"-78.069916";"-125.871788"
"1360.0";"-53.981224";"-117.422646"
"1370.0";"-64.295914";"-111.967941"
"1380.0";"-74.233353";"-114.628143"
"1390.0";"-52.51165";"-138.129105"
"1400.0";"-74.993851";"-112.925507"
"1410.0";"-62.362934";"-120.400345"
"1420.0";"-84.594414";"-107.202415"
"1430.0";"-54.604935";"-109.805161"
"1440.0";"-44.321228";"-114.394455"
"1450.0";"-31.945999";"-122.3983"
"1460.0";"-59.230404";"-107.769348"
"1470.0";"-30.170799";"-129.401276"
"1480.0";"-23.954168";"-135.245636"
"1490.0";"-23.491117";"-125.219208"
"1500.0";"-45.969234";"-116.720428"
"1510.0";"-33.333595";"-125.83799"
"1520.0";"-8.499596";"-114.840782"
"1530.0";"-11.806171";"-112.842705"
"1540.0";"-21.696148";"-114.003113"
"1550.0";"-24.763599";"-112.573257"
"1560.0";"12.442868";"-105.149498"
"1570.0";"-5.80308";"-102.081589"
"1580.0";"-20.997671";"-108.396317"
"1590.0";"-12.880888";"-104.507332"
"1600.0";"-74.436722";"-91.300964"
"1610.0";"-46.031612";"-113.731621"
"1620.0";"-64.548653";"-104.104988"
"1630.0";"-68.948906";"-116.855774"
"1640.0";"-61.689384";"-116.744453"
"1650.0";"-81.983856";"-128.88942"
"1660.0";"-116.243866";"-128.159317"
"1670.0";"-60.426605";"-131.248123"
"1680.0";"-75.477287";"-111.443062"
"1690.0";"-69.234886";"-99.065788"
"1700.0";"-57.881859";"-103.180412"
"1710.0";"-50.092636";"-104.504448"
"1720.0";"-69.234268";"-113.415382"
"1730.0";"-52.292912";"-116.931168"
"1740.0";"-55.239967";"-135.949417"
"1750.0";"-78.007309";"-108.89341"
"1760.0";"-44.717186";"-116.489349"
"1770.0";"-58.994484";"-127.91156"
"1780.0";"-61.030579";"-132.257858"
"1790.0";"-63.587761";"-102.213318"
"1800.0";"-28.794056";"-99.216248"
"1810.0";"-37.930954";"-111.162964"
"1820.0";"-6.179314";"-98.552658"
"1830.0";"-22.989742";"-91.769844"
"1840.0";"-34.718494";"-96.561592"
"1850.0";"-30.413679";"-95.407059"
"1860.0";"-34.311855";"-93.132523"
"1870.0";"-18.802706";"-82.591393"
"1880.0";"-48.747746";"-94.584633"
"1890.0";"-27.616291";"-90.552361"
"1900.0";"-20.95944";"-65.875702"
"1910.0";"-24.158455";"-82.000946"
"1920.0";"-36.671776";"-83.170914"
"1930.0";"-30.2034";"-85.524307"
"1940.0";"-27.908148";"-72.065254"
"1950.0";"-48.879936";"-88.800301"
"1960.0";"-26.611307";"-78.464943"
"1970.0";"-32.291611";"-71.223595"
"1980.0";"-24.654934";"-75.778358"
"1990.0";"-36.352337";"-73.738754"
"2000.0";"-22.303368";"-74.713608"
"2010.0";"-41.229359";"-74.887329"
"2020.0";"-30.211891";"-76.111137"
"2030.0";"-20.384924";"-53.176521"
"2040.0";"-20.998253";"-51.081852"
"2050.0";"-34.545273";"-66.006958"
"2060.0";"-52.201023";"-68.401802"
"2070.0";"-12.678499";"-42.029079"
"2080.0";"-28.527454";"-55.228371"
"2090.0";"-25.891684";"-48.839706"
"2100.0";"-9.876266";"-65.676102"
"2110.0";"-17.294209";"-54.449577"
"2120.0";"-21.489136";"-77.609695"
"2130.0";"-19.817945";"-89.15773"
"2140.0";"-28.838293";"-86.650978"
"2150.0";"-28.990971";"-80.70623"
"2160.0";"-74.040634";"-91.026596"
"2170.0";"-83.423866";"-82.185829"
"2180.0";"-66.622147";"-103.683456"
"2190.0";"-79.538185";"-92.86367"
"2200.0";"-75.602173";"-90.737122"
"2210.0";"-72.005875";"-88.971497"
"2220.0";"-80.358742";"-72.03376"
"2230.0";"-57.607201";"-81.376892"
"2240.0";"-64.600258";"-102.744308"
"2250.0";"-84.962685";"-101.65976"
"2260.0";"-81.192017";"-59.970726"
"2270.0";"-41.494957";"-80.146835"
"2280.0";"-86.369247";"-76.564293"
"2290.0";"-37.414101";"-109.006927"
"2300.0";"-30.356653";"-112.121017"
"2310.0";"-51.952827";"-87.276527"
"2320.0";"-16.360178";"-69.599663"
"2330.0";"-61.495411";"-64.142242"
"2340.0";"-15.222625";"-96.592499"
"2350.0";"-38.682415";"-69.423012"
"2360.0";"-60.450401";"-88.048416"
"2370.0";"-92.379822";"-64.941978"
"2380.0";"-78.325218";"-76.416069"
"2390.0";"-37.6628";"-87.5233"
"2400.0";"-51.883423";"-72.326714"
"2410.0";"-32.798157";"-83.0177"
"2420.0";"-89.772072";"-79.456169"
"2430.0";"-47.361645";"-84.232704"
"2440.0";"-60.368801";"-95.691444"
"2450.0";"-42.872807";"-95.564011"
"2460.0";"-93.253403";"-107.328094"
"2470.0";"-131.020004";"-88.052994"
"2480.0";"-97.880997";"-62.700157"
"2490.0";"-87.625816";"-83.40667"
"2500.0";"-69.973671";"-85.035667"
"2510.0";"-68.246239";"-77.229713"
"2520.0";"-20.949619";"-84.011383"
"2530.0";"-9.276104";"-92.756134"
"2540.0";"-45.314835";"-100.553612"
"2550.0";"-37.720871";"-88.343102"
"2560.0";"-51.011982";"-96.436096"
"2570.0";"-34.011269";"-104.631454"
"2580.0";"-65.365288";"-84.159653"
"2590.0";"-29.380775";"-110.984428"
"2600.0";"-76.190529";"-105.626122"
"2610.0";"-58.307556";"-116.097168"
"2620.0";"-58.346962";"-114.925781"
"2630.0";"-68.451065";"-100.693001"
"2640.0";"-72.213966";"-110.124168"
"2650.0";"-63.299477";"-108.622444"
"2660.0";"-41.161266";"-106.270355"
"2670.0";"-126.856369";"-95.956383"
"2680.0";"-134.073624";"-92.291092"
"2690.0";"-135.128448";"-89.585831"
