# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_center_rottrans_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_3
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"1.50117";"1.22775";"1.23539";"1.21387"
"10.0";"1.50055";"1.23186";"1.23326";"1.21032"
"20.0";"1.50438";"1.23066";"1.23519";"1.21907"
"30.0";"1.50889";"1.23912";"1.24018";"1.21657"
"40.0";"1.50654";"1.2289";"1.242";"1.21924"
"50.0";"1.50552";"1.23171";"1.24408";"1.21174"
"60.0";"1.50288";"1.23194";"1.24108";"1.20802"
"70.0";"1.49634";"1.22968";"1.23004";"1.2054"
"80.0";"1.50555";"1.24308";"1.23597";"1.20851"
"90.0";"1.50699";"1.23444";"1.23868";"1.21815"
"100.0";"1.49943";"1.22873";"1.23236";"1.21167"
"110.0";"1.50543";"1.23623";"1.23701";"1.21415"
"120.0";"1.49723";"1.23167";"1.23275";"1.2028"
"130.0";"1.49506";"1.22472";"1.2268";"1.21055"
"140.0";"1.50357";"1.23905";"1.23171";"1.21207"
"150.0";"1.50106";"1.23134";"1.23995";"1.20527"
"160.0";"1.50513";"1.24206";"1.2402";"1.20417"
"170.0";"1.50088";"1.23287";"1.23939";"1.20383"
"180.0";"1.50803";"1.23734";"1.24253";"1.21383"
"190.0";"1.50811";"1.24211";"1.24491";"1.20672"
"200.0";"1.5047";"1.23351";"1.23854";"1.21356"
"210.0";"1.50808";"1.23521";"1.24236";"1.21632"
"220.0";"1.50534";"1.24012";"1.23478";"1.21224"
"230.0";"1.50637";"1.23508";"1.23986";"1.21475"
"240.0";"1.49895";"1.23598";"1.23164";"1.2038"
"250.0";"1.50075";"1.23414";"1.22695";"1.2149"
"260.0";"1.50471";"1.23659";"1.23186";"1.21724"
"270.0";"1.50731";"1.23402";"1.23845";"1.21959"
"280.0";"1.50377";"1.23142";"1.2381";"1.21382"
"290.0";"1.49985";"1.22487";"1.24113";"1.20763"
"300.0";"1.50202";"1.24139";"1.23349";"1.204"
"310.0";"1.49892";"1.23237";"1.2347";"1.2043"
"320.0";"1.50341";"1.23569";"1.23782";"1.20887"
"330.0";"1.50378";"1.23608";"1.2417";"1.2054"
"340.0";"1.50213";"1.23262";"1.24005";"1.20652"
"350.0";"1.49743";"1.23233";"1.22992";"1.2055"
"360.0";"1.51091";"1.23705";"1.25157";"1.21203"
"370.0";"1.50606";"1.23416";"1.23887";"1.21593"
"380.0";"1.50241";"1.23823";"1.23124";"1.2105"
"390.0";"1.49822";"1.23396";"1.22631";"1.20947"
"400.0";"1.49967";"1.23868";"1.23404";"1.20036"
"410.0";"1.49863";"1.23568";"1.23521";"1.19965"
"420.0";"1.50248";"1.23572";"1.23432";"1.21011"
"430.0";"1.50064";"1.23978";"1.23401";"1.20166"
"440.0";"1.49831";"1.23683";"1.23468";"1.19819"
"450.0";"1.50487";"1.24098";"1.23637";"1.20856"
"460.0";"1.50499";"1.23178";"1.24197";"1.21253"
"470.0";"1.50353";"1.23521";"1.23838";"1.20908"
"480.0";"1.50108";"1.23173";"1.23737";"1.20759"
"490.0";"1.49708";"1.22609";"1.2342";"1.20661"
"500.0";"1.50051";"1.23805";"1.23288";"1.2043"
"510.0";"1.4995";"1.23384";"1.2338";"1.20516"
"520.0";"1.49702";"1.2271";"1.23079";"1.20894"
"530.0";"1.49763";"1.23176";"1.23116";"1.20531"
"540.0";"1.49353";"1.22487";"1.23062";"1.20273"
"550.0";"1.49775";"1.23482";"1.23124";"1.2024"
"560.0";"1.48885";"1.23598";"1.21409";"1.19653"
"570.0";"1.49287";"1.22499";"1.22787";"1.20377"
"580.0";"1.49685";"1.23533";"1.22515";"1.20585"
"590.0";"1.50374";"1.23928";"1.23725";"1.2066"
"600.0";"1.50342";"1.23707";"1.24032";"1.20491"
"610.0";"1.50145";"1.2391";"1.23864";"1.19964"
"620.0";"1.49971";"1.22938";"1.23527";"1.20872"
"630.0";"1.5014";"1.23648";"1.24181";"1.19892"
"640.0";"1.49658";"1.22903";"1.23556";"1.20099"
"650.0";"1.49522";"1.22699";"1.23424";"1.20106"
"660.0";"1.49713";"1.23488";"1.22934";"1.20275"
"670.0";"1.5033";"1.24417";"1.23427";"1.20353"
"680.0";"1.49796";"1.23631";"1.23185";"1.20078"
"690.0";"1.49806";"1.2394";"1.23121";"1.19849"
"700.0";"1.50227";"1.24085";"1.23045";"1.20826"
"710.0";"1.49671";"1.23385";"1.22831";"1.2038"
"720.0";"1.49657";"1.23102";"1.22517";"1.20955"
"730.0";"1.49858";"1.23756";"1.22724";"1.20573"
"740.0";"1.50448";"1.23848";"1.23995";"1.20649"
"750.0";"1.49627";"1.23";"1.22887";"1.20608"
"760.0";"1.49866";"1.23105";"1.23184";"1.2079"
"770.0";"1.50361";"1.23693";"1.23583";"1.21012"
"780.0";"1.50787";"1.23504";"1.25243";"1.20559"
"790.0";"1.50074";"1.2319";"1.23471";"1.20927"
"800.0";"1.5062";"1.24354";"1.24266";"1.20277"
"810.0";"1.50219";"1.23552";"1.24396";"1.19968"
"820.0";"1.49754";"1.23595";"1.23148";"1.20048"
"830.0";"1.49888";"1.23245";"1.23171";"1.20716"
"840.0";"1.5004";"1.23226";"1.23044";"1.21242"
"850.0";"1.49645";"1.22754";"1.22908";"1.20881"
"860.0";"1.50244";"1.23894";"1.23363";"1.20741"
"870.0";"1.50131";"1.2317";"1.23728";"1.20827"
"880.0";"1.50418";"1.23963";"1.23762";"1.20696"
"890.0";"1.49937";"1.23377";"1.22915";"1.20962"
"900.0";"1.49071";"1.22399";"1.22243";"1.20497"
"910.0";"1.49827";"1.2372";"1.23059";"1.20191"
"920.0";"1.4996";"1.23387";"1.23659";"1.2025"
"930.0";"1.49779";"1.23063";"1.23383";"1.20415"
"940.0";"1.49849";"1.22942";"1.24294";"1.19774"
"950.0";"1.49339";"1.22446";"1.23075";"1.20265"
"960.0";"1.49313";"1.22977";"1.23129";"1.19603"
"970.0";"1.49762";"1.22811";"1.23715";"1.20289"
"980.0";"1.49766";"1.22889";"1.23618";"1.20319"
"990.0";"1.49075";"1.22952";"1.2273";"1.19445"
"1000.0";"1.5014";"1.23076";"1.23968";"1.20699"
"1010.0";"1.49955";"1.22301";"1.24369";"1.20613"
"1020.0";"1.49778";"1.23581";"1.23676";"1.19577"
"1030.0";"1.5";"1.23044";"1.23956";"1.20395"
"1040.0";"1.49977";"1.22858";"1.24136";"1.20343"
"1050.0";"1.50122";"1.23442";"1.23792";"1.20461"
"1060.0";"1.49887";"1.23286";"1.23914";"1.19908"
"1070.0";"1.49747";"1.23102";"1.23288";"1.20392"
