# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_mol5_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL5"
"0.0";"4.068766"
"10.0";"4.163887"
"20.0";"4.204082"
"30.0";"4.096009"
"40.0";"3.890217"
"50.0";"3.816877"
"60.0";"3.839154"
"70.0";"3.578438"
"80.0";"3.349689"
"90.0";"3.339862"
"100.0";"3.492972"
"110.0";"3.332656"
"120.0";"2.821652"
"130.0";"2.564186"
"140.0";"2.573498"
"150.0";"2.697985"
"160.0";"2.658161"
"170.0";"2.840457"
"180.0";"2.729504"
"190.0";"2.516939"
"200.0";"2.647048"
"210.0";"2.713737"
"220.0";"2.53571"
"230.0";"2.174156"
"240.0";"1.968152"
"250.0";"2.265237"
"260.0";"2.371365"
"270.0";"2.422629"
"280.0";"2.517409"
"290.0";"2.605784"
"300.0";"2.406555"
"310.0";"2.505512"
"320.0";"2.407232"
"330.0";"2.527534"
"340.0";"2.240833"
"350.0";"2.014044"
"360.0";"2.246822"
"370.0";"2.352718"
"380.0";"2.297735"
"390.0";"2.286212"
"400.0";"1.919725"
"410.0";"1.650443"
"420.0";"1.44403"
"430.0";"1.575498"
"440.0";"1.713044"
"450.0";"1.817442"
"460.0";"1.673256"
"470.0";"1.76234"
"480.0";"1.700898"
"490.0";"1.891813"
"500.0";"2.023111"
"510.0";"2.186248"
"520.0";"2.160876"
"530.0";"2.15832"
"540.0";"1.979171"
"550.0";"1.911345"
"560.0";"2.101917"
"570.0";"2.132888"
"580.0";"1.889535"
"590.0";"1.923564"
"600.0";"2.063179"
"610.0";"2.046774"
"620.0";"2.253743"
"630.0";"2.187417"
"640.0";"2.17441"
"650.0";"2.24893"
"660.0";"2.257257"
"670.0";"2.095814"
"680.0";"2.213875"
"690.0";"1.881198"
"700.0";"1.789767"
"710.0";"1.663147"
"720.0";"1.859001"
"730.0";"1.764087"
"740.0";"1.65426"
"750.0";"1.50905"
"760.0";"1.315436"
"770.0";"1.293567"
"780.0";"1.380372"
"790.0";"1.436381"
"800.0";"1.394331"
"810.0";"1.402316"
"820.0";"1.431338"
"830.0";"1.535676"
"840.0";"1.658665"
"850.0";"1.675423"
"860.0";"1.818492"
"870.0";"1.861922"
"880.0";"2.068341"
"890.0";"1.967234"
"900.0";"1.979439"
"910.0";"1.944316"
"920.0";"1.604814"
"930.0";"1.357778"
"940.0";"1.24279"
"950.0";"1.437148"
"960.0";"1.409223"
"970.0";"1.646299"
"980.0";"1.950258"
"990.0";"2.102718"
"1000.0";"1.955204"
"1010.0";"1.449487"
"1020.0";"1.44937"
"1030.0";"1.283134"
"1040.0";"1.170218"
"1050.0";"1.128215"
"1060.0";"1.253223"
"1070.0";"1.621629"
"1080.0";"1.809864"
"1090.0";"2.084874"
"1100.0";"2.176694"
"1110.0";"2.171416"
"1120.0";"2.137177"
"1130.0";"2.01856"
"1140.0";"1.839453"
"1150.0";"1.872401"
"1160.0";"2.25836"
"1170.0";"2.367915"
"1180.0";"2.340673"
"1190.0";"2.208003"
"1200.0";"2.112295"
"1210.0";"2.323561"
"1220.0";"2.106886"
"1230.0";"2.301592"
"1240.0";"2.072549"
"1250.0";"2.278914"
"1260.0";"2.199739"
"1270.0";"2.235214"
"1280.0";"2.211998"
"1290.0";"2.364817"
"1300.0";"2.132118"
"1310.0";"2.341647"
"1320.0";"2.287279"
"1330.0";"2.294186"
"1340.0";"2.511163"
"1350.0";"2.370233"
"1360.0";"2.27494"
"1370.0";"2.237902"
"1380.0";"2.549015"
"1390.0";"2.708844"
"1400.0";"2.874189"
"1410.0";"3.22345"
"1420.0";"3.253227"
"1430.0";"3.00346"
"1440.0";"2.937666"
"1450.0";"2.95593"
"1460.0";"2.978294"
"1470.0";"3.131584"
"1480.0";"3.177092"
"1490.0";"3.135898"
"1500.0";"3.219733"
"1510.0";"3.398767"
"1520.0";"3.445207"
"1530.0";"3.479453"
"1540.0";"3.495628"
"1550.0";"3.413868"
"1560.0";"3.239741"
"1570.0";"3.243622"
"1580.0";"3.02036"
"1590.0";"2.914342"
"1600.0";"3.009506"
"1610.0";"2.916438"
"1620.0";"3.085686"
"1630.0";"2.978211"
"1640.0";"3.035135"
"1650.0";"3.313153"
"1660.0";"3.087322"
"1670.0";"2.97981"
"1680.0";"2.682308"
"1690.0";"2.971959"
"1700.0";"2.838423"
"1710.0";"2.514631"
"1720.0";"2.655745"
"1730.0";"2.774255"
"1740.0";"2.712593"
"1750.0";"2.884482"
"1760.0";"2.707726"
"1770.0";"2.817319"
"1780.0";"3.466494"
"1790.0";"3.364738"
"1800.0";"3.369971"
"1810.0";"3.393204"
"1820.0";"3.58222"
