# This .csv file was created 12.10.2024 14:29
# extracted out of file prod_mindist_mol5_outer_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL5-outer_dimer_area"
"0.0";"5.771841"
"10.0";"5.910573"
"20.0";"6.000539"
"30.0";"6.117907"
"40.0";"6.306915"
"50.0";"6.32217"
"60.0";"6.241181"
"70.0";"6.045096"
"80.0";"5.846464"
"90.0";"5.908926"
"100.0";"6.034054"
"110.0";"5.813882"
"120.0";"5.313757"
"130.0";"4.939053"
"140.0";"5.035866"
"150.0";"4.953225"
"160.0";"5.120688"
"170.0";"5.250806"
"180.0";"5.186077"
"190.0";"4.969508"
"200.0";"5.156623"
"210.0";"5.257998"
"220.0";"5.077823"
"230.0";"4.663349"
"240.0";"4.523509"
"250.0";"4.910204"
"260.0";"4.966928"
"270.0";"4.880174"
"280.0";"5.060303"
"290.0";"5.054442"
"300.0";"4.965593"
"310.0";"4.989966"
"320.0";"4.956834"
"330.0";"4.960855"
"340.0";"4.788544"
"350.0";"4.619373"
"360.0";"4.518166"
"370.0";"4.710821"
"380.0";"4.570642"
"390.0";"4.705938"
"400.0";"4.316791"
"410.0";"4.111856"
"420.0";"3.9451"
"430.0";"3.794165"
"440.0";"3.984081"
"450.0";"4.233246"
"460.0";"4.035879"
"470.0";"4.221168"
"480.0";"4.159375"
"490.0";"4.334362"
"500.0";"4.5754"
"510.0";"4.759748"
"520.0";"4.856108"
"530.0";"4.746947"
"540.0";"4.712729"
"550.0";"4.647174"
"560.0";"4.761509"
"570.0";"4.783623"
"580.0";"4.570324"
"590.0";"4.577032"
"600.0";"4.723432"
"610.0";"4.699661"
"620.0";"4.918875"
"630.0";"4.924201"
"640.0";"4.931891"
"650.0";"4.872929"
"660.0";"4.940073"
"670.0";"4.648005"
"680.0";"4.878229"
"690.0";"4.574299"
"700.0";"4.470943"
"710.0";"4.3207"
"720.0";"4.470706"
"730.0";"4.411935"
"740.0";"4.13064"
"750.0";"4.079405"
"760.0";"3.967752"
"770.0";"4.051075"
"780.0";"3.917146"
"790.0";"3.992982"
"800.0";"4.019857"
"810.0";"3.89449"
"820.0";"4.041799"
"830.0";"4.236134"
"840.0";"4.386137"
"850.0";"4.493081"
"860.0";"4.57279"
"870.0";"4.510679"
"880.0";"4.748799"
"890.0";"4.654668"
"900.0";"4.725538"
"910.0";"4.718083"
"920.0";"4.315088"
"930.0";"4.110297"
"940.0";"3.977499"
"950.0";"4.139113"
"960.0";"4.137573"
"970.0";"4.377314"
"980.0";"4.667152"
"990.0";"4.774434"
"1000.0";"4.697981"
"1010.0";"4.220433"
"1020.0";"4.067473"
"1030.0";"3.989249"
"1040.0";"3.961608"
"1050.0";"3.95897"
"1060.0";"4.16259"
"1070.0";"4.380291"
"1080.0";"4.641987"
"1090.0";"4.957349"
"1100.0";"5.059353"
"1110.0";"5.055132"
"1120.0";"5.029121"
"1130.0";"4.909927"
"1140.0";"4.703775"
"1150.0";"4.663285"
"1160.0";"4.936347"
"1170.0";"5.202741"
"1180.0";"5.061551"
"1190.0";"4.912629"
"1200.0";"4.970388"
"1210.0";"5.114265"
"1220.0";"4.933904"
"1230.0";"5.098553"
"1240.0";"4.94113"
"1250.0";"5.218186"
"1260.0";"5.131005"
"1270.0";"5.125122"
"1280.0";"4.99649"
"1290.0";"5.134009"
"1300.0";"4.934687"
"1310.0";"5.166207"
"1320.0";"5.08341"
"1330.0";"5.000537"
"1340.0";"5.198576"
"1350.0";"4.979051"
"1360.0";"5.035919"
"1370.0";"4.961755"
"1380.0";"5.453962"
"1390.0";"5.58923"
"1400.0";"5.736823"
"1410.0";"5.716246"
"1420.0";"5.548973"
"1430.0";"5.650039"
"1440.0";"5.396238"
"1450.0";"5.41657"
"1460.0";"5.57322"
"1470.0";"5.753076"
"1480.0";"5.669845"
"1490.0";"5.465677"
"1500.0";"5.64818"
"1510.0";"5.614184"
"1520.0";"5.600639"
"1530.0";"5.331004"
"1540.0";"5.698711"
"1550.0";"5.661571"
"1560.0";"5.751506"
"1570.0";"5.716547"
"1580.0";"5.650929"
"1590.0";"5.717998"
"1600.0";"5.694467"
"1610.0";"5.679504"
"1620.0";"5.674167"
"1630.0";"5.637867"
"1640.0";"5.654719"
"1650.0";"5.789779"
"1660.0";"5.619304"
"1670.0";"5.588548"
"1680.0";"5.282413"
"1690.0";"5.557329"
"1700.0";"5.539546"
"1710.0";"5.234563"
