# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_pos1_mol2_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_pos1-MOL2"
"0.0";"3.2076"
"10.0";"3.122855"
"20.0";"3.350132"
"30.0";"3.01241"
"40.0";"2.683966"
"50.0";"2.924249"
"60.0";"2.922483"
"70.0";"2.973425"
"80.0";"2.752824"
"90.0";"2.835872"
"100.0";"2.823803"
"110.0";"2.869826"
"120.0";"2.967979"
"130.0";"2.97115"
"140.0";"3.093197"
"150.0";"2.837764"
"160.0";"2.665303"
"170.0";"2.558317"
"180.0";"2.446298"
"190.0";"2.466796"
"200.0";"2.288377"
"210.0";"2.480112"
"220.0";"2.646584"
"230.0";"2.535239"
"240.0";"2.528725"
"250.0";"2.313752"
"260.0";"2.56568"
"270.0";"2.548325"
"280.0";"2.493252"
"290.0";"2.441056"
"300.0";"2.408644"
"310.0";"2.217917"
"320.0";"2.341545"
"330.0";"2.420442"
"340.0";"2.402116"
"350.0";"2.346909"
"360.0";"2.197391"
"370.0";"2.24998"
"380.0";"2.324212"
"390.0";"2.678576"
"400.0";"2.406585"
"410.0";"2.438293"
"420.0";"2.427746"
"430.0";"2.382555"
"440.0";"2.850068"
"450.0";"3.115829"
"460.0";"3.068938"
"470.0";"3.195662"
"480.0";"3.357774"
"490.0";"2.926698"
"500.0";"2.853061"
"510.0";"2.911598"
"520.0";"2.915516"
"530.0";"2.657887"
"540.0";"2.821291"
"550.0";"2.86539"
"560.0";"3.017437"
"570.0";"3.121412"
"580.0";"2.913989"
"590.0";"3.018942"
"600.0";"3.058105"
"610.0";"3.116248"
"620.0";"3.069139"
"630.0";"2.930698"
"640.0";"2.761925"
"650.0";"2.507468"
"660.0";"2.489951"
"670.0";"2.336753"
"680.0";"2.269944"
"690.0";"2.561298"
"700.0";"2.204122"
"710.0";"2.322425"
"720.0";"2.47799"
"730.0";"2.780344"
"740.0";"3.026081"
"750.0";"3.120848"
"760.0";"2.970397"
"770.0";"2.561993"
"780.0";"2.469993"
"790.0";"2.584801"
"800.0";"2.390298"
"810.0";"2.515445"
"820.0";"2.478985"
"830.0";"2.667374"
"840.0";"2.534368"
"850.0";"2.421172"
"860.0";"2.565753"
"870.0";"2.645513"
"880.0";"2.51607"
"890.0";"2.51835"
"900.0";"2.552429"
"910.0";"2.607955"
"920.0";"2.384417"
"930.0";"2.267402"
"940.0";"2.310508"
"950.0";"2.527648"
"960.0";"2.960987"
"970.0";"2.877928"
"980.0";"2.934162"
"990.0";"2.863822"
"1000.0";"2.851475"
"1010.0";"2.584526"
"1020.0";"2.726361"
"1030.0";"2.483944"
"1040.0";"2.77241"
"1050.0";"2.826358"
"1060.0";"2.425763"
"1070.0";"2.376149"
"1080.0";"2.412934"
"1090.0";"2.403852"
"1100.0";"2.753576"
"1110.0";"2.783607"
"1120.0";"2.609327"
"1130.0";"2.609547"
"1140.0";"2.663552"
"1150.0";"2.331345"
"1160.0";"2.053389"
"1170.0";"1.961824"
"1180.0";"1.837354"
"1190.0";"1.937252"
"1200.0";"2.111853"
"1210.0";"2.021073"
"1220.0";"1.92882"
"1230.0";"2.084542"
"1240.0";"2.454288"
"1250.0";"2.257131"
"1260.0";"2.138266"
"1270.0";"1.970741"
"1280.0";"2.097145"
"1290.0";"2.132749"
"1300.0";"2.183193"
"1310.0";"2.432623"
"1320.0";"2.154015"
"1330.0";"2.808447"
"1340.0";"2.946742"
"1350.0";"2.872212"
"1360.0";"2.880649"
"1370.0";"2.837425"
"1380.0";"3.011482"
"1390.0";"3.564327"
"1400.0";"3.490454"
"1410.0";"3.775219"
"1420.0";"3.605886"
"1430.0";"3.809035"
"1440.0";"3.922353"
"1450.0";"3.792701"
"1460.0";"3.827936"
"1470.0";"3.958098"
"1480.0";"3.674971"
"1490.0";"3.526588"
"1500.0";"3.441782"
"1510.0";"3.276059"
"1520.0";"3.584315"
"1530.0";"3.414849"
"1540.0";"3.500109"
"1550.0";"3.267048"
"1560.0";"2.997374"
"1570.0";"2.982964"
"1580.0";"2.859718"
"1590.0";"2.816391"
"1600.0";"2.702411"
"1610.0";"2.725144"
"1620.0";"2.747561"
"1630.0";"2.751523"
"1640.0";"2.84063"
"1650.0";"2.587534"
"1660.0";"2.463316"
"1670.0";"2.530206"
"1680.0";"2.163822"
"1690.0";"2.249742"
"1700.0";"2.435911"
"1710.0";"2.541932"
"1720.0";"2.705383"
"1730.0";"2.285856"
"1740.0";"2.236022"
"1750.0";"2.15923"
"1760.0";"2.122083"
"1770.0";"2.301714"
"1780.0";"2.275395"
"1790.0";"2.156079"
"1800.0";"2.287632"
"1810.0";"2.173908"
"1820.0";"1.848309"
"1830.0";"1.640383"
"1840.0";"1.423867"
"1850.0";"1.22161"
"1860.0";"1.149917"
"1870.0";"1.243326"
"1880.0";"1.418242"
"1890.0";"1.411068"
"1900.0";"1.332229"
"1910.0";"1.259104"
"1920.0";"1.327527"
"1930.0";"1.354575"
"1940.0";"1.242632"
"1950.0";"1.240837"
"1960.0";"1.423313"
"1970.0";"1.427009"
"1980.0";"1.329906"
"1990.0";"1.451919"
"2000.0";"1.506603"
"2010.0";"1.527905"
"2020.0";"1.59052"
"2030.0";"1.679952"
"2040.0";"1.383708"
"2050.0";"1.411533"
"2060.0";"1.708412"
"2070.0";"1.643534"
"2080.0";"1.707861"
"2090.0";"1.83793"
"2100.0";"1.968221"
"2110.0";"2.260429"
"2120.0";"2.408885"
"2130.0";"2.376557"
"2140.0";"2.460837"
"2150.0";"2.539363"
"2160.0";"2.291862"
"2170.0";"2.391734"
"2180.0";"2.09339"
"2190.0";"2.308281"
"2200.0";"2.333356"
"2210.0";"2.776916"
"2220.0";"2.665802"
"2230.0";"2.503947"
"2240.0";"2.571477"
"2250.0";"2.373717"
"2260.0";"2.273524"
"2270.0";"2.357488"
"2280.0";"2.233559"
"2290.0";"2.570778"
"2300.0";"2.71704"
"2310.0";"2.75309"
"2320.0";"2.575218"
"2330.0";"2.525846"
"2340.0";"2.515274"
"2350.0";"2.308323"
"2360.0";"2.423701"
"2370.0";"2.309035"
"2380.0";"2.221088"
"2390.0";"2.512785"
"2400.0";"2.684181"
"2410.0";"2.425607"
"2420.0";"2.536742"
"2430.0";"2.457023"
"2440.0";"2.548861"
"2450.0";"2.495236"
"2460.0";"2.106716"
"2470.0";"2.193009"
"2480.0";"2.418683"
"2490.0";"2.275543"
"2500.0";"2.120814"
"2510.0";"2.214053"
"2520.0";"2.582487"
"2530.0";"2.552444"
"2540.0";"2.482297"
"2550.0";"2.754617"
"2560.0";"2.4646"
"2570.0";"2.803843"
"2580.0";"2.693554"
"2590.0";"2.38112"
"2600.0";"2.306687"
"2610.0";"2.467981"
"2620.0";"2.364613"
"2630.0";"2.30655"
"2640.0";"2.465573"
"2650.0";"2.692441"
"2660.0";"2.841665"
"2670.0";"2.860133"
"2680.0";"2.590612"
