# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_sasa.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLA/2blg_cla_3
# Original file was created by command :
"Solvent Accessible Surface"
"Time (ps)";"Total"
"0.0";"87.499"
"10.0";"87.601"
"20.0";"89.296"
"30.0";"91.583"
"40.0";"89.165"
"50.0";"88.368"
"60.0";"88.083"
"70.0";"87.519"
"80.0";"88.368"
"90.0";"88.694"
"100.0";"88.82"
"110.0";"88.469"
"120.0";"85.905"
"130.0";"86.177"
"140.0";"88.722"
"150.0";"88.231"
"160.0";"90.574"
"170.0";"88.843"
"180.0";"90.717"
"190.0";"88.988"
"200.0";"87.18"
"210.0";"91.231"
"220.0";"88.789"
"230.0";"90.811"
"240.0";"88.049"
"250.0";"88.386"
"260.0";"89.416"
"270.0";"88.948"
"280.0";"88.264"
"290.0";"87.684"
"300.0";"88.527"
"310.0";"87.07"
"320.0";"86.299"
"330.0";"89.157"
"340.0";"87.348"
"350.0";"85.908"
"360.0";"87.461"
"370.0";"90.242"
"380.0";"87.784"
"390.0";"89.715"
"400.0";"89.142"
"410.0";"86.666"
"420.0";"89.152"
"430.0";"88.431"
"440.0";"88.14"
"450.0";"90.052"
"460.0";"87.175"
"470.0";"88.813"
"480.0";"89.187"
"490.0";"88.044"
"500.0";"87.618"
"510.0";"89.068"
"520.0";"89.068"
"530.0";"89.131"
"540.0";"87.201"
"550.0";"87.827"
"560.0";"87.965"
"570.0";"87.005"
"580.0";"88.912"
"590.0";"89.377"
"600.0";"87.568"
"610.0";"88.743"
"620.0";"88.053"
"630.0";"87.817"
"640.0";"88.843"
"650.0";"87.974"
"660.0";"86.968"
"670.0";"87.876"
"680.0";"87.5"
"690.0";"87.966"
"700.0";"89.55"
"710.0";"87.54"
"720.0";"88.053"
"730.0";"87.135"
"740.0";"89.572"
"750.0";"85.971"
"760.0";"86.851"
"770.0";"88.884"
"780.0";"88.186"
"790.0";"87.757"
"800.0";"87.709"
"810.0";"86.67"
"820.0";"85.499"
"830.0";"87.366"
"840.0";"87.062"
"850.0";"86.309"
"860.0";"88.069"
"870.0";"87.115"
"880.0";"87.353"
"890.0";"87.004"
"900.0";"85.251"
"910.0";"88.229"
"920.0";"85.801"
"930.0";"86.012"
"940.0";"85.173"
"950.0";"84.515"
"960.0";"85.577"
