# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_center_rottrans_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_1
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"1.49811";"1.22835";"1.23292";"1.20819"
"10.0";"1.49955";"1.23745";"1.23038";"1.20507"
"20.0";"1.49915";"1.2359";"1.23391";"1.20205"
"30.0";"1.49928";"1.23785";"1.23231";"1.202"
"40.0";"1.49891";"1.23944";"1.22748";"1.20439"
"50.0";"1.50243";"1.23638";"1.24283";"1.20056"
"60.0";"1.50177";"1.2373";"1.23629";"1.2047"
"70.0";"1.50109";"1.23615";"1.23708";"1.20337"
"80.0";"1.50181";"1.24046";"1.23758";"1.20022"
"90.0";"1.49929";"1.2348";"1.23239";"1.20508"
"100.0";"1.49973";"1.23707";"1.23281";"1.20342"
"110.0";"1.49769";"1.23581";"1.23589";"1.19644"
"120.0";"1.49677";"1.23532";"1.22932";"1.20142"
"130.0";"1.49759";"1.2391";"1.23301";"1.19577"
"140.0";"1.50764";"1.24183";"1.24543";"1.20529"
"150.0";"1.49529";"1.23423";"1.23234";"1.19574"
"160.0";"1.49926";"1.23772";"1.23451";"1.19985"
"170.0";"1.50699";"1.24361";"1.23797";"1.2095"
"180.0";"1.50167";"1.24673";"1.23542";"1.19558"
"190.0";"1.50749";"1.24676";"1.23454";"1.21103"
"200.0";"1.50506";"1.24546";"1.23953";"1.20116"
"210.0";"1.50699";"1.24183";"1.24152";"1.2077"
"220.0";"1.49958";"1.23361";"1.23846";"1.20079"
"230.0";"1.50398";"1.23804";"1.24187";"1.20373"
"240.0";"1.49691";"1.23493";"1.22849";"1.20302"
"250.0";"1.49541";"1.24141";"1.23043";"1.19056"
"260.0";"1.50593";"1.24152";"1.24041";"1.20653"
"270.0";"1.50443";"1.23843";"1.24544";"1.20075"
"280.0";"1.50397";"1.23561";"1.23791";"1.21024"
"290.0";"1.50348";"1.23144";"1.24474";"1.20628"
"300.0";"1.50349";"1.24264";"1.24353";"1.19601"
"310.0";"1.50116";"1.23212";"1.2411";"1.20354"
"320.0";"1.49713";"1.23044";"1.23798";"1.19843"
"330.0";"1.49389";"1.22769";"1.23424";"1.19702"
"340.0";"1.49716";"1.23361";"1.23";"1.20344"
"350.0";"1.49535";"1.23201";"1.23156";"1.19898"
"360.0";"1.49916";"1.23169";"1.23944";"1.2007"
