# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_mol1_outer_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL1-outer_dimer_area"
"0.0";"2.327516"
"10.0";"2.325575"
"20.0";"2.220906"
"30.0";"2.265917"
"40.0";"2.451987"
"50.0";"2.251741"
"60.0";"2.324075"
"70.0";"2.40536"
"80.0";"2.462602"
"90.0";"2.512424"
"100.0";"2.727471"
"110.0";"2.557236"
"120.0";"2.559461"
"130.0";"2.657657"
"140.0";"2.662744"
"150.0";"2.704629"
"160.0";"2.657182"
"170.0";"2.646751"
"180.0";"2.613734"
"190.0";"2.66582"
"200.0";"2.668222"
"210.0";"2.550364"
"220.0";"2.547683"
"230.0";"2.583904"
"240.0";"2.574117"
"250.0";"2.644437"
"260.0";"2.623432"
"270.0";"2.576083"
"280.0";"2.393775"
"290.0";"2.347525"
"300.0";"2.265849"
"310.0";"2.271679"
"320.0";"2.344555"
"330.0";"2.330517"
"340.0";"2.33093"
"350.0";"2.348521"
"360.0";"2.253476"
"370.0";"2.268121"
"380.0";"2.306559"
"390.0";"2.334066"
"400.0";"2.221997"
"410.0";"2.27498"
"420.0";"2.114911"
"430.0";"2.15406"
"440.0";"2.251398"
"450.0";"2.238621"
"460.0";"2.163262"
"470.0";"2.1257"
"480.0";"2.173278"
"490.0";"2.156199"
"500.0";"2.190584"
"510.0";"2.164054"
"520.0";"2.173988"
"530.0";"2.175536"
"540.0";"2.117086"
"550.0";"2.156648"
"560.0";"2.169186"
"570.0";"2.213751"
"580.0";"2.152537"
"590.0";"2.140306"
"600.0";"2.116097"
"610.0";"2.159764"
"620.0";"2.137846"
"630.0";"2.192721"
"640.0";"2.169442"
"650.0";"2.175821"
"660.0";"2.200717"
"670.0";"2.187062"
"680.0";"2.233832"
"690.0";"2.154435"
"700.0";"2.102947"
"710.0";"2.170661"
"720.0";"2.100966"
"730.0";"2.184427"
"740.0";"2.234134"
"750.0";"2.119393"
"760.0";"2.163799"
"770.0";"2.187282"
"780.0";"2.197968"
"790.0";"2.150074"
"800.0";"2.117225"
"810.0";"2.130184"
"820.0";"2.22373"
"830.0";"2.230794"
"840.0";"2.216326"
"850.0";"2.17563"
"860.0";"2.11361"
"870.0";"2.170329"
"880.0";"2.207844"
"890.0";"2.172249"
"900.0";"2.208016"
"910.0";"2.164157"
"920.0";"2.164696"
"930.0";"2.171409"
"940.0";"2.158299"
"950.0";"2.219976"
"960.0";"2.200551"
"970.0";"2.1914"
"980.0";"2.197601"
"990.0";"2.234848"
"1000.0";"2.266822"
"1010.0";"2.179386"
"1020.0";"2.240255"
"1030.0";"2.230465"
"1040.0";"2.228238"
"1050.0";"2.250628"
"1060.0";"2.349751"
"1070.0";"2.414088"
"1080.0";"2.418857"
"1090.0";"2.389063"
"1100.0";"2.323457"
"1110.0";"2.39364"
"1120.0";"2.391737"
"1130.0";"2.477722"
"1140.0";"2.37091"
"1150.0";"2.43596"
"1160.0";"2.461411"
"1170.0";"2.398629"
"1180.0";"2.445538"
"1190.0";"2.378441"
"1200.0";"2.432652"
"1210.0";"2.479816"
"1220.0";"2.412117"
"1230.0";"2.370531"
"1240.0";"2.41424"
"1250.0";"2.383416"
"1260.0";"2.294467"
"1270.0";"2.357212"
"1280.0";"2.351612"
"1290.0";"2.383895"
"1300.0";"2.406043"
"1310.0";"2.380853"
"1320.0";"2.416564"
"1330.0";"2.322948"
"1340.0";"2.343235"
"1350.0";"2.328446"
"1360.0";"2.419742"
"1370.0";"2.353512"
"1380.0";"2.357727"
"1390.0";"2.387305"
"1400.0";"2.490342"
"1410.0";"2.285399"
"1420.0";"2.320546"
"1430.0";"2.370212"
"1440.0";"2.356899"
"1450.0";"2.335467"
"1460.0";"2.446045"
"1470.0";"2.466971"
"1480.0";"2.35631"
"1490.0";"2.355086"
"1500.0";"2.388155"
"1510.0";"2.4137"
"1520.0";"2.368771"
"1530.0";"2.448548"
"1540.0";"2.443487"
"1550.0";"2.415085"
"1560.0";"2.331473"
"1570.0";"2.405622"
"1580.0";"2.393198"
"1590.0";"2.318584"
"1600.0";"2.335238"
"1610.0";"2.350102"
"1620.0";"2.374295"
"1630.0";"2.324841"
"1640.0";"2.373303"
"1650.0";"2.333027"
"1660.0";"2.319848"
"1670.0";"2.406298"
"1680.0";"2.365129"
"1690.0";"2.409097"
"1700.0";"2.401758"
"1710.0";"2.424127"
"1720.0";"2.375467"
"1730.0";"2.352369"
"1740.0";"2.366823"
"1750.0";"2.30947"
"1760.0";"2.361303"
"1770.0";"2.311371"
"1780.0";"2.372294"
"1790.0";"2.292861"
"1800.0";"2.301756"
"1810.0";"2.303813"
"1820.0";"2.342816"
"1830.0";"2.332331"
"1840.0";"2.352591"
"1850.0";"2.335323"
"1860.0";"2.352167"
"1870.0";"2.292375"
"1880.0";"2.251835"
"1890.0";"2.278727"
"1900.0";"2.363866"
"1910.0";"2.313438"
"1920.0";"2.351916"
"1930.0";"2.40395"
"1940.0";"2.477059"
"1950.0";"2.294157"
"1960.0";"2.326761"
"1970.0";"2.395096"
"1980.0";"2.337458"
"1990.0";"2.379012"
"2000.0";"2.404948"
"2010.0";"2.349995"
"2020.0";"2.285528"
"2030.0";"2.29194"
"2040.0";"2.351812"
"2050.0";"2.38937"
"2060.0";"2.272911"
"2070.0";"2.24018"
"2080.0";"2.302992"
"2090.0";"2.283283"
"2100.0";"2.254849"
"2110.0";"2.244679"
"2120.0";"2.322807"
"2130.0";"2.332997"
"2140.0";"2.315622"
"2150.0";"2.28565"
"2160.0";"2.22553"
"2170.0";"2.270882"
"2180.0";"2.351541"
"2190.0";"2.347493"
"2200.0";"2.259648"
"2210.0";"2.242154"
"2220.0";"2.247739"
"2230.0";"2.256244"
"2240.0";"2.232671"
"2250.0";"2.319277"
"2260.0";"2.300694"
"2270.0";"2.306336"
