# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_mol9_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL9"
"0.0";"2.654914"
"10.0";"2.731742"
"20.0";"2.559737"
"30.0";"2.543463"
"40.0";"2.377218"
"50.0";"2.013619"
"60.0";"2.135983"
"70.0";"2.062739"
"80.0";"1.905776"
"90.0";"1.911015"
"100.0";"1.788535"
"110.0";"1.836295"
"120.0";"1.789729"
"130.0";"1.744401"
"140.0";"1.802054"
"150.0";"1.550562"
"160.0";"1.690376"
"170.0";"1.907106"
"180.0";"1.897389"
"190.0";"1.990966"
"200.0";"1.699989"
"210.0";"1.763929"
"220.0";"1.712901"
"230.0";"1.864789"
"240.0";"1.868423"
"250.0";"1.924514"
"260.0";"1.789974"
"270.0";"1.753832"
"280.0";"1.999314"
"290.0";"2.203426"
"300.0";"2.06646"
"310.0";"1.926915"
"320.0";"1.924765"
"330.0";"2.002023"
"340.0";"2.075702"
"350.0";"2.125028"
"360.0";"2.092219"
"370.0";"2.247861"
"380.0";"2.204068"
"390.0";"2.036471"
"400.0";"1.858654"
"410.0";"1.659242"
"420.0";"1.815544"
"430.0";"1.578959"
"440.0";"1.113002"
"450.0";"1.109323"
"460.0";"1.104436"
"470.0";"1.320546"
"480.0";"1.274937"
"490.0";"1.173484"
"500.0";"1.396164"
"510.0";"1.4703"
"520.0";"1.504639"
"530.0";"1.359166"
"540.0";"1.313952"
"550.0";"1.387771"
"560.0";"1.343846"
"570.0";"1.424114"
"580.0";"1.257437"
"590.0";"1.404374"
"600.0";"1.375915"
"610.0";"1.847306"
"620.0";"1.827486"
"630.0";"1.797178"
"640.0";"1.48438"
"650.0";"1.517523"
"660.0";"1.428552"
"670.0";"1.543806"
"680.0";"1.678273"
"690.0";"1.481771"
"700.0";"1.603169"
"710.0";"1.679051"
"720.0";"1.710236"
"730.0";"1.768054"
"740.0";"1.712672"
"750.0";"1.348449"
"760.0";"1.381947"
"770.0";"1.465092"
"780.0";"1.594274"
"790.0";"1.415721"
"800.0";"1.611512"
"810.0";"1.700797"
"820.0";"1.292661"
"830.0";"1.521897"
"840.0";"1.641622"
"850.0";"1.550806"
"860.0";"1.656879"
