# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_neg1_mol4_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL4"
"0.0";"2.165824"
"10.0";"2.112337"
"20.0";"1.97451"
"30.0";"1.972474"
"40.0";"1.879106"
"50.0";"1.978562"
"60.0";"2.018666"
"70.0";"1.870797"
"80.0";"1.867156"
"90.0";"1.76643"
"100.0";"1.73192"
"110.0";"1.802276"
"120.0";"2.077098"
"130.0";"2.145482"
"140.0";"1.90685"
"150.0";"1.965189"
"160.0";"1.894718"
"170.0";"1.662909"
"180.0";"1.670583"
"190.0";"1.782076"
"200.0";"1.838487"
"210.0";"2.136373"
"220.0";"2.139121"
"230.0";"2.346409"
"240.0";"2.236065"
"250.0";"2.259766"
"260.0";"2.571684"
"270.0";"2.371791"
"280.0";"2.391297"
"290.0";"2.381242"
"300.0";"2.303826"
"310.0";"2.111862"
"320.0";"2.151105"
"330.0";"2.082307"
"340.0";"2.039287"
"350.0";"2.285924"
"360.0";"2.387874"
"370.0";"2.424587"
"380.0";"2.41457"
"390.0";"2.646605"
"400.0";"2.586928"
"410.0";"2.631922"
"420.0";"2.694738"
"430.0";"2.544783"
"440.0";"2.579012"
"450.0";"2.644097"
"460.0";"2.78409"
"470.0";"3.022765"
"480.0";"2.945078"
"490.0";"2.818129"
"500.0";"2.8685"
"510.0";"2.890269"
"520.0";"2.924882"
"530.0";"2.996417"
"540.0";"3.01816"
"550.0";"3.019263"
"560.0";"3.391322"
"570.0";"3.577549"
"580.0";"3.524154"
"590.0";"3.640661"
"600.0";"3.789035"
"610.0";"3.836068"
"620.0";"3.737426"
"630.0";"3.641796"
"640.0";"3.616509"
"650.0";"3.327126"
"660.0";"3.377583"
"670.0";"3.486264"
"680.0";"3.36124"
"690.0";"3.348176"
"700.0";"3.526806"
"710.0";"3.685066"
"720.0";"3.708645"
"730.0";"3.877025"
"740.0";"3.920767"
"750.0";"3.690232"
"760.0";"3.684006"
"770.0";"3.559622"
"780.0";"3.632085"
"790.0";"3.708349"
"800.0";"3.745749"
"810.0";"3.832659"
"820.0";"3.784298"
"830.0";"3.833667"
"840.0";"3.897114"
"850.0";"3.888623"
"860.0";"3.857132"
"870.0";"3.923274"
"880.0";"3.948487"
"890.0";"3.756253"
"900.0";"3.573128"
"910.0";"3.60651"
"920.0";"3.651467"
"930.0";"3.679555"
"940.0";"3.62957"
"950.0";"3.550556"
"960.0";"3.728459"
"970.0";"4.035864"
"980.0";"4.039842"
"990.0";"4.044674"
"1000.0";"4.131901"
"1010.0";"4.185501"
"1020.0";"4.235775"
"1030.0";"4.409887"
"1040.0";"4.41596"
"1050.0";"4.46684"
"1060.0";"4.221345"
"1070.0";"4.132988"
"1080.0";"4.325884"
"1090.0";"4.410783"
"1100.0";"4.4789"
"1110.0";"4.486437"
"1120.0";"4.458131"
"1130.0";"4.420913"
"1140.0";"4.361116"
"1150.0";"4.315342"
"1160.0";"4.362553"
"1170.0";"4.474905"
"1180.0";"4.58169"
"1190.0";"4.332309"
"1200.0";"4.378948"
"1210.0";"4.258451"
"1220.0";"4.367608"
"1230.0";"4.834476"
"1240.0";"4.775322"
"1250.0";"4.763921"
"1260.0";"4.73918"
"1270.0";"4.670535"
"1280.0";"4.430972"
"1290.0";"4.530483"
"1300.0";"4.638923"
"1310.0";"4.650966"
"1320.0";"4.624477"
"1330.0";"4.588695"
"1340.0";"4.572825"
"1350.0";"4.705621"
"1360.0";"4.845796"
"1370.0";"4.984847"
"1380.0";"4.795174"
"1390.0";"4.729293"
"1400.0";"4.77385"
"1410.0";"4.710196"
"1420.0";"4.710865"
"1430.0";"4.715405"
"1440.0";"4.700591"
"1450.0";"4.925823"
"1460.0";"5.017587"
"1470.0";"5.151774"
"1480.0";"5.14807"
"1490.0";"5.039014"
"1500.0";"5.102671"
"1510.0";"5.078092"
"1520.0";"5.139588"
"1530.0";"5.251336"
"1540.0";"5.01419"
"1550.0";"4.950524"
"1560.0";"4.769792"
"1570.0";"4.629333"
"1580.0";"4.65447"
"1590.0";"4.471783"
"1600.0";"4.662794"
"1610.0";"4.603054"
"1620.0";"4.703083"
"1630.0";"4.689208"
"1640.0";"4.527975"
"1650.0";"4.429198"
"1660.0";"4.292649"
"1670.0";"4.449542"
"1680.0";"4.686586"
"1690.0";"4.58225"
"1700.0";"4.591446"
"1710.0";"4.450981"
"1720.0";"4.618337"
"1730.0";"4.276523"
"1740.0";"4.449601"
"1750.0";"4.199457"
"1760.0";"4.341172"
"1770.0";"4.377379"
"1780.0";"4.335917"
"1790.0";"4.261434"
"1800.0";"4.269289"
"1810.0";"4.135881"
"1820.0";"4.143088"
"1830.0";"4.307812"
"1840.0";"4.302781"
"1850.0";"3.864025"
"1860.0";"4.02605"
"1870.0";"3.977368"
