# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mol1_rms.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_1
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"6e-07"
"10.0";"0.0780898"
"20.0";"0.08719"
"30.0";"0.0825435"
"40.0";"0.1006752"
"50.0";"0.1061238"
"60.0";"0.101987"
"70.0";"0.0996294"
"80.0";"0.1018718"
"90.0";"0.1059655"
"100.0";"0.1123914"
"110.0";"0.1033351"
"120.0";"0.1173284"
"130.0";"0.1179461"
"140.0";"0.12031"
"150.0";"0.11299"
"160.0";"0.122084"
"170.0";"0.1390366"
"180.0";"0.1384543"
"190.0";"0.1421838"
"200.0";"0.1373644"
"210.0";"0.1337458"
"220.0";"0.1289082"
"230.0";"0.131517"
"240.0";"0.1264051"
"250.0";"0.1297568"
"260.0";"0.1301792"
"270.0";"0.1337327"
"280.0";"0.131222"
"290.0";"0.1302239"
"300.0";"0.1302624"
"310.0";"0.1291773"
"320.0";"0.1323655"
"330.0";"0.1320271"
"340.0";"0.1348858"
"350.0";"0.1370887"
"360.0";"0.1309542"
"370.0";"0.1282332"
"380.0";"0.1277718"
"390.0";"0.1237615"
"400.0";"0.1329959"
"410.0";"0.126673"
"420.0";"0.1291319"
"430.0";"0.1273374"
"440.0";"0.1305345"
"450.0";"0.1359276"
"460.0";"0.1301464"
"470.0";"0.1271823"
"480.0";"0.1319066"
"490.0";"0.1364823"
"500.0";"0.1354929"
"510.0";"0.1358922"
"520.0";"0.1463969"
"530.0";"0.1465094"
"540.0";"0.1437935"
"550.0";"0.1429319"
"560.0";"0.1393721"
"570.0";"0.1397297"
"580.0";"0.1453615"
"590.0";"0.1529062"
"600.0";"0.1541072"
"610.0";"0.1353249"
"620.0";"0.1375706"
"630.0";"0.1352293"
"640.0";"0.1472565"
"650.0";"0.1499621"
"660.0";"0.1513741"
"670.0";"0.1505666"
"680.0";"0.148945"
"690.0";"0.1569141"
"700.0";"0.1490473"
"710.0";"0.1450175"
"720.0";"0.1408609"
"730.0";"0.1452176"
"740.0";"0.1507467"
"750.0";"0.152219"
"760.0";"0.1503135"
"770.0";"0.1456908"
"780.0";"0.1453668"
"790.0";"0.1399078"
"800.0";"0.1418276"
"810.0";"0.1437978"
"820.0";"0.1482884"
"830.0";"0.152257"
"840.0";"0.1566129"
"850.0";"0.148404"
"860.0";"0.142338"
"870.0";"0.1494617"
"880.0";"0.1537303"
"890.0";"0.150913"
"900.0";"0.1489966"
"910.0";"0.1439159"
"920.0";"0.1488407"
"930.0";"0.1447618"
"940.0";"0.1423836"
"950.0";"0.14307"
"960.0";"0.1445899"
"970.0";"0.1418913"
"980.0";"0.1502035"
"990.0";"0.1473702"
"1000.0";"0.1573013"
"1010.0";"0.1489707"
"1020.0";"0.1609702"
"1030.0";"0.152026"
"1040.0";"0.1616272"
"1050.0";"0.1603384"
"1060.0";"0.1637884"
"1070.0";"0.1641673"
"1080.0";"0.1718968"
"1090.0";"0.1654829"
"1100.0";"0.1585612"
"1110.0";"0.1628172"
"1120.0";"0.1709731"
"1130.0";"0.1779919"
"1140.0";"0.1666398"
"1150.0";"0.1658763"
"1160.0";"0.1636065"
"1170.0";"0.163043"
"1180.0";"0.1599978"
"1190.0";"0.1568531"
"1200.0";"0.1679605"
"1210.0";"0.1691518"
"1220.0";"0.1648798"
"1230.0";"0.1599687"
"1240.0";"0.1510202"
"1250.0";"0.1458259"
"1260.0";"0.1473513"
"1270.0";"0.1545032"
"1280.0";"0.1569727"
"1290.0";"0.152402"
"1300.0";"0.1568175"
"1310.0";"0.1447299"
"1320.0";"0.1513492"
"1330.0";"0.1481566"
"1340.0";"0.1480882"
"1350.0";"0.1574857"
"1360.0";"0.1547693"
"1370.0";"0.1535242"
"1380.0";"0.1504579"
"1390.0";"0.1617065"
"1400.0";"0.1614358"
"1410.0";"0.173917"
"1420.0";"0.1781275"
"1430.0";"0.1800069"
"1440.0";"0.1727352"
"1450.0";"0.1747375"
"1460.0";"0.1688458"
"1470.0";"0.1699396"
"1480.0";"0.1675169"
"1490.0";"0.167667"
"1500.0";"0.1636887"
"1510.0";"0.1655841"
"1520.0";"0.1627992"
"1530.0";"0.1729743"
"1540.0";"0.1683552"
"1550.0";"0.1699473"
"1560.0";"0.173982"
"1570.0";"0.1669129"
"1580.0";"0.1687561"
"1590.0";"0.1724213"
"1600.0";"0.1820768"
"1610.0";"0.1789628"
"1620.0";"0.1777755"
"1630.0";"0.1732591"
"1640.0";"0.1789899"
"1650.0";"0.1748669"
"1660.0";"0.1818724"
"1670.0";"0.1750651"
"1680.0";"0.1752943"
"1690.0";"0.1774222"
"1700.0";"0.1778522"
"1710.0";"0.1617003"
"1720.0";"0.1648048"
"1730.0";"0.1612137"
"1740.0";"0.1648167"
"1750.0";"0.1636061"
"1760.0";"0.1674957"
"1770.0";"0.1618827"
"1780.0";"0.1634891"
"1790.0";"0.1707833"
"1800.0";"0.1636686"
"1810.0";"0.1575051"
"1820.0";"0.1547492"
"1830.0";"0.1575669"
"1840.0";"0.1650459"
"1850.0";"0.1611109"
"1860.0";"0.1661119"
"1870.0";"0.1612677"
"1880.0";"0.1572353"
"1890.0";"0.1610164"
"1900.0";"0.1540648"
"1910.0";"0.1571046"
"1920.0";"0.1561966"
"1930.0";"0.1615543"
"1940.0";"0.1558252"
"1950.0";"0.1560956"
"1960.0";"0.1482809"
"1970.0";"0.1512377"
"1980.0";"0.151124"
"1990.0";"0.1621621"
"2000.0";"0.1607802"
"2010.0";"0.1611259"
"2020.0";"0.1534067"
"2030.0";"0.1528954"
"2040.0";"0.1550335"
"2050.0";"0.156988"
"2060.0";"0.1578305"
"2070.0";"0.144641"
"2080.0";"0.1513837"
"2090.0";"0.1502124"
"2100.0";"0.1577254"
"2110.0";"0.1533852"
"2120.0";"0.1540936"
"2130.0";"0.1556312"
"2140.0";"0.1456889"
"2150.0";"0.1498898"
"2160.0";"0.1501285"
"2170.0";"0.1526432"
"2180.0";"0.1534365"
"2190.0";"0.1601598"
"2200.0";"0.1622719"
"2210.0";"0.1562326"
