# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_sasa.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_1
# Original file was created by command :
"Solvent Accessible Surface"
"Time (ps)";"Total"
"0.0";"87.305"
"10.0";"85.186"
"20.0";"85.506"
"30.0";"86.409"
"40.0";"85.973"
"50.0";"85.253"
"60.0";"87.136"
"70.0";"85.74"
"80.0";"87.062"
"90.0";"85.579"
"100.0";"86.926"
"110.0";"85.545"
"120.0";"87.236"
"130.0";"85.541"
"140.0";"86.987"
"150.0";"86.028"
"160.0";"84.745"
"170.0";"87.276"
"180.0";"86.173"
"190.0";"86.469"
"200.0";"86.193"
"210.0";"86.482"
"220.0";"85.169"
"230.0";"87.651"
"240.0";"84.787"
"250.0";"84.408"
"260.0";"85.639"
"270.0";"84.537"
"280.0";"84.802"
"290.0";"85.513"
"300.0";"83.953"
"310.0";"86.75"
"320.0";"83.927"
"330.0";"86.466"
"340.0";"85.038"
"350.0";"85.172"
"360.0";"86.187"
"370.0";"85.072"
"380.0";"87.403"
"390.0";"87.408"
"400.0";"86.707"
"410.0";"86.746"
"420.0";"84.813"
"430.0";"83.8"
"440.0";"85.238"
"450.0";"85.306"
"460.0";"83.622"
"470.0";"84.911"
"480.0";"85.871"
"490.0";"85.208"
"500.0";"86.27"
"510.0";"84.515"
"520.0";"85.926"
"530.0";"85.34"
"540.0";"84.761"
"550.0";"84.905"
"560.0";"86.189"
"570.0";"84.861"
"580.0";"87.073"
"590.0";"86.884"
"600.0";"87.121"
"610.0";"85.485"
"620.0";"86.826"
"630.0";"86.016"
"640.0";"84.58"
"650.0";"84.112"
"660.0";"84.817"
"670.0";"86.705"
"680.0";"85.736"
"690.0";"84.927"
"700.0";"84.966"
"710.0";"85.798"
"720.0";"82.676"
"730.0";"85.086"
"740.0";"83.916"
"750.0";"84.263"
"760.0";"86.063"
"770.0";"85.222"
"780.0";"85.86"
"790.0";"84.433"
"800.0";"85.97"
"810.0";"86.753"
"820.0";"86.091"
"830.0";"88.192"
"840.0";"87.36"
"850.0";"86.837"
"860.0";"86.038"
"870.0";"86.461"
"880.0";"86.78"
"890.0";"85.823"
"900.0";"88.706"
"910.0";"85.68"
"920.0";"85.926"
"930.0";"86.427"
"940.0";"86.734"
"950.0";"86.035"
"960.0";"84.558"
"970.0";"85.641"
"980.0";"84.523"
"990.0";"84.395"
"1000.0";"86.971"
"1010.0";"85.793"
"1020.0";"87.413"
"1030.0";"86.504"
"1040.0";"85.296"
"1050.0";"87.289"
"1060.0";"85.638"
"1070.0";"86.135"
"1080.0";"85.243"
"1090.0";"84.053"
"1100.0";"86.236"
"1110.0";"84.412"
"1120.0";"85.542"
"1130.0";"85.801"
"1140.0";"86.642"
"1150.0";"85.311"
"1160.0";"85.22"
"1170.0";"85.832"
"1180.0";"85.862"
"1190.0";"87.92"
"1200.0";"84.928"
"1210.0";"86.536"
"1220.0";"86.559"
"1230.0";"86.662"
"1240.0";"84.733"
"1250.0";"86.27"
"1260.0";"85.913"
"1270.0";"86.286"
"1280.0";"84.904"
"1290.0";"88.128"
"1300.0";"86.704"
"1310.0";"84.883"
"1320.0";"86.793"
"1330.0";"88.449"
"1340.0";"87.723"
"1350.0";"86.813"
"1360.0";"88.195"
"1370.0";"87.433"
"1380.0";"89.339"
"1390.0";"88.427"
"1400.0";"88.209"
"1410.0";"86.869"
"1420.0";"87.471"
"1430.0";"87.074"
"1440.0";"86.997"
"1450.0";"88.455"
"1460.0";"87.745"
"1470.0";"87.616"
"1480.0";"88.251"
"1490.0";"86.405"
"1500.0";"84.755"
"1510.0";"87.973"
"1520.0";"88.526"
"1530.0";"86.569"
"1540.0";"84.658"
"1550.0";"88.259"
"1560.0";"86.961"
"1570.0";"85.539"
"1580.0";"85.977"
"1590.0";"85.963"
"1600.0";"85.37"
"1610.0";"87.296"
"1620.0";"85.189"
"1630.0";"86.287"
"1640.0";"85.595"
"1650.0";"84.074"
"1660.0";"84.878"
"1670.0";"86.368"
"1680.0";"86.389"
"1690.0";"87.75"
"1700.0";"86.369"
"1710.0";"85.796"
"1720.0";"88.055"
"1730.0";"86.373"
"1740.0";"85.803"
"1750.0";"84.678"
"1760.0";"87.009"
"1770.0";"85.636"
"1780.0";"86.124"
"1790.0";"84.255"
"1800.0";"84.865"
"1810.0";"85.298"
"1820.0";"85.027"
"1830.0";"84.599"
"1840.0";"85.025"
"1850.0";"85.379"
"1860.0";"84.017"
"1870.0";"84.729"
"1880.0";"86.722"
"1890.0";"86.487"
"1900.0";"86.113"
"1910.0";"86.239"
"1920.0";"85.048"
"1930.0";"85.552"
"1940.0";"84.834"
"1950.0";"83.536"
"1960.0";"86.583"
"1970.0";"86.422"
"1980.0";"87.19"
"1990.0";"87.285"
"2000.0";"85.328"
"2010.0";"86.705"
"2020.0";"87.342"
"2030.0";"87.083"
"2040.0";"87.724"
"2050.0";"85.892"
"2060.0";"85.352"
"2070.0";"86.169"
"2080.0";"85.372"
"2090.0";"84.683"
"2100.0";"85.014"
"2110.0";"84.372"
"2120.0";"83.144"
"2130.0";"84.534"
"2140.0";"84.88"
"2150.0";"83.93"
"2160.0";"85.815"
"2170.0";"84.554"
"2180.0";"85.864"
"2190.0";"86.323"
"2200.0";"85.961"
"2210.0";"87.661"
"2220.0";"83.017"
"2230.0";"84.248"
"2240.0";"82.697"
"2250.0";"84.562"
"2260.0";"85.726"
"2270.0";"85.07"
"2280.0";"84.614"
"2290.0";"82.568"
"2300.0";"81.887"
"2310.0";"83.99"
"2320.0";"83.635"
"2330.0";"84.866"
"2340.0";"85.585"
"2350.0";"85.057"
"2360.0";"86.081"
"2370.0";"85.599"
"2380.0";"85.961"
"2390.0";"86.078"
"2400.0";"83.672"
"2410.0";"83.179"
"2420.0";"85.352"
"2430.0";"84.522"
"2440.0";"83.429"
"2450.0";"83.834"
"2460.0";"85.211"
"2470.0";"85.372"
"2480.0";"86.785"
"2490.0";"85.769"
"2500.0";"85.632"
"2510.0";"85.547"
"2520.0";"83.2"
"2530.0";"84.996"
"2540.0";"83.479"
"2550.0";"83.7"
"2560.0";"84.326"
"2570.0";"83.352"
"2580.0";"84.15"
"2590.0";"83.014"
"2600.0";"85.564"
"2610.0";"84.942"
"2620.0";"85.589"
"2630.0";"85.483"
"2640.0";"83.43"
"2650.0";"84.595"
"2660.0";"85.089"
"2670.0";"84.165"
"2680.0";"86.904"
"2690.0";"85.222"
"2700.0";"84.648"
"2710.0";"86.261"
"2720.0";"87.014"
"2730.0";"83.482"
"2740.0";"84.455"
"2750.0";"84.587"
"2760.0";"83.601"
"2770.0";"85.863"
"2780.0";"83.082"
"2790.0";"84.687"
"2800.0";"85.435"
"2810.0";"84.609"
"2820.0";"85.735"
"2830.0";"86.363"
"2840.0";"87.184"
"2850.0";"84.237"
"2860.0";"86.014"
"2870.0";"84.83"
"2880.0";"83.475"
"2890.0";"84.678"
"2900.0";"83.824"
"2910.0";"84.391"
"2920.0";"82.891"
"2930.0";"82.615"
"2940.0";"83.714"
"2950.0";"85.262"
"2960.0";"84.801"
"2970.0";"82.976"
"2980.0";"85.663"
"2990.0";"85.765"
"3000.0";"87.904"
"3010.0";"86.981"
"3020.0";"84.967"
"3030.0";"85.026"
"3040.0";"84.699"
"3050.0";"85.091"
"3060.0";"84.791"
"3070.0";"82.731"
"3080.0";"85.309"
"3090.0";"83.821"
"3100.0";"85.763"
"3110.0";"83.973"
"3120.0";"84.342"
"3130.0";"83.737"
"3140.0";"82.826"
"3150.0";"83.738"
"3160.0";"85.657"
"3170.0";"85.277"
"3180.0";"83.424"
"3190.0";"84.724"
"3200.0";"85.443"
"3210.0";"85.77"
"3220.0";"87.134"
"3230.0";"85.053"
"3240.0";"84.971"
"3250.0";"85.156"
"3260.0";"83.725"
"3270.0";"86.611"
"3280.0";"86.383"
"3290.0";"86.018"
"3300.0";"86.261"
"3310.0";"87.374"
"3320.0";"86.352"
"3330.0";"86.091"
"3340.0";"86.571"
"3350.0";"87.808"
"3360.0";"87.832"
"3370.0";"86.002"
"3380.0";"86.653"
"3390.0";"85.728"
"3400.0";"86.855"
"3410.0";"86.831"
"3420.0";"85.707"
"3430.0";"85.62"
"3440.0";"86.043"
"3450.0";"86.472"
"3460.0";"85.798"
"3470.0";"84.496"
"3480.0";"84.657"
