# This .csv file was created 12.10.2024 14:28
# extracted out of file mindist_major_allergenic_epitope_r_41-60_MOL6.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_41-60-MOL6"
"0.0";"3.127767"
"10.0";"3.065538"
"20.0";"3.041532"
"30.0";"2.912147"
"40.0";"3.005073"
"50.0";"3.007588"
"60.0";"3.117129"
"70.0";"3.318825"
"80.0";"3.17165"
"90.0";"3.075965"
"100.0";"3.179281"
"110.0";"3.435306"
"120.0";"3.16589"
"130.0";"2.943243"
"140.0";"2.849468"
"150.0";"3.262137"
"160.0";"3.043145"
"170.0";"3.159758"
"180.0";"3.26532"
"190.0";"3.320208"
"200.0";"3.06378"
"210.0";"2.972508"
"220.0";"3.146162"
"230.0";"3.145226"
"240.0";"3.328622"
"250.0";"3.259473"
"260.0";"3.050774"
"270.0";"3.128391"
"280.0";"3.095392"
"290.0";"3.027507"
"300.0";"3.095759"
"310.0";"3.203436"
"320.0";"3.194557"
"330.0";"3.247263"
"340.0";"3.31082"
"350.0";"3.408912"
"360.0";"3.552838"
"370.0";"3.668761"
"380.0";"3.585157"
"390.0";"3.494537"
"400.0";"3.498717"
"410.0";"3.492264"
"420.0";"3.405645"
"430.0";"3.283157"
"440.0";"3.120414"
"450.0";"3.178883"
"460.0";"3.061406"
"470.0";"3.272856"
"480.0";"3.193717"
"490.0";"3.352066"
"500.0";"3.5356"
"510.0";"3.54472"
"520.0";"3.603945"
"530.0";"3.773197"
"540.0";"3.693249"
"550.0";"3.722279"
"560.0";"4.176964"
"570.0";"4.015282"
"580.0";"3.997059"
"590.0";"4.280955"
"600.0";"4.286361"
"610.0";"3.970382"
"620.0";"4.007614"
"630.0";"3.827788"
"640.0";"4.044703"
"650.0";"3.975135"
"660.0";"4.000513"
"670.0";"3.842035"
"680.0";"3.754768"
"690.0";"3.489085"
"700.0";"3.6765"
"710.0";"3.453709"
"720.0";"3.618884"
"730.0";"3.942223"
"740.0";"3.896663"
"750.0";"3.941504"
"760.0";"4.051574"
"770.0";"4.146133"
"780.0";"4.264066"
"790.0";"4.152449"
"800.0";"4.157642"
"810.0";"3.996148"
"820.0";"3.910268"
"830.0";"3.956559"
"840.0";"4.042941"
"850.0";"4.140233"
"860.0";"4.075267"
"870.0";"4.09937"
"880.0";"4.229147"
"890.0";"4.245927"
"900.0";"4.368493"
"910.0";"4.397601"
"920.0";"4.522055"
"930.0";"4.452688"
"940.0";"4.718406"
"950.0";"4.73663"
"960.0";"4.889108"
"970.0";"4.743029"
"980.0";"4.556254"
"990.0";"4.72827"
"1000.0";"4.680711"
"1010.0";"4.681664"
"1020.0";"4.704792"
"1030.0";"4.779725"
"1040.0";"4.642396"
"1050.0";"4.559286"
"1060.0";"4.429629"
"1070.0";"4.480729"
"1080.0";"4.439504"
"1090.0";"4.412847"
"1100.0";"4.405921"
"1110.0";"4.188066"
"1120.0";"4.288675"
"1130.0";"4.514249"
"1140.0";"4.596306"
"1150.0";"4.675807"
"1160.0";"4.663887"
"1170.0";"4.587497"
"1180.0";"4.540126"
"1190.0";"4.324252"
"1200.0";"4.24915"
"1210.0";"4.350502"
"1220.0";"4.273089"
"1230.0";"4.301284"
"1240.0";"4.297865"
"1250.0";"4.110929"
"1260.0";"3.907392"
"1270.0";"3.827172"
"1280.0";"3.902475"
"1290.0";"3.811086"
"1300.0";"3.79848"
"1310.0";"3.828935"
"1320.0";"3.702133"
"1330.0";"3.533864"
"1340.0";"3.75868"
"1350.0";"3.644194"
"1360.0";"3.655116"
"1370.0";"3.857287"
"1380.0";"3.98334"
"1390.0";"3.879596"
"1400.0";"3.957412"
"1410.0";"3.937764"
"1420.0";"3.688624"
"1430.0";"3.912524"
"1440.0";"3.726157"
"1450.0";"3.796978"
"1460.0";"3.905363"
"1470.0";"3.747709"
"1480.0";"4.015122"
"1490.0";"3.822133"
"1500.0";"3.65722"
"1510.0";"3.988335"
"1520.0";"3.861002"
"1530.0";"3.995118"
"1540.0";"3.882718"
"1550.0";"4.036629"
"1560.0";"4.172909"
"1570.0";"4.112319"
"1580.0";"4.24198"
"1590.0";"3.893266"
"1600.0";"3.571261"
"1610.0";"3.420658"
"1620.0";"3.439147"
"1630.0";"3.535588"
"1640.0";"3.249537"
"1650.0";"3.07096"
"1660.0";"2.973108"
"1670.0";"2.997559"
"1680.0";"3.104392"
"1690.0";"3.294886"
"1700.0";"3.404083"
"1710.0";"3.470296"
"1720.0";"3.459427"
"1730.0";"3.481586"
"1740.0";"3.433451"
"1750.0";"3.455234"
"1760.0";"3.319585"
"1770.0";"3.409996"
"1780.0";"3.473215"
"1790.0";"3.340273"
"1800.0";"3.306012"
"1810.0";"3.082781"
"1820.0";"3.369528"
"1830.0";"3.506324"
"1840.0";"3.496034"
"1850.0";"3.339415"
"1860.0";"3.201041"
"1870.0";"3.252537"
"1880.0";"3.062091"
"1890.0";"3.320327"
"1900.0";"3.4312"
"1910.0";"3.459346"
"1920.0";"3.791442"
"1930.0";"4.044926"
"1940.0";"3.89519"
"1950.0";"3.853274"
"1960.0";"4.002941"
"1970.0";"4.015448"
"1980.0";"4.050691"
"1990.0";"4.182292"
"2000.0";"3.869131"
"2010.0";"3.840079"
"2020.0";"3.884577"
"2030.0";"3.836324"
"2040.0";"3.629317"
"2050.0";"3.435697"
"2060.0";"3.264949"
"2070.0";"3.360199"
"2080.0";"3.470748"
"2090.0";"3.458225"
"2100.0";"3.421254"
"2110.0";"3.339466"
"2120.0";"3.504435"
"2130.0";"3.623195"
"2140.0";"3.598449"
"2150.0";"3.518643"
"2160.0";"3.600319"
"2170.0";"3.744255"
"2180.0";"3.792922"
"2190.0";"3.638253"
"2200.0";"3.698339"
"2210.0";"3.650647"
"2220.0";"3.684534"
"2230.0";"3.680821"
"2240.0";"3.712009"
"2250.0";"3.902806"
"2260.0";"4.371058"
"2270.0";"4.614913"
"2280.0";"4.579445"
"2290.0";"4.484961"
"2300.0";"4.26122"
"2310.0";"4.629039"
"2320.0";"4.693322"
"2330.0";"4.751848"
"2340.0";"4.594509"
"2350.0";"4.721633"
"2360.0";"4.856423"
"2370.0";"5.084717"
"2380.0";"5.005542"
"2390.0";"4.695944"
"2400.0";"4.415222"
"2410.0";"4.421701"
"2420.0";"4.388056"
"2430.0";"4.093876"
"2440.0";"4.013248"
"2450.0";"3.924008"
"2460.0";"3.815882"
"2470.0";"4.000862"
"2480.0";"3.905656"
"2490.0";"4.065878"
"2500.0";"4.094518"
"2510.0";"4.183515"
"2520.0";"3.916878"
"2530.0";"4.066437"
"2540.0";"4.180111"
"2550.0";"3.873555"
"2560.0";"4.117292"
"2570.0";"4.278119"
"2580.0";"4.220562"
