# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_center_rottrans_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"1.3e-06"
"10.0";"0.0593053"
"20.0";"0.0665127"
"30.0";"0.059468"
"40.0";"0.0624087"
"50.0";"0.068696"
"60.0";"0.0642314"
"70.0";"0.0664983"
"80.0";"0.0664403"
"90.0";"0.0640155"
"100.0";"0.0684242"
"110.0";"0.069885"
"120.0";"0.0773871"
"130.0";"0.074283"
"140.0";"0.0724984"
"150.0";"0.0730057"
"160.0";"0.0725185"
"170.0";"0.0690196"
"180.0";"0.0724822"
"190.0";"0.0713158"
"200.0";"0.0661266"
"210.0";"0.0779437"
"220.0";"0.0791861"
"230.0";"0.076696"
"240.0";"0.0697363"
"250.0";"0.0700896"
"260.0";"0.0792925"
"270.0";"0.0731896"
"280.0";"0.0752771"
"290.0";"0.0765061"
"300.0";"0.0736484"
"310.0";"0.0741531"
"320.0";"0.0806436"
"330.0";"0.0756086"
"340.0";"0.0768392"
"350.0";"0.075486"
"360.0";"0.0758124"
"370.0";"0.0864327"
"380.0";"0.0814517"
"390.0";"0.0862312"
"400.0";"0.0829286"
"410.0";"0.0882627"
"420.0";"0.082339"
"430.0";"0.0826542"
"440.0";"0.0857447"
"450.0";"0.088955"
"460.0";"0.0846025"
"470.0";"0.078921"
"480.0";"0.0824944"
"490.0";"0.0905426"
"500.0";"0.0868539"
"510.0";"0.0840645"
"520.0";"0.0942646"
"530.0";"0.1053809"
"540.0";"0.0818045"
"550.0";"0.081353"
"560.0";"0.095048"
"570.0";"0.0875926"
"580.0";"0.0847242"
"590.0";"0.0991529"
"600.0";"0.0982554"
"610.0";"0.0940457"
"620.0";"0.0833747"
"630.0";"0.085123"
"640.0";"0.0911319"
"650.0";"0.0889646"
"660.0";"0.0894844"
"670.0";"0.0924361"
"680.0";"0.0964194"
"690.0";"0.0997564"
"700.0";"0.0986936"
"710.0";"0.0941362"
"720.0";"0.099478"
"730.0";"0.0899649"
"740.0";"0.0979967"
"750.0";"0.0932678"
"760.0";"0.0944657"
"770.0";"0.0927836"
"780.0";"0.0813241"
"790.0";"0.0866209"
"800.0";"0.0935596"
"810.0";"0.1074472"
"820.0";"0.0875534"
"830.0";"0.0908749"
"840.0";"0.083392"
"850.0";"0.0959872"
"860.0";"0.0995276"
"870.0";"0.0956954"
"880.0";"0.0903901"
"890.0";"0.0983748"
"900.0";"0.1094947"
"910.0";"0.0963921"
"920.0";"0.0960753"
"930.0";"0.1006034"
"940.0";"0.0973582"
"950.0";"0.0951904"
"960.0";"0.0983478"
"970.0";"0.0815108"
"980.0";"0.0911176"
"990.0";"0.097637"
"1000.0";"0.0927124"
"1010.0";"0.0867762"
"1020.0";"0.0943569"
"1030.0";"0.0907947"
"1040.0";"0.0896045"
"1050.0";"0.0953554"
"1060.0";"0.0868621"
"1070.0";"0.0859887"
"1080.0";"0.0953822"
"1090.0";"0.0964483"
"1100.0";"0.0897894"
"1110.0";"0.0955449"
"1120.0";"0.097189"
"1130.0";"0.097299"
"1140.0";"0.0975231"
"1150.0";"0.0922823"
"1160.0";"0.0869292"
"1170.0";"0.0864756"
"1180.0";"0.087471"
"1190.0";"0.0830803"
"1200.0";"0.0814758"
"1210.0";"0.0893156"
"1220.0";"0.0873011"
"1230.0";"0.0990352"
"1240.0";"0.0948976"
"1250.0";"0.0859191"
"1260.0";"0.0854164"
"1270.0";"0.0859165"
"1280.0";"0.0823943"
"1290.0";"0.0968971"
"1300.0";"0.0907582"
"1310.0";"0.0853428"
"1320.0";"0.0895848"
"1330.0";"0.0858694"
"1340.0";"0.0765113"
"1350.0";"0.092285"
"1360.0";"0.0862608"
"1370.0";"0.0991416"
"1380.0";"0.0917687"
"1390.0";"0.092276"
"1400.0";"0.0874553"
"1410.0";"0.0865377"
"1420.0";"0.088507"
"1430.0";"0.0846658"
"1440.0";"0.0924292"
"1450.0";"0.0780219"
"1460.0";"0.0827203"
"1470.0";"0.0858565"
"1480.0";"0.0852751"
"1490.0";"0.0812191"
"1500.0";"0.0918774"
"1510.0";"0.0951254"
"1520.0";"0.0922344"
"1530.0";"0.093547"
"1540.0";"0.0790348"
"1550.0";"0.0796271"
"1560.0";"0.089344"
"1570.0";"0.0840099"
"1580.0";"0.0802835"
"1590.0";"0.0881761"
"1600.0";"0.0852812"
"1610.0";"0.0855551"
"1620.0";"0.083639"
"1630.0";"0.0803065"
"1640.0";"0.0792743"
"1650.0";"0.0857349"
"1660.0";"0.0946296"
"1670.0";"0.0931483"
"1680.0";"0.0841039"
"1690.0";"0.0815686"
"1700.0";"0.0895162"
"1710.0";"0.0939303"
"1720.0";"0.0969329"
"1730.0";"0.0962083"
"1740.0";"0.0936448"
"1750.0";"0.0860393"
"1760.0";"0.0861861"
"1770.0";"0.0928696"
"1780.0";"0.0849265"
"1790.0";"0.0808503"
"1800.0";"0.0810509"
"1810.0";"0.0783089"
"1820.0";"0.0818116"
"1830.0";"0.0816283"
"1840.0";"0.0830915"
"1850.0";"0.0828334"
"1860.0";"0.0834358"
"1870.0";"0.0802357"
"1880.0";"0.0885861"
"1890.0";"0.0818181"
"1900.0";"0.0848508"
"1910.0";"0.0864678"
"1920.0";"0.0906804"
"1930.0";"0.085457"
"1940.0";"0.0878647"
"1950.0";"0.0842258"
"1960.0";"0.0836802"
"1970.0";"0.0886242"
"1980.0";"0.0946982"
"1990.0";"0.0981029"
"2000.0";"0.0948379"
"2010.0";"0.0803415"
"2020.0";"0.0943486"
"2030.0";"0.0983795"
"2040.0";"0.0928603"
"2050.0";"0.1038265"
"2060.0";"0.0932117"
"2070.0";"0.0895488"
"2080.0";"0.0876957"
"2090.0";"0.0916991"
"2100.0";"0.0832764"
"2110.0";"0.0898214"
"2120.0";"0.0910778"
"2130.0";"0.0856104"
"2140.0";"0.0924522"
"2150.0";"0.0929191"
"2160.0";"0.0932031"
"2170.0";"0.0930362"
"2180.0";"0.087101"
