# This .csv file was created 12.10.2024 14:28
# extracted out of file ie_prod_mol.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_3
# Original file was created by command :
"GROMACS Energies"
"Time (ps)";"Coul-SR:Protein-MOL";"LJ-SR:Protein-MOL"
"0.0";"-236.673004";"-31.122894"
"10.0";"-244.42897";"-27.029987"
"20.0";"-214.383392";"-33.882977"
"30.0";"-211.892044";"-22.833569"
"40.0";"-272.892456";"2.114294"
"50.0";"-259.200714";"-44.355942"
"60.0";"-230.617767";"-41.632195"
"70.0";"-220.090454";"-37.806374"
"80.0";"-310.501221";"-6.677942"
"90.0";"-275.201752";"-52.210342"
"100.0";"-256.968506";"-27.772867"
"110.0";"-200.129578";"-29.502733"
"120.0";"-175.91452";"-44.074745"
"130.0";"-250.560593";"-37.410252"
"140.0";"-203.125153";"-40.757469"
"150.0";"-223.319336";"-36.580318"
"160.0";"-281.403351";"-23.563671"
"170.0";"-178.973129";"-33.226864"
"180.0";"-209.280258";"-24.568226"
"190.0";"-254.727753";"-41.987076"
"200.0";"-293.547699";"-26.860298"
"210.0";"-218.233353";"-46.66172"
"220.0";"-292.927734";"-44.684357"
"230.0";"-281.375";"-16.155737"
"240.0";"-276.483124";"-19.959255"
"250.0";"-320.052704";"-17.678631"
"260.0";"-159.773224";"-46.292427"
"270.0";"-279.348328";"-38.72628"
"280.0";"-289.947906";"-57.426353"
"290.0";"-271.084351";"-41.685295"
"300.0";"-183.859421";"-46.67588"
"310.0";"-323.923462";"-30.317135"
"320.0";"-243.419998";"-48.33569"
"330.0";"-344.055176";"-40.895149"
"340.0";"-321.231445";"-53.061974"
"350.0";"-348.604797";"-49.767361"
"360.0";"-309.488892";"-57.072571"
"370.0";"-290.624512";"-24.683023"
"380.0";"-199.36322";"-46.067337"
"390.0";"-199.700134";"-32.231312"
"400.0";"-269.945221";"-31.596844"
"410.0";"-268.639771";"-72.622665"
"420.0";"-288.202637";"-50.83786"
"430.0";"-179.102066";"-42.540257"
"440.0";"-227.615097";"-40.080521"
"450.0";"-250.623077";"-11.126865"
"460.0";"-213.422653";"-24.117489"
"470.0";"-94.314003";"-47.419754"
"480.0";"-53.71122";"-43.174301"
"490.0";"-51.855659";"-46.576473"
"500.0";"-67.218903";"-44.800739"
"510.0";"-95.7314";"-41.234642"
"520.0";"-100.075447";"-42.726025"
"530.0";"-65.971474";"-44.75703"
"540.0";"-26.545187";"-48.308662"
"550.0";"-8.185479";"-51.456654"
"560.0";"-17.998066";"-43.235069"
"570.0";"-120.37326";"-44.060833"
"580.0";"-72.542473";"-47.682743"
"590.0";"-20.721497";"-42.858124"
"600.0";"-162.988678";"-50.873627"
"610.0";"-101.26062";"-45.010128"
"620.0";"-137.291946";"-55.623512"
"630.0";"-103.065018";"-39.811546"
"640.0";"-91.200653";"-49.486702"
"650.0";"-117.732681";"-42.36031"
"660.0";"-154.237625";"-36.294754"
"670.0";"-154.06105";"-31.663509"
"680.0";"-202.319962";"-44.522243"
"690.0";"-263.664276";"-36.158852"
"700.0";"-141.768372";"-37.083347"
"710.0";"-43.928307";"-49.682632"
"720.0";"-54.892288";"-48.881863"
"730.0";"-31.310711";"-57.522121"
"740.0";"-52.381653";"-58.945026"
"750.0";"-31.820578";"-49.887794"
"760.0";"-37.735569";"-43.266453"
"770.0";"-20.604481";"-58.761292"
"780.0";"-15.993183";"-59.712898"
"790.0";"-21.874069";"-52.271297"
"800.0";"-34.936234";"-47.618912"
"810.0";"-32.068428";"-38.189037"
"820.0";"1.622203";"-44.693779"
"830.0";"-15.187067";"-46.134514"
"840.0";"-61.031353";"-40.591385"
"850.0";"-43.599422";"-36.804424"
"860.0";"-24.378979";"-39.372192"
"870.0";"-93.997833";"-29.269566"
"880.0";"-153.515121";"-17.93602"
"890.0";"-173.349304";"-8.608365"
"900.0";"-186.402374";"-33.412193"
"910.0";"-163.674484";"-27.991899"
"920.0";"-182.116226";"-30.960772"
"930.0";"-249.810318";"-31.532429"
"940.0";"-283.92276";"-19.027225"
"950.0";"-214.083008";"-32.808289"
"960.0";"-247.912201";"-30.532349"
"970.0";"-217.533432";"-35.213718"
"980.0";"-195.329315";"-33.081314"
"990.0";"-167.055054";"-25.422264"
"1000.0";"-164.023468";"-28.85582"
"1010.0";"-198.770798";"-39.048824"
"1020.0";"-156.777176";"-42.909351"
"1030.0";"-235.147568";"-38.548763"
"1040.0";"-204.584549";"-39.344803"
"1050.0";"-194.181717";"-31.543617"
"1060.0";"-214.536026";"-37.700645"
"1070.0";"-104.514076";"-56.44846"
"1080.0";"-227.56572";"-16.412073"
"1090.0";"-184.007568";"-38.304089"
"1100.0";"-138.488968";"-37.461525"
"1110.0";"-194.521301";"-41.17836"
"1120.0";"-198.68454";"-35.622238"
"1130.0";"-176.619629";"-40.867424"
"1140.0";"-161.019318";"-38.343079"
"1150.0";"-182.71582";"-32.916737"
"1160.0";"-194.671005";"-47.645226"
"1170.0";"-202.907837";"-46.199833"
"1180.0";"-21.669077";"-60.946758"
"1190.0";"-49.36887";"-68.33651"
"1200.0";"-91.514587";"-67.017311"
"1210.0";"-103.513725";"-56.853745"
"1220.0";"-85.666855";"-60.203739"
"1230.0";"-88.227409";"-44.755627"
"1240.0";"-131.561951";"-23.330078"
"1250.0";"-126.698074";"-51.623192"
"1260.0";"-127.528519";"-46.51992"
"1270.0";"-49.977005";"-44.07003"
"1280.0";"-70.438011";"-53.336491"
"1290.0";"-83.392067";"-47.673466"
"1300.0";"-99.1819";"-28.951765"
"1310.0";"-50.437065";"-43.166782"
"1320.0";"-37.162434";"-36.283314"
"1330.0";"-8.521894";"-50.040089"
"1340.0";"-88.181541";"-40.641754"
"1350.0";"-25.425058";"-39.947723"
"1360.0";"-38.127991";"-39.640728"
"1370.0";"-23.448818";"-33.5154"
"1380.0";"-71.241982";"-53.812504"
"1390.0";"-94.589149";"-48.009819"
"1400.0";"-91.425812";"-55.126572"
"1410.0";"-58.708351";"-56.028858"
"1420.0";"26.931316";"-52.545826"
"1430.0";"11.490082";"-53.843754"
"1440.0";"11.181179";"-41.512074"
"1450.0";"-4.529256";"-44.395252"
"1460.0";"5.773211";"-44.790894"
"1470.0";"3.240445";"-46.802372"
"1480.0";"-45.338882";"-46.320442"
"1490.0";"-32.018642";"-34.931198"
"1500.0";"-15.931929";"-33.197258"
"1510.0";"-10.504908";"-24.777029"
"1520.0";"-15.027673";"-43.440376"
"1530.0";"-13.261024";"-46.208412"
"1540.0";"-56.516884";"-42.591747"
"1550.0";"-14.170403";"-48.797581"
"1560.0";"-118.758888";"-58.220695"
"1570.0";"-74.058502";"-63.633812"
"1580.0";"-101.022148";"-58.949726"
"1590.0";"-105.430611";"-56.376572"
"1600.0";"-107.014259";"-70.973297"
"1610.0";"-34.266022";"-60.218773"
"1620.0";"-145.656067";"-39.33231"
"1630.0";"-136.086838";"-25.311863"
"1640.0";"-130.881226";"-35.027493"
"1650.0";"-152.689133";"-35.195572"
"1660.0";"-130.403168";"-40.735962"
"1670.0";"-100.877319";"-39.884251"
"1680.0";"-116.198097";"-46.237328"
"1690.0";"-140.785339";"-57.990875"
"1700.0";"-162.59137";"-55.347027"
"1710.0";"-102.256767";"-84.088951"
"1720.0";"-173.966736";"-79.772278"
"1730.0";"-219.825089";"-71.485115"
"1740.0";"-181.31871";"-68.900604"
"1750.0";"-180.925659";"-60.944889"
"1760.0";"-189.661423";"-56.322041"
"1770.0";"-179.121735";"-74.201813"
"1780.0";"-100.52507";"-89.281479"
"1790.0";"-149.063644";"-70.729218"
"1800.0";"-93.659065";"-73.129005"
"1810.0";"-138.440628";"-89.839905"
"1820.0";"-171.421799";"-62.790894"
"1830.0";"-93.494698";"-78.371803"
"1840.0";"-81.771088";"-79.537849"
"1850.0";"-141.746582";"-63.548462"
"1860.0";"-121.890083";"-79.269096"
"1870.0";"-55.938637";"-66.406921"
"1880.0";"-70.996246";"-66.933891"
"1890.0";"-69.745956";"-69.331619"
"1900.0";"-107.443039";"-92.616966"
"1910.0";"-79.648872";"-78.306267"
"1920.0";"-76.441879";"-84.78376"
"1930.0";"-66.388893";"-87.954239"
"1940.0";"-41.831425";"-80.282196"
"1950.0";"-32.155907";"-64.021309"
"1960.0";"-76.066589";"-81.53598"
"1970.0";"-68.712257";"-59.30217"
"1980.0";"-51.209042";"-32.548508"
"1990.0";"-32.238884";"-43.072224"
"2000.0";"-38.313965";"-27.407892"
"2010.0";"-31.158079";"-26.489494"
"2020.0";"-32.127506";"-40.467358"
"2030.0";"-40.00824";"-50.685806"
"2040.0";"-49.905052";"-57.588947"
"2050.0";"-6.740858";"-65.8703"
"2060.0";"-57.925262";"-71.145103"
"2070.0";"-68.222916";"-68.165916"
"2080.0";"-59.704891";"-70.661858"
"2090.0";"-90.001686";"-76.122833"
"2100.0";"-64.993851";"-65.609665"
"2110.0";"-57.532867";"-61.507191"
"2120.0";"-52.652077";"-63.336754"
"2130.0";"-49.125576";"-54.284649"
"2140.0";"-54.551918";"-54.281963"
"2150.0";"-49.843357";"-58.756386"
"2160.0";"-8.028935";"-63.529495"
"2170.0";"-46.214531";"-72.988358"
"2180.0";"-28.649483";"-65.541687"
"2190.0";"-50.785187";"-73.929123"
"2200.0";"-56.461914";"-91.49675"
"2210.0";"-106.265381";"-87.19632"
"2220.0";"-94.627495";"-52.56929"
"2230.0";"-93.908005";"-62.350136"
"2240.0";"-74.401848";"-68.693558"
"2250.0";"-57.954323";"-71.8293"
"2260.0";"-41.322124";"-73.069977"
"2270.0";"-103.555191";"-77.549103"
"2280.0";"-131.247635";"-85.831528"
"2290.0";"-186.404266";"-99.548622"
"2300.0";"-80.594818";"-83.104347"
"2310.0";"-86.592499";"-57.166515"
"2320.0";"-55.917328";"-89.089264"
"2330.0";"-146.635284";"-90.867203"
"2340.0";"-90.413101";"-70.503456"
"2350.0";"-112.879906";"-75.731415"
"2360.0";"-70.122177";"-69.179047"
"2370.0";"-47.705433";"-81.82077"
"2380.0";"-58.256413";"-88.589188"
"2390.0";"-64.031311";"-84.036995"
"2400.0";"-96.121109";"-78.899925"
"2410.0";"-78.550018";"-83.259529"
"2420.0";"-65.576118";"-74.112297"
"2430.0";"-67.13974";"-78.868835"
"2440.0";"-88.320915";"-78.783569"
"2450.0";"-98.941681";"-81.175369"
"2460.0";"-123.942871";"-94.886574"
"2470.0";"-126.826965";"-85.222939"
"2480.0";"-90.010834";"-71.989441"
"2490.0";"-135.902161";"-76.934151"
"2500.0";"-102.364174";"-80.457634"
"2510.0";"-113.86348";"-89.187653"
"2520.0";"-124.327591";"-74.762138"
"2530.0";"-146.179855";"-93.140762"
"2540.0";"-171.886108";"-72.351761"
"2550.0";"-199.976379";"-95.613548"
"2560.0";"-128.305313";"-79.843735"
"2570.0";"-96.102203";"-101.162277"
"2580.0";"-111.2192";"-97.507339"
"2590.0";"-104.990494";"-81.747566"
"2600.0";"-109.706001";"-84.709465"
"2610.0";"-113.527359";"-84.601166"
"2620.0";"-114.230423";"-81.332047"
"2630.0";"-124.207657";"-84.840279"
"2640.0";"-149.456161";"-76.140305"
"2650.0";"-111.098877";"-91.035187"
"2660.0";"-138.063538";"-80.966583"
"2670.0";"-111.281937";"-83.707466"
"2680.0";"-137.198563";"-82.722557"
"2690.0";"-86.274513";"-93.563812"
"2700.0";"-80.534546";"-85.026337"
"2710.0";"-109.677689";"-95.557549"
"2720.0";"-127.139244";"-99.848244"
"2730.0";"-117.47184";"-93.820587"
"2740.0";"-148.88208";"-97.143143"
"2750.0";"-204.694321";"-75.6828"
"2760.0";"-146.688309";"-79.480576"
"2770.0";"-162.258545";"-83.461601"
"2780.0";"-207.880936";"-66.047478"
"2790.0";"-180.361938";"-90.811928"
"2800.0";"-237.138794";"-59.133774"
"2810.0";"-261.466309";"-55.544697"
"2820.0";"-215.68483";"-73.619484"
"2830.0";"-265.362671";"-59.452629"
"2840.0";"-151.831207";"-61.657288"
"2850.0";"-169.967743";"-71.760849"
"2860.0";"-116.761513";"-93.873421"
"2870.0";"-211.771301";"-84.443832"
"2880.0";"-194.5914";"-86.565323"
"2890.0";"-169.765549";"-75.45298"
"2900.0";"-210.304932";"-78.894325"
"2910.0";"-212.697113";"-71.503983"
"2920.0";"-184.007294";"-64.724319"
"2930.0";"-171.171188";"-79.974365"
"2940.0";"-148.595383";"-84.956581"
"2950.0";"-197.254135";"-64.482651"
"2960.0";"-173.411346";"-73.760109"
"2970.0";"-145.318115";"-88.675987"
"2980.0";"-167.673203";"-80.864342"
"2990.0";"-209.616913";"-76.992592"
"3000.0";"-171.305389";"-96.77066"
"3010.0";"-264.918671";"-96.989746"
"3020.0";"-224.745911";"-96.180115"
"3030.0";"-265.402924";"-97.458473"
"3040.0";"-221.385895";"-100.753181"
"3050.0";"-172.634674";"-97.794991"
"3060.0";"-196.150787";"-76.582436"
"3070.0";"-176.94635";"-74.850784"
"3080.0";"-200.78624";"-69.436066"
"3090.0";"-197.637177";"-75.530006"
"3100.0";"-325.188599";"-69.828201"
"3110.0";"-303.841309";"-80.377907"
"3120.0";"-253.011765";"-76.372353"
"3130.0";"-210.591568";"-84.392685"
"3140.0";"-161.447632";"-93.919693"
"3150.0";"-264.696594";"-94.189987"
"3160.0";"-250.879028";"-87.085464"
"3170.0";"-246.156311";"-82.282867"
"3180.0";"-271.670471";"-68.696548"
"3190.0";"-319.150543";"-42.626968"
"3200.0";"-321.031769";"-62.8283"
"3210.0";"-256.719849";"-84.415848"
"3220.0";"-194.087708";"-95.809204"
"3230.0";"-234.212967";"-95.259727"
"3240.0";"-323.908447";"-72.479973"
"3250.0";"-336.530151";"-72.843834"
"3260.0";"-317.298462";"-62.620007"
"3270.0";"-272.273407";"-76.554543"
"3280.0";"-275.276703";"-71.582237"
"3290.0";"-337.382599";"-56.375648"
"3300.0";"-228.151169";"-95.935951"
"3310.0";"-262.494385";"-81.919144"
"3320.0";"-310.688293";"-43.266525"
"3330.0";"-313.741516";"-24.091824"
"3340.0";"-334.788452";"-52.338749"
"3350.0";"-251.736908";"-75.424629"
"3360.0";"-363.635742";"-69.078156"
"3370.0";"-333.682831";"-88.067581"
"3380.0";"-322.061035";"-66.873207"
"3390.0";"-385.923187";"-65.533699"
"3400.0";"-323.608887";"-86.854332"
"3410.0";"-393.263947";"-76.624687"
"3420.0";"-396.633789";"-31.486635"
"3430.0";"-311.613098";"-79.333763"
"3440.0";"-337.764984";"-80.383858"
"3450.0";"-356.366241";"-75.149139"
"3460.0";"-332.084869";"-84.855064"
"3470.0";"-310.508636";"-97.865501"
"3480.0";"-310.308929";"-84.302704"
"3490.0";"-313.078278";"-96.386787"
"3500.0";"-328.085541";"-88.088516"
"3510.0";"-286.270203";"-78.710106"
"3520.0";"-314.257904";"-72.793724"
"3530.0";"-268.267029";"-103.770332"
"3540.0";"-323.652191";"-79.384933"
"3550.0";"-316.518768";"-86.665985"
"3560.0";"-196.652191";"-96.096413"
"3570.0";"-278.663574";"-89.053009"
"3580.0";"-170.299774";"-98.29007"
"3590.0";"-147.613571";"-94.105949"
"3600.0";"-197.528259";"-91.98304"
"3610.0";"-185.93042";"-70.247765"
"3620.0";"-176.487167";"-87.291306"
"3630.0";"-170.465073";"-92.33773"
"3640.0";"-180.819107";"-84.865593"
"3650.0";"-112.453003";"-86.996666"
"3660.0";"-81.122696";"-84.712807"
"3670.0";"-70.886017";"-90.942261"
"3680.0";"-136.071228";"-85.968658"
"3690.0";"-133.136292";"-99.949287"
"3700.0";"-144.37175";"-79.362846"
"3710.0";"-96.167023";"-95.665535"
"3720.0";"-144.536606";"-83.170219"
"3730.0";"-134.899689";"-95.636124"
"3740.0";"-149.667603";"-98.773697"
"3750.0";"-164.87561";"-69.486626"
"3760.0";"-109.094193";"-96.047386"
"3770.0";"-62.504868";"-73.206573"
"3780.0";"-92.138359";"-70.92662"
"3790.0";"-45.530354";"-69.022354"
"3800.0";"-69.349869";"-66.715714"
"3810.0";"-88.602142";"-57.152607"
"3820.0";"-75.54586";"-78.222076"
"3830.0";"-69.405128";"-63.039188"
"3840.0";"-64.167992";"-55.857067"
"3850.0";"-54.671394";"-60.343334"
"3860.0";"-37.640388";"-64.201401"
"3870.0";"-71.314262";"-71.592255"
"3880.0";"-78.753387";"-69.495918"
"3890.0";"-70.117752";"-86.541679"
"3900.0";"-76.722061";"-82.585892"
"3910.0";"-110.384605";"-70.998421"
"3920.0";"-68.721466";"-95.99778"
"3930.0";"-47.4986";"-93.841599"
"3940.0";"-85.804726";"-84.569893"
"3950.0";"-87.229607";"-72.799324"
"3960.0";"-112.212936";"-81.721619"
"3970.0";"-106.391914";"-79.68512"
"3980.0";"-117.693695";"-54.846245"
"3990.0";"-90.561844";"-80.774422"
"4000.0";"-93.912964";"-76.848053"
"4010.0";"-64.960403";"-92.181702"
"4020.0";"-82.882233";"-86.852104"
"4030.0";"-123.627121";"-84.180069"
"4040.0";"-193.251602";"-72.334625"
"4050.0";"-175.24617";"-89.00589"
"4060.0";"-201.685654";"-105.214867"
"4070.0";"-248.519226";"-87.757957"
"4080.0";"-223.804993";"-103.96949"
"4090.0";"-141.824677";"-112.013184"
"4100.0";"-258.351532";"-85.694916"
"4110.0";"-176.059204";"-103.206963"
"4120.0";"-181.792068";"-100.218643"
"4130.0";"-168.546295";"-92.097755"
"4140.0";"-154.965469";"-89.865562"
"4150.0";"-177.919617";"-66.440498"
"4160.0";"-131.77803";"-85.546097"
"4170.0";"-132.253494";"-80.273636"
"4180.0";"-175.148071";"-65.605362"
"4190.0";"-110.283493";"-72.967781"
"4200.0";"-158.809204";"-67.259789"
"4210.0";"-136.453217";"-64.279739"
"4220.0";"-186.565399";"-65.53466"
"4230.0";"-106.168915";"-83.5233"
"4240.0";"-152.590195";"-76.528625"
"4250.0";"-53.493443";"-69.146652"
"4260.0";"-72.341141";"-71.859711"
"4270.0";"-38.607216";"-77.080429"
"4280.0";"-172.480774";"-68.393806"
"4290.0";"-169.298935";"-69.093445"
"4300.0";"-70.086075";"-80.623886"
"4310.0";"-78.984962";"-85.992073"
"4320.0";"-62.3218";"-61.834713"
"4330.0";"-78.345436";"-70.38504"
"4340.0";"-82.648949";"-82.132484"
"4350.0";"-106.312172";"-80.9319"
"4360.0";"-78.731796";"-67.695541"
"4370.0";"-62.790962";"-67.273033"
"4380.0";"-45.821751";"-80.965286"
"4390.0";"-97.61895";"-66.802132"
"4400.0";"-92.559013";"-92.837227"
"4410.0";"-69.474991";"-87.088776"
"4420.0";"-83.875359";"-65.485229"
"4430.0";"-62.905842";"-73.269203"
"4440.0";"-48.547661";"-70.968163"
"4450.0";"-72.45842";"-79.826385"
"4460.0";"-144.247528";"-67.483925"
"4470.0";"-128.442062";"-78.991058"
"4480.0";"-132.972229";"-76.427399"
"4490.0";"-134.927643";"-65.968781"
"4500.0";"-40.260174";"-86.757401"
"4510.0";"-83.701141";"-34.311062"
"4520.0";"-66.677879";"-75.133003"
"4530.0";"-81.30851";"-61.669476"
"4540.0";"-48.187599";"-72.443344"
"4550.0";"-67.367447";"-62.647232"
"4560.0";"-90.369339";"-69.211464"
