Time (ps);Coul-SR:Protein-MOL;LJ-SR:Protein-MOL
0.0;-0.2712771124661868;-0.035673391866489386
10.0;-0.2772340785101001;-0.03065771433756394
20.0;-0.2522246573408473;-0.03986373283762956
30.0;-0.24481755727836765;-0.026381635105313626
40.0;-0.3218564827155106;0.0024936535082029083
50.0;-0.3087303190919161;-0.05283173767523852
60.0;-0.26914601972340546;-0.04858749489408882
70.0;-0.25599652685695673;-0.043974194523925834
80.0;-0.3599471627464846;-0.0077413746333885895
90.0;-0.3154391728944111;-0.059844048874421164
100.0;-0.2921590654311864;-0.031576223068614635
110.0;-0.22719020309005664;-0.033491960403682644
120.0;-0.2064651714141521;-0.051729099914322264
130.0;-0.28131697822987195;-0.0420023712486106
140.0;-0.23498976515502085;-0.047151167283664974
150.0;-0.2572595942723513;-0.042139825129309846
160.0;-0.3210131654897845;-0.026880449686861884
170.0;-0.20645901807652822;-0.038329696494284034
180.0;-0.24515358159476142;-0.028779535417667246
190.0;-0.2969027950346757;-0.04893883792761816
200.0;-0.3451269167009582;-0.03157991652460172
210.0;-0.2559381632030774;-0.054723600881925225
220.0;-0.33583001891659503;-0.051228841501863
230.0;-0.32576353995415286;-0.018704398314307546
240.0;-0.32741594903131066;-0.02363608426886457
250.0;-0.36577033862470143;-0.020203918812356426
260.0;-0.18825642040768234;-0.05454510074231177
270.0;-0.3217112677353971;-0.04459908789386402
280.0;-0.3321548188285429;-0.06578574799812127
290.0;-0.3145523386825403;-0.04836947238950581
300.0;-0.21553182228474296;-0.054716464451087264
310.0;-0.38268921837342273;-0.03581722862813667
320.0;-0.28608365320201673;-0.056807373629344085
330.0;-0.3992100343451221;-0.04745097581917758
340.0;-0.3709155880145488;-0.0612689498296865
350.0;-0.39413530775144723;-0.056267367266642554
360.0;-0.3598456991372695;-0.06635882496570007
370.0;-0.340529043294862;-0.028921463471790965
380.0;-0.23199844064561925;-0.053608435641720874
390.0;-0.2284480346847259;-0.03687118147707514
400.0;-0.3153418309892061;-0.036910476145974494
410.0;-0.3129285484641281;-0.08459546052861486
420.0;-0.3321761105092091;-0.058594615154099715
430.0;-0.2085710728884024;-0.04953972470333407
440.0;-0.2639107412431737;-0.046471785685299194
450.0;-0.29629380393918614;-0.013154499562575367
