# This .csv file was created 12.10.2024 14:28
# extracted out of file mindist_major_allergenic_epitope_r_102-124_MOL.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_102-124-MOL"
"0.0";"0.6673453"
"10.0";"0.571372"
"20.0";"0.5968587"
"30.0";"0.6530681"
"40.0";"0.697648"
"50.0";"0.7348349"
"60.0";"0.7599303"
"70.0";"0.7120807"
"80.0";"0.639263"
"90.0";"0.6238461"
"100.0";"0.5967069"
"110.0";"0.6425012"
"120.0";"0.7502092"
"130.0";"0.8051462"
"140.0";"0.6513751"
"150.0";"0.7037738"
"160.0";"0.6167772"
"170.0";"0.7640365"
"180.0";"0.609284"
"190.0";"0.6873528"
"200.0";"0.7016082"
"210.0";"0.6811587"
"220.0";"0.593391"
"230.0";"0.6660749"
"240.0";"0.6841609"
"250.0";"0.7971432"
"260.0";"0.5549053"
"270.0";"0.5952225"
"280.0";"0.5264916"
"290.0";"0.5143477"
"300.0";"0.5021601"
"310.0";"0.4696769"
"320.0";"0.3950624"
"330.0";"0.3143424"
"340.0";"0.2156366"
"350.0";"0.2175774"
"360.0";"0.2306099"
"370.0";"0.2129832"
"380.0";"0.335826"
"390.0";"0.3775672"
"400.0";"0.3748359"
"410.0";"0.3260968"
"420.0";"0.3212322"
"430.0";"0.4549571"
"440.0";"0.5058252"
"450.0";"0.5224797"
"460.0";"0.4888814"
"470.0";"0.4378417"
"480.0";"0.3951075"
"490.0";"0.3276051"
"500.0";"0.2415221"
"510.0";"0.2168433"
"520.0";"0.1836626"
"530.0";"0.2104995"
"540.0";"0.2161297"
"550.0";"0.2405016"
"560.0";"0.2545858"
"570.0";"0.1642255"
"580.0";"0.1754679"
"590.0";"0.2564431"
"600.0";"0.1784407"
"610.0";"0.1860592"
"620.0";"0.2272994"
"630.0";"0.2608255"
"640.0";"0.2311212"
"650.0";"0.1921615"
"660.0";"0.1701911"
"670.0";"0.1766409"
"680.0";"0.1701207"
"690.0";"0.1658344"
"700.0";"0.1739223"
"710.0";"0.1872403"
"720.0";"0.1739684"
"730.0";"0.2143036"
"740.0";"0.2161757"
"750.0";"0.1818407"
"760.0";"0.2245463"
"770.0";"0.2386148"
"780.0";"0.2346342"
"790.0";"0.2270747"
"800.0";"0.2156759"
"810.0";"0.2454914"
"820.0";"0.2153439"
"830.0";"0.22893"
"840.0";"0.2785353"
"850.0";"0.2710479"
"860.0";"0.2238614"
"870.0";"0.2809094"
"880.0";"0.2646148"
"890.0";"0.2433699"
"900.0";"0.1896472"
"910.0";"0.2355292"
"920.0";"0.2621547"
"930.0";"0.2461503"
"940.0";"0.2266143"
"950.0";"0.2287399"
"960.0";"0.2050167"
"970.0";"0.1824639"
"980.0";"0.1900449"
"990.0";"0.1791786"
"1000.0";"0.1745051"
"1010.0";"0.1717788"
"1020.0";"0.2338825"
"1030.0";"0.1966622"
"1040.0";"0.274709"
"1050.0";"0.2520099"
"1060.0";"0.280346"
"1070.0";"0.2268063"
"1080.0";"0.2160116"
"1090.0";"0.283616"
"1100.0";"0.2560197"
"1110.0";"0.2332233"
"1120.0";"0.2740621"
"1130.0";"0.2185725"
"1140.0";"0.2098999"
"1150.0";"0.2714941"
"1160.0";"0.2300045"
"1170.0";"0.2442231"
"1180.0";"0.2023018"
"1190.0";"0.2583872"
"1200.0";"0.2616906"
"1210.0";"0.2380378"
"1220.0";"0.2463944"
"1230.0";"0.2429261"
"1240.0";"0.2230896"
"1250.0";"0.2543325"
"1260.0";"0.2276159"
"1270.0";"0.2352124"
"1280.0";"0.2482055"
"1290.0";"0.2289891"
"1300.0";"0.2341069"
"1310.0";"0.2351105"
"1320.0";"0.2196428"
"1330.0";"0.2215716"
"1340.0";"0.2521029"
"1350.0";"0.2485998"
"1360.0";"0.2437253"
"1370.0";"0.2833707"
"1380.0";"0.2580389"
"1390.0";"0.229227"
"1400.0";"0.2070484"
"1410.0";"0.2416487"
"1420.0";"0.2695812"
"1430.0";"0.226243"
"1440.0";"0.2789856"
"1450.0";"0.2759676"
"1460.0";"0.240054"
"1470.0";"0.2686506"
"1480.0";"0.2389833"
"1490.0";"0.2680689"
"1500.0";"0.2306033"
"1510.0";"0.2304799"
"1520.0";"0.2086027"
"1530.0";"0.2331891"
"1540.0";"0.1708887"
"1550.0";"0.2650376"
"1560.0";"0.2526658"
"1570.0";"0.2525332"
"1580.0";"0.2140304"
"1590.0";"0.2561446"
"1600.0";"0.2337351"
"1610.0";"0.2820726"
"1620.0";"0.2212059"
"1630.0";"0.321045"
"1640.0";"0.2461381"
"1650.0";"0.2243435"
"1660.0";"0.2348916"
"1670.0";"0.2379369"
"1680.0";"0.272672"
"1690.0";"0.2653637"
"1700.0";"0.2816913"
"1710.0";"0.282296"
"1720.0";"0.2578275"
"1730.0";"0.2395517"
"1740.0";"0.2370718"
"1750.0";"0.2260709"
"1760.0";"0.2172994"
"1770.0";"0.2104208"
"1780.0";"0.2109502"
"1790.0";"0.2588011"
"1800.0";"0.248781"
"1810.0";"0.2599345"
"1820.0";"0.3132699"
"1830.0";"0.2715458"
"1840.0";"0.2708249"
"1850.0";"0.2770614"
"1860.0";"0.2537497"
"1870.0";"0.2673593"
"1880.0";"0.314172"
"1890.0";"0.2995296"
"1900.0";"0.2590252"
"1910.0";"0.2258076"
"1920.0";"0.2488955"
"1930.0";"0.2386189"
"1940.0";"0.2076465"
"1950.0";"0.2644921"
"1960.0";"0.2256037"
"1970.0";"0.4139434"
"1980.0";"0.444232"
"1990.0";"0.4096841"
"2000.0";"0.4662071"
"2010.0";"0.4664344"
"2020.0";"0.4668213"
"2030.0";"0.3587463"
"2040.0";"0.329281"
"2050.0";"0.2646545"
"2060.0";"0.2538504"
"2070.0";"0.2559022"
"2080.0";"0.2880156"
"2090.0";"0.2808594"
"2100.0";"0.2712601"
"2110.0";"0.2318145"
"2120.0";"0.2196064"
"2130.0";"0.2331909"
"2140.0";"0.2336022"
"2150.0";"0.2488654"
"2160.0";"0.2344099"
"2170.0";"0.2558084"
"2180.0";"0.2394181"
"2190.0";"0.2788907"
"2200.0";"0.2292008"
"2210.0";"0.2443175"
"2220.0";"0.2164834"
"2230.0";"0.2074463"
"2240.0";"0.2761974"
"2250.0";"0.2475847"
"2260.0";"0.2738705"
"2270.0";"0.2558458"
"2280.0";"0.249912"
"2290.0";"0.2593089"
"2300.0";"0.2618148"
"2310.0";"0.2497057"
"2320.0";"0.2138904"
"2330.0";"0.2490662"
"2340.0";"0.2641478"
"2350.0";"0.2247442"
"2360.0";"0.2530394"
"2370.0";"0.2638676"
"2380.0";"0.2236157"
"2390.0";"0.2752927"
"2400.0";"0.2440022"
"2410.0";"0.2556112"
"2420.0";"0.2633117"
"2430.0";"0.2312835"
"2440.0";"0.2431233"
"2450.0";"0.2520278"
"2460.0";"0.2315293"
"2470.0";"0.2304997"
"2480.0";"0.2838944"
"2490.0";"0.2720606"
"2500.0";"0.290596"
"2510.0";"0.2523568"
"2520.0";"0.2729727"
"2530.0";"0.2251111"
"2540.0";"0.2195312"
"2550.0";"0.2354952"
"2560.0";"0.2285344"
"2570.0";"0.2345568"
"2580.0";"0.2425883"
"2590.0";"0.2447467"
"2600.0";"0.2543795"
"2610.0";"0.2119271"
"2620.0";"0.2600691"
"2630.0";"0.2416051"
"2640.0";"0.2509223"
"2650.0";"0.2047364"
"2660.0";"0.2167786"
"2670.0";"0.1924424"
"2680.0";"0.2062671"
"2690.0";"0.2230628"
"2700.0";"0.2301131"
"2710.0";"0.2338075"
"2720.0";"0.2511057"
"2730.0";"0.2548274"
"2740.0";"0.2642576"
"2750.0";"0.2508007"
"2760.0";"0.2584586"
"2770.0";"0.265701"
"2780.0";"0.2357159"
"2790.0";"0.2465664"
"2800.0";"0.2555034"
"2810.0";"0.3290137"
"2820.0";"0.3022996"
"2830.0";"0.2560039"
"2840.0";"0.2580969"
"2850.0";"0.2576373"
"2860.0";"0.2629108"
"2870.0";"0.2636457"
