# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_mindist_mol2_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAB/2blg_clab_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL2-dimer_area"
"0.0";"2.619235"
"10.0";"2.496387"
"20.0";"2.495408"
"30.0";"2.494159"
"40.0";"2.651012"
"50.0";"2.53156"
"60.0";"2.454612"
"70.0";"2.314716"
"80.0";"2.204787"
"90.0";"2.14715"
"100.0";"2.170545"
"110.0";"2.289264"
"120.0";"2.326726"
"130.0";"2.384313"
"140.0";"2.516598"
"150.0";"2.540796"
"160.0";"2.690537"
"170.0";"2.551131"
"180.0";"2.404325"
"190.0";"2.52574"
"200.0";"2.500843"
"210.0";"2.499166"
"220.0";"2.534873"
"230.0";"2.402932"
"240.0";"2.401981"
"250.0";"2.311589"
"260.0";"2.107893"
"270.0";"2.179518"
"280.0";"2.027184"
"290.0";"2.198401"
"300.0";"2.193618"
"310.0";"2.114599"
"320.0";"2.004843"
"330.0";"1.998601"
"340.0";"1.727262"
"350.0";"1.676354"
"360.0";"1.840822"
"370.0";"1.581378"
"380.0";"1.670438"
"390.0";"1.562925"
"400.0";"1.559521"
"410.0";"1.724691"
"420.0";"1.479529"
"430.0";"1.600242"
"440.0";"1.661721"
"450.0";"1.652926"
"460.0";"1.62966"
"470.0";"1.644721"
"480.0";"1.55434"
"490.0";"1.467294"
"500.0";"1.526683"
"510.0";"1.652399"
"520.0";"1.613852"
"530.0";"1.805743"
"540.0";"1.973271"
"550.0";"2.054815"
"560.0";"1.929061"
"570.0";"1.85843"
"580.0";"1.930037"
"590.0";"1.825425"
"600.0";"1.820917"
"610.0";"1.883851"
"620.0";"1.867495"
"630.0";"2.012386"
"640.0";"1.953268"
"650.0";"1.853247"
"660.0";"1.779846"
"670.0";"1.870562"
"680.0";"1.80344"
"690.0";"1.681198"
"700.0";"1.801007"
"710.0";"1.903539"
"720.0";"1.945672"
"730.0";"1.828841"
"740.0";"1.815494"
"750.0";"1.791596"
"760.0";"1.911675"
"770.0";"1.794302"
"780.0";"1.803393"
"790.0";"1.834653"
"800.0";"1.930575"
"810.0";"1.905347"
"820.0";"1.929639"
"830.0";"1.893017"
"840.0";"1.917738"
"850.0";"1.758673"
"860.0";"1.818964"
"870.0";"1.862872"
"880.0";"1.885256"
"890.0";"1.823233"
"900.0";"1.765672"
"910.0";"1.936812"
"920.0";"1.943245"
"930.0";"1.796282"
"940.0";"1.666198"
"950.0";"1.754521"
"960.0";"1.613628"
"970.0";"1.649135"
"980.0";"1.580954"
"990.0";"1.666166"
"1000.0";"1.621634"
"1010.0";"1.757602"
"1020.0";"1.760056"
"1030.0";"1.714535"
"1040.0";"1.849111"
"1050.0";"1.813271"
"1060.0";"1.953615"
"1070.0";"1.906384"
"1080.0";"1.893017"
"1090.0";"1.895954"
"1100.0";"1.899546"
"1110.0";"1.827456"
"1120.0";"1.91121"
"1130.0";"1.972623"
"1140.0";"1.842131"
"1150.0";"1.840728"
"1160.0";"1.776181"
"1170.0";"1.828019"
"1180.0";"1.804941"
"1190.0";"1.692039"
"1200.0";"1.763539"
"1210.0";"1.765952"
"1220.0";"1.786502"
"1230.0";"1.708596"
"1240.0";"1.718053"
"1250.0";"1.790308"
"1260.0";"1.726572"
"1270.0";"1.765482"
"1280.0";"1.668004"
"1290.0";"1.701743"
"1300.0";"1.640453"
"1310.0";"1.706343"
"1320.0";"1.87756"
"1330.0";"1.884083"
"1340.0";"1.981695"
"1350.0";"1.901404"
"1360.0";"1.966234"
"1370.0";"1.958451"
