Time (ps);Coul-SR:Protein-MOL;LJ-SR:Protein-MOL
0.0;-0.10380968918824107;-0.032701786758343274
10.0;-0.1422796263503797;-0.02340115279940102
20.0;-0.13642516758928364;-0.03010307383271436
30.0;-0.12645537118832226;-0.029898806008928358
40.0;-0.11247068797825092;-0.04380064801903043
50.0;-0.11066854134565998;-0.04475618900873138
60.0;-0.14215188391760372;-0.04826999669280922
70.0;-0.2265611839614524;-0.035135593414788044
80.0;-0.25380121956789836;-0.028636026355456083
90.0;-0.2267895832125674;-0.042908863254304104
100.0;-0.20172290206369486;-0.047442767860225825
110.0;-0.20738996590869158;-0.07293714663948735
120.0;-0.21204852182620543;-0.054886587566806
130.0;-0.22756639003663687;-0.039387618367609706
140.0;-0.16998762769448406;-0.05102906158323767
150.0;-0.2714475714854453;-0.03271546919275896
160.0;-0.23456013583933485;-0.02854653316938931
170.0;-0.20187917748262657;-0.03288436681527699
180.0;-0.21760297824535124;-0.03228041028401578
190.0;-0.25896805192972555;-0.02664869587713728
200.0;-0.291281484691273;-0.02503068749777403
210.0;-0.27595114942528737;-0.014897856701814382
220.0;-0.23399578677065005;-0.023005373531789435
230.0;-0.2776381446515444;-0.017718628595199855
240.0;-0.1685605258472313;-0.02375854709478307
250.0;-0.14357087537369206;-0.021622030315769807
260.0;-0.15871716799290597;-0.033742685459594426
270.0;-0.12780124083016065;-0.02815961904540812
280.0;-0.1869003580592489;-0.017609486820620482
290.0;-0.13316324177050182;-0.029721133046000638
300.0;-0.17311022079977814;-0.029255279668164852
310.0;-0.17146268215514654;-0.031769117341400886
320.0;-0.18260146122230372;-0.032928849534853935
330.0;-0.11496495769901086;-0.041639353193061016
340.0;-0.13320708494724964;-0.04619887636528597
350.0;-0.15263184687365094;-0.043382045807226946
360.0;-0.1548766547321807;-0.044552558062844486
370.0;-0.17533450516782464;-0.056056208879210014
380.0;-0.20996574841427842;-0.056927296402611224
390.0;-0.2917370607366357;-0.05225683742118796
400.0;-0.2821556391678121;-0.04974883162873052
410.0;-0.20818795257374206;-0.0632715974551764
420.0;-0.3333853881009828;-0.05373793915141528
430.0;-0.3312403597663255;-0.0376700352825496
440.0;-0.2768941229271436;-0.0408111672439785
450.0;-0.25372265197850064;-0.046540406357149476
460.0;-0.3394637709122839;-0.04262713513263702
470.0;-0.29466075018702076;-0.049110500046755184
480.0;-0.2771415260155977;-0.03482233383773717
490.0;-0.2795007433172917;-0.05349541740124839
500.0;-0.2495481100525209;-0.07509925528369324
510.0;-0.29388704603258253;-0.07144839378594506
520.0;-0.31212584615384614;-0.05309926662810873
530.0;-0.28377462000583265;-0.05603470516185477
540.0;-0.34059204188601255;-0.04532131413367439
550.0;-0.3174407114944389;-0.07384866464725878
560.0;-0.2401976016310253;-0.06704699727789042
570.0;-0.2958516053366287;-0.05676438052084763
580.0;-0.31529699041771325;-0.054434969532049494
590.0;-0.2973216531916621;-0.05332496723079956
600.0;-0.35155533622660884;-0.0484728323766858
610.0;-0.3069718443423253;-0.03147905192876603
620.0;-0.30478637158240685;-0.05682695499149244
630.0;-0.31685098243926474;-0.05000667706781471
640.0;-0.2915153008064048;-0.055296675755641934
650.0;-0.2972940665189483;-0.061943078557233244
660.0;-0.2817894244350283;-0.0553749470338983
670.0;-0.33448082140562013;-0.041329282000350534
680.0;-0.28256218752156015;-0.06159302141066625
690.0;-0.27133634634681353;-0.05793174106830327
700.0;-0.30082574568654386;-0.04667454071297179
710.0;-0.3089183224765224;-0.04413747061644076
720.0;-0.3463933278217026;-0.043150516424271354
730.0;-0.3025834022902284;-0.0247521736072856
740.0;-0.2733320944597102;-0.05148267690645623
750.0;-0.2529851678619686;-0.06150647657323679
760.0;-0.24309713981439224;-0.05885028496530094
770.0;-0.21528916981132076;-0.05526772051886793
780.0;-0.2591096432978786;-0.06900645942293002
790.0;-0.2787826537590793;-0.06372238350155646
800.0;-0.2850307872447018;-0.05445463760179888
