# This .csv file was created 12.10.2024 14:30
# extracted out of file mindist_major_allergenic_epitope_r_102-124_MOL7.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_102-124-MOL7"
"0.0";"2.417701"
"10.0";"2.52076"
"20.0";"2.513347"
"30.0";"2.170035"
"40.0";"2.348917"
"50.0";"2.341721"
"60.0";"2.114774"
"70.0";"2.07485"
"80.0";"2.231158"
"90.0";"2.063599"
"100.0";"2.128971"
"110.0";"2.121691"
"120.0";"1.949516"
"130.0";"2.084622"
"140.0";"2.328964"
"150.0";"2.203843"
"160.0";"2.229501"
"170.0";"2.352935"
"180.0";"2.201146"
"190.0";"2.168618"
"200.0";"2.151511"
"210.0";"2.203125"
"220.0";"1.858969"
"230.0";"1.971397"
"240.0";"1.932916"
"250.0";"1.914249"
"260.0";"1.806565"
"270.0";"1.934693"
"280.0";"1.904803"
"290.0";"1.96583"
"300.0";"1.962758"
"310.0";"2.043587"
"320.0";"2.144182"
"330.0";"2.414308"
"340.0";"2.423697"
"350.0";"2.66269"
"360.0";"2.309495"
"370.0";"2.575647"
"380.0";"2.661868"
"390.0";"2.825419"
"400.0";"3.025505"
"410.0";"3.100163"
"420.0";"3.181386"
"430.0";"3.334584"
"440.0";"3.53535"
"450.0";"3.380055"
"460.0";"3.577088"
"470.0";"3.545569"
"480.0";"3.180029"
"490.0";"3.499584"
"500.0";"3.345428"
"510.0";"3.153652"
"520.0";"3.404742"
"530.0";"3.161161"
"540.0";"3.062396"
"550.0";"2.924231"
"560.0";"3.268815"
"570.0";"3.056496"
"580.0";"3.025995"
"590.0";"2.834306"
"600.0";"2.923033"
"610.0";"2.850492"
"620.0";"2.555608"
"630.0";"2.616911"
"640.0";"2.726973"
"650.0";"3.017273"
"660.0";"3.268719"
"670.0";"3.060527"
"680.0";"2.939998"
"690.0";"2.990519"
"700.0";"2.783855"
"710.0";"2.858878"
"720.0";"2.890728"
"730.0";"2.808932"
"740.0";"2.825935"
"750.0";"2.868871"
"760.0";"2.726423"
"770.0";"2.701827"
"780.0";"2.598287"
"790.0";"2.554105"
"800.0";"2.723191"
"810.0";"2.826017"
"820.0";"2.764045"
"830.0";"2.743575"
"840.0";"3.001006"
"850.0";"2.83364"
"860.0";"2.524023"
"870.0";"2.618889"
"880.0";"2.449853"
