# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_center_rottrans_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_1
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"1.4996";"1.23322";"1.2362";"1.20356"
"10.0";"1.49427";"1.23604";"1.22106";"1.20289"
"20.0";"1.49592";"1.23428";"1.22627";"1.20348"
"30.0";"1.49465";"1.23461";"1.22315";"1.20316"
"40.0";"1.50193";"1.24193";"1.23543";"1.20123"
"50.0";"1.50081";"1.24269";"1.2285";"1.20472"
"60.0";"1.49562";"1.23835";"1.22641";"1.1984"
"70.0";"1.5009";"1.23998";"1.23093";"1.20525"
"80.0";"1.49958";"1.23566";"1.23105";"1.2063"
"90.0";"1.5009";"1.23937";"1.22772";"1.20916"
"100.0";"1.49891";"1.23441";"1.23158";"1.20537"
"110.0";"1.49753";"1.23634";"1.22714";"1.20449"
"120.0";"1.50472";"1.24541";"1.23392";"1.20613"
"130.0";"1.49721";"1.23625";"1.22955";"1.20132"
"140.0";"1.501";"1.24148";"1.23946";"1.1952"
"150.0";"1.50244";"1.24044";"1.23703";"1.20237"
"160.0";"1.51024";"1.24231";"1.24623";"1.21046"
"170.0";"1.50269";"1.24434";"1.23152";"1.20463"
"180.0";"1.50066";"1.23769";"1.23048";"1.20749"
"190.0";"1.49931";"1.23497";"1.23272";"1.20461"
"200.0";"1.49915";"1.24077";"1.23012";"1.20091"
"210.0";"1.50057";"1.24535";"1.22807";"1.20182"
"220.0";"1.50318";"1.24128";"1.24204";"1.19819"
"230.0";"1.5027";"1.23901";"1.23984";"1.20162"
"240.0";"1.50198";"1.2417";"1.23709";"1.19987"
"250.0";"1.50046";"1.2403";"1.23225";"1.20249"
"260.0";"1.49927";"1.23764";"1.23728";"1.19707"
"270.0";"1.5022";"1.23597";"1.24031";"1.20301"
"280.0";"1.49829";"1.23463";"1.23287";"1.20228"
"290.0";"1.49851";"1.23546";"1.23748";"1.19724"
"300.0";"1.49749";"1.23721";"1.23292";"1.19757"
"310.0";"1.50562";"1.24152";"1.24126";"1.20484"
"320.0";"1.50288";"1.24086";"1.23438";"1.20575"
"330.0";"1.50979";"1.24481";"1.24149";"1.21164"
"340.0";"1.50081";"1.23832";"1.23546";"1.20212"
"350.0";"1.50291";"1.24102";"1.24022";"1.19967"
"360.0";"1.50156";"1.24385";"1.23953";"1.19406"
"370.0";"1.50485";"1.24048";"1.24331";"1.20189"
"380.0";"1.49905";"1.23962";"1.22942";"1.20257"
"390.0";"1.50612";"1.24474";"1.24066";"1.2034"
"400.0";"1.50397";"1.24399";"1.23968";"1.19979"
"410.0";"1.50348";"1.24652";"1.23053";"1.20536"
"420.0";"1.49885";"1.24139";"1.22816";"1.20153"
"430.0";"1.5037";"1.23633";"1.24351";"1.20308"
"440.0";"1.5069";"1.24116";"1.24113";"1.20857"
"450.0";"1.4967";"1.22911";"1.23523";"1.20153"
"460.0";"1.50751";"1.23918";"1.24206";"1.21115"
"470.0";"1.50154";"1.24126";"1.23674";"1.19959"
"480.0";"1.50335";"1.24206";"1.2352";"1.20486"
"490.0";"1.49408";"1.22924";"1.23455";"1.19559"
"500.0";"1.50321";"1.23941";"1.24167";"1.20057"
"510.0";"1.50487";"1.24049";"1.23914";"1.20622"
"520.0";"1.50086";"1.23701";"1.23685";"1.20216"
"530.0";"1.50379";"1.23183";"1.25038";"1.20078"
"540.0";"1.50117";"1.23709";"1.23351";"1.20627"
"550.0";"1.50091";"1.23867";"1.23336";"1.20416"
"560.0";"1.50554";"1.23971";"1.2387";"1.20914"
"570.0";"1.50346";"1.23522";"1.23965";"1.2076"
"580.0";"1.50798";"1.2316";"1.25338";"1.20839"
"590.0";"1.50421";"1.23895";"1.24033";"1.20494"
"600.0";"1.50784";"1.23738";"1.24673";"1.20901"
"610.0";"1.50319";"1.22892";"1.24297";"1.20993"
"620.0";"1.50027";"1.22995";"1.23684";"1.20792"
"630.0";"1.49971";"1.23487";"1.23739";"1.20093"
"640.0";"1.50584";"1.24369";"1.23529";"1.20929"
"650.0";"1.50696";"1.23555";"1.24637";"1.20908"
"660.0";"1.50317";"1.22591";"1.24743";"1.20835"
"670.0";"1.49753";"1.2265";"1.2333";"1.20824"
"680.0";"1.50171";"1.24207";"1.23186";"1.20418"
"690.0";"1.50236";"1.24217";"1.23637";"1.20107"
"700.0";"1.4981";"1.23336";"1.23303";"1.20293"
"710.0";"1.50451";"1.23531";"1.24352";"1.20613"
"720.0";"1.50515";"1.23045";"1.24996";"1.20605"
"730.0";"1.50048";"1.23616";"1.23604";"1.2029"
"740.0";"1.49834";"1.22969";"1.23265";"1.20768"
"750.0";"1.50233";"1.24415";"1.23741";"1.19787"
"760.0";"1.50122";"1.23968";"1.23769";"1.19942"
"770.0";"1.50053";"1.23917";"1.2334";"1.20265"
"780.0";"1.49373";"1.23326";"1.22609";"1.19925"
"790.0";"1.49834";"1.2438";"1.2315";"1.19433"
"800.0";"1.50027";"1.24594";"1.22867";"1.19986"
"810.0";"1.5024";"1.23694";"1.23784";"1.20504"
"820.0";"1.49928";"1.24613";"1.22599";"1.19992"
"830.0";"1.49723";"1.23261";"1.23442";"1.2001"
"840.0";"1.49524";"1.23197";"1.22986";"1.20049"
"850.0";"1.50265";"1.23157";"1.24021";"1.20873"
