# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_center_rottrans_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_1
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"6e-07"
"10.0";"0.0692594"
"20.0";"0.0661291"
"30.0";"0.0644655"
"40.0";"0.069453"
"50.0";"0.0646807"
"60.0";"0.0671703"
"70.0";"0.0718451"
"80.0";"0.0668128"
"90.0";"0.0787943"
"100.0";"0.066432"
"110.0";"0.0707179"
"120.0";"0.0704649"
"130.0";"0.0723858"
"140.0";"0.0797365"
"150.0";"0.0917462"
"160.0";"0.0799342"
"170.0";"0.0848943"
"180.0";"0.0753562"
"190.0";"0.0723266"
"200.0";"0.0772308"
"210.0";"0.0768178"
"220.0";"0.0838365"
"230.0";"0.0716883"
"240.0";"0.077166"
"250.0";"0.0837238"
"260.0";"0.0713015"
"270.0";"0.079602"
"280.0";"0.081755"
"290.0";"0.0864533"
"300.0";"0.0857501"
"310.0";"0.0812498"
"320.0";"0.081111"
"330.0";"0.0775899"
"340.0";"0.0861549"
"350.0";"0.0913794"
"360.0";"0.0867198"
"370.0";"0.0796563"
"380.0";"0.0784108"
"390.0";"0.0766077"
"400.0";"0.0781944"
"410.0";"0.0841764"
"420.0";"0.0835457"
"430.0";"0.0919068"
"440.0";"0.0936968"
"450.0";"0.0829925"
"460.0";"0.0888452"
"470.0";"0.0876354"
"480.0";"0.0876425"
"490.0";"0.0730213"
"500.0";"0.0848172"
"510.0";"0.0842659"
"520.0";"0.0774952"
"530.0";"0.0821846"
"540.0";"0.0690999"
"550.0";"0.0807524"
"560.0";"0.0799821"
"570.0";"0.0792691"
"580.0";"0.0803959"
"590.0";"0.0902284"
"600.0";"0.0820532"
"610.0";"0.0934051"
"620.0";"0.0792074"
"630.0";"0.0924051"
"640.0";"0.0741995"
"650.0";"0.0831895"
"660.0";"0.083937"
"670.0";"0.070267"
"680.0";"0.0797434"
"690.0";"0.083403"
"700.0";"0.0722445"
"710.0";"0.0767819"
"720.0";"0.0785027"
"730.0";"0.0738706"
"740.0";"0.0705141"
"750.0";"0.0795238"
"760.0";"0.0729878"
"770.0";"0.07255"
"780.0";"0.0759151"
"790.0";"0.0821746"
"800.0";"0.07871"
"810.0";"0.0667202"
"820.0";"0.0741832"
"830.0";"0.0614619"
"840.0";"0.0663592"
"850.0";"0.0702497"
"860.0";"0.0808113"
"870.0";"0.069195"
"880.0";"0.0696508"
"890.0";"0.0725009"
"900.0";"0.0807393"
"910.0";"0.0782271"
"920.0";"0.0809621"
"930.0";"0.0786399"
"940.0";"0.0861189"
"950.0";"0.0845759"
"960.0";"0.087397"
"970.0";"0.0794792"
"980.0";"0.0779192"
"990.0";"0.0870075"
"1000.0";"0.0780842"
"1010.0";"0.0813497"
"1020.0";"0.0804283"
"1030.0";"0.0789981"
"1040.0";"0.084738"
"1050.0";"0.0849204"
"1060.0";"0.0833532"
"1070.0";"0.084542"
"1080.0";"0.085617"
"1090.0";"0.0896651"
"1100.0";"0.0835293"
"1110.0";"0.090345"
"1120.0";"0.0896901"
"1130.0";"0.0902437"
"1140.0";"0.0897182"
"1150.0";"0.0854452"
"1160.0";"0.0902633"
"1170.0";"0.0791439"
"1180.0";"0.0890237"
"1190.0";"0.0947485"
"1200.0";"0.0845035"
"1210.0";"0.0861713"
"1220.0";"0.0782012"
"1230.0";"0.0762626"
"1240.0";"0.0838728"
"1250.0";"0.0787698"
"1260.0";"0.0778584"
"1270.0";"0.0778815"
"1280.0";"0.0784668"
"1290.0";"0.0701802"
"1300.0";"0.0858532"
"1310.0";"0.0844432"
"1320.0";"0.0812997"
"1330.0";"0.0790229"
"1340.0";"0.0882497"
"1350.0";"0.0839688"
"1360.0";"0.0761147"
"1370.0";"0.0729539"
"1380.0";"0.0772297"
"1390.0";"0.081045"
"1400.0";"0.0767177"
"1410.0";"0.0725112"
"1420.0";"0.0692158"
"1430.0";"0.0741447"
"1440.0";"0.0813234"
"1450.0";"0.0812585"
"1460.0";"0.0982669"
"1470.0";"0.0861901"
"1480.0";"0.0920816"
"1490.0";"0.0861794"
"1500.0";"0.0894776"
"1510.0";"0.080254"
"1520.0";"0.0824158"
"1530.0";"0.0757239"
"1540.0";"0.0846076"
"1550.0";"0.0794002"
"1560.0";"0.0732493"
"1570.0";"0.0756684"
"1580.0";"0.0822391"
"1590.0";"0.0743997"
"1600.0";"0.0744339"
"1610.0";"0.0804205"
"1620.0";"0.0712744"
"1630.0";"0.0790123"
"1640.0";"0.0698143"
"1650.0";"0.0709562"
"1660.0";"0.0790094"
"1670.0";"0.0720637"
"1680.0";"0.0818974"
"1690.0";"0.079907"
"1700.0";"0.0756822"
"1710.0";"0.08015"
"1720.0";"0.0804549"
"1730.0";"0.0818869"
"1740.0";"0.0915264"
"1750.0";"0.0918924"
"1760.0";"0.0961509"
"1770.0";"0.0857077"
"1780.0";"0.0877012"
"1790.0";"0.0817691"
"1800.0";"0.0864848"
"1810.0";"0.0818827"
"1820.0";"0.0823917"
"1830.0";"0.0949021"
"1840.0";"0.0836352"
"1850.0";"0.0974654"
"1860.0";"0.0923281"
"1870.0";"0.086551"
"1880.0";"0.0809988"
"1890.0";"0.0920286"
"1900.0";"0.0780537"
"1910.0";"0.0882387"
"1920.0";"0.0789175"
"1930.0";"0.0864499"
"1940.0";"0.0817198"
"1950.0";"0.0870059"
"1960.0";"0.0927546"
"1970.0";"0.0949547"
"1980.0";"0.0942332"
"1990.0";"0.1018338"
"2000.0";"0.0991527"
"2010.0";"0.0996407"
"2020.0";"0.0894274"
"2030.0";"0.0891814"
"2040.0";"0.0899924"
"2050.0";"0.0929606"
"2060.0";"0.0854319"
"2070.0";"0.0866527"
"2080.0";"0.0926512"
"2090.0";"0.0848445"
"2100.0";"0.0864932"
"2110.0";"0.0890374"
"2120.0";"0.0842201"
"2130.0";"0.0867066"
"2140.0";"0.1039274"
"2150.0";"0.1012264"
"2160.0";"0.0906278"
"2170.0";"0.0938703"
"2180.0";"0.1012772"
"2190.0";"0.0928555"
"2200.0";"0.0874871"
"2210.0";"0.0934581"
"2220.0";"0.0899416"
"2230.0";"0.0884024"
"2240.0";"0.1079676"
"2250.0";"0.1018483"
"2260.0";"0.0991152"
"2270.0";"0.0890465"
"2280.0";"0.098437"
