# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_mol3_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL3-dimer_area"
"0.0";"3.462973"
"10.0";"3.368843"
"20.0";"3.249666"
"30.0";"3.444783"
"40.0";"3.381229"
"50.0";"3.56147"
"60.0";"3.428524"
"70.0";"3.232364"
"80.0";"3.337372"
"90.0";"3.193791"
"100.0";"3.38868"
"110.0";"3.21354"
"120.0";"3.041971"
"130.0";"3.033352"
"140.0";"2.997619"
"150.0";"2.772139"
"160.0";"2.970258"
"170.0";"3.205523"
"180.0";"3.306411"
"190.0";"3.446211"
"200.0";"3.650916"
"210.0";"3.690267"
"220.0";"3.689619"
"230.0";"3.659228"
"240.0";"3.743359"
"250.0";"3.794768"
"260.0";"3.527199"
"270.0";"3.534752"
"280.0";"3.668813"
"290.0";"3.549265"
"300.0";"3.708125"
"310.0";"3.473691"
"320.0";"3.809304"
"330.0";"3.686828"
"340.0";"3.603345"
"350.0";"3.459145"
"360.0";"3.493669"
"370.0";"3.383685"
"380.0";"3.00744"
"390.0";"3.213069"
"400.0";"3.325879"
"410.0";"3.436657"
"420.0";"3.355445"
"430.0";"3.255602"
"440.0";"3.099089"
"450.0";"3.231549"
"460.0";"3.330764"
"470.0";"3.256677"
"480.0";"3.362757"
"490.0";"3.321929"
"500.0";"3.407874"
"510.0";"3.245832"
"520.0";"3.219757"
"530.0";"3.23459"
"540.0";"2.984467"
"550.0";"3.00233"
"560.0";"3.048014"
"570.0";"3.197921"
"580.0";"3.025441"
"590.0";"3.091269"
"600.0";"3.290036"
"610.0";"3.424082"
"620.0";"3.618694"
"630.0";"3.777021"
"640.0";"3.717829"
"650.0";"3.945587"
"660.0";"4.069262"
"670.0";"4.403299"
"680.0";"4.418279"
"690.0";"4.615261"
"700.0";"4.691437"
"710.0";"4.637926"
"720.0";"4.728094"
"730.0";"4.742266"
"740.0";"5.003563"
"750.0";"4.94402"
"760.0";"5.06516"
"770.0";"5.195904"
"780.0";"5.042649"
"790.0";"4.844377"
"800.0";"4.843171"
"810.0";"4.711036"
"820.0";"4.642727"
"830.0";"4.494334"
"840.0";"4.492313"
"850.0";"4.431104"
"860.0";"4.492844"
"870.0";"4.542813"
"880.0";"4.557033"
"890.0";"4.460834"
"900.0";"4.36834"
"910.0";"4.334608"
"920.0";"4.214329"
"930.0";"4.204473"
"940.0";"4.076574"
"950.0";"3.971464"
"960.0";"4.166031"
"970.0";"4.130599"
"980.0";"4.143501"
"990.0";"4.269723"
"1000.0";"4.241033"
"1010.0";"4.09717"
"1020.0";"4.101833"
"1030.0";"4.131659"
"1040.0";"4.135379"
"1050.0";"3.978115"
"1060.0";"4.279553"
"1070.0";"4.336084"
"1080.0";"4.316257"
"1090.0";"4.126658"
"1100.0";"4.089567"
"1110.0";"4.207796"
"1120.0";"4.267159"
"1130.0";"4.138887"
"1140.0";"4.256761"
"1150.0";"4.343709"
"1160.0";"3.839667"
"1170.0";"3.76739"
"1180.0";"3.745197"
"1190.0";"3.582192"
"1200.0";"3.587669"
"1210.0";"3.558659"
"1220.0";"3.63707"
"1230.0";"3.611596"
"1240.0";"3.457532"
"1250.0";"3.649638"
"1260.0";"3.734152"
"1270.0";"3.580549"
"1280.0";"3.64127"
"1290.0";"3.744627"
"1300.0";"3.82498"
"1310.0";"3.722978"
"1320.0";"3.706587"
"1330.0";"3.666563"
"1340.0";"3.426699"
"1350.0";"3.677213"
"1360.0";"3.736464"
"1370.0";"3.914942"
"1380.0";"3.74149"
"1390.0";"3.67109"
"1400.0";"3.752868"
"1410.0";"3.802103"
"1420.0";"3.601171"
"1430.0";"3.446095"
"1440.0";"3.360022"
"1450.0";"3.189524"
"1460.0";"3.157668"
"1470.0";"3.043784"
"1480.0";"3.072062"
"1490.0";"3.201781"
"1500.0";"3.095278"
"1510.0";"3.219957"
"1520.0";"3.298508"
"1530.0";"3.405124"
"1540.0";"3.413824"
"1550.0";"3.434989"
"1560.0";"3.338382"
"1570.0";"3.350142"
"1580.0";"3.409316"
"1590.0";"3.406547"
"1600.0";"3.41383"
"1610.0";"3.457079"
"1620.0";"3.464257"
"1630.0";"3.638983"
"1640.0";"3.520276"
"1650.0";"3.396957"
"1660.0";"3.527963"
"1670.0";"3.67542"
"1680.0";"3.815205"
"1690.0";"3.656514"
"1700.0";"3.743325"
"1710.0";"3.564805"
"1720.0";"3.675241"
"1730.0";"3.940691"
"1740.0";"3.523204"
"1750.0";"3.727418"
"1760.0";"3.578676"
"1770.0";"3.547165"
"1780.0";"3.396699"
"1790.0";"3.599818"
"1800.0";"3.589509"
"1810.0";"3.654738"
"1820.0";"3.348696"
"1830.0";"3.429847"
"1840.0";"3.616339"
"1850.0";"3.927498"
"1860.0";"3.643646"
"1870.0";"3.493514"
"1880.0";"3.352748"
"1890.0";"3.394598"
"1900.0";"3.400777"
"1910.0";"3.482758"
"1920.0";"3.643403"
"1930.0";"3.802581"
"1940.0";"3.836369"
"1950.0";"3.754359"
"1960.0";"3.488515"
"1970.0";"3.601399"
"1980.0";"3.830301"
"1990.0";"3.921299"
"2000.0";"3.879544"
"2010.0";"3.832788"
"2020.0";"3.915496"
"2030.0";"3.89634"
"2040.0";"3.663677"
"2050.0";"3.800697"
"2060.0";"3.702847"
"2070.0";"3.581277"
"2080.0";"3.634178"
"2090.0";"3.34818"
"2100.0";"3.407751"
"2110.0";"3.704964"
"2120.0";"3.667116"
"2130.0";"3.829041"
"2140.0";"3.747005"
"2150.0";"3.66185"
"2160.0";"3.84347"
"2170.0";"3.859231"
"2180.0";"3.752895"
"2190.0";"3.74801"
"2200.0";"3.904957"
"2210.0";"3.87944"
"2220.0";"3.646218"
"2230.0";"3.760649"
"2240.0";"3.703781"
"2250.0";"3.842748"
"2260.0";"3.901766"
"2270.0";"3.980218"
"2280.0";"3.620489"
"2290.0";"3.518615"
"2300.0";"3.50705"
"2310.0";"3.614655"
"2320.0";"3.598242"
"2330.0";"3.453961"
"2340.0";"3.337424"
"2350.0";"3.37556"
"2360.0";"3.45043"
"2370.0";"3.201159"
"2380.0";"2.829648"
"2390.0";"2.761939"
"2400.0";"2.815464"
"2410.0";"2.74555"
"2420.0";"2.906415"
"2430.0";"2.868073"
"2440.0";"2.862249"
"2450.0";"2.998812"
"2460.0";"2.868716"
"2470.0";"2.926252"
"2480.0";"2.774552"
"2490.0";"2.896948"
"2500.0";"2.618108"
"2510.0";"2.697502"
"2520.0";"2.516379"
"2530.0";"2.514528"
"2540.0";"2.373314"
"2550.0";"2.407153"
"2560.0";"2.450373"
"2570.0";"2.695442"
"2580.0";"3.029116"
"2590.0";"3.067134"
"2600.0";"3.113034"
"2610.0";"3.061265"
"2620.0";"3.030901"
"2630.0";"3.073541"
"2640.0";"3.034085"
"2650.0";"3.116495"
"2660.0";"3.069887"
"2670.0";"3.046423"
"2680.0";"3.052458"
"2690.0";"3.246346"
"2700.0";"3.502374"
"2710.0";"3.342523"
"2720.0";"3.323844"
"2730.0";"3.307215"
"2740.0";"3.237385"
"2750.0";"3.485916"
"2760.0";"3.679758"
"2770.0";"3.909408"
"2780.0";"3.546921"
"2790.0";"3.563989"
"2800.0";"3.807923"
"2810.0";"3.849913"
"2820.0";"3.739595"
"2830.0";"3.727303"
"2840.0";"4.077031"
"2850.0";"4.173604"
"2860.0";"4.532702"
"2870.0";"4.468545"
"2880.0";"4.361351"
"2890.0";"4.198429"
"2900.0";"4.269366"
"2910.0";"4.33481"
"2920.0";"4.251256"
"2930.0";"4.039934"
"2940.0";"4.019169"
"2950.0";"3.785489"
"2960.0";"3.589158"
"2970.0";"3.469416"
"2980.0";"3.241794"
"2990.0";"3.119047"
"3000.0";"2.925119"
"3010.0";"2.944436"
"3020.0";"2.91359"
"3030.0";"2.941684"
"3040.0";"2.965472"
"3050.0";"3.173146"
"3060.0";"3.230005"
"3070.0";"3.079079"
"3080.0";"3.195715"
"3090.0";"3.490769"
"3100.0";"3.290415"
"3110.0";"3.593774"
"3120.0";"3.288336"
"3130.0";"3.242543"
"3140.0";"3.443931"
"3150.0";"3.49093"
"3160.0";"3.745915"
"3170.0";"3.376069"
"3180.0";"3.246603"
"3190.0";"3.368442"
"3200.0";"3.644329"
"3210.0";"3.622152"
"3220.0";"3.772929"
"3230.0";"3.749375"
"3240.0";"3.518437"
"3250.0";"3.312229"
"3260.0";"3.512847"
"3270.0";"3.668965"
"3280.0";"3.674416"
"3290.0";"3.776613"
"3300.0";"3.815488"
"3310.0";"3.89633"
"3320.0";"3.868377"
"3330.0";"3.94344"
"3340.0";"3.916538"
"3350.0";"3.961523"
"3360.0";"3.830227"
"3370.0";"3.766981"
"3380.0";"3.843698"
"3390.0";"3.783859"
"3400.0";"3.787237"
"3410.0";"3.913008"
"3420.0";"3.90385"
"3430.0";"3.686693"
"3440.0";"3.774899"
"3450.0";"3.575321"
"3460.0";"3.590746"
"3470.0";"3.310409"
"3480.0";"3.515017"
"3490.0";"3.454483"
"3500.0";"3.312374"
"3510.0";"3.352646"
"3520.0";"3.274302"
"3530.0";"3.373597"
"3540.0";"3.30022"
"3550.0";"3.310498"
"3560.0";"3.225829"
"3570.0";"3.171789"
"3580.0";"3.054458"
"3590.0";"2.961696"
"3600.0";"3.008993"
"3610.0";"3.208126"
"3620.0";"3.251018"
"3630.0";"3.051881"
"3640.0";"3.173433"
"3650.0";"3.255629"
"3660.0";"3.503508"
"3670.0";"3.454014"
"3680.0";"3.358854"
"3690.0";"3.361289"
"3700.0";"3.324068"
"3710.0";"3.41532"
"3720.0";"3.252434"
"3730.0";"3.378176"
"3740.0";"3.472939"
"3750.0";"3.705993"
"3760.0";"3.708228"
"3770.0";"3.692755"
"3780.0";"3.575102"
"3790.0";"3.473627"
"3800.0";"3.610916"
"3810.0";"3.767969"
"3820.0";"3.843029"
"3830.0";"3.901417"
"3840.0";"4.016946"
"3850.0";"3.836407"
"3860.0";"4.055776"
"3870.0";"4.048719"
"3880.0";"4.22198"
"3890.0";"4.369715"
"3900.0";"4.103715"
"3910.0";"4.319429"
"3920.0";"4.51999"
"3930.0";"4.490365"
"3940.0";"4.555471"
"3950.0";"4.301447"
"3960.0";"4.249188"
"3970.0";"4.483482"
"3980.0";"4.49359"
"3990.0";"4.755184"
"4000.0";"4.736713"
"4010.0";"4.407652"
"4020.0";"4.378685"
"4030.0";"4.557179"
"4040.0";"4.542178"
"4050.0";"4.491986"
"4060.0";"4.259204"
"4070.0";"4.634477"
"4080.0";"4.580446"
"4090.0";"4.626071"
"4100.0";"4.610061"
"4110.0";"4.775864"
"4120.0";"4.340686"
"4130.0";"4.231781"
"4140.0";"4.217899"
"4150.0";"4.334099"
"4160.0";"4.212997"
"4170.0";"4.037307"
"4180.0";"4.201296"
"4190.0";"4.139032"
"4200.0";"4.282841"
"4210.0";"4.406209"
"4220.0";"4.408867"
"4230.0";"4.368275"
"4240.0";"4.168519"
"4250.0";"4.30126"
"4260.0";"4.072476"
"4270.0";"3.941653"
"4280.0";"4.05706"
"4290.0";"3.901295"
"4300.0";"3.932532"
"4310.0";"3.970024"
"4320.0";"3.886855"
"4330.0";"3.867883"
"4340.0";"4.13254"
"4350.0";"4.25013"
"4360.0";"4.295739"
"4370.0";"4.21816"
"4380.0";"4.132988"
"4390.0";"4.283526"
"4400.0";"4.252652"
"4410.0";"3.990826"
"4420.0";"4.182349"
"4430.0";"4.244608"
"4440.0";"4.412601"
"4450.0";"4.234623"
"4460.0";"3.890058"
"4470.0";"3.809347"
"4480.0";"3.533502"
"4490.0";"3.822121"
"4500.0";"3.771402"
"4510.0";"3.748715"
"4520.0";"3.713467"
"4530.0";"3.651294"
"4540.0";"3.633894"
"4550.0";"3.618344"
"4560.0";"3.571342"
"4570.0";"3.508777"
"4580.0";"3.566804"
"4590.0";"3.541902"
"4600.0";"3.747558"
"4610.0";"3.763771"
"4620.0";"3.63756"
"4630.0";"3.856893"
"4640.0";"3.975258"
"4650.0";"4.016716"
"4660.0";"3.911784"
"4670.0";"3.465966"
"4680.0";"3.382005"
"4690.0";"3.447236"
"4700.0";"3.497592"
"4710.0";"3.375398"
"4720.0";"3.310127"
"4730.0";"3.381095"
"4740.0";"3.376338"
"4750.0";"3.303575"
"4760.0";"3.165118"
"4770.0";"3.294064"
"4780.0";"3.199517"
"4790.0";"3.409507"
"4800.0";"3.417311"
"4810.0";"3.344483"
"4820.0";"3.793534"
"4830.0";"3.853646"
"4840.0";"3.912072"
"4850.0";"3.936267"
"4860.0";"3.966311"
"4870.0";"3.784844"
"4880.0";"3.740737"
"4890.0";"4.009571"
"4900.0";"4.087959"
"4910.0";"4.217746"
"4920.0";"4.294882"
"4930.0";"4.402268"
"4940.0";"4.281207"
"4950.0";"4.294261"
"4960.0";"4.33133"
"4970.0";"4.300536"
"4980.0";"4.267621"
"4990.0";"4.686594"
"5000.0";"4.91831"
"5010.0";"4.907138"
"5020.0";"4.820828"
"5030.0";"4.800134"
"5040.0";"4.92727"
"5050.0";"4.966835"
"5060.0";"4.801186"
"5070.0";"4.83847"
"5080.0";"5.050431"
"5090.0";"5.005991"
"5100.0";"4.982996"
"5110.0";"5.06378"
"5120.0";"4.82184"
"5130.0";"4.939853"
"5140.0";"4.760519"
"5150.0";"4.74288"
"5160.0";"4.776377"
"5170.0";"4.736176"
"5180.0";"4.449163"
"5190.0";"4.575562"
"5200.0";"4.468557"
"5210.0";"4.521021"
"5220.0";"4.789894"
"5230.0";"4.991623"
"5240.0";"4.809612"
"5250.0";"4.814936"
"5260.0";"4.781556"
"5270.0";"4.800148"
"5280.0";"4.636165"
"5290.0";"4.595572"
"5300.0";"4.699246"
"5310.0";"4.768015"
"5320.0";"4.970509"
"5330.0";"5.245996"
"5340.0";"5.370621"
"5350.0";"5.403475"
"5360.0";"5.422374"
"5370.0";"5.869881"
"5380.0";"6.075228"
"5390.0";"5.968453"
"5400.0";"5.693732"
"5410.0";"5.792065"
"5420.0";"5.840946"
"5430.0";"5.999201"
