# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_neg1_mol8_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL8"
"0.0";"0.4413725"
"10.0";"0.3643485"
"20.0";"0.432666"
"30.0";"0.4585742"
"40.0";"0.4623698"
"50.0";"0.4203313"
"60.0";"0.3924907"
"70.0";"0.5438557"
"80.0";"0.4389489"
"90.0";"0.4487282"
"100.0";"0.4516602"
"110.0";"0.2822266"
"120.0";"0.4524933"
"130.0";"0.4534437"
"140.0";"0.4101143"
"150.0";"0.4506188"
"160.0";"0.4635092"
"170.0";"0.4136904"
"180.0";"0.3525635"
"190.0";"0.4016103"
"200.0";"0.5393459"
"210.0";"0.4942442"
"220.0";"0.5189614"
"230.0";"0.4855853"
"240.0";"0.5254715"
"250.0";"0.4956017"
"260.0";"0.4040432"
"270.0";"0.4899479"
"280.0";"0.5073245"
"290.0";"0.5201432"
"300.0";"0.5193316"
"310.0";"0.5117352"
"320.0";"0.4616462"
"330.0";"0.3736124"
"340.0";"0.3210561"
"350.0";"0.2895703"
"360.0";"0.3078215"
"370.0";"0.3172147"
"380.0";"0.2269691"
"390.0";"0.2794874"
"400.0";"0.2210203"
"410.0";"0.2317368"
"420.0";"0.3169729"
"430.0";"0.2508565"
"440.0";"0.2300652"
"450.0";"0.2484146"
"460.0";"0.2647298"
"470.0";"0.2617017"
"480.0";"0.2435347"
"490.0";"0.2359513"
"500.0";"0.2447552"
"510.0";"0.23534"
"520.0";"0.2436414"
"530.0";"0.2245487"
"540.0";"0.2440266"
"550.0";"0.2802093"
"560.0";"0.2263207"
"570.0";"0.2136402"
"580.0";"0.2608467"
"590.0";"0.2447733"
"600.0";"0.2286348"
"610.0";"0.2530786"
"620.0";"0.2578876"
"630.0";"0.2866429"
"640.0";"0.2767201"
"650.0";"0.2377629"
"660.0";"0.2362266"
"670.0";"0.2756338"
"680.0";"0.2337971"
"690.0";"0.2358517"
"700.0";"0.2706841"
"710.0";"0.2180966"
"720.0";"0.234233"
"730.0";"0.2236826"
"740.0";"0.240327"
"750.0";"0.272958"
"760.0";"0.2753234"
"770.0";"0.2326287"
"780.0";"0.2083867"
"790.0";"0.2114829"
"800.0";"0.2250579"
"810.0";"0.2435306"
"820.0";"0.259218"
"830.0";"0.2548919"
"840.0";"0.3129872"
"850.0";"0.3372625"
"860.0";"0.2716171"
"870.0";"0.2939351"
"880.0";"0.2844044"
"890.0";"0.3571119"
"900.0";"0.3120609"
"910.0";"0.2798873"
"920.0";"0.3381674"
"930.0";"0.2683822"
"940.0";"0.2838131"
"950.0";"0.2996297"
"960.0";"0.2432821"
"970.0";"0.3237744"
"980.0";"0.2923455"
"990.0";"0.2972861"
"1000.0";"0.2967169"
"1010.0";"0.2691709"
"1020.0";"0.258027"
"1030.0";"0.2417645"
"1040.0";"0.2298585"
"1050.0";"0.2941989"
"1060.0";"0.27343"
"1070.0";"0.2903583"
"1080.0";"0.3118496"
"1090.0";"0.2813218"
"1100.0";"0.283993"
"1110.0";"0.2768776"
"1120.0";"0.3428543"
"1130.0";"0.3035145"
"1140.0";"0.3484323"
"1150.0";"0.3941499"
"1160.0";"0.4755155"
"1170.0";"0.4821783"
"1180.0";"0.5107749"
"1190.0";"0.5517491"
"1200.0";"0.5330572"
"1210.0";"0.4080466"
"1220.0";"0.3412654"
"1230.0";"0.4898735"
"1240.0";"0.4787755"
"1250.0";"0.5196776"
"1260.0";"0.2226139"
"1270.0";"0.5073442"
"1280.0";"0.5868499"
"1290.0";"0.6284633"
"1300.0";"0.5342743"
"1310.0";"0.490867"
"1320.0";"0.5786622"
"1330.0";"0.5623364"
"1340.0";"0.6763257"
"1350.0";"0.6526324"
"1360.0";"0.7498375"
"1370.0";"0.8099102"
"1380.0";"0.7201515"
"1390.0";"0.6674141"
"1400.0";"0.6353652"
"1410.0";"0.4479765"
"1420.0";"0.4313065"
"1430.0";"0.4241956"
"1440.0";"0.5641996"
"1450.0";"0.4861204"
"1460.0";"0.5097432"
"1470.0";"0.5198633"
"1480.0";"0.3904433"
"1490.0";"0.2268525"
"1500.0";"0.2682276"
"1510.0";"0.2577228"
"1520.0";"0.2640927"
"1530.0";"0.243257"
"1540.0";"0.2516067"
"1550.0";"0.2274333"
"1560.0";"0.2032485"
"1570.0";"0.2242785"
"1580.0";"0.2354106"
"1590.0";"0.2671275"
"1600.0";"0.2603111"
"1610.0";"0.2608622"
"1620.0";"0.2263135"
"1630.0";"0.2549744"
"1640.0";"0.2311231"
"1650.0";"0.2372384"
"1660.0";"0.2504415"
"1670.0";"0.259794"
"1680.0";"0.2530416"
"1690.0";"0.229214"
"1700.0";"0.3286352"
"1710.0";"0.2760908"
"1720.0";"0.2956365"
"1730.0";"0.269898"
"1740.0";"0.2552509"
"1750.0";"0.2748292"
"1760.0";"0.2344484"
"1770.0";"0.2449979"
"1780.0";"0.2626194"
"1790.0";"0.2645679"
"1800.0";"0.2292185"
"1810.0";"0.2404492"
"1820.0";"0.2711515"
"1830.0";"0.2589382"
"1840.0";"0.2557537"
"1850.0";"0.2233251"
"1860.0";"0.2623393"
"1870.0";"0.255212"
"1880.0";"0.2286502"
