# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mol8_rms.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_1
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"6e-07"
"10.0";"0.0925911"
"20.0";"0.0919748"
"30.0";"0.0953447"
"40.0";"0.1001354"
"50.0";"0.0922277"
"60.0";"0.096653"
"70.0";"0.1038963"
"80.0";"0.1027348"
"90.0";"0.1129805"
"100.0";"0.1002588"
"110.0";"0.1083494"
"120.0";"0.106593"
"130.0";"0.1110293"
"140.0";"0.1179581"
"150.0";"0.130015"
"160.0";"0.1178717"
"170.0";"0.1195318"
"180.0";"0.1175029"
"190.0";"0.1164379"
"200.0";"0.1218681"
"210.0";"0.121197"
"220.0";"0.123604"
"230.0";"0.1143676"
"240.0";"0.1177992"
"250.0";"0.1273759"
"260.0";"0.1154951"
"270.0";"0.1209335"
"280.0";"0.1235055"
"290.0";"0.1274163"
"300.0";"0.1273972"
"310.0";"0.1255198"
"320.0";"0.124161"
"330.0";"0.1212238"
"340.0";"0.1300715"
"350.0";"0.1341551"
"360.0";"0.1339163"
"370.0";"0.1226744"
"380.0";"0.1184519"
"390.0";"0.1212031"
"400.0";"0.1210379"
"410.0";"0.1230308"
"420.0";"0.1258425"
"430.0";"0.1334734"
"440.0";"0.1314126"
"450.0";"0.1282747"
"460.0";"0.1275619"
"470.0";"0.1300096"
"480.0";"0.1324507"
"490.0";"0.1170186"
"500.0";"0.1269213"
"510.0";"0.1281379"
"520.0";"0.1230591"
"530.0";"0.129097"
"540.0";"0.1219362"
"550.0";"0.1269989"
"560.0";"0.1285834"
"570.0";"0.1330782"
"580.0";"0.1374346"
"590.0";"0.1407639"
"600.0";"0.1325639"
"610.0";"0.1382211"
"620.0";"0.1320512"
"630.0";"0.1398091"
"640.0";"0.1311086"
"650.0";"0.1328173"
"660.0";"0.1362417"
"670.0";"0.125252"
"680.0";"0.1306201"
"690.0";"0.1354528"
"700.0";"0.1281647"
"710.0";"0.1318975"
"720.0";"0.1323148"
"730.0";"0.1325843"
"740.0";"0.1311684"
"750.0";"0.127074"
"760.0";"0.1249624"
"770.0";"0.1308167"
"780.0";"0.1309428"
"790.0";"0.13567"
"800.0";"0.1354057"
"810.0";"0.1278205"
