# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_mindist_mol10_inner_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL10-inner_dimer_area"
"0.0";"4.771851"
"10.0";"4.640448"
"20.0";"4.777966"
"30.0";"4.65889"
"40.0";"5.071263"
"50.0";"4.861111"
"60.0";"4.79186"
"70.0";"4.642858"
"80.0";"4.396421"
"90.0";"4.368895"
"100.0";"4.25046"
"110.0";"4.211165"
"120.0";"4.411331"
"130.0";"4.23403"
"140.0";"4.332038"
"150.0";"4.299518"
"160.0";"4.279548"
"170.0";"4.394407"
"180.0";"4.464581"
"190.0";"4.545331"
"200.0";"4.454298"
"210.0";"4.57347"
"220.0";"4.861729"
"230.0";"4.922398"
"240.0";"4.844952"
"250.0";"5.070887"
"260.0";"5.238458"
"270.0";"5.202603"
"280.0";"5.248013"
"290.0";"5.194253"
"300.0";"5.007807"
"310.0";"5.099446"
"320.0";"5.105072"
"330.0";"5.084741"
"340.0";"5.104063"
"350.0";"4.964929"
"360.0";"4.944026"
"370.0";"4.903538"
"380.0";"4.737927"
"390.0";"4.821159"
"400.0";"4.760803"
"410.0";"4.815803"
"420.0";"4.755813"
"430.0";"4.581852"
"440.0";"4.606459"
"450.0";"4.372165"
"460.0";"4.465698"
"470.0";"4.256807"
"480.0";"4.354025"
"490.0";"4.632789"
"500.0";"4.436048"
"510.0";"4.952867"
"520.0";"5.167315"
"530.0";"5.361242"
"540.0";"5.608776"
"550.0";"5.801996"
"560.0";"5.936635"
"570.0";"5.990444"
"580.0";"5.991742"
"590.0";"6.098876"
"600.0";"6.082832"
"610.0";"6.1505"
"620.0";"6.063514"
"630.0";"6.091795"
"640.0";"6.412539"
"650.0";"6.293125"
"660.0";"6.213377"
"670.0";"6.149576"
"680.0";"6.179053"
"690.0";"6.182009"
"700.0";"6.211656"
"710.0";"6.044648"
"720.0";"6.009259"
"730.0";"6.042463"
"740.0";"6.010864"
"750.0";"5.905663"
"760.0";"6.129358"
"770.0";"6.156114"
"780.0";"6.075949"
