# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_mindist_mol7_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL7"
"0.0";"1.932125"
"10.0";"2.074481"
"20.0";"1.956921"
"30.0";"1.907005"
"40.0";"1.785547"
"50.0";"1.709142"
"60.0";"1.643564"
"70.0";"1.489377"
"80.0";"1.476675"
"90.0";"1.389385"
"100.0";"1.55444"
"110.0";"1.454657"
"120.0";"1.441491"
"130.0";"1.216142"
"140.0";"1.182814"
"150.0";"1.354585"
"160.0";"1.605011"
"170.0";"1.338121"
"180.0";"1.274272"
"190.0";"1.398211"
"200.0";"1.325581"
"210.0";"1.546483"
"220.0";"1.217711"
"230.0";"0.9769099"
"240.0";"1.199102"
"250.0";"1.324167"
"260.0";"1.474214"
"270.0";"1.519769"
"280.0";"1.091207"
"290.0";"1.138584"
"300.0";"0.937226"
"310.0";"1.067184"
"320.0";"1.236224"
"330.0";"0.9227046"
"340.0";"0.9468227"
"350.0";"0.9714785"
"360.0";"1.025511"
"370.0";"0.9757839"
"380.0";"0.7992349"
"390.0";"0.6657904"
"400.0";"1.031838"
"410.0";"1.093133"
"420.0";"0.9275333"
"430.0";"0.941425"
"440.0";"1.086334"
"450.0";"1.052241"
"460.0";"1.069716"
"470.0";"1.029424"
"480.0";"1.134591"
"490.0";"1.244087"
"500.0";"1.36419"
"510.0";"1.364735"
"520.0";"1.214982"
"530.0";"1.330726"
"540.0";"1.318564"
"550.0";"1.296468"
"560.0";"1.278382"
"570.0";"1.32729"
"580.0";"1.309784"
"590.0";"1.438529"
"600.0";"1.48737"
"610.0";"1.487404"
"620.0";"1.606149"
"630.0";"1.516341"
"640.0";"1.544077"
"650.0";"1.669296"
"660.0";"1.624815"
"670.0";"1.440385"
"680.0";"1.595026"
"690.0";"1.477091"
"700.0";"1.373627"
"710.0";"1.360191"
"720.0";"1.314543"
"730.0";"1.228186"
"740.0";"1.445998"
"750.0";"1.57168"
"760.0";"1.441881"
"770.0";"1.458764"
"780.0";"1.601506"
"790.0";"1.541984"
"800.0";"1.859021"
