# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_mol9_center_nojump_rottrans_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"0.000515"
"10.0";"0.0859041"
"20.0";"0.1035605"
"30.0";"0.1166808"
"40.0";"0.1354777"
"50.0";"0.1354755"
"60.0";"0.1446022"
"70.0";"0.1365953"
"80.0";"0.1461369"
"90.0";"0.1893464"
"100.0";"0.2168288"
"110.0";"0.1983126"
"120.0";"0.2027725"
"130.0";"0.2093801"
"140.0";"0.2120122"
"150.0";"0.212781"
"160.0";"0.2206383"
"170.0";"0.2360412"
"180.0";"0.22452"
"190.0";"0.1998338"
"200.0";"0.203879"
"210.0";"0.2099609"
"220.0";"0.2256356"
"230.0";"0.2167512"
"240.0";"0.2048433"
"250.0";"0.2061736"
"260.0";"0.1668662"
"270.0";"0.1562342"
"280.0";"0.1409629"
"290.0";"0.1388625"
"300.0";"0.1443638"
"310.0";"0.1622648"
"320.0";"0.1630249"
"330.0";"0.191479"
"340.0";"0.1940382"
"350.0";"0.2081041"
"360.0";"0.2306977"
"370.0";"0.2692952"
"380.0";"0.2919606"
"390.0";"0.3143001"
"400.0";"0.3015924"
"410.0";"0.2745955"
"420.0";"0.2857003"
"430.0";"0.2855135"
"440.0";"0.270741"
"450.0";"0.2728929"
"460.0";"0.2652794"
"470.0";"0.2665196"
"480.0";"0.2413265"
"490.0";"0.2137398"
"500.0";"0.2413564"
"510.0";"0.2332007"
"520.0";"0.2184274"
"530.0";"0.1979499"
"540.0";"0.2334251"
"550.0";"0.219721"
"560.0";"0.1954954"
"570.0";"0.1858713"
"580.0";"0.194239"
"590.0";"0.1849602"
"600.0";"0.1847806"
"610.0";"0.1808978"
"620.0";"0.1866901"
"630.0";"0.1617052"
"640.0";"0.1641887"
"650.0";"0.1697602"
"660.0";"0.1677632"
"670.0";"0.162093"
"680.0";"0.1791633"
"690.0";"0.1900107"
"700.0";"0.1892257"
"710.0";"0.1962106"
"720.0";"0.1916993"
"730.0";"0.1937319"
"740.0";"0.1942727"
"750.0";"0.193057"
"760.0";"0.194008"
"770.0";"0.1981946"
"780.0";"0.2225804"
"790.0";"0.2332597"
"800.0";"0.231808"
"810.0";"0.2134956"
"820.0";"0.2358522"
"830.0";"0.2265459"
"840.0";"0.2138768"
"850.0";"0.2224143"
"860.0";"0.2222079"
"870.0";"0.2403249"
"880.0";"0.2298598"
"890.0";"0.1842836"
"900.0";"0.1761357"
"910.0";"0.1766409"
"920.0";"0.1649532"
"930.0";"0.1747831"
"940.0";"0.1857846"
"950.0";"0.2207255"
"960.0";"0.2487302"
"970.0";"0.2386125"
"980.0";"0.2197344"
"990.0";"0.208327"
"1000.0";"0.2033472"
"1010.0";"0.2044183"
"1020.0";"0.1991262"
"1030.0";"0.2170651"
"1040.0";"0.2206617"
"1050.0";"0.2214765"
"1060.0";"0.2015013"
"1070.0";"0.1849632"
"1080.0";"0.1891229"
"1090.0";"0.1773809"
"1100.0";"0.1896129"
"1110.0";"0.1836909"
"1120.0";"0.1815735"
"1130.0";"0.1842557"
"1140.0";"0.1865131"
"1150.0";"0.1950328"
"1160.0";"0.1974487"
"1170.0";"0.2158426"
"1180.0";"0.2109224"
"1190.0";"0.2291496"
"1200.0";"0.2549109"
"1210.0";"0.276847"
"1220.0";"0.2427464"
"1230.0";"0.2362137"
"1240.0";"0.2549758"
"1250.0";"0.2352791"
"1260.0";"0.215878"
"1270.0";"0.1886564"
"1280.0";"0.1826258"
"1290.0";"0.1788972"
"1300.0";"0.1806676"
"1310.0";"0.1883394"
"1320.0";"0.1891587"
"1330.0";"0.2022818"
"1340.0";"0.2087165"
"1350.0";"0.1923419"
"1360.0";"0.2076708"
"1370.0";"0.2015454"
"1380.0";"0.1950139"
"1390.0";"0.1886568"
"1400.0";"0.201664"
"1410.0";"0.2178586"
"1420.0";"0.2189687"
"1430.0";"0.2356256"
"1440.0";"0.2501675"
"1450.0";"0.2609721"
"1460.0";"0.3188447"
"1470.0";"0.3232743"
"1480.0";"0.3485685"
"1490.0";"0.3645647"
"1500.0";"0.3709378"
"1510.0";"0.3472928"
"1520.0";"0.3344382"
"1530.0";"0.3287185"
"1540.0";"0.3196626"
"1550.0";"0.3353444"
"1560.0";"0.3620743"
"1570.0";"0.389079"
"1580.0";"0.3733913"
"1590.0";"0.3802055"
"1600.0";"0.3504461"
"1610.0";"0.3562675"
"1620.0";"0.3523626"
"1630.0";"0.3462369"
"1640.0";"0.3129416"
"1650.0";"0.3388058"
"1660.0";"0.3676794"
"1670.0";"0.37941"
"1680.0";"0.3942504"
"1690.0";"0.4026611"
"1700.0";"0.4274011"
"1710.0";"0.4338363"
"1720.0";"0.4323876"
"1730.0";"0.4350585"
"1740.0";"0.4117338"
"1750.0";"0.414145"
"1760.0";"0.4294541"
"1770.0";"0.4053766"
"1780.0";"0.4246526"
"1790.0";"0.4211865"
"1800.0";"0.4054314"
"1810.0";"0.4182509"
"1820.0";"0.4300772"
"1830.0";"0.4134577"
"1840.0";"0.432434"
"1850.0";"0.4602095"
"1860.0";"0.4396657"
"1870.0";"0.435458"
"1880.0";"0.4329556"
"1890.0";"0.4128253"
"1900.0";"0.4231549"
"1910.0";"0.4257325"
"1920.0";"0.4747378"
"1930.0";"0.502302"
"1940.0";"0.4889801"
"1950.0";"0.4756618"
"1960.0";"0.4936528"
"1970.0";"0.4886228"
"1980.0";"0.5056162"
"1990.0";"0.4709276"
"2000.0";"0.4756537"
"2010.0";"0.5015438"
"2020.0";"0.5208262"
"2030.0";"0.539581"
"2040.0";"0.567182"
"2050.0";"0.5425893"
"2060.0";"0.5061337"
"2070.0";"0.4799181"
"2080.0";"0.4783417"
"2090.0";"0.5118795"
"2100.0";"0.542319"
"2110.0";"0.5438874"
"2120.0";"0.5462621"
"2130.0";"0.5599713"
"2140.0";"0.546962"
"2150.0";"0.5891907"
"2160.0";"0.5924965"
"2170.0";"0.5792492"
"2180.0";"0.5884064"
"2190.0";"0.5546934"
"2200.0";"0.554991"
"2210.0";"0.5480321"
"2220.0";"0.5706704"
"2230.0";"0.591923"
"2240.0";"0.5957175"
"2250.0";"0.6210197"
"2260.0";"0.6166323"
"2270.0";"0.6612332"
"2280.0";"0.6630594"
"2290.0";"0.6449406"
"2300.0";"0.6383899"
"2310.0";"0.6227759"
"2320.0";"0.618816"
"2330.0";"0.627862"
"2340.0";"0.6118496"
"2350.0";"0.6270487"
"2360.0";"0.61133"
"2370.0";"0.6057301"
"2380.0";"0.6283766"
"2390.0";"0.6266354"
"2400.0";"0.6442237"
"2410.0";"0.6514083"
"2420.0";"0.6581121"
"2430.0";"0.6362749"
"2440.0";"0.6049151"
"2450.0";"0.5730883"
"2460.0";"0.5781249"
"2470.0";"0.6143072"
"2480.0";"0.6281692"
"2490.0";"0.627845"
"2500.0";"0.6502699"
"2510.0";"0.6319106"
"2520.0";"0.6109496"
"2530.0";"0.6269928"
"2540.0";"0.6308022"
"2550.0";"0.661927"
"2560.0";"0.6829001"
"2570.0";"0.6790072"
"2580.0";"0.681301"
"2590.0";"0.6797149"
"2600.0";"0.6765614"
"2610.0";"0.6477585"
"2620.0";"0.6704218"
"2630.0";"0.657546"
"2640.0";"0.6448959"
"2650.0";"0.638065"
"2660.0";"0.6481196"
"2670.0";"0.660561"
"2680.0";"0.7021213"
"2690.0";"0.7061538"
"2700.0";"0.7293065"
"2710.0";"0.7455834"
"2720.0";"0.7759774"
"2730.0";"0.7418751"
"2740.0";"0.7400083"
"2750.0";"0.7196789"
"2760.0";"0.7325978"
"2770.0";"0.715654"
"2780.0";"0.6911188"
"2790.0";"0.6871881"
"2800.0";"0.6890709"
"2810.0";"0.6794099"
"2820.0";"0.6781374"
"2830.0";"0.6861172"
"2840.0";"0.7012752"
"2850.0";"0.7318488"
"2860.0";"0.7505987"
"2870.0";"0.7267497"
"2880.0";"0.7425292"
"2890.0";"0.7555117"
"2900.0";"0.7794285"
"2910.0";"0.7514581"
"2920.0";"0.7799986"
"2930.0";"0.8004658"
"2940.0";"0.8253266"
"2950.0";"0.8184215"
"2960.0";"0.7962558"
"2970.0";"0.8194634"
"2980.0";"0.8441887"
"2990.0";"0.8491793"
"3000.0";"0.8491873"
"3010.0";"0.8286017"
"3020.0";"0.8293992"
"3030.0";"0.8151269"
"3040.0";"0.8171788"
"3050.0";"0.7911227"
"3060.0";"0.7654832"
"3070.0";"0.7445486"
"3080.0";"0.7575829"
"3090.0";"0.7444655"
"3100.0";"0.7355844"
"3110.0";"0.7648723"
"3120.0";"0.7575382"
"3130.0";"0.7548743"
"3140.0";"0.7983549"
"3150.0";"0.8280963"
"3160.0";"0.8371195"
"3170.0";"0.8262064"
"3180.0";"0.8397447"
"3190.0";"0.8341994"
"3200.0";"0.8265091"
"3210.0";"0.821035"
"3220.0";"0.8252106"
"3230.0";"0.8279854"
"3240.0";"0.8459014"
"3250.0";"0.8416083"
"3260.0";"0.8074553"
"3270.0";"0.8227842"
"3280.0";"0.8270313"
"3290.0";"0.8320363"
"3300.0";"0.8250595"
"3310.0";"0.8346134"
"3320.0";"0.8061537"
"3330.0";"0.8280446"
"3340.0";"0.8407583"
"3350.0";"0.8375164"
"3360.0";"0.8040654"
"3370.0";"0.809747"
"3380.0";"0.8142716"
"3390.0";"0.8535917"
"3400.0";"0.8567768"
"3410.0";"0.9144566"
"3420.0";"0.9103867"
"3430.0";"0.9317165"
"3440.0";"0.9186814"
"3450.0";"0.9659973"
"3460.0";"0.9614882"
"3470.0";"0.9961199"
"3480.0";"1.0010074"
"3490.0";"0.9776593"
"3500.0";"0.9590808"
"3510.0";"0.9521242"
"3520.0";"0.9306235"
"3530.0";"0.9506834"
"3540.0";"0.9325057"
"3550.0";"0.9328355"
"3560.0";"0.9406508"
"3570.0";"0.9298657"
"3580.0";"0.8846073"
"3590.0";"0.9208918"
"3600.0";"0.9091024"
"3610.0";"0.9281191"
"3620.0";"0.9153087"
"3630.0";"0.9476118"
"3640.0";"0.9432912"
"3650.0";"0.9678268"
"3660.0";"0.9569928"
"3670.0";"0.957862"
"3680.0";"0.9531533"
"3690.0";"0.9611847"
"3700.0";"0.9585232"
"3710.0";"0.9239873"
"3720.0";"0.9179917"
"3730.0";"0.9079616"
"3740.0";"0.8827268"
"3750.0";"0.8691798"
"3760.0";"0.8470058"
"3770.0";"0.8352389"
"3780.0";"0.8028945"
"3790.0";"0.8029305"
"3800.0";"0.8001331"
"3810.0";"0.8073145"
"3820.0";"0.8156384"
"3830.0";"0.8237424"
"3840.0";"0.7964048"
"3850.0";"0.8059342"
"3860.0";"0.7862432"
"3870.0";"0.7798226"
"3880.0";"0.7676015"
"3890.0";"0.7601606"
"3900.0";"0.7542468"
"3910.0";"0.7807846"
"3920.0";"0.792662"
"3930.0";"0.8172966"
"3940.0";"0.842016"
"3950.0";"0.8334883"
"3960.0";"0.8081304"
"3970.0";"0.7825171"
"3980.0";"0.8033427"
"3990.0";"0.8063359"
"4000.0";"0.8270822"
"4010.0";"0.8405786"
"4020.0";"0.8708693"
"4030.0";"0.8665244"
"4040.0";"0.8744017"
"4050.0";"0.8590575"
"4060.0";"0.8630729"
"4070.0";"0.8390213"
"4080.0";"0.8506103"
"4090.0";"0.8485132"
"4100.0";"0.8555048"
"4110.0";"0.8276942"
"4120.0";"0.7977457"
"4130.0";"0.8336081"
"4140.0";"0.8681074"
"4150.0";"0.8679008"
"4160.0";"0.8432766"
"4170.0";"0.8084804"
"4180.0";"0.8041923"
"4190.0";"0.8270882"
"4200.0";"0.8433478"
"4210.0";"0.8403635"
"4220.0";"0.8653222"
"4230.0";"0.8479779"
"4240.0";"0.8571499"
"4250.0";"0.8804003"
"4260.0";"0.8602901"
"4270.0";"0.8577206"
"4280.0";"0.835977"
"4290.0";"0.8299292"
"4300.0";"0.8127359"
"4310.0";"0.8320949"
"4320.0";"0.8358617"
"4330.0";"0.8405389"
"4340.0";"0.8412703"
"4350.0";"0.8694482"
"4360.0";"0.852327"
"4370.0";"0.8081517"
"4380.0";"0.8280365"
"4390.0";"0.8173687"
"4400.0";"0.8225977"
"4410.0";"0.8086663"
"4420.0";"0.8188073"
"4430.0";"0.8038377"
"4440.0";"0.7761359"
"4450.0";"0.7459539"
"4460.0";"0.7926566"
"4470.0";"0.789149"
"4480.0";"0.8007771"
"4490.0";"0.7881631"
"4500.0";"0.7513911"
"4510.0";"0.7169945"
"4520.0";"0.7304"
"4530.0";"0.6957003"
"4540.0";"0.6556503"
"4550.0";"0.6494675"
"4560.0";"0.6559474"
"4570.0";"0.6689585"
"4580.0";"0.6869382"
"4590.0";"0.6872165"
"4600.0";"0.6500742"
"4610.0";"0.6217091"
